ENTRY            C0077   20040310                             0000C007700000001 
SUBENT        C0077001   20040310                             0000C007700100001 
BIB                 13         26                                 C007700100002 
INSTITUTE  (1USACLA)                                              C007700100003 
REFERENCE  (J,PR,167,915,196803)                                  C007700100004 
AUTHOR     (H.B.Eldridge,S.N.Bunker,J.M.Cameron,J.R.Richardson,   C007700100005 
           W.T.H.van Oers)                                        C007700100006 
TITLE      Studies of the Energy Dependence of p-O16 Interactions C007700100007 
            between 20 and 50 MeV.  II. Measurements of the       C007700100008 
            Polarizations of Protons Elastically Scattered by O16 C007700100009 
            at 24.5, 27.3, 30.1, 34.1, 36.8, and 39.7 MeV         C007700100010 
FACILITY   (CYCLO,1USACLA) UCLA sector-focused cyclotron.         C007700100011 
INC-SOURCE (POLIS) Beam polarized by carbon scatterer.            C007700100012 
SAMPLE     Disk of ice held in copper frame using Mylar foils.    C007700100013 
            Copper frame attached via a manifold to a reservoir   C007700100014 
            filled with liquid nitrogen, both target and manifold C007700100015 
            encased in evacuated scattering chamber.              C007700100016 
METHOD     (PHD)                                                  C007700100017 
           Beam energy determined by measuring range of protons   C007700100018 
            in calibrated aluminum absorbers.                     C007700100019 
DETECTOR   (NAICR) Scattered protons detected using 4 NaI(Tl)     C007700100020 
            integral line detectors, placed in pairs at equal     C007700100021 
            angles to left and right of incident beam.            C007700100022 
CORRECTION Corrected for scattering from hydrogen.                C007700100023 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     C007700100024 
STATUS     Data received from W.H.T. vanOers, 97/9.               C007700100025 
           (APRVD) Approved by W.T.H. vanOers, 97/12/10.          C007700100026 
HISTORY    (19970716C)                                            C007700100027 
           (20040310A) Updated to new date formats.               C007700100028 
ENDBIB              26          0                                 C007700100029 
COMMON               1          3                                 C007700100030 
ANG-ERR                                                           C007700100031 
ADEG                                                              C007700100032 
 0.1                                                              C007700100033 
ENDCOMMON            3          0                                 C007700100034 
ENDSUBENT           33          0                                 C007700199999 
SUBENT        C0077002   19970716                             0000C007700200001 
BIB                  1          1                                 C007700200002 
REACTION   (8-O-16(P,EL)8-O-16,,POL/DA,,ANA)                      C007700200003 
ENDBIB               1          0                                 C007700200004 
NOCOMMON             0          0                                 C007700200005 
DATA                 5        258                                 C007700200006 
EN         EN-RSL-FW  ANG-CM     DATA       DATA-ERR              C007700200007 
 27.3       2.4       113.5       0.862      0.035                C007700200078 
 27.3       2.4       118.4       0.832      0.034                C007700200079 
 27.3       2.4       123.3       0.751      0.031                C007700200080 
 27.3       2.4       128.1       0.616      0.030                C007700200081 
 27.3       2.4       132.9       0.618      0.029                C007700200082 
 27.3       2.4       137.6       0.551      0.025                C007700200083 
 27.3       2.4       142.4       0.503      0.023                C007700200084 
 27.3       2.4       147.1       0.467      0.022                C007700200085 
 27.3       2.4       151.9       0.450      0.021                C007700200086 
 27.3       2.4       156.6       0.431      0.020                C007700200087 
 27.3       2.4       161.3       0.448      0.022                C007700200088 
 30.1       2.3        16.0       0.009      0.003                C007700200089 
 30.1       2.3        18.5      -0.007      0.002                C007700200090 
 30.1       2.3        21.5      -0.052      0.003                C007700200091 
 30.1       2.3        24.0      -0.089      0.004                C007700200092 
 30.1       2.3        26.5      -0.132      0.006                C007700200093 
 30.1       2.3        29.3      -0.187      0.008                C007700200094 
 30.1       2.3        32.0      -0.192      0.008                C007700200095 
 30.1       2.3        34.5      -0.231      0.010                C007700200096 
 30.1       2.3        37.0      -0.257      0.011                C007700200097 
 30.1       2.3        39.8      -0.277      0.012                C007700200098 
 30.1       2.3        39.8      -0.272      0.011                C007700200099 
 30.1       2.3        42.4      -0.258      0.012                C007700200100 
 30.1       2.3        45.0      -0.237      0.012                C007700200101 
 30.1       2.3        47.6      -0.012      0.007                C007700200102 
 30.1       2.3        50.3      +0.186      0.009                C007700200103 
 30.1       2.3        52.9      +0.264      0.012                C007700200104 
 30.1       2.3        55.5      +0.350      0.015                C007700200105 
 30.1       2.3        58.1       0.338      0.014                C007700200106 
 30.1       2.3        63.3       0.320      0.014                C007700200107 
 30.1       2.3        65.8       0.271      0.012                C007700200108 
 30.1       2.3        68.4       0.211      0.010                C007700200109 
 30.1       2.3        73.5       0.103      0.008                C007700200110 
 30.1       2.3        73.5       0.057      0.004                C007700200111 
 30.1       2.3        78.6       0.095      0.005                C007700200112 
 30.1       2.3        83.7       0.108      0.006                C007700200113 
 30.1       2.3        88.7       0.167      0.009                C007700200114 
 30.1       2.3        93.7       0.293      0.014                C007700200115 
 30.1       2.3        98.7       0.545      0.023                C007700200116 
 30.1       2.3       103.7       0.758      0.031                C007700200117 
 30.1       2.3       108.6       0.832      0.034                C007700200118 
 30.1       2.3       113.5       0.869      0.035                C007700200119 
 30.1       2.3       118.4       0.932      0.038                C007700200120 
