ENTRY            C1739   20130426                             C130C173900000001 
SUBENT        C1739001   20130426                             C130C173900100001 
BIB                  8         29                                 C173900100002 
TITLE      Systematic study of the alpha-optical potential via    C173900100003 
            elastic scattering near the Z = 50 region for         C173900100004 
            p-process nuclei                                      C173900100005 
AUTHOR     (A.Palumbo, W.P.Tan, J.Gorres, A.Best, M.Couder,       C173900100006 
            R.Crowter, R.J.Deboer, S.Falahat, P.J.Leblanc,        C173900100007 
            H.Y.Lee, S.O'Brien, E.Strandberg, M.Wiescher,         C173900100008 
            J.P.Greene, Zs.Fulop, G.G.Kiss,  E.Somorjai,          C173900100009 
            N.Ozkan, G.Efe, R.T.Guray)                            C173900100010 
INSTITUTE  (1USANOT,1USAANL,3HUNDEB,2TUKKOC)                      C173900100011 
REFERENCE  (J,PR/C,85,035808,2012) Main reference                 C173900100012 
           (C,2008MACKIN,,(046),2008) preliminary data on 120Te   C173900100013 
FACILITY   (VDGT,1USANOT) FN tandem accelerator                   C173900100014 
DETECTOR   (SI) Thirty Si pin diode detectors were mounted on a   C173900100015 
            rotatable table which spanned an angular range from   C173900100016 
            22.5deg to 167.5deg in 2.5deg increments.             C173900100017 
           Two monitor detectors were placed at 15deg on either   C173900100018 
            side of the beam axis to correct for deviations in    C173900100019 
            the beam spot.                                        C173900100020 
ERR-ANALYS (ERR-T) Quadrature sum of the uncertainties due to     C173900100021 
                    - counting statistics                         C173900100022 
                    - angular position                            C173900100023 
                    - beam energy,                                C173900100024 
           (ERR-1)  - solid angle (1%)                            C173900100025 
HISTORY    (20090918C) Compiled by S.H.                           C173900100026 
           (20120331A) Main reference compiled by S.H.            C173900100027 
                       All data replaced by data from author.     C173900100028 
                       Subentry 2 updated - differential cross    C173900100029 
                       section added, subentries 3,4 deleted      C173900100030 
                       and subentries 5-10 added                  C173900100031 
ENDBIB              29          0                                 C173900100032 
COMMON               2          3                                 C173900100033 
ANG-ERR    ERR-1                                                  C173900100034 
ADEG       PER-CENT                                               C173900100035 
 0.01       1.                                                    C173900100036 
ENDCOMMON            3          0                                 C173900100037 
ENDSUBENT           36          0                                 C173900199999 
SUBENT        C1739002   20130426                             C130C173900200001 
BIB                  4         11                                 C173900200002 
REACTION  1(52-TE-120(A,EL)52-TE-120,,DA)                         C173900200003 
          2(52-TE-120(A,EL)52-TE-120,,DA,,RTH)                    C173900200004 
SAMPLE     (52-TE-120,ENR=0.994) Target in oxide form TeO2 with   C173900200005 
                                 thickness of 130 - 210 mu-g/cm2  C173900200006 
STATUS     (TABLE) Data presented in fig. 4 of the main reference C173900200007 
                   sent by author (W.P.T)                         C173900200008 
HISTORY    (20120331A) S.H. Data in original subentry 2 contained C173900200009 
            only ratios to Rutherford cross sections. DifferentialC173900200010 
            cross sections from main reference were added for     C173900200011 
            several incident energies                             C173900200012 
           (20130426A) On. Uncertainty in Rutherford ratio revisedC173900200013 
ENDBIB              11          0                                 C173900200014 
NOCOMMON             0          0                                 C173900200015 
DATA                 6        296                                 C173900200016 
EN         ANG        DATA      1ERR-T     1DATA      2ERR-T     2C173900200017 
MEV        ADEG       MB/SR      MB/SR      NO-DIM     PER-CENT   C173900200018 
       17.0       15.2   1.48E+05   1.49E+03   1.00E+00   1.01    C173900200019 
       17.0       22.6   3.01E+04   3.01E+02   9.73E-01   1.00    C173900200020 
       17.0       25.1   2.03E+04   2.04E+02   9.91E-01   1.01    C173900200021 
       17.0       27.6   1.39E+04   1.41E+02   9.84E-01   1.01    C173900200022 
       17.0       30.1   9.84E+03   1.01E+02   9.78E-01   1.03    C173900200023 
       17.0       32.7   7.20E+03   7.21E+01   9.86E-01   1.00    C173900200024 
       17.0       35.2   5.42E+03   5.46E+01   9.87E-01   1.01    C173900200025 
       17.0       37.7   4.10E+03   4.16E+01   9.70E-01   1.02    C173900200026 
       17.0       40.2   3.20E+03   3.29E+01   9.67E-01   1.03    C173900200027 
       17.0       42.7   2.61E+03   2.71E+01   9.94E-01   1.04    C173900200028 
       17.0       45.2   2.13E+03   2.24E+01   1.01E+00   1.05    C173900200029 
       17.0       47.7   1.76E+03   1.87E+01   1.01E+00   1.06    C173900200030 
       17.0       50.2   1.49E+03   1.61E+01   1.04E+00   1.08    C173900200031 
       17.0       52.7   1.27E+03   1.40E+01   1.06E+00   1.10    C173900200032 
       17.0       55.2   1.06E+03   1.18E+01   1.04E+00   1.12    C173900200033 
       17.0       57.7   9.10E+02   1.04E+01   1.05E+00   1.14    C173900200034 
       17.0       60.2   7.76E+02   9.04E+00   1.05E+00   1.17    C173900200035 
       17.0       62.7   6.69E+02   8.00E+00   1.04E+00   1.20    C173900200036 
       17.0       65.2   5.61E+02   6.89E+00   1.00E+00   1.23    C173900200037 
       17.0       67.7   4.85E+02   6.16E+00   9.87E-01   1.27    C173900200038 
       17.0       70.2   4.10E+02   5.40E+00   9.47E-01   1.32    C173900200039 
       17.0       72.7   3.57E+02   4.87E+00   9.27E-01   1.36    C173900200040 
       17.0       75.2   3.01E+02   4.25E+00   8.76E-01   1.41    C173900200041 
       17.0       77.7   2.56E+02   3.82E+00   8.29E-01   1.49    C173900200042 
       17.0       80.2   2.20E+02   3.40E+00   7.89E-01   1.55    C173900200043 
       17.0       82.7   1.87E+02   3.03E+00   7.39E-01   1.62    C173900200044 
       17.0       85.2   1.70E+02   2.85E+00   7.41E-01   1.67    C173900200045 
       17.0       87.7   1.41E+02   2.53E+00   6.72E-01   1.79    C173900200046 
       17.0       90.2   1.20E+02   2.29E+00   6.22E-01   1.91    C173900200047 
       17.0       92.7   1.10E+02   2.17E+00   6.20E-01   1.97    C173900200048 
       17.0       95.2   9.18E+01   1.32E+00   5.59E-01   1.44    C173900200049 
       17.0       97.7   8.15E+01   1.25E+00   5.35E-01   1.54    C173900200050 
       17.0      100.2   7.08E+01   1.13E+00   5.00E-01   1.60    C173900200051 
       17.0      102.7   6.11E+01   1.04E+00   4.61E-01   1.70    C173900200052 
       17.0      105.2   5.48E+01   9.49E-01   4.42E-01   1.73    C173900200053 
       17.0      107.7   4.98E+01   9.88E-01   4.28E-01   1.99    C173900200054 
       17.0      110.2   4.25E+01   8.94E-01   3.87E-01   2.10    C173900200055 
       17.0      112.7   3.91E+01   8.51E-01   3.78E-01   2.18    C173900200056 
       17.0      115.2   3.35E+01   7.90E-01   3.41E-01   2.36    C173900200057 
       17.0      117.7   3.09E+01   7.41E-01   3.32E-01   2.40    C173900200058 
       17.0      120.2   2.79E+01   6.94E-01   3.14E-01   2.49    C173900200059 
       17.0      122.7   2.63E+01   6.70E-01   3.10E-01   2.55    C173900200060 
       17.0      125.2   2.14E+01   5.99E-01   2.64E-01   2.80    C173900200061 
       17.0      127.7   2.11E+01   5.94E-01   2.72E-01   2.81    C173900200062 
       17.0      130.2   1.83E+01   5.52E-01   2.44E-01   3.02    C173900200063 
       17.0      132.7   1.70E+01   5.36E-01   2.36E-01   3.15    C173900200064 
       17.0      135.2   1.64E+01   5.31E-01   2.36E-01   3.24    C173900200065 
       17.0      137.7   1.47E+01   4.88E-01   2.18E-01   3.33    C173900200066 
       17.0      140.2   1.40E+01   4.89E-01   2.14E-01   3.50    C173900200067 
       17.0      142.7   1.26E+01   4.51E-01   1.98E-01   3.58    C173900200068 
       17.0      145.2   1.19E+01   4.37E-01   1.93E-01   3.66    C173900200069 
       17.0      147.7   1.21E+01   4.41E-01   2.00E-01   3.66    C173900200070 
       17.0      150.2   1.13E+01   4.28E-01   1.91E-01   3.80    C173900200071 
       17.0      152.7   1.06E+01   4.16E-01   1.84E-01   3.91    C173900200072 
       17.0      155.2   9.64E+00   3.95E-01   1.70E-01   4.10    C173900200073 
       17.0      157.7   9.30E+00   3.86E-01   1.67E-01   4.15    C173900200074 
       17.0      160.2   9.28E+00   3.86E-01   1.69E-01   4.15    C173900200075 
       17.0      162.7   9.17E+00   3.87E-01   1.70E-01   4.22    C173900200076 
       17.0      165.2   8.27E+00   3.70E-01   1.55E-01   4.48    C173900200077 
       19.0       15.3   1.17E+05   1.18E+03   1.00E+00   1.00    C173900200078 
       19.0       22.6   2.47E+04   2.45E+02   1.00E+00    .992   C173900200079 
       19.0       25.1   1.64E+04   1.63E+02   1.01E+00    .993   C173900200080 
       19.0       27.6   1.09E+04   1.09E+02   9.67E-01    .996   C173900200081 
       19.0       30.1   7.67E+03   7.69E+01   9.55E-01   1.00    C173900200082 
       19.0       32.6   5.73E+03   5.67E+01   9.70E-01    .990   C173900200083 
       19.0       35.1   4.46E+03   4.43E+01   1.01E+00    .993   C173900200084 
       19.0       37.6   3.49E+03   3.48E+01   1.02E+00    .996   C173900200085 
       19.0       40.1   2.82E+03   2.82E+01   1.06E+00   1.00    C173900200086 
       19.0       42.6   2.31E+03   2.32E+01   1.09E+00   1.01    C173900200087 
       19.0       45.1   1.88E+03   1.90E+01   1.10E+00   1.01    C173900200088 
       19.0       47.6   1.50E+03   1.53E+01   1.08E+00   1.02    C173900200089 
       19.0       50.1   1.23E+03   1.26E+01   1.06E+00   1.03    C173900200090 
       19.0       52.6   1.00E+03   1.04E+01   1.04E+00   1.04    C173900200091 
       19.0       55.1   8.00E+02   8.43E+00   9.81E-01   1.05    C173900200092 
       19.0       57.6   6.51E+02   6.96E+00   9.38E-01   1.07    C173900200093 
       19.0       60.1   5.23E+02   5.71E+00   8.78E-01   1.09    C173900200094 
       19.0       62.6   4.30E+02   4.80E+00   8.33E-01   1.12    C173900200095 
       19.0       65.1   3.43E+02   3.93E+00   7.63E-01   1.14    C173900200096 
       19.0       67.6   2.79E+02   3.30E+00   7.06E-01   1.18    C173900200097 
       19.0       70.2   2.25E+02   2.76E+00   6.47E-01   1.23    C173900200098 
       19.0       72.6   1.85E+02   2.36E+00   5.99E-01   1.27    C173900200099 
       19.0       75.1   1.51E+02   2.00E+00   5.48E-01   1.32    C173900200100 
       19.0       77.6   1.27E+02   1.76E+00   5.11E-01   1.39    C173900200101 
       19.0       80.1   1.05E+02   1.52E+00   4.69E-01   1.45    C173900200102 
       19.0       82.6   8.39E+01   1.30E+00   4.14E-01   1.54    C173900200103 
       19.0       85.1   7.10E+01   1.15E+00   3.85E-01   1.63    C173900200104 
       19.0       87.6   5.91E+01   1.02E+00   3.50E-01   1.73    C173900200105 
       19.0       90.1   4.94E+01   9.14E-01   3.19E-01   1.85    C173900200106 
       19.0       92.6   4.14E+01   8.20E-01   2.91E-01   1.98    C173900200107 
       19.0       95.2   3.50E+01   4.30E-01   2.67E-01   1.23    C173900200108 
       19.0       97.7   2.97E+01   3.80E-01   2.44E-01   1.28    C173900200109 
       19.0      100.2   2.53E+01   3.33E-01   2.24E-01   1.32    C173900200110 
       19.0      102.7   2.13E+01   2.95E-01   2.01E-01   1.39    C173900200111 
       19.0      105.2   1.88E+01   2.65E-01   1.90E-01   1.41    C173900200112 
       19.0      107.8   1.61E+01   2.45E-01   1.73E-01   1.52    C173900200113 
       19.0      110.2   1.39E+01   2.20E-01   1.58E-01   1.59    C173900200114 
       19.0      112.7   1.21E+01   2.00E-01   1.46E-01   1.66    C173900200115 
       19.0      115.2   1.06E+01   1.87E-01   1.35E-01   1.75    C173900200116 
       19.0      117.8   9.29E+00   1.68E-01   1.25E-01   1.81    C173900200117 
       19.0      120.3   8.34E+00   1.56E-01   1.17E-01   1.87    C173900200118 
       19.0      122.8   7.26E+00   1.43E-01   1.07E-01   1.97    C173900200119 
       19.0      125.2   6.53E+00   1.34E-01   1.01E-01   2.06    C173900200120 
       19.0      127.8   5.79E+00   1.25E-01   9.32E-02   2.15    C173900200121 
       19.0      130.3   5.58E+00   1.23E-01   9.34E-02   2.20    C173900200122 
       19.0      132.8   4.78E+00   1.13E-01   8.31E-02   2.36    C173900200123 
       19.0      135.3   4.36E+00   1.08E-01   7.84E-02   2.48    C173900200124 
       19.0      137.8   4.07E+00   1.02E-01   7.56E-02   2.50    C173900200125 
       19.0      140.3   3.71E+00   9.87E-02   7.10E-02   2.67    C173900200126 
       19.0      142.8   3.55E+00   9.42E-02   7.00E-02   2.65    C173900200127 
       19.0      145.3   3.23E+00   8.90E-02   6.54E-02   2.75    C173900200128 
       19.0      147.8   3.05E+00   8.65E-02   6.34E-02   2.83    C173900200129 
       19.0      150.3   2.97E+00   8.56E-02   6.29E-02   2.89    C173900200130 
       19.0      152.8   2.67E+00   8.09E-02   5.79E-02   3.03    C173900200131 
       19.0      155.2   2.54E+00   7.86E-02   5.60E-02   3.10    C173900200132 
       19.0      157.7   2.50E+00   7.77E-02   5.62E-02   3.11    C173900200133 
       19.0      160.2   2.26E+00   7.35E-02   5.15E-02   3.25    C173900200134 
       19.0      162.8   2.34E+00   7.57E-02   5.41E-02   3.23    C173900200135 
       19.0      165.2   2.18E+00   7.35E-02   5.10E-02   3.37    C173900200136 
       22.0       15.3   8.73E+04   8.76E+02   1.00E+00   1.00    C173900200137 
       22.0       22.7   1.67E+04   1.65E+02   9.24E-01    .988   C173900200138 
       22.0       25.3   1.15E+04   1.14E+02   9.62E-01    .987   C173900200139 
       22.0       27.7   8.13E+03   8.02E+01   9.83E-01    .986   C173900200140 
       22.0       30.3   6.11E+03   6.03E+01   1.03E+00    .987   C173900200141 
       22.0       32.7   4.77E+03   4.69E+01   1.10E+00    .983   C173900200142 
       22.0       35.2   3.67E+03   3.60E+01   1.12E+00    .983   C173900200143 
       22.0       37.7   2.71E+03   2.66E+01   1.07E+00    .984   C173900200144 
       22.0       40.2   2.03E+03   2.01E+01   1.03E+00    .986   C173900200145 
       22.0       42.7   1.53E+03   1.51E+01   9.76E-01    .988   C173900200146 
       22.0       45.2   1.14E+03   1.13E+01   9.03E-01    .992   C173900200147 
       22.0       47.7   8.47E+02   8.43E+00   8.18E-01    .996   C173900200148 
       22.0       50.2   6.30E+02   6.31E+00   7.36E-01   1.00    C173900200149 
       22.0       52.7   4.74E+02   4.78E+00   6.61E-01   1.01    C173900200150 
       22.0       55.2   3.54E+02   3.60E+00   5.85E-01   1.02    C173900200151 
       22.0       57.7   2.70E+02   2.78E+00   5.25E-01   1.03    C173900200152 
       22.0       60.2   2.04E+02   2.13E+00   4.61E-01   1.05    C173900200153 
       22.0       62.7   1.56E+02   1.66E+00   4.06E-01   1.07    C173900200154 
       22.0       65.2   1.19E+02   1.29E+00   3.56E-01   1.09    C173900200155 
       22.0       67.7   9.24E+01   1.03E+00   3.15E-01   1.12    C173900200156 
       22.0       70.2   7.22E+01   8.33E-01   2.79E-01   1.15    C173900200157 
       22.0       72.7   5.73E+01   6.85E-01   2.49E-01   1.20    C173900200158 
       22.0       75.2   4.46E+01   5.54E-01   2.18E-01   1.24    C173900200159 
       22.0       77.7   3.56E+01   4.67E-01   1.93E-01   1.31    C173900200160 
       22.0       80.2   2.81E+01   3.86E-01   1.69E-01   1.37    C173900200161 
       22.0       82.7   2.22E+01   3.23E-01   1.47E-01   1.46    C173900200162 
       22.0       85.2   1.82E+01   2.80E-01   1.33E-01   1.54    C173900200163 
       22.0       87.7   1.45E+01   2.41E-01   1.16E-01   1.66    C173900200164 
       22.0       90.2   1.22E+01   2.15E-01   1.06E-01   1.76    C173900200165 
       22.0       92.7   9.89E+00   1.88E-01   9.34E-02   1.90    C173900200166 
       22.0       95.2   7.97E+00   9.39E-02   8.14E-02   1.18    C173900200167 
       22.0       97.7   6.61E+00   8.05E-02   7.28E-02   1.22    C173900200168 
       22.0      100.2   5.43E+00   6.82E-02   6.43E-02   1.26    C173900200169 
       22.0      102.7   4.52E+00   5.96E-02   5.73E-02   1.32    C173900200170 
       22.0      105.2   3.90E+00   5.24E-02   5.28E-02   1.34    C173900200171 
       22.0      107.7   3.32E+00   4.77E-02   4.78E-02   1.44    C173900200172 
       22.0      110.2   2.85E+00   4.26E-02   4.36E-02   1.49    C173900200173 
       22.0      112.7   2.44E+00   3.81E-02   3.95E-02   1.56    C173900200174 
       22.0      115.2   2.04E+00   3.41E-02   3.48E-02   1.67    C173900200175 
       22.0      117.7   1.69E+00   2.96E-02   3.03E-02   1.76    C173900200176 
       22.0      120.3   1.50E+00   2.74E-02   2.84E-02   1.82    C173900200177 
       22.0      122.8   1.30E+00   2.48E-02   2.56E-02   1.92    C173900200178 
       22.0      125.2   1.11E+00   2.26E-02   2.29E-02   2.04    C173900200179 
       22.0      127.8   1.04E+00   2.17E-02   2.24E-02   2.09    C173900200180 
