ENTRY            C0047   20020213                             0000C004700000001 
SUBENT        C0047001   20020213                             0000C004700100001 
BIB                  9         12                                 C004700100002 
INSTITUTE  (1USALAS)                                              C004700100003 
REFERENCE  (J,PR/C,3,10,197101)                                   C004700100004 
AUTHOR     (N.Jarmie,J.H.Jett,J.L.Detch Jr,R.L.Hutson)            C004700100005 
TITLE      Proton-Proton Elastic Scattering from 9.6 to 13.6 MeV  C004700100006 
FACILITY   (VDGT,1USALAS)                                         C004700100007 
SAMPLE     H gas target in brass cylinder, Havar entrance foil.   C004700100008 
DETECTOR   (TELES,SOLST) 3 silicon surface barrier E and DE       C004700100009 
            detectors.                                            C004700100010 
STATUS     Data taken from tables in article.                     C004700100011 
HISTORY    (19960422C)                                            C004700100012 
           (19980305A) BIB updated per Arzamas RFNC-VNIIEF        C004700100013 
           (20020213A) Converted to new date formats.             C004700100014 
ENDBIB              12          0                                 C004700100015 
COMMON               3          3                                 C004700100016 
EN-ERR     EN-RSL-FW  ANG-ERR                                     C004700100017 
KEV        KEV        ADEG                                        C004700100018 
 15.        20.        0.03                                       C004700100019 
ENDCOMMON            3          0                                 C004700100020 
ENDSUBENT           19          0                                 C004700199999 
SUBENT        C0047002   20020213                             0000C004700200001 
BIB                  2          4                                 C004700200002 
REACTION   (1-H-1(P,EL)1-H-1,,DA)                                 C004700200003 
ERR-ANALYS (ERR-T) Standard deviation, rms sum of relative and    C004700200004 
            scale errors.                                         C004700200005 
           (ERR-1) Relative error                                 C004700200006 
ENDBIB               4          0                                 C004700200007 
NOCOMMON             0          0                                 C004700200008 
DATA                 5         27                                 C004700200009 
EN         ANG        DATA       ERR-1      ERR-T                 C004700200010 
MEV        ADEG       MB/SR      PER-CENT   PER-CENT              C004700200011 
 9.690      13.00      215.29     0.41       0.55                 C004700200012 
 9.690      15.00      201.79     0.39       0.53                 C004700200013 
 9.690      20.00      196.07     0.36       0.52                 C004700200014 
 9.690      25.00      192.56     0.40       0.54                 C004700200015 
 9.690      30.00      186.90     0.41       0.55                 C004700200016 
 9.918      10.00      296.22     0.80       0.90                 C004700200017 
 9.918      12.50      212.58     0.41       0.56                 C004700200018 
 9.918      15.00      194.83     0.39       0.54                 C004700200019 
 9.918      17.50      191.72     0.37       0.52                 C004700200020 
 9.918      20.00      189.03     0.37       0.52                 C004700200021 
 9.918      25.00      185.92     0.41       0.55                 C004700200022 
 9.918      30.00      180.31     0.34       0.50                 C004700200023 
 9.918      35.00      172.44     0.34       0.50                 C004700200024 
 9.918      40.00      161.56     0.34       0.50                 C004700200025 
 9.918      45.00      148.37     0.36       0.52                 C004700200026 
 9.918      50.00      135.58     0.36       0.51                 C004700200027 
13.600      10.00      180.44     0.94       1.00                 C004700200028 
13.600      12.50      141.88     0.57       0.66                 C004700200029 
13.600      15.00      137.18     0.51       0.61                 C004700200030 
13.600      17.50      135.37     0.58       0.67                 C004700200031 
13.600      20.00      136.02     0.31       0.45                 C004700200032 
13.600      25.00      134.00     0.35       0.48                 C004700200033 
13.600      30.00      130.12     0.51       0.61                 C004700200034 
13.600      35.00      123.15     0.35       0.48                 C004700200035 
13.600      40.00      115.29     0.36       0.48                 C004700200036 
13.600      50.00       96.24     0.38       0.50                 C004700200037 
13.600      55.00       85.15     0.38       0.51                 C004700200038 
ENDDATA             29          0                                 C004700200039 
ENDSUBENT           38          0                                 C004700299999 
ENDENTRY             2          0                                 C004799999999 
