ENTRY            C2971   20241212                             C247C297100000001 
SUBENT        C2971001   20241212                             C247C297100100001 
BIB                 12         41                                 C297100100002 
TITLE      Production and discovery of neutron-rich isotopes by   C297100100003 
           fragmentation of 198Pt                                 C297100100004 
AUTHOR     (K.Haak,O.B.Tarasov,P.Chowdhury,A.M.Rogers,K.Sharma,   C297100100005 
           T.Baumann,D.Bazin,P.C.Bender,J.Chen, A.Estrade,        C297100100006 
           M.A.Famiano,D.C.Foulds-Holt,N.Fukuda,A.Gade,           C297100100007 
           T.N.Ginter,R.W.Gohier,M.Hausmann, A.M.Hill,D.E.M.Hoff, C297100100008 
           L.Klankowski,E.Kwan,J.Li,S.N.Liddick,B.Longfellow,     C297100100009 
           S.Lyons,C.Morse,M.Portillo,D.Rhodes,A.L.Richard,       C297100100010 
           S.Samaranayake,B.M.Sherrill,M.K.Smith,M.Spieker,       C297100100011 
           C.S.Sumithrarachchi,H.Suzuki,K.Wang,S.Waniganeththi,   C297100100012 
           D.Weisshaar,S.Zhu)                                     C297100100013 
REFERENCE  (J,PR/C,108,034608,2023)                               C297100100014 
           #doi:10.1103/PhysRevC.108.034608                       C297100100015 
INSTITUTE  (1USAMSU,1USALTI,1USACMG,1USAWMU,2JPNIPC,1USABRK,      C297100100016 
           1USABNL)                                               C297100100017 
FACILITY   (CYCLO,1USAMSU) The NSF's National Superconducting     C297100100018 
           Cyclotron Laboratory (NSCL).                           C297100100019 
DETECTOR   (SCIN,SI,TELES) A timing scintillator (150 mu-m).      C297100100020 
           PIN diode telescope consisting of five silicon         C297100100021 
           detectors (50x50 mm2), with thicknesses of 140 mu-m,   C297100100022 
           140 mu-m, 500 mu-m, 1000 mu-m, and 1000 mu-m,          C297100100023 
           respectively.                                          C297100100024 
SAMPLE     Beryllium target thicknesses were 23 and 47 mg/cm2.    C297100100025 
METHOD     (TOF,EDE) Heavy ions in this study have been           C297100100026 
           identified by the combination of magnetic-rigidity,    C297100100027 
           time-of-flight (ToF), total kinetic energy (TKE),      C297100100028 
           and energy-loss measurements.                          C297100100029 
ANALYSIS   The production cross section for individual fragments  C297100100030 
           was calculated as sigma = (Nf/(Nb*Nt*T))*10**27 [mb],  C297100100031 
           where Nf is the number of a given fragment detected at C297100100032 
           the end of the fragment separator, Nb is the number of C297100100033 
           total incoming beam particles, T is the transmission ofC297100100034 
            the fragment through the separator, and Nt is the     C297100100035 
           number of target atoms (1/cm2).                        C297100100036 
ERR-ANALYS (DATA-ERR) A conservative estimation of error was      C297100100037 
           performed by selecting the maximum, minimum, and mode  C297100100038 
           of all possible transmission values for a given        C297100100039 
           fragment as the upper error limit, lower error limit,  C297100100040 
           and most probable transmission, respectively.          C297100100041 
STATUS     (APRVD) Approved by O.B.Tarasov on January 23, 2025.   C297100100042 
HISTORY    (20241212C) BP                                         C297100100043 
ENDBIB              41          0                                 C297100100044 
NOCOMMON             0          0                                 C297100100045 
ENDSUBENT           44          0                                 C297100199999 
SUBENT        C2971002   20241212                             C247C297100200001 
BIB                  2          3                                 C297100200002 
REACTION   (4-BE-9(78-PT-198,X)ELEM/MASS,,SIG)                    C297100200003 
STATUS     (TABLE,,K.Haak+,J,PR/C,108,034608,2023) Author's       C297100200004 
           data. Also shown in Fig. 9.                            C297100200005 
ENDBIB               3          0                                 C297100200006 
COMMON               1          3                                 C297100200007 
EN                                                                C297100200008 
MEV/A                                                             C297100200009 
       85.0                                                       C297100200010 
ENDCOMMON            3          0                                 C297100200011 
DATA                 5         60                                 C297100200012 
ELEMENT    MASS       DATA       +DATA-ERR  -DATA-ERR             C297100200013 
NO-DIM     NO-DIM     MB         MB         MB                    C297100200014 
       70.0      182.0  3.630E-06  9.480E-07  9.870E-07           C297100200015 
       71.0      183.0  2.200E-04  2.470E-04  8.500E-05           C297100200016 
       71.0      184.0  1.380E-04  3.550E-05  3.680E-05           C297100200017 
       71.0      185.0  1.110E-05  5.910E-06  3.170E-06           C297100200018 
       71.0      186.0  1.800E-05  6.790E-06  5.920E-06           C297100200019 
       71.0      187.0  5.540E-07  1.500E-07  1.360E-07           C297100200020 
       71.0      188.0  6.010E-08  2.130E-08  1.600E-08           C297100200021 
       71.0      189.0  4.020E-08  2.820E-08  2.300E-08           C297100200022 
       72.0      184.0  3.140E-02  1.930E-02  1.270E-02           C297100200023 
       72.0      185.0  2.260E-03  2.180E-03  1.100E-03           C297100200024 
       72.0      186.0  4.310E-04  9.700E-04  2.960E-04           C297100200025 
       72.0      187.0  1.960E-04  5.570E-05  5.580E-05           C297100200026 
       72.0      188.0  3.450E-05  1.300E-05  9.940E-06           C297100200027 
       72.0      189.0  1.360E-05  4.940E-06  3.930E-06           C297100200028 
       72.0      190.0  8.400E-07  1.830E-07  1.940E-07           C297100200029 
       72.0      191.0  1.470E-07  6.900E-08  4.270E-08           C297100200030 
       72.0      192.0  6.920E-08  6.180E-08  3.730E-08           C297100200031 
       73.0      185.0  4.270E-01  2.900E-01  1.640E-01           C297100200032 
       73.0      186.0  7.950E-02  7.550E-02  3.520E-02           C297100200033 
       73.0      187.0  3.260E-02  3.620E-02  1.690E-02           C297100200034 
       73.0      188.0  3.670E-03  6.710E-03  2.350E-03           C297100200035 
       73.0      189.0  1.210E-03  2.210E-03  7.740E-04           C297100200036 
       73.0      190.0  3.530E-04  7.820E-05  8.240E-05           C297100200037 
       73.0      191.0  1.010E-04  2.540E-05  2.410E-05           C297100200038 
       73.0      192.0  1.130E-05  3.890E-06  2.870E-06           C297100200039 
       73.0      193.0  9.850E-07  1.590E-07  2.330E-07           C297100200040 
       74.0      186.0  2.560E+00  5.720E+00  2.070E+00           C297100200041 
       74.0      187.0  2.800E+00  2.300E+00  1.450E+00           C297100200042 
       74.0      188.0  3.670E-01  1.980E-01  1.340E-01           C297100200043 
       74.0      189.0  1.760E-01  1.600E-01  7.850E-02           C297100200044 
       74.0      190.0  7.180E-02  2.880E-02  1.910E-02           C297100200045 
       74.0      191.0  6.330E-03  3.910E-03  2.270E-03           C297100200046 
       74.0      192.0  3.400E-03  4.330E-03  1.880E-03           C297100200047 
       74.0      193.0  4.600E-04  1.800E-04  8.830E-05           C297100200048 
       74.0      194.0  1.290E-04  5.330E-05  2.950E-05           C297100200049 
       75.0      187.0  2.330E+01  2.270E+01  1.560E+01           C297100200050 
       75.0      188.0  7.430E+00  7.140E+00  4.910E+00           C297100200051 
       75.0      189.0  5.010E+00  5.050E+00  3.100E+00           C297100200052 
       75.0      190.0  3.980E+00  1.510E+00  1.150E+00           C297100200053 
       75.0      191.0  5.620E-01  4.080E-01  2.230E-01           C297100200054 
       75.0      192.0  2.690E-01  2.600E-01  1.290E-01           C297100200055 
       75.0      193.0  1.070E-01  2.370E-02  1.390E-02           C297100200056 
       75.0      194.0  1.510E-02  9.420E-03  5.690E-03           C297100200057 
       75.0      195.0  9.680E-03  2.600E-03  1.970E-03           C297100200058 
       75.0      196.0  1.010E-03  3.560E-04  2.200E-04           C297100200059 
       76.0      190.0  1.770E+01  1.120E+01  4.730E+00           C297100200060 
       76.0      191.0  4.980E+00  1.890E+00  9.340E-01           C297100200061 
       76.0      192.0  5.540E+00  3.100E+00  1.290E+00           C297100200062 
