ENTRY            C0292   20070501                             C079C029200000001 
SUBENT        C0292001   20070501                             C079C029200100001 
BIB                 10         15                                 C029200100002 
INSTITUTE  (1USABNL)                                              C029200100003 
REFERENCE  (J,PR,140,B1549,1965)                                  C029200100004 
AUTHOR     (S.KATCOFF,E.W.BAKER,N.T.PORILE)                       C029200100005 
TITLE      Emission of Li8 Fragments from Cu, Ag, and Au          C029200100006 
            Irradiated by High-Energy Protons                     C029200100007 
FACILITY   (SYNCH) Cosmotron                                      C029200100008 
SAMPLE     Thin targets.                                          C029200100009 
DETECTOR   (TRD) Nuclear emulsions.                               C029200100010 
CORRECTION In the interval 5-7.5 MeV, the observed number of      C029200100011 
            tracks was corrected for loss due to self-absorption  C029200100012 
            in the target.                                        C029200100013 
ERR-ANALYS No information on uncertainties.                       C029200100014 
HISTORY    (19870713C)                                            C029200100015 
           (19961010A) BIB update; converted to lower case.       C029200100016 
           (20061128A) DR Reference corrected to follow APS formatC029200100017 
ENDBIB              15          0                                 C029200100018 
NOCOMMON             0          0                                 C029200100019 
ENDSUBENT           18          0                                 C029200199999 
SUBENT        C0292002   19961010                             0000C029200200001 
BIB                  3          3                                 C029200200002 
REACTION   (29-CU-0(P,X)3-LI-8,,SIG)                              C029200200003 
MONITOR    (13-AL-27(P,N+3P)11-NA-24,,SIG)                        C029200200004 
STATUS     Data taken from reference Table III.                   C029200200005 
ENDBIB               3          0                                 C029200200006 
NOCOMMON             0          0                                 C029200200007 
DATA                 3          1                                 C029200200008 
EN         DATA       MONIT                                       C029200200009 
GEV        MB         MB                                          C029200200010 
 2.2        1.6        9.5                                        C029200200011 
ENDDATA              3          0                                 C029200200012 
ENDSUBENT           11          0                                 C029200299999 
SUBENT        C0292003   19961010                             0000C029200300001 
BIB                  3          3                                 C029200300002 
REACTION   (47-AG-0(P,X)3-LI-8,,SIG)                              C029200300003 
MONITOR    (13-AL-27(P,N+3P)11-NA-24,,SIG)                        C029200300004 
STATUS     Data taken from reference Table III.                   C029200300005 
ENDBIB               3          0                                 C029200300006 
NOCOMMON             0          0                                 C029200300007 
DATA                 3          1                                 C029200300008 
EN         DATA       MONIT                                       C029200300009 
GEV        MB         MB                                          C029200300010 
 2.0        2.8        9.5                                        C029200300011 
ENDDATA              3          0                                 C029200300012 
ENDSUBENT           11          0                                 C029200399999 
SUBENT        C0292004   19961010                             0000C029200400001 
BIB                  3          3                                 C029200400002 
REACTION   (79-AU-197(P,X)3-LI-8,,SIG)                            C029200400003 
MONITOR    (13-AL-27(P,N+3P)11-NA-24,,SIG)                        C029200400004 
STATUS     Data taken from reference Table III.                   C029200400005 
ENDBIB               3          0                                 C029200400006 
NOCOMMON             0          0                                 C029200400007 
DATA                 3          1                                 C029200400008 
EN         DATA       MONIT                                       C029200400009 
GEV        MB         MB                                          C029200400010 
 2.0        6.9        9.5                                        C029200400011 
ENDDATA              3          0                                 C029200400012 
ENDSUBENT           11          0                                 C029200499999 
SUBENT        C0292005   19961010                             0000C029200500001 
BIB                  2          3                                 C029200500002 
REACTION   (29-CU-0(P,X)3-LI-8,,DA/DE,,REL)                       C029200500003 
           Data correspond to number of tracks measured.          C029200500004 
STATUS     (CURVE) Read from curve in reference.                  C029200500005 
ENDBIB               3          0                                 C029200500006 
COMMON               1          3                                 C029200500007 
EN                                                                C029200500008 
GEV                                                               C029200500009 
 2.2                                                              C029200500010 
ENDCOMMON            3          0                                 C029200500011 
DATA                 5         80                                 C029200500012 
ANG        ANG-ERR    E-MIN      E-MAX      DATA                  C029200500013 
ADEG       ADEG       MEV        MEV        ARB-UNITS             C029200500014 
 135.       3.          5.         7.5        5.                  C029200500015 
 135.       3.          7.5       10.         8.                  C029200500016 
 135.       3.         10.        12.5       17.                  C029200500017 
 135.       3.         12.5       15.        22.                  C029200500018 
 135.       3.         15.        17.5       30.                  C029200500019 
 135.       3.         17.5       22.5       18.                  C029200500020 
 135.       3.         22.5       25.        16.                  C029200500021 
 135.       3.         25.        27.5       13.                  C029200500022 
 135.       3.         27.5       30.         9.                  C029200500023 
 135.       3.         30.        32.5        7.                  C029200500024 
 135.       3.         32.5       35.         6.                  C029200500025 
 135.       3.         35.        37.5        3.                  C029200500026 
 135.       3.         37.5       40.         4.                  C029200500027 
 135.       3.         40.        42.5        1.5                 C029200500028 
 135.       3.         42.5       45.         4.                  C029200500029 
 135.       3.         45.        47.5        8.                  C029200500030 
 135.       3.         47.5       50.         2.                  C029200500031 
 135.       3.         50.        55.         1.5                 C029200500032 
 135.       3.         60.        65.         0.5                 C029200500033 
 135.       3.         80.        82.5        0.5                 C029200500034 
  90.       5.          5.         7.5        7.                  C029200500035 
  90.       5.          7.5       10.        13.                  C029200500036 
  90.       5.         10.        12.5       24.                  C029200500037 
  90.       5.         12.5       15.        16.                  C029200500038 
  90.       5.         15.        17.5       20.                  C029200500039 
  90.       5.         17.5       20.        17.                  C029200500040 
  90.       5.         20.        22.5       18.5                 C029200500041 
  90.       5.         22.5       25.        14.                  C029200500042 
  90.       5.         25.        27.5       13.                  C029200500043 
  90.       5.         27.5       30.         7.                  C029200500044 
  90.       5.         30.        32.5        6.5                 C029200500045 
  90.       5.         32.5       35.         7.5                 C029200500046 
  90.       5.         35.        37.5        6.                  C029200500047 
  90.       5.         37.5       40.        10.                  C029200500048 
  90.       5.         40.        42.5        4.5                 C029200500049 
  90.       5.         42.5       45.         3.                  C029200500050 
  90.       5.         45.        47.5        3.5                 C029200500051 
  90.       5.         47.5       50.         2.5                 C029200500052 
  90.       5.         50.        52.5        1.5                 C029200500053 
  90.       5.         52.5       55.         1.                  C029200500054 
  90.       5.         55.        57.5        1.5                 C029200500055 
  90.       5.         57.5       60.         1.                  C029200500056 
  90.       5.         62.5       65.         1.                  C029200500057 
  90.       5.         67.5       70.         1.                  C029200500058 
  90.       5.         72.5       75.         2.                  C029200500059 
  45.       3.          5.         7.5        2.                  C029200500060 
  45.       3.          7.5       10.         5.5                 C029200500061 
  45.       3.         10.        12.5        8.                  C029200500062 
  45.       3.         12.5       15.        13.                  C029200500063 
  45.       3.         15.        17.5       16.                  C029200500064 
  45.       3.         17.5       20.        14.                  C029200500065 
  45.       3.         20.        22.5       18.                  C029200500066 
  45.       3.         22.5       25.        13.                  C029200500067 
  45.       3.         25.        27.5       15.                  C029200500068 
  45.       3.         27.5       30.        14.                  C029200500069 
  45.       3.         30.        32.5        7.                  C029200500070 
  45.       3.         32.5       35.         9.5                 C029200500071 
  45.       3.         35.        37.5        9.                  C029200500072 
  45.       3.         37.5       40.         7.                  C029200500073 
  45.       3.         40.        42.5        5.5                 C029200500074 
  45.       3.         42.5       45.         4.                  C029200500075 
  45.       3.         45.        47.5        7.                  C029200500076 
  45.       3.         47.5       50.         2.                  C029200500077 
  45.       3.         50.        52.5        3.5                 C029200500078 
  45.       3.         52.5       55.         3.                  C029200500079 
  45.       3.         55.        60.         2.                  C029200500080 
  45.       3.         60.        62.5        1.                  C029200500081 
  45.       3.         62.5       65.         1.5                 C029200500082 
  45.       3.         65.        67.5        2.                  C029200500083 
