ENTRY            C2186   20160404                             C158C2186  0    1 
SUBENT        C2186001   20160404                             C158C2186  1    1 
BIB                 13         36                                 C2186  1    2 
TITLE      Estimation of double differential angle-dependent      C2186  1    3 
            neutron production cross sections from tritons on     C2186  1    4 
            197Au at energies from 5.97 to 19.14 MeV              C2186  1    5 
AUTHOR     (M.Drosg, B.Hoop)                                      C2186  1    6 
INSTITUTE  (2AUSVIE)                                              C2186  1    7 
           (1USAUSA) Walden University, Minneapolis               C2186  1    8 
REFERENCE  (J,NSE,182,563,2016)                                   C2186  1    9 
REL-REF    (N,,M.Drosg,R,IAEA-NDS-87,2005) Rev.9 (May, 2005)      C2186  1   10 
           Description of DROSG-2000v2.21                         C2186  1   11 
EXP-YEAR   (1982)                                                 C2186  1   12 
FACILITY   (VDGT,1USALAS) LANL Ion Beam Facility (IBF)            C2186  1   13 
SAMPLE     Gas target (0.49 mg/cm2) in a cell (3.0 cm length)     C2186  1   14 
            with a molybdenum entrance window (5.3 mg/cm2) and a  C2186  1   15 
            gold beam stop (0.076 cm thick)                       C2186  1   16 
           The effective gold target thickness is the depth in    C2186  1   17 
            gold at which the triton beam has lost the same       C2186  1   18 
            amount of energy as in the gas of the gas-filled cell.C2186  1   19 
DETECTOR   (SCIN) 2" x 2" liquid  scintillator (NE213).           C2186  1   20 
           Efficiency at two pulse-height biases (minimum between C2186  1   21 
            25 keV and 60 keV peak in 241Am gamma spectrum,       C2186  1   22 
            Compton edge of 137Cs) was determined by              C2186  1   23 
           1) measuring 2H(t,n)4He and 1H(t,n)3He neutron yields  C2186  1   24 
            at about 30 neutron energies between 2.2 and 36.9 MeV;C2186  1   25 
           2) comparing them with DROSG-2000v2.21                 C2186  1   26 
METHOD     (TOF) Flight path of 3.61 m, the total time resolution C2186  1   27 
            of 2.1 nsec (FWHM of prompt gamma-ray peak)           C2186  1   28 
CORRECTION Corrections for the neutron interaction in gold, in    C2186  1   29 
            the target structure and in the air of the flight     C2186  1   30 
            path were obtained by means of a Monte Carlo          C2186  1   31 
            technique.                                            C2186  1   32 
STATUS     (APRVD) Corrected and approved by Manfred Drosg        C2186  1   33 
            (2015-10-04)                                          C2186  1   34 
HISTORY    (20150920R) Data received from Manfred Drosg           C2186  1   35 
           (20151002C) On                                         C2186  1   36 
           (20151004A) Corrected by Manfred Drosg                 C2186  1   37 
           (20160404U) On. REFERENCE: NSE vol#, page#, year added.C2186  1   38 
ENDBIB              36          0                                 C2186  1   39 
COMMON               2          3                                 C2186  1   40 
EN-ERR     ANG-ERR                                                C2186  1   41 
MEV        ADEG                                                   C2186  1   42 
 0.02       0.1                                                   C2186  1   43 
ENDCOMMON            3          0                                 C2186  1   44 
ENDSUBENT           43          0                                 C2186  199999 
SUBENT        C2186002   20151004                             C153C2186  2    1 
BIB                  4         10                                 C2186  2    2 
REACTION   (79-AU-197(T,X)0-NN-1,,DA/DE,,,DERIV)                  C2186  2    3 
ANALYSIS   The neutron yield for Au was obtained by the ratio     C2186  2    4 
            between the spectrum of the empty cell and that of    C2186  2    5 
            a cell filled with hydrogen multiplied by the factor  C2186  2    6 
             [m(Au)*dE(Au)]/[m(H)*dE(H)],                         C2186  2    7 
            where m and dE are the molar mass and energy loss,    C2186  2    8 
             respectively.                                        C2186  2    9 
ERR-ANALYS (ERR-S) Counting statistics                            C2186  2   10 
           (ERR-SYS) Scale uncertainty                            C2186  2   11 
STATUS     (TABLE) Data received from Manfred Drosg               C2186  2   12 
ENDBIB              10          0                                 C2186  2   13 
NOCOMMON             0          0                                 C2186  2   14 
DATA                 6       2215                                 C2186  2   15 
EN         ANG        E          DATA       ERR-S      ERR-SYS    C2186  2   16 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV  PER-CENT   C2186  2   17 
  5.97         0.1      0.5750     11.6930   0.6289     40.8      C2186  2   18 
  5.97         0.1      0.7250     10.9818   0.5465     40.8      C2186  2   19 
  5.97         0.1      0.8750     11.1723   0.5307     40.8      C2186  2   20 
  5.97         0.1      1.0250     10.1882   0.4976     40.8      C2186  2   21 
  5.97         0.1      1.1750     10.3889   0.5002     40.8      C2186  2   22 
  5.97         0.1      1.3250      8.8220   0.4590     40.8      C2186  2   23 
  5.97         0.1      1.4750      8.3966   0.4523     40.8      C2186  2   24 
  5.97         0.1      1.6250      7.1524   0.4205     40.8      C2186  2   25 
  5.97         0.1      1.7750      6.8484   0.4145     40.8      C2186  2   26 
  5.97         0.1      1.9250      6.5566   0.4085     40.8      C2186  2   27 
  5.97         0.1      2.1000      6.2706   0.3493     40.8      C2186  2   28 
  5.97         0.1      2.3000      5.4480   0.3298     40.8      C2186  2   29 
  5.97         0.1      2.5000      4.6216   0.3071     40.8      C2186  2   30 
  5.97         0.1      2.7000      4.3229   0.3003     40.8      C2186  2   31 
  5.97         0.1      2.9000      4.5054   0.3104     40.8      C2186  2   32 
  5.97         0.1      3.1000      4.4945   0.3138     40.8      C2186  2   33 
  5.97         0.1      3.3000      3.5855   0.0507     40.8      C2186  2   34 
  5.97         0.1      3.5000      3.4361   0.0479     40.8      C2186  2   35 
  5.97         0.1      3.7000      2.6110   0.0180     40.8      C2186  2   36 
  5.97         0.1      3.9000      2.6423   0.0219     40.8      C2186  2   37 
  5.97         0.1      4.1250      1.8744   0.0195     40.8      C2186  2   38 
  5.97         0.1      4.3750      1.7015   0.0133     40.8      C2186  2   39 
  5.97         0.1      4.6250      1.6766   0.1879     40.8      C2186  2   40 
  5.97         0.1      4.8750      1.8527   0.2003     40.8      C2186  2   41 
  5.97         0.1      5.1250      1.5135   0.1828     40.8      C2186  2   42 
  5.97         0.1      5.3750      1.2619   0.1683     40.8      C2186  2   43 
  5.97         0.1      5.6250      1.2334   0.1450     40.8      C2186  2   44 
  5.97         0.1      5.8750      1.1873   0.1761     40.8      C2186  2   45 
  5.97         0.1      6.1250      1.1454   0.1776     40.8      C2186  2   46 
  5.97         0.1      6.3750      1.0882   0.1619     40.8      C2186  2   47 
  5.97         0.1      6.6250      0.8766   0.1473     40.8      C2186  2   48 
  5.97         0.1      6.8750      0.7345   0.1375     40.8      C2186  2   49 
  5.97         0.1      7.1250      0.6832   0.1281     40.8      C2186  2   50 
  5.97         0.1      7.3750      0.6537   0.1270     40.8      C2186  2   51 
  5.97         0.1      7.6250      0.6232   0.1436     40.8      C2186  2   52 
  5.97         0.1      7.8750      0.4728   0.1228     40.8      C2186  2   53 
  5.97         0.1      8.1500      0.3612   0.0762     40.8      C2186  2   54 
  5.97         0.1      8.4500      0.3254   0.0891     40.8      C2186  2   55 
  5.97         0.1      8.7500      0.3094   0.0876     40.8      C2186  2   56 
  5.97         0.1      9.0500      0.1830   0.0674     40.8      C2186  2   57 
  5.97         0.1      9.3500      0.2050   0.0706     40.8      C2186  2   58 
  5.97         0.1      9.6500      0.2664   0.0815     40.8      C2186  2   59 
  5.97         0.1      9.9500      0.1613   0.0645     40.8      C2186  2   60 
  5.97         0.1     10.2500      0.1781   0.0687     40.8      C2186  2   61 
  5.97         0.1     10.5500      0.2905   0.0876     40.8      C2186  2   62 
  5.97         0.1     10.8500      0.1781   0.0679     40.8      C2186  2   63 
  5.97         0.1     11.1500      0.1709   0.0664     40.8      C2186  2   64 
  5.97         0.1     11.4500      0.1067   0.0523     40.8      C2186  2   65 
  5.97         0.1     11.7500      0.0875   0.0477     40.8      C2186  2   66 
  5.97         0.1     12.0500      0.0810   0.0453     40.8      C2186  2   67 
  5.97         0.1     12.3500      0.1302   0.0570     40.8      C2186  2   68 
  5.97        14.9      0.5750      9.9979   0.5820     40.8      C2186  2   69 
  5.97        14.9      0.7250     11.1073   0.5478     40.8      C2186  2   70 
  5.97        14.9      0.8750     10.6858   0.5204     40.8      C2186  2   71 
  5.97        14.9      1.0250     10.7632   0.5106     40.8      C2186  2   72 
  5.97        14.9      1.1750     10.9331   0.5162     40.8      C2186  2   73 
  5.97        14.9      1.3250      8.5331   0.4541     40.8      C2186  2   74 
  5.97        14.9      1.4750      7.6709   0.4334     40.8      C2186  2   75 
  5.97        14.9      1.6250      7.2119   0.4228     40.8      C2186  2   76 
  5.97        14.9      1.7750      7.1311   0.4233     40.8      C2186  2   77 
  5.97        14.9      1.9250      7.0009   0.4230     40.8      C2186  2   78 
  5.97        14.9      2.1000      5.8177   0.3371     40.8      C2186  2   79 
  5.97        14.9      2.3000      4.4130   0.2970     40.8      C2186  2   80 
  5.97        14.9      2.5000      4.6760   0.3091     40.8      C2186  2   81 
  5.97        14.9      2.7000      4.2084   0.2972     40.8      C2186  2   82 
  5.97        14.9      2.9000      4.0898   0.0025     40.8      C2186  2   83 
  5.97        14.9      3.1000      4.0699   0.0051     40.8      C2186  2   84 
  5.97        14.9      3.3000      3.2621   0.0044     40.8      C2186  2   85 
  5.97        14.9      3.5000      3.1472   0.0015     40.8      C2186  2   86 
  5.97        14.9      3.7000      2.3891   0.0026     40.8      C2186  2   87 
  5.97        14.9      3.9000      2.4041   0.0013     40.8      C2186  2   88 
  5.97        14.9      4.1250      1.7005   0.0040     40.8      C2186  2   89 
  5.97        14.9      4.3750      1.5454   0.0030     40.8      C2186  2   90 
  5.97        14.9      4.6250      1.4951   0.1781     40.8      C2186  2   91 
  5.97        14.9      4.8750      1.4180   0.1756     40.8      C2186  2   92 
  5.97        14.9      5.1250      1.0498   0.1529     40.8      C2186  2   93 
  5.97        14.9      5.3750      0.8184   0.1365     40.8      C2186  2   94 
  5.97        14.9      5.6250      0.9944   0.1516     40.8      C2186  2   95 
  5.97        14.9      5.8750      0.9124   0.1469     40.8      C2186  2   96 
  5.97        14.9      6.1250      1.0501   0.1596     40.8      C2186  2   97 
  5.97        14.9      6.3750      0.8678   0.1459     40.8      C2186  2   98 
  5.97        14.9      6.6250      0.5113   0.0942     40.8      C2186  2   99 
  5.97        14.9      6.8750      0.4725   0.1168     40.8      C2186  2  100 
  5.97        14.9      7.1250      0.4694   0.1183     40.8      C2186  2  101 
  5.97        14.9      7.3750      0.4976   0.1224     40.8      C2186  2  102 
  5.97        14.9      7.6250      0.4684   0.1123     40.8      C2186  2  103 
  5.97        14.9      7.8750      0.3205   0.0922     40.8      C2186  2  104 
  5.97        14.9      8.1500      0.3938   0.0946     40.8      C2186  2  105 
  5.97        14.9      8.4500      0.4199   0.1012     40.8      C2186  2  106 
  5.97        14.9      8.7500      0.2605   0.0807     40.8      C2186  2  107 
  5.97        14.9      9.0500      0.2338   0.0764     40.8      C2186  2  108 
  5.97        14.9      9.3500      0.2858   0.0835     40.8      C2186  2  109 
  5.97        14.9      9.6500      0.0766   0.0435     40.8      C2186  2  110 
  5.97        14.9      9.9500      0.1344   0.0590     40.8      C2186  2  111 
  5.97        14.9     10.2500      0.1846   0.0698     40.8      C2186  2  112 
  5.97        14.9     10.5500      0.2351   0.0786     40.8      C2186  2  113 
  5.97        14.9     10.8500      0.1401   0.0600     40.8      C2186  2  114 
  5.97        14.9     11.1500      0.0285   0.0269     40.8      C2186  2  115 
  5.97        14.9     11.4500      0.0979   0.0503     40.8      C2186  2  116 
  5.97        14.9     11.7500      0.0614   0.0395     40.8      C2186  2  117 
  5.97        14.9     12.0500      0.0238   0.0245     40.8      C2186  2  118 
  5.97        14.9     12.3500      0.0184   0.0215     40.8      C2186  2  119 
  5.97        30.0      0.5750     11.1097   0.6157     40.8      C2186  2  120 
  5.97        30.0      0.7250     11.1469   0.5494     40.8      C2186  2  121 
  5.97        30.0      0.8750     11.6697   0.5408     40.8      C2186  2  122 
  5.97        30.0      1.0250     10.8987   0.5142     40.8      C2186  2  123 
  5.97        30.0      1.1750     10.8003   0.5124     40.8      C2186  2  124 
  5.97        30.0      1.3250      8.6377   0.4562     40.8      C2186  2  125 
  5.97        30.0      1.4750      8.0344   0.4445     40.8      C2186  2  126 
  5.97        30.0      1.6250      7.4915   0.4290     40.8      C2186  2  127 
  5.97        30.0      1.7750      6.3086   0.3951     40.8      C2186  2  128 
  5.97        30.0      1.9250      5.7522   0.3816     40.8      C2186  2  129 
  5.97        30.0      2.1000      5.1739   0.3456     40.8      C2186  2  130 
  5.97        30.0      2.3000      4.5610   0.3925     40.8      C2186  2  131 
  5.97        30.0      2.5000      4.0109   0.3014     40.8      C2186  2  132 
  5.97        30.0      2.7000      3.5205   0.2577     40.8      C2186  2  133 
  5.97        30.0      2.9000      3.0874   0.2573     40.8      C2186  2  134 
  5.97        30.0      3.1000      3.1420   0.2625     40.8      C2186  2  135 
  5.97        30.0      3.3000      2.4893   0.2359     40.8      C2186  2  136 
  5.97        30.0      3.5000      2.3948   0.2343     40.8      C2186  2  137 
  5.97        30.0      3.7000      1.8307   0.2081     40.8      C2186  2  138 
  5.97        30.0      3.9000      1.8612   0.2130     40.8      C2186  2  139 
  5.97        30.0      4.1250      1.3191   0.1628     40.8      C2186  2  140 
  5.97        30.0      4.3750      1.1896   0.1567     40.8      C2186  2  141 
  5.97        30.0      4.6250      1.5417   0.1806     40.8      C2186  2  142 
  5.97        30.0      4.8750      1.1368   0.1568     40.8      C2186  2  143 
  5.97        30.0      5.1250      0.9849   0.1478     40.8      C2186  2  144 
  5.97        30.0      5.3750      0.8619   0.1398     40.8      C2186  2  145 
  5.97        30.0      5.6250      0.7917   0.1209     40.8      C2186  2  146 
  5.97        30.0      5.8750      0.7630   0.1387     40.8      C2186  2  147 
  5.97        30.0      6.1250      0.7244   0.1497     40.8      C2186  2  148 
  5.97        30.0      6.3750      0.6770   0.1177     40.8      C2186  2  149 
  5.97        30.0      6.6250      0.6602   0.1282     40.8      C2186  2  150 
  5.97        30.0      6.8750      0.4860   0.1119     40.8      C2186  2  151 
  5.97        30.0      7.1250      0.4047   0.1035     40.8      C2186  2  152 
  5.97        30.0      7.3750      0.2962   0.0721     40.8      C2186  2  153 
  5.97        30.0      7.6250      0.2558   0.0982     40.8      C2186  2  154 
  5.97        30.0      7.8750      0.2493   0.0620     40.8      C2186  2  155 
  5.97        30.0      8.1500      0.2439   0.0664     40.8      C2186  2  156 
  5.97        30.0      8.4500      0.2700   0.1024     40.8      C2186  2  157 
  5.97        30.0      8.7500      0.2185   0.0786     40.8      C2186  2  158 
  5.97        30.0      9.0500      0.1543   0.0568     40.8      C2186  2  159 
  5.97        30.0      9.3500      0.1113   0.0523     40.8      C2186  2  160 
  5.97        30.0      9.6500      0.1209   0.0550     40.8      C2186  2  161 
  5.97        30.0      9.9500      0.1458   0.0613     40.8      C2186  2  162 
  5.97        30.0     10.2500      0.1043   0.0525     40.8      C2186  2  163 
  5.97        30.0     10.5500      0.1732   0.0676     40.8      C2186  2  164 
  5.97        30.0     10.8500      0.1199   0.0558     40.8      C2186  2  165 
  5.97        30.0     11.1500      0.1235   0.0565     40.8      C2186  2  166 
  5.97        30.0     11.4500      0.0645   0.0411     40.8      C2186  2  167 
  5.97        30.0     11.7500      0.0181   0.0218     40.8      C2186  2  168 
  5.97        30.0     12.0500      0.0005   0.0005     40.8      C2186  2  169 
  5.97        30.0     12.3500      0.0041   0.0104     40.8      C2186  2  170 
  5.97        60.2      0.5750     12.7625   0.9292     40.8      C2186  2  171 
  5.97        60.2      0.7250     12.3244   0.8111     40.8      C2186  2  172 
  5.97        60.2      0.8750     11.3106   0.7487     40.8      C2186  2  173 
  5.97        60.2      1.0250     11.6546   0.7485     40.8      C2186  2  174 
  5.97        60.2      1.1750     12.4968   0.7744     40.8      C2186  2  175 
  5.97        60.2      1.3250     10.4422   0.7071     40.8      C2186  2  176 
  5.97        60.2      1.4750      8.1512   0.6286     40.8      C2186  2  177 
  5.97        60.2      1.6250      9.1091   0.6680     40.8      C2186  2  178 
  5.97        60.2      1.7750      8.4487   0.6480     40.8      C2186  2  179 
  5.97        60.2      1.9250      7.2023   0.6032     40.8      C2186  2  180 
  5.97        60.2      2.1000      7.3036   0.5307     40.8      C2186  2  181 
  5.97        60.2      2.3000      5.3836   0.4601     40.8      C2186  2  182 
  5.97        60.2      2.5000      6.0665   0.4940     40.8      C2186  2  183 
  5.97        60.2      2.7000      4.8114   0.4461     40.8      C2186  2  184 
  5.97        60.2      2.9000      3.7437   0.3997     40.8      C2186  2  185 
  5.97        60.2      3.1000      2.8313   0.3521     40.8      C2186  2  186 
  5.97        60.2      3.3000      2.1898   0.3128     40.8      C2186  2  187 
  5.97        60.2      3.5000      2.1520   0.3128     40.8      C2186  2  188 
  5.97        60.2      3.7000      1.3219   0.2483     40.8      C2186  2  189 
  5.97        60.2      3.9000      1.2950   0.2489     40.8      C2186  2  190 
  5.97        60.2      4.1250      1.1376   0.2110     40.8      C2186  2  191 
  5.97        60.2      4.3750      1.0056   0.2006     40.8      C2186  2  192 
  5.97        60.2      4.6250      0.8394   0.1860     40.8      C2186  2  193 
  5.97        60.2      4.8750      0.6933   0.1718     40.8      C2186  2  194 
  5.97        60.2      5.1250      0.9675   0.2050     40.8      C2186  2  195 
  5.97        60.2      5.3750      0.6856   0.1751     40.8      C2186  2  196 
  5.97        60.2      5.6250      0.7959   0.1909     40.8      C2186  2  197 
  5.97        60.2      5.8750      0.4782   0.1496     40.8      C2186  2  198 
  5.97        60.2      6.1250      0.4787   0.1513     40.8      C2186  2  199 
  5.97        60.2      6.3750      0.5476   0.1627     40.8      C2186  2  200 
  5.97        60.2      6.6250      0.6229   0.1758     40.8      C2186  2  201 
  5.97        60.2      6.8750      0.2545   0.1143     40.8      C2186  2  202 
  5.97        60.2      7.1250      0.2351   0.1118     40.8      C2186  2  203 
  5.97        60.2      7.3750      0.1546   0.0911     40.8      C2186  2  204 
  5.97        60.2      7.6250      0.1395   0.0664     40.8      C2186  2  205 
  5.97        60.2      7.8750      0.0997   0.0613     40.8      C2186  2  206 
  5.97        60.2      8.1500      0.1072   0.0482     40.8      C2186  2  207 
  5.97        60.2      8.4500      0.0914   0.1069     40.8      C2186  2  208 
  5.97        60.2      8.7500      0.0872   0.0546     40.8      C2186  2  209 
  5.97        60.2      9.0500      0.0893   0.0601     40.8      C2186  2  210 
  5.97        60.2      9.3500      0.1240   0.0776     40.8      C2186  2  211 
  5.97        60.2      9.6500      0.1711   0.1035     40.8      C2186  2  212 
  5.97        60.2      9.9500      0.1502   0.0873     40.8      C2186  2  213 
  5.97        60.2     10.2500      0.0621   0.0571     40.8      C2186  2  214 
  5.97        60.2     10.5500      0.0593   0.0552     40.8      C2186  2  215 
  5.97        60.2     10.8500      0.0443   0.0477     40.8      C2186  2  216 
  5.97        60.2     11.1500      0.0135   0.0263     40.8      C2186  2  217 
  5.97        60.2     11.4500      0.0339   0.0423     40.8      C2186  2  218 
  5.97        60.2     11.7500      0.0005   0.0006     40.8      C2186  2  219 
  5.97        60.2     12.0500      0.0010   0.0005     40.8      C2186  2  220 
  5.97        60.2     12.3500      0.0010   0.0005     40.8      C2186  2  221 
  5.97        90.1      0.5750     10.7389   0.9098     40.8      C2186  2  222 
  5.97        90.1      0.7250     11.6968   0.8456     40.8      C2186  2  223 
  5.97        90.1      0.8750     12.3480   0.8334     40.8      C2186  2  224 
  5.97        90.1      1.0250     10.4754   0.7547     40.8      C2186  2  225 
  5.97        90.1      1.1750     11.4149   0.7896     40.8      C2186  2  226 
  5.97        90.1      1.3250     10.0821   0.7420     40.8      C2186  2  227 
  5.97        90.1      1.4750      9.8905   0.7340     40.8      C2186  2  228 
  5.97        90.1      1.6250      8.1737   0.6737     40.8      C2186  2  229 
  5.97        90.1      1.7750      7.5749   0.6550     40.8      C2186  2  230 
  5.97        90.1      1.9250      6.8676   0.6291     40.8      C2186  2  231 
  5.97        90.1      2.1000      6.0549   0.5168     40.8      C2186  2  232 
  5.97        90.1      2.3000      4.8554   0.4681     40.8      C2186  2  233 
  5.97        90.1      2.5000      5.4263   0.4994     40.8      C2186  2  234 
  5.97        90.1      2.7000      3.9550   0.4321     40.8      C2186  2  235 
  5.97        90.1      2.9000      3.4869   0.4114     40.8      C2186  2  236 
  5.97        90.1      3.1000      3.5120   0.4199     40.8      C2186  2  237 
  5.97        90.1      3.3000      2.4220   0.3557     40.8      C2186  2  238 
  5.97        90.1      3.5000      1.9166   0.3200     40.8      C2186  2  239 
  5.97        90.1      3.7000      1.3471   0.2625     40.8      C2186  2  240 
  5.97        90.1      3.9000      1.5656   0.2731     40.8      C2186  2  241 
  5.97        90.1      4.1250      1.1389   0.2056     40.8      C2186  2  242 
  5.97        90.1      4.3750      0.8334   0.1799     40.8      C2186  2  243 
  5.97        90.1      4.6250      1.0227   0.2013     40.8      C2186  2  244 
  5.97        90.1      4.8750      0.7912   0.1793     40.8      C2186  2  245 
  5.97        90.1      5.1250      0.4513   0.1371     40.8      C2186  2  246 
  5.97        90.1      5.3750      0.5380   0.1511     40.8      C2186  2  247 
  5.97        90.1      5.6250      0.5564   0.1556     40.8      C2186  2  248 
  5.97        90.1      5.8750      0.5188   0.1544     40.8      C2186  2  249 
  5.97        90.1      6.1250      0.3801   0.1357     40.8      C2186  2  250 
  5.97        90.1      6.3750      0.2478   0.1082     40.8      C2186  2  251 
