ENTRY            C1821   20101122                             C104C182100000001 
SUBENT        C1821001   20101122                             C104C182100100001 
BIB                 10         21                                 C182100100002 
TITLE      Spin assignments to excited states in 22Na through a   C182100100003 
           24Mg(p,3He) 22Na reaction measurement                  C182100100004 
AUTHOR     (K.Y.Chae,D.W.Bardayan,J.C.Blackmon,K.A.Chipps,        C182100100005 
           R.Hatarik,K.L.Jones,R.L.Kozub,J.F.Liang,C.Matei,       C182100100006 
           B.H.Moazen,C.D.Nesaraja,P.D.O'Malley,S.D.Pain,         C182100100007 
           S.T.Pittman,M.S.Smith)                                 C182100100008 
INSTITUTE  (1USAORL,1USATEN,1USACSM,1USARUT,1USATTU,1USAOAU)      C182100100009 
REFERENCE  (J,PR/C,82,047302,2010)                                C182100100010 
FACILITY   (VDGT,1USAORL)                                         C182100100011 
SAMPLE     Isotopically enriched (99.9%) 24Mg foils with          C182100100012 
           thickness of 500 mu-g/cm2                              C182100100013 
DETECTOR   (SI)Large area annular silicon detector array          C182100100014 
           SIDAR, configured with 100 mu-m dE detectors           C182100100015 
           backed by 1000-mu-m E detectors arranged in a          C182100100016 
           "lampshade" configuration to cover a large angular     C182100100017 
           range.The angles covered by SIDAR were between 18deg   C182100100018 
           and 48deg for E=41MeV and between 27deg and 69deg      C182100100019 
           for E=41.5 MeV                                         C182100100020 
METHOD     (EDE)                                                  C182100100021 
ERR-ANALYS (ERR-S) Statistical uncertainty                        C182100100022 
HISTORY    (20101122C) Compiled by S.H.                           C182100100023 
ENDBIB              21          0                                 C182100100024 
NOCOMMON             0          0                                 C182100100025 
ENDSUBENT           24          0                                 C182100199999 
SUBENT        C1821002   20101122                             C104C182100200001 
BIB                  3          4                                 C182100200002 
REACTION   (12-MG-24(P,HE3)11-NA-22,PAR,DA,,REL)                  C182100200003 
STATUS     (TABLE) Data presented in fig. 3 of the reference      C182100200004 
           sent by author (K.Y.Ch.)                               C182100200005 
EN-SEC     (E-LVL,11-NA-22)                                       C182100200006 
ENDBIB               4          0                                 C182100200007 
NOCOMMON             0          0                                 C182100200008 
DATA                 5        179                                 C182100200009 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 C182100200010 
KEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             C182100200011 
   1936.0     41.0       19.90      1.79E-01   2.48E-03           C182100200012 
   1936.0     41.0       21.87      2.94E-01   4.83E-03           C182100200013 
   1936.0     41.0       23.84      3.53E-01   5.54E-03           C182100200014 
   1936.0     41.0       25.92      3.90E-01   4.39E-03           C182100200015 
   1936.0     41.0       27.99      4.07E-01   4.73E-03           C182100200016 
   1936.0     41.0       30.07      3.73E-01   4.78E-03           C182100200017 
   1936.0     41.0       32.24      3.30E-01   4.69E-03           C182100200018 
   1936.0     41.0       34.42      2.64E-01   4.40E-03           C182100200019 
   1936.0     41.0       36.70      2.03E-01   4.01E-03           C182100200020 
   1936.0     41.0       38.86      1.42E-01   3.45E-03           C182100200021 
   1936.0     41.0       41.13      9.51E-02   2.93E-03           C182100200022 
   1936.0     41.0       43.40      6.36E-02   2.49E-03           C182100200023 
   1936.0     41.0       45.66      4.65E-02   2.19E-03           C182100200024 
   1936.0     41.0       47.92      4.01E-02   1.96E-03           C182100200025 
   1936.0     41.0       50.27      4.24E-02   1.84E-03           C182100200026 
   1936.0     41.5       32.56      3.16E-01   4.13E-03           C182100200027 
   1936.0     41.5       35.60      2.40E-01   3.39E-03           C182100200028 
   1936.0     41.5       38.74      1.48E-01   1.77E-03           C182100200029 
   1936.0     41.5       41.88      8.57E-02   1.28E-03           C182100200030 
   1936.0     41.5       45.00      5.44E-02   9.84E-04           C182100200031 
   1936.0     41.5       48.12      3.99E-02   8.04E-04           C182100200032 
   1936.0     41.5       51.22      4.46E-02   1.18E-03           C182100200033 
   1936.0     41.5       54.21      5.24E-02   1.25E-03           C182100200034 
   1936.0     41.5       57.29      5.52E-02   8.79E-04           C182100200035 
   1936.0     41.5       60.15      5.59E-02   8.71E-04           C182100200036 
   1936.0     41.5       63.00      4.77E-02   1.11E-03           C182100200037 
   1936.0     41.5       65.84      4.12E-02   1.05E-03           C182100200038 
   1936.0     41.5       68.66      2.54E-02   8.37E-04           C182100200039 
   2575.0     41.0       19.90      5.74E-02   2.45E-03           C182100200040 
   2575.0     41.0       21.87      5.40E-02   2.36E-03           C182100200041 
