ENTRY            C0757   20001130                             0000C075700000001 
SUBENT        C0757001   20001130                             0000C075700100001 
BIB                 10         12                                 C075700100002 
INSTITUTE  (1USAWIS)                                              C075700100003 
REFERENCE  (J,PR,88,673,195211)                                   C075700100004 
AUTHOR     (S.G.KAUFMANN,E.GOLDBERG,L.J.KOESTER,F.P.MOORING)      C075700100005 
TITLE      Energy Levels in Si28 Excited by Alpha-Particles on    C075700100006 
            Mg24                                                  C075700100007 
FACILITY   (ACCEL,1USAWIS) Wisconsin electrostatic generator.     C075700100008 
SAMPLE     MgF2 target, enriched in 24Mg, evaporated onto         C075700100009 
            graphite backings. Total energy loss in target 13 keV.C075700100010 
METHOD     (BCINT)                                                C075700100011 
DETECTOR   (PROPC)                                                C075700100012 
ERR-ANALYS No information given on uncertainties.                 C075700100013 
HISTORY    (20001130C) VM                                         C075700100014 
ENDBIB              12          0                                 C075700100015 
COMMON               2          3                                 C075700100016 
EN-RSL-FW  ANG                                                    C075700100017 
PER-CENT   ADEG                                                   C075700100018 
  0.1      164.                                                   C075700100019 
ENDCOMMON            3          0                                 C075700100020 
ENDSUBENT           19          0                                 C075700199999 
SUBENT        C0757002   20001130                             0000C075700200001 
BIB                  2          2                                 C075700200002 
REACTION   (12-MG-24(A,EL)12-MG-24,,DA,,RTH)                      C075700200003 
STATUS     (CURVE) Data downloaded from SIGMABASE Web site.       C075700200004 
ENDBIB               2          0                                 C075700200005 
NOCOMMON             0          0                                 C075700200006 
DATA                 2        163                                 C075700200007 
EN         DATA                                                   C075700200008 
MEV        NO-DIM                                                 C075700200009 
  3.219      0.94                                                 C075700200010 
  3.226      0.96                                                 C075700200011 
  3.235      0.91                                                 C075700200012 
  3.239      0.95                                                 C075700200013 
  3.244      0.95                                                 C075700200014 
  3.247      0.93                                                 C075700200015 
  3.258      0.96                                                 C075700200016 
  3.261      0.94                                                 C075700200017 
  3.265      0.96                                                 C075700200018 
  3.268      0.90                                                 C075700200019 
  3.274      0.92                                                 C075700200020 
  3.279      0.90                                                 C075700200021 
  3.284      0.90                                                 C075700200022 
  3.288      0.84                                                 C075700200023 
  3.291      0.82                                                 C075700200024 
  3.297      0.76                                                 C075700200025 
  3.300      0.66                                                 C075700200026 
  3.304      0.60                                                 C075700200027 
  3.305      0.56                                                 C075700200028 
  3.315      1.45                                                 C075700200029 
  3.315      1.43                                                 C075700200030 
  3.316      1.43                                                 C075700200031 
  3.325      1.25                                                 C075700200032 
  3.332      1.18                                                 C075700200033 
  3.334      1.12                                                 C075700200034 
  3.341      1.11                                                 C075700200035 
  3.344      1.08                                                 C075700200036 
  3.357      1.09                                                 C075700200037 
  3.360      1.08                                                 C075700200038 
  3.364      1.06                                                 C075700200039 
  3.367      1.00                                                 C075700200040 
  3.373      0.99                                                 C075700200041 
  3.378      1.00                                                 C075700200042 
  3.383      0.98                                                 C075700200043 
  3.387      1.01                                                 C075700200044 
  3.390      1.01                                                 C075700200045 
  3.395      1.00                                                 C075700200046 
  3.401      1.02                                                 C075700200047 
  3.406      0.97                                                 C075700200048 
  3.409      0.90                                                 C075700200049 
  3.413      0.90                                                 C075700200050 
  3.417      0.98                                                 C075700200051 
  3.424      1.02                                                 C075700200052 
  3.427      0.98                                                 C075700200053 
  3.432      1.01                                                 C075700200054 
  3.436      0.98                                                 C075700200055 
  3.440      1.01                                                 C075700200056 
  3.447      0.97                                                 C075700200057 
  3.450      0.99                                                 C075700200058 
  3.455      0.93                                                 C075700200059 
  3.459      0.97                                                 C075700200060 
  3.462      0.96                                                 C075700200061 
  3.468      0.96                                                 C075700200062 
  3.471      0.89                                                 C075700200063 
  3.475      0.92                                                 C075700200064 
  3.478      0.87                                                 C075700200065 
  3.480      0.91                                                 C075700200066 
  3.484      0.88                                                 C075700200067 
  3.485      0.83                                                 C075700200068 
  3.487      0.76                                                 C075700200069 
  3.489      0.68                                                 C075700200070 
  3.490      0.64                                                 C075700200071 
  3.492      0.68                                                 C075700200072 
  3.505      1.62                                                 C075700200073 
  3.514      1.40                                                 C075700200074 
  3.522      1.26                                                 C075700200075 
  3.528      1.22                                                 C075700200076 
  3.528      1.16                                                 C075700200077 
  3.529      1.15                                                 C075700200078 
  3.535      1.19                                                 C075700200079 
  3.538      1.14                                                 C075700200080 
  3.542      1.17                                                 C075700200081 
  3.545      1.13                                                 C075700200082 
  3.554      1.11                                                 C075700200083 
  3.559      1.07                                                 C075700200084 
  3.563      1.04                                                 C075700200085 
  3.565      1.01                                                 C075700200086 
  3.568      0.97                                                 C075700200087 
  3.572      0.94                                                 C075700200088 
  3.573      0.97                                                 C075700200089 
  3.581      1.34                                                 C075700200090 
  3.584      1.37                                                 C075700200091 
  3.586      1.34                                                 C075700200092 
  3.593      1.26                                                 C075700200093 
  3.602      1.22                                                 C075700200094 
  3.605      1.21                                                 C075700200095 
  3.609      1.20                                                 C075700200096 
  3.625      1.21                                                 C075700200097 
  3.626      1.14                                                 C075700200098 
  3.628      1.15                                                 C075700200099 
  3.630      1.20                                                 C075700200100 
  3.644      1.18                                                 C075700200101 
  3.653      1.17                                                 C075700200102 
  3.656      1.12                                                 C075700200103 
  3.665      1.19                                                 C075700200104 
  3.670      1.15                                                 C075700200105 
  3.674      1.18                                                 C075700200106 
  3.678      1.15                                                 C075700200107 
  3.683      1.18                                                 C075700200108 
  3.686      1.17                                                 C075700200109 
  3.692      1.16                                                 C075700200110 
  3.697      1.15                                                 C075700200111 
  3.702      1.15                                                 C075700200112 
  3.706      1.15                                                 C075700200113 
  3.709      1.19                                                 C075700200114 
  3.715      1.14                                                 C075700200115 
  3.723      1.21                                                 C075700200116 
  3.741      1.16                                                 C075700200117 
  3.746      1.18                                                 C075700200118 
  3.750      1.19                                                 C075700200119 
  3.753      1.20                                                 C075700200120 
  3.757      1.20                                                 C075700200121 
  3.762      1.19                                                 C075700200122 
  3.767      1.24                                                 C075700200123 
  3.773      1.23                                                 C075700200124 
  3.783      1.22                                                 C075700200125 
  3.787      1.19                                                 C075700200126 
  3.794      1.22                                                 C075700200127 
  3.797      1.11                                                 C075700200128 
  3.799      1.09                                                 C075700200129 
  3.805      1.57                                                 C075700200130 
  3.808      1.69                                                 C075700200131 
  3.810      1.71                                                 C075700200132 
  3.812      1.70                                                 C075700200133 
  3.822      1.04                                                 C075700200134 
  3.826      0.96                                                 C075700200135 
  3.829      0.88                                                 C075700200136 
  3.831      0.84                                                 C075700200137 
  3.834      0.90                                                 C075700200138 
  3.840      0.93                                                 C075700200139 
  3.845      0.99                                                 C075700200140 
  3.850      0.97                                                 C075700200141 
  3.852      1.04                                                 C075700200142 
  3.857      1.04                                                 C075700200143 
  3.863      1.06                                                 C075700200144 
  3.868      1.12                                                 C075700200145 
  3.871      1.10                                                 C075700200146 
  3.875      1.10                                                 C075700200147 
  3.878      1.10                                                 C075700200148 
  3.884      1.11                                                 C075700200149 
  3.889      1.11                                                 C075700200150 
  3.893      1.13                                                 C075700200151 
  3.898      1.10                                                 C075700200152 
  3.901      1.10                                                 C075700200153 
  3.905      1.14                                                 C075700200154 
  3.910      1.16                                                 C075700200155 
  3.919      1.09                                                 C075700200156 
  3.933      1.17                                                 C075700200157 
  3.938      1.12                                                 C075700200158 
  3.942      1.14                                                 C075700200159 
  3.945      1.11                                                 C075700200160 
  3.949      1.16                                                 C075700200161 
  3.954      1.16                                                 C075700200162 
  3.960      1.15                                                 C075700200163 
  3.961      1.11                                                 C075700200164 
  3.967      1.08                                                 C075700200165 
  3.970      1.12                                                 C075700200166 
  3.975      1.07                                                 C075700200167 
  3.977      1.12                                                 C075700200168 
  3.982      1.11                                                 C075700200169 
  3.990      1.09                                                 C075700200170 
  3.993      1.11                                                 C075700200171 
  4.000      1.12                                                 C075700200172 
ENDDATA            165          0                                 C075700200173 
ENDSUBENT          172          0                                 C075700299999 
SUBENT        C0757003   20001130                             0000C075700300001 
BIB                  3          3                                 C075700300002 
REACTION   (12-MG-24(A,P)13-AL-27,,DA,,REL)                       C075700300003 
SAMPLE      Total energy loss in target 13 keV.                   C075700300004 
STATUS     (UNOBT) Data given in Fig. 2 of reference.             C075700300005 
ENDBIB               3          0                                 C075700300006 
NOCOMMON             0          0                                 C075700300007 
NODATA               0          0                                 C075700300008 
ENDSUBENT            7          0                                 C075700399999 
ENDENTRY             3          0                                 C075799999999 
