ENTRY            C2201   20160111                             C160C2201  0    1 
SUBENT        C2201001   20160111                             C160C2201  1    1 
BIB                 12         39                                 C2201  1    2 
TITLE      Double-differential angle-dependent three-body         C2201  1    3 
           neutron production cross sections of the reaction      C2201  1    4 
           2H(t,n)X+Y at triton energies between 5.97 and 16.41   C2201  1    5 
           MeV                                                    C2201  1    6 
AUTHOR     (M.Drosg,G.Haouat,D.M.Drake)                           C2201  1    7 
INSTITUTE  (2AUSVIE,2FR BRC,1USALAS)                              C2201  1    8 
REFERENCE  (J,NSE,183,298,2016)                                   C2201  1    9 
           #doi:10.13182/NSE15-118                                C2201  1   10 
FACILITY   (VDGT,1USALAS) Experiment was performed at the HVEC    C2201  1   11 
           tandem accelerator of the former Ion Beam Facility at  C2201  1   12 
           Los Alamos National Laboratory                         C2201  1   13 
SAMPLE     Deuterium gas targets of 3.0 cm length with an         C2201  1   14 
           entrance foil of 5.3 mg/cm2 molybdenum and a           C2201  1   15 
           beam-stop made of gold 0.076 cm thick were used.       C2201  1   16 
DETECTOR   (SCIN) 2in x 2in liquid scintillator (NE213) was used  C2201  1   17 
           for neutron detection.The energy dependence of the     C2201  1   18 
           efficiency of the neutron detector was determined      C2201  1   19 
           pointwise by measuring neutron yields of the           C2201  1   20 
           reactions 2H(t,n)4He and 1H(t,n)3He and by comparison  C2201  1   21 
           with the well-known cross sections.                    C2201  1   22 
METHOD     (TOF) Time of flight method was used to determine      C2201  1   23 
           neutron energy. The distance between the center of the C2201  1   24 
           gas target and the center of the detector was 3.53 m,  C2201  1   25 
           the total time resolution was 2.1 ns                   C2201  1   26 
CORRECTION Correction for neutron interaction in air on the long  C2201  1   27 
           flight path and in the target structure was made using C2201  1   28 
           neutron transport code MCNPX.                          C2201  1   29 
MONITOR    (1-H-2(T,N)2-HE-4,,DA/DE)                              C2201  1   30 
           (1-H-1(T,N)2-HE-3,,DA/DE)                              C2201  1   31 
ERR-ANALYS (ERR-T) Total uncertainty                              C2201  1   32 
           (ERR-1) Syst. uncertainty in monitor cross section     C2201  1   33 
           (ERR-2) Syst. uncertainty in detector efficiency       C2201  1   34 
           (ERR-3,,1.6) Syst. uncertainty in background           C2201  1   35 
                          subtraction                             C2201  1   36 
           (ERR-4,,3.3) Total systematic uncertainty              C2201  1   37 
           (ERR-5) Uncertainty in target mass                     C2201  1   38 
           (ERR-6) Uncertainty in energy depencence of            C2201  1   39 
                   efficiency (1.5%/10 MeV)                       C2201  1   40 
HISTORY    (20160111C) Compiled by S.H.                           C2201  1   41 
ENDBIB              39          0                                 C2201  1   42 
COMMON               6          3                                 C2201  1   43 
EN-RSL     ANG-ERR    ERR-1      ERR-2      ERR-5      ERR-6      C2201  1   44 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   C2201  1   45 
0.03       0.03       1.5        2.5        0.2        1.5        C2201  1   46 
ENDCOMMON            3          0                                 C2201  1   47 
ENDSUBENT           46          0                                 C2201  199999 
SUBENT        C2201002   20160111                             C160C2201  2    1 
BIB                  2          3                                 C2201  2    2 
REACTION   (1-H-2(T,X)0-NN-1,,DA/DE)                              C2201  2    3 
STATUS     (TABLE) Data presented in figures 1-4 of the reference C2201  2    4 
                   sent by author (M.D.)                          C2201  2    5 
ENDBIB               3          0                                 C2201  2    6 
NOCOMMON             0          0                                 C2201  2    7 
DATA                 5        400                                 C2201  2    8 
EN         ANG-CM     E          DATA       ERR-T                 C2201  2    9 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             C2201  2   10 
       5.97        0.1     0.5750     1.6931  2.040E-01           C2201  2   11 
       5.97        0.1     0.7250     2.3657  1.830E-01           C2201  2   12 
       5.97        0.1     0.8750     4.5426  2.028E-01           C2201  2   13 
       5.97        0.1     1.0250     7.5464  2.261E-01           C2201  2   14 
       5.97        0.1     1.1750     6.5692  2.154E-01           C2201  2   15 
       5.97        0.1     1.3250     2.6530  1.640E-01           C2201  2   16 
       5.97        0.1     1.4750     0.2999  1.265E-01           C2201  2   17 
       5.97        0.1     1.6250     0.0166  1.098E-01           C2201  2   18 
       5.97       15.0     0.5750     0.9261  1.625E-01           C2201  2   19 
       5.97       15.0     0.7250     0.8667  1.514E-01           C2201  2   20 
       5.97       15.0     0.8750     1.3315  1.497E-01           C2201  2   21 
       5.97       15.0     1.0250     0.9718  1.454E-01           C2201  2   22 
       5.97       15.0     1.1750     0.0116  1.283E-01           C2201  2   23 
       7.47        0.1     0.5750     5.6092  2.466E-01           C2201  2   24 
       7.47        0.1     0.7250     4.8822  2.205E-01           C2201  2   25 
       7.47        0.1     0.8750     5.8583  2.206E-01           C2201  2   26 
       7.47        0.1     1.0250     8.6196  2.280E-01           C2201  2   27 
       7.47        0.1     1.1750    12.0986  2.463E-01           C2201  2   28 
       7.47        0.1     1.3250    16.9116  2.605E-01           C2201  2   29 
       7.47        0.1     1.4750    23.8029  2.831E-01           C2201  2   30 
       7.47        0.1     1.6250    31.0841  3.063E-01           C2201  2   31 
       7.47        0.1     1.7750    39.2016  3.322E-01           C2201  2   32 
       7.47        0.1     1.9250    47.8826  3.579E-01           C2201  2   33 
       7.47        0.1     2.1000    55.1946  3.299E-01           C2201  2   34 
       7.47        0.1     2.3000    62.3620  3.489E-01           C2201  2   35 
       7.47        0.1     2.5000    66.5766  3.606E-01           C2201  2   36 
       7.47        0.1     2.7000    47.4487  3.133E-01           C2201  2   37 
       7.47        0.1     2.9000     9.8417  1.669E-01           C2201  2   38 
       7.47        0.1     3.1000     0.0023  9.340E-02           C2201  2   39 
       7.47       14.9     0.5750     5.9332  3.121E-01           C2201  2   40 
       7.47       14.9     0.7250     5.0509  2.689E-01           C2201  2   41 
       7.47       14.9     0.8750     5.6060  2.711E-01           C2201  2   42 
       7.47       14.9     1.0250     7.0248  2.816E-01           C2201  2   43 
       7.47       14.9     1.1750     8.9304  2.912E-01           C2201  2   44 
       7.47       14.9     1.3250    11.9555  3.064E-01           C2201  2   45 
       7.47       14.9     1.4750    16.3442  3.320E-01           C2201  2   46 
       7.47       14.9     1.6250    20.9373  3.506E-01           C2201  2   47 
       7.47       14.9     1.7750    24.5251  3.692E-01           C2201  2   48 
       7.47       14.9     1.9250    30.2628  4.074E-01           C2201  2   49 
       7.47       14.9     2.1000    36.5595  3.813E-01           C2201  2   50 
       7.47       14.9     2.3000    37.8451  3.858E-01           C2201  2   51 
       7.47       14.9     2.5000    24.3833  3.178E-01           C2201  2   52 
       7.47       14.9     2.7000     3.2343  1.599E-01           C2201  2   53 
       7.47       14.9     2.9000     0.0001  1.092E-01           C2201  2   54 
       7.47       29.9     0.5750     7.5840  3.271E-01           C2201  2   55 
       7.47       29.9     0.7250     6.1680  2.783E-01           C2201  2   56 
       7.47       29.9     0.8750     6.1215  2.729E-01           C2201  2   57 
       7.47       29.9     1.0250     5.2796  2.635E-01           C2201  2   58 
