ENTRY            C1087   20041222                             0000C108700000001 
SUBENT        C1087001   20041222                             0000C108700100001 
BIB                 11         12                                 C108700100002 
INSTITUTE  (1USARIC)                                              C108700100003 
REFERENCE  (J,PR,105,633,195701)                                  C108700100004 
AUTHOR     (R.A.Chapman,J.C.Slattery)                             C108700100005 
TITLE       (p,n) reactions in Mn55, Co59, Zn67 and Zn68.         C108700100006 
FACILITY   (VDG,1USARIC)                                          C108700100007 
INC-SPECT  6 MeV proton accelerator                               C108700100008 
DETECTOR   (BF3) Two paraffin moderated BF3 proportional counters C108700100009 
MONITOR     (3-LI-7(P,N)4-BE-7) threshold served for the energy   C108700100010 
            calibration.                                          C108700100011 
ERR-ANALYS Fractional standard deviation of 50 %                  C108700100012 
STATUS     (CPX,CURVE) Data received from author                  C108700100013 
HISTORY    (20041222C) DR                                         C108700100014 
ENDBIB              12          0                                 C108700100015 
COMMON               2          3                                 C108700100016 
ANG-MIN    ANG-MAX                                                C108700100017 
ADEG       ADEG                                                   C108700100018 
0.         10.                                                    C108700100019 
ENDCOMMON            3          0                                 C108700100020 
ENDSUBENT           19          0                                 C108700199999 
SUBENT        C1087002   20041222                             0000C108700200001 
BIB                  2          2                                 C108700200002 
REACTION   (25-MN-55(P,N)26-FE-55,,DA)                            C108700200003 
SAMPLE     55Mn, 2.1 mg/cm2                                       C108700200004 
ENDBIB               2          0                                 C108700200005 
NOCOMMON             0          0                                 C108700200006 
DATA                 2        147                                 C108700200007 
EN         DATA                                                   C108700200008 
MEV        MB/SR                                                  C108700200009 
2.50        1.05                                                  C108700200010 
2.53        1.16                                                  C108700200011 
2.58        1.32                                                  C108700200012 
2.62        1.44                                                  C108700200013 
2.66        1.47                                                  C108700200014 
2.69        1.62                                                  C108700200015 
2.72        1.71                                                  C108700200016 
2.77        1.85                                                  C108700200017 
2.79        1.97                                                  C108700200018 
2.82        2.10                                                  C108700200019 
2.85        2.28                                                  C108700200020 
2.88        2.43                                                  C108700200021 
2.90        2.67                                                  C108700200022 
2.93        2.93                                                  C108700200023 
2.95        3.17                                                  C108700200024 
2.99        3.18                                                  C108700200025 
3.01        3.18                                                  C108700200026 
3.03        3.18                                                  C108700200027 
3.06        3.36                                                  C108700200028 
3.08        3.53                                                  C108700200029 
3.09        3.71                                                  C108700200030 
3.11        4.01                                                  C108700200031 
3.13        4.20                                                  C108700200032 
3.16        4.26                                                  C108700200033 
3.17        4.40                                                  C108700200034 
3.19        4.47                                                  C108700200035 
3.21        4.56                                                  C108700200036 
3.23        4.50                                                  C108700200037 
3.25        4.44                                                  C108700200038 
3.27        4.50                                                  C108700200039 
3.29        4.53                                                  C108700200040 
3.31        4.58                                                  C108700200041 
3.32        4.65                                                  C108700200042 
3.34        4.94                                                  C108700200043 
3.35        5.28                                                  C108700200044 
3.37        5.48                                                  C108700200045 
3.39        5.58                                                  C108700200046 
