ENTRY            C0030   20020213                             0000C003000000001 
SUBENT        C0030001   20020213                             0000C003000100001 
BIB                  7         13                                 C003000100002 
INSTITUTE  (1USAKTY)                                              C003000100003 
REFERENCE  (J,NP/A,192,609,1972)                                  C003000100004 
           (W,WEIL,19781122) Preprint of article                  C003000100005 
AUTHOR     (R.L.Schulte,M.Cosack,A.W.Obst,J.L.Weil)               C003000100006 
TITLE      2H+d Reactions from 1.96 to 6.20 MeV                   C003000100007 
FACILITY   (VDG)                                                  C003000100008 
ERR-ANALYS (EN-ERR) Repeated calibrations of the analyzing        C003000100009 
           magnet showed an uncertainty in beam energy of         C003000100010 
           +-4 keV at 2.5 MeV and +-9.5 keV at 6.2 MeV.           C003000100011 
HISTORY    (19781122C)TWB                                         C003000100012 
           (19800305A)TWB                                         C003000100013 
           (19960222A) STATUS added, converted to lower case.     C003000100014 
           (20020213A) Converted to new date formats.             C003000100015 
ENDBIB              13          0                                 C003000100016 
NOCOMMON             0          0                                 C003000100017 
ENDSUBENT           16          0                                 C003000199999 
SUBENT        C0030002   20020213                             0000C003000200001 
BIB                  6         17                                 C003000200002 
REACTION  1(1-H-2(D,P)1-H-3,,DA,T)                                C003000200003 
          2(1-H-2(D,P)1-H-3,,DA)                                  C003000200004 
SAMPLE     38 cm diameter scattering chamber with 10 to 15 Torr ofC003000200005 
           D2 gas (99.5% PURE)                                    C003000200006 
METHOD     (EDE)                                                  C003000200007 
DETECTOR   (SOLST) Except at angles where the He3 particles and   C003000200008 
           the elastically scattered deuterons had about the same C003000200009 
           energy, two silicon surface-barrier detectors of 700   C003000200010 
           micrometer depletion depth each were used.  at these   C003000200011 
           angles a 10 micrometer silicon transmission detector   C003000200012 
           was employed to separate the He3 and D groups.         C003000200013 
ERR-ANALYS (DATA-ERR) Includes uncertainties due to statistics,   C003000200014 
           calculation of the geometry factor, the energy         C003000200015 
           uncertainty, uncertainty of the angular position,      C003000200016 
           charge collection and integration, gas pressure, and   C003000200017 
           in and out scattering between target and detector.     C003000200018 
STATUS     Data taken from tables in preprint                     C003000200019 
ENDBIB              17          0                                 C003000200020 
COMMON               2          3                                 C003000200021 
DATA-ERR  1DATA-ERR  2                                            C003000200022 
PER-CENT   PER-CENT                                               C003000200023 
 2.8        3.0                                                   C003000200024 
ENDCOMMON            3          0                                 C003000200025 
DATA                 5        190                                 C003000200026 
EN         EN-ERR     ANG        DATA      1DATA      2           C003000200027 
MEV        KEV        ADEG       MB/SR      MB/SR                 C003000200028 
 1.96       3.6        12.5       49.78      27.74                C003000200029 
 1.96       3.6        15.0       40.75      25.41                C003000200030 
 1.96       3.6        17.5       33.25      23.28                C003000200031 
 1.96       3.6        20.0       27.29      21.33                C003000200032 
 1.96       3.6        22.5       22.96      19.00                C003000200033 
 1.96       3.6        25.0       18.98      16.87                C003000200034 
 1.96       3.6        27.5       16.25      14.69                C003000200035 
 1.96       3.6        30.0       14.15      12.94                C003000200036 
 1.96       3.6        32.5       12.54      11.17                C003000200037 
 1.96       3.6        35.0       11.58      10.06                C003000200038 
 1.96       3.6        37.5       11.09       8.65                C003000200039 
 1.96       3.6        40.0       11.06       7.93                C003000200040 
 1.96       3.6        42.5       10.92       7.03                C003000200041 
 1.96       3.6        45.0       10.62       6.66                C003000200042 
 1.96       3.6        47.5       10.58       6.34                C003000200043 
 1.96       3.6        50.0       10.40       5.88                C003000200044 
 1.96       3.6        52.5       10.12       5.85                C003000200045 
 1.96       3.6        55.0        9.47       6.02                C003000200046 
 1.96       3.6        57.5        9.07       5.69                C003000200047 
 1.96       3.6        60.0        8.35       5.92                C003000200048 
 1.96       3.6        62.5        7.74       5.85                C003000200049 
 1.96       3.6        65.0        7.01       5.94                C003000200050 
 1.96       3.6        67.5        6.38       5.92                C003000200051 
 2.51       4.0        12.5       54.16      33.68                C003000200052 
 2.51       4.0        15.0       44.69      30.65                C003000200053 
 2.51       4.0        17.5       36.75      26.51                C003000200054 
 2.51       4.0        20.0       27.97      23.58                C003000200055 
 2.51       4.0        22.5       22.63      20.75                C003000200056 
 2.51       4.0        25.0       18.41      17.35                C003000200057 
 2.51       4.0        27.5       15.37      15.22                C003000200058 
 2.51       4.0        30.0       13.39      12.95                C003000200059 
 2.51       4.0        32.5       11.93      10.31                C003000200060 
 2.51       4.0        35.0       12.39       9.21                C003000200061 
 2.51       4.0        37.5       12.52       7.84                C003000200062 
 2.51       4.0        40.0       12.30       7.24                C003000200063 
 2.51       4.0        42.5       12.72       6.40                C003000200064 
 2.51       4.0        45.0       12.66       6.10                C003000200065 
 2.51       4.0        47.5       13.06       5.95                C003000200066 
 2.51       4.0        50.0       11.82       5.86                C003000200067 
 2.51       4.0        52.5       11.23       5.78                C003000200068 
 2.51       4.0        55.0       10.59       5.69                C003000200069 
 2.51       4.0        57.5        9.12       5.70                C003000200070 
 2.51       4.0        60.0        8.39       6.06                C003000200071 
 2.51       4.0        62.5        7.88       6.31                C003000200072 
 3.02       4.5        12.5       58.62      36.37                C003000200073 
 3.02       4.5        15.0       47.60      32.19                C003000200074 
 3.02       4.5        17.5       35.81      28.54                C003000200075 
 3.02       4.5        20.0       27.54      24.74                C003000200076 
 3.02       4.5        22.5       21.10      21.25                C003000200077 
 3.02       4.5        25.0       16.00      17.96                C003000200078 
 3.02       4.5        27.5       14.52      14.48                C003000200079 
 3.02       4.5        30.0       12.96      11.93                C003000200080 
 3.02       4.5        32.5       12.73      10.27                C003000200081 
 3.02       4.5        35.0       13.21       8.83                C003000200082 
 3.02       4.5        37.5       13.58       7.14                C003000200083 
 3.02       4.5        40.0       14.20       6.60                C003000200084 
 3.02       4.5        42.5       14.33       6.05                C003000200085 
 3.02       4.5        45.0       14.30       5.93                C003000200086 
 3.02       4.5        47.5       14.10       5.56                C003000200087 
 3.02       4.5        50.0       13.19       5.58                C003000200088 
 3.02       4.5        52.5       12.29       5.77                C003000200089 
 3.02       4.5        55.0       11.48       6.17                C003000200090 
 3.02       4.5        57.5        9.74       6.37                C003000200091 
 3.02       4.5        60.0        8.64       6.36                C003000200092 
 3.5        5.0        12.5       58.88      38.46                C003000200093 
 3.5        5.0        15.0       45.84      34.37                C003000200094 
 3.5        5.0        17.5       33.19      28.78                C003000200095 
 3.5        5.0        20.0       24.06      24.82                C003000200096 
 3.5        5.0        22.5       18.31      20.56                C003000200097 
 3.5        5.0        25.0       14.42      16.41                C003000200098 
 3.5        5.0        27.5       12.77      13.50                C003000200099 
 3.5        5.0        30.0       12.41      11.18                C003000200100 
 3.5        5.0        32.5       12.62       8.89                C003000200101 
 3.5        5.0        35.0       13.88       7.38                C003000200102 
 3.5        5.0        37.5       14.91       6.31                C003000200103 
 3.5        5.0        40.0       15.68       6.11                C003000200104 
 3.5        5.0        42.5       16.06       5.47                C003000200105 
 3.5        5.0        45.0       15.77       5.23                C003000200106 
 3.5        5.0        47.5       14.95       5.70                C003000200107 
 3.5        5.0        50.0       14.48       5.90                C003000200108 
 3.5        5.0        52.5       12.70       5.91                C003000200109 
 3.5        5.0        55.0       11.11       6.51                C003000200110 
 3.5        5.0        57.0        9.89       6.40                C003000200111 
 4.0        5.7        12.5       61.24      43.79                C003000200112 
 4.0        5.7        15.0       47.40      36.65                C003000200113 
 4.0        5.7        17.5       32.06      30.38                C003000200114 
 4.0        5.7        20.0       23.60      25.55                C003000200115 
 4.0        5.7        22.5       16.01      19.78                C003000200116 
 4.0        5.7        25.0       13.42      16.32                C003000200117 
 4.0        5.7        27.5       11.72      13.01                C003000200118 
 4.0        5.7        30.0       12.09      10.19                C003000200119 
 4.0        5.7        32.5       13.64       8.23                C003000200120 
 4.0        5.7        35.0       15.08       6.74                C003000200121 
 4.0        5.7        37.5       16.60       5.73                C003000200122 
 4.0        5.7        40.0       16.85       5.57                C003000200123 
 4.0        5.7        42.5       17.14       5.04                C003000200124 
 4.0        5.7        45.0       17.54       5.10                C003000200125 
 4.0        5.7        47.5       16.12       5.54                C003000200126 
 4.0        5.7        50.0       14.80       5.59                C003000200127 
 4.0        5.7        52.5       12.82       6.06                C003000200128 
 4.0        5.7        55.0       11.35       6.48                C003000200129 
 4.5        6.4        12.5       62.76      44.89                C003000200130 
 4.5        6.4        15.0       45.91      37.40                C003000200131 
