ENTRY            C1901   20120331                             C121C190100000001 
SUBENT        C1901001   20120331                             C121C190100100001 
BIB                  9         30                                 C190100100002 
TITLE      Approaching neutron-rich nuclei toward the r-process   C190100100003 
           path in peripheral heavy-ion collisions at 15          C190100100004 
           MeV/nucleon                                            C190100100005 
AUTHOR     (G.A.Souliotis,M.Veselsky,S.Galanopoulos,M.Jandel,     C190100100006 
           Z.Kohley,L.W.May,D.V.Shetty,B.C.Stein,S.J.Yennello)    C190100100007 
INSTITUTE  (1USATAM,3SLKSLO)                                      C190100100008 
           (2GRCGRC) National and Kapodistrian University of      C190100100009 
           Athens,Athens,Greece                                   C190100100010 
REFERENCE  (J,PR/C,84,064607,2011)                                C190100100011 
FACILITY   (CYCLO,1USATAM) Experiment performed at the Cyclotron  C190100100012 
           Institute of Texas AM University using K500            C190100100013 
           superconducting cyclotron                              C190100100014 
DETECTOR   (MAGSP) Reaction products were analyzed with momentum  C190100100015 
           achromat recoil separator (MARS). MARS consisted of    C190100100016 
           QQDQDDQQ sequence of quadrupoles (Q) and dipoles (D).  C190100100017 
           Magnetic optics formed dispersive image after first    C190100100018 
           dipole and an achromatic image at the end of MARS.     C190100100019 
           (PPAC) At the position of dispersive image a parallel  C190100100020 
           plate avalanche counter was placed to provide          C190100100021 
           reaction product position and start of time of flight  C190100100022 
           measurement                                            C190100100023 
           (TELES,PPAC,SI,SI) At the achromatic focal point a     C190100100024 
           second parallel plate counter with a silicon dE-E      C190100100025 
           telescope was placed. PPAC provided stop time signal   C190100100026 
           for time of flight and position of reaction product.   C190100100027 
           E-dE telescope provided information for particle       C190100100028 
           identification                                         C190100100029 
ERR-ANALYS (ERR-S) Statistical uncertainty                        C190100100030 
METHOD     (TOF,EDE)                                              C190100100031 
HISTORY    (20120331C) Compiled by S.H.                           C190100100032 
ENDBIB              30          0                                 C190100100033 
COMMON               1          3                                 C190100100034 
EN                                                                C190100100035 
MEV/A                                                             C190100100036 
15.0                                                              C190100100037 
ENDCOMMON            3          0                                 C190100100038 
ENDSUBENT           37          0                                 C190100199999 
SUBENT        C1901002   20120331                             C121C190100200001 
BIB                  3          5                                 C190100200002 
REACTION   (28-NI-58(36-KR-86,X)ELEM/MASS,,SIG)                   C190100200003 
STATUS     (TABLE) Data presented in figs. 4,6 of the             C190100200004 
                   reference sent by author (G.A.S.).             C190100200005 
                   Data for Z=26-29 are not shown in figures.     C190100200006 
SAMPLE     Isotopically enriched target with thickness of 4 mg/cm2C190100200007 
ENDBIB               5          0                                 C190100200008 
NOCOMMON             0          0                                 C190100200009 
DATA                 4        259                                 C190100200010 
ELEMENT    MASS       DATA       ERR-S                            C190100200011 
NO-DIM     NO-DIM     MB         MB                               C190100200012 
       26.0       51.0   1.14E-01   2.73E-02                      C190100200013 
       26.0       52.0   3.47E-01   4.68E-02                      C190100200014 
       26.0       53.0   1.05E+00   7.09E-02                      C190100200015 
       26.0       54.0   2.18E+00   9.46E-02                      C190100200016 
       26.0       55.0   1.53E+00   7.36E-02                      C190100200017 
       26.0       56.0   1.63E+00   6.86E-02                      C190100200018 
       26.0       57.0   6.45E-01   3.51E-02                      C190100200019 
       26.0       58.0   2.85E-01   2.08E-02                      C190100200020 
       26.0       59.0   1.46E-01   1.75E-02                      C190100200021 
       26.0       60.0   1.15E-01   3.42E-02                      C190100200022 
       26.0       61.0   3.34E-02   5.58E-03                      C190100200023 
       26.0       62.0   6.29E-03   2.23E-03                      C190100200024 
       27.0       52.0   4.20E-02   1.61E-02                      C190100200025 
       27.0       53.0   1.49E-01   3.34E-02                      C190100200026 
       27.0       54.0   3.71E-01   4.87E-02                      C190100200027 
       27.0       55.0   1.31E+00   8.58E-02                      C190100200028 
       27.0       56.0   3.04E+00   1.23E-01                      C190100200029 
       27.0       57.0   3.44E+00   1.18E-01                      C190100200030 
       27.0       58.0   2.66E+00   9.48E-02                      C190100200031 
       27.0       59.0   1.38E+00   6.36E-02                      C190100200032 
       27.0       60.0   5.58E-01   3.36E-02                      C190100200033 
       27.0       61.0   2.39E-01   1.70E-02                      C190100200034 
       27.0       62.0   1.00E-01   1.05E-02                      C190100200035 
       27.0       63.0   5.43E-02   1.05E-02                      C190100200036 
       27.0       64.0   3.38E-02   6.45E-03                      C190100200037 
       27.0       65.0   1.73E-02   4.87E-03                      C190100200038 
       27.0       66.0   1.92E-02   4.30E-03                      C190100200039 
       28.0       55.0   1.17E-01   2.46E-02                      C190100200040 
       28.0       56.0   2.57E-01   3.84E-02                      C190100200041 
       28.0       57.0   1.16E+00   7.91E-02                      C190100200042 
       28.0       58.0   3.07E+00   1.20E-01                      C190100200043 
       28.0       59.0   3.62E+00   1.13E-01                      C190100200044 
       28.0       60.0   3.33E+00   1.05E-01                      C190100200045 
       28.0       61.0   1.77E+00   6.77E-02                      C190100200046 
       28.0       62.0   8.51E-01   4.04E-02                      C190100200047 
       28.0       63.0   5.17E-01   3.17E-02                      C190100200048 
       28.0       64.0   2.01E-01   1.35E-02                      C190100200049 
       28.0       65.0   9.25E-02   1.01E-02                      C190100200050 
       28.0       66.0   4.22E-02   5.79E-03                      C190100200051 
       28.0       67.0   1.50E-02   3.81E-03                      C190100200052 
