ENTRY            C0727   20000815                             0000C072700000001 
SUBENT        C0727001   20000815                             0000C072700100001 
BIB                 11         15                                 C072700100002 
INSTITUTE  (1USAYAL)                                              C072700100003 
REFERENCE  (J,PR,153,1186,1967)                                   C072700100004 
AUTHOR     (M.KAPLAN,V.SUBRAHMANYAM)                              C072700100005 
TITLE      Energetics of Nucleon and Photon Emission from         C072700100006 
            Compound Nuclei: Angular Distributions of Cu61        C072700100007 
            Recoil Products                                       C072700100008 
FACILITY   (LINAC,1USAYAL)                                        C072700100009 
METHOD     (RCHEM)                                                C072700100010 
DETECTOR   (PROPC)                                                C072700100011 
DECAY-DATA (29-CU-61,3.3HR,B)                                     C072700100012 
CORRECTION Not corrected for contribution of 55Mn(11B,5n)61Zn     C072700100013 
            reaction; estimated small.                            C072700100014 
ERR-ANALYS No information on uncertainties.                       C072700100015 
HISTORY    (19830620T) Converted to EXFOR format by IAEA-NDS.     C072700100016 
           (20000815A) Converted to new date formats; BIB updated.C072700100017 
ENDBIB              15          0                                 C072700100018 
NOCOMMON             0          0                                 C072700100019 
ENDSUBENT           18          0                                 C072700199999 
SUBENT        C0727002   20000822                             0000C072700200001 
BIB                  4          5                                 C072700200002 
REACTION   (25-MN-55(5-B-11,4N+P)29-CU-61,,SIG)                   C072700200003 
SAMPLE     Thin Mn metal disks evaporated onto aluminum backings. C072700200004 
METHOD     (STTA) Targets interspersed with aluminum recoil-      C072700200005 
            catcher foils.                                        C072700200006 
STATUS     Data taken from Table I in reference.                  C072700200007 
ENDBIB               5          0                                 C072700200008 
NOCOMMON             0          0                                 C072700200009 
DATA                 2         27                                 C072700200010 
EN         DATA                                                   C072700200011 
MEV        MB                                                     C072700200012 
   36.1        0.6                                                C072700200013 
   41.3       24.3                                                C072700200014 
   45.7       19.5                                                C072700200015 
   49.4       61.2                                                C072700200016 
   56.2       55.2                                                C072700200017 
   57.1       91.2                                                C072700200018 
   58.5      112.2                                                C072700200019 
   60.4       93.0                                                C072700200020 
   68.6      133.2                                                C072700200021 
   69.3      101.4                                                C072700200022 
   74.6      136.8                                                C072700200023 
   77.4      130.5                                                C072700200024 
   79.5       67.2                                                C072700200025 
   80.5      106.8                                                C072700200026 
   83.6       65.1                                                C072700200027 
   86.5       61.2                                                C072700200028 
   89.1       37.4                                                C072700200029 
   89.5       58.5                                                C072700200030 
   91.7       73.1                                                C072700200031 
   94.6       32.9                                                C072700200032 
   97.5       31.4                                                C072700200033 
  102.7       22.1                                                C072700200034 
  102.8       26.0                                                C072700200035 
  109.5       10.4                                                C072700200036 
  110.0       10.2                                                C072700200037 
  113.9        6.7                                                C072700200038 
  114.0        4.9                                                C072700200039 
ENDDATA             29          0                                 C072700200040 
ENDSUBENT           39          0                                 C072700299999 
SUBENT        C0727003   20000822                             0000C072700300001 
BIB                  4          6                                 C072700300002 
REACTION   (25-MN-55(5-B-11,4N+P)29-CU-61,,DA,,RS)                C072700300003 
SAMPLE     Thin Mn metal target.                                  C072700300004 
METHOD     Aluminum catcher plate located a known distance from   C072700300005 
            target. After run, foil cut into a series of rings,   C072700300006 
            each ring corresponding to an angular interval.       C072700300007 
MISC-COL   (MISC) Target areal density in microg/cm2.             C072700300008 
ENDBIB               6          0                                 C072700300009 
NOCOMMON             0          0                                 C072700300010 
DATA                 5        320                                 C072700300011 
EN         ANG-MIN    ANG-MAX    DATA       MISC                  C072700300012 
MEV        ADEG       ADEG       NO-DIM     SEE TEXT              C072700300013 
 53.3        0.00       1.35       0.054     427.                 C072700300014 
 53.3        0.00       1.35       0.039     320.                 C072700300015 
 53.3        0.00       1.35       0.044      95.                 C072700300016 
 53.3        1.35       2.71       0.069     427.                 C072700300017 
 53.3        1.35       2.71       0.058     320.                 C072700300018 
 53.3        1.35       2.71       0.060      95.                 C072700300019 
 53.3        2.71       4.06       0.088     427.                 C072700300020 
 53.3        2.71       4.06       0.083     320.                 C072700300021 
 53.3        2.71       4.06       0.082      95.                 C072700300022 
 53.3        4.06       5.40       0.104     427.                 C072700300023 
 53.3        4.06       5.40       0.107     320.                 C072700300024 
 53.3        4.06       5.40       0.111      95.                 C072700300025 
 53.3        5.40       6.74       0.111     427.                 C072700300026 
 53.3        5.40       6.74       0.119     320.                 C072700300027 
 53.3        5.40       6.74       0.128      95.                 C072700300028 
 53.3        6.74       8.07       0.104     427.                 C072700300029 
 53.3        6.74       8.07       0.113     320.                 C072700300030 
 53.3        6.74       8.07       0.123      95.                 C072700300031 
 53.3        8.07       9.39       0.096     427.                 C072700300032 
 53.3        8.07       9.39       0.107     320.                 C072700300033 
 53.3        8.07       9.39       0.106      95.                 C072700300034 
 53.3        9.39      10.71       0.081     427.                 C072700300035 
 53.3        9.39      10.71       0.087     320.                 C072700300036 
 53.3        9.39      10.71       0.084      95.                 C072700300037 
 53.3       10.71      12.00       0.066     427.                 C072700300038 
 53.3       10.71      12.00       0.071     320.                 C072700300039 
 53.3       10.71      12.00       0.067      95.                 C072700300040 
 53.3       12.00      13.30       0.054     427.                 C072700300041 
 53.3       12.00      13.30       0.056     320.                 C072700300042 
 53.3       12.00      13.30       0.050      95.                 C072700300043 
 53.3       13.30      14.58       0.046     427.                 C072700300044 
 53.3       13.30      14.58       0.044     320.                 C072700300045 
 53.3       13.30      14.58       0.038      95.                 C072700300046 
 53.3       14.58      15.84       0.036     427.                 C072700300047 
 53.3       14.58      15.84       0.034     320.                 C072700300048 
 53.3       14.58      15.84       0.030      95.                 C072700300049 
 53.3       15.84      17.10       0.030     427.                 C072700300050 
 53.3       15.84      17.10       0.025     320.                 C072700300051 
 53.3       15.84      17.10       0.024      95.                 C072700300052 
 53.3       17.10      18.30       0.023     427.                 C072700300053 
 53.3       17.10      18.30       0.019     320.                 C072700300054 
 53.3       17.10      18.30       0.019      95.                 C072700300055 
 53.3       18.30      19.54       0.019     427.                 C072700300056 
 53.3       18.30      19.54       0.015     320.                 C072700300057 
 53.3       18.30      19.54       0.014      95.                 C072700300058 
 53.3       19.54      20.70       0.015     427.                 C072700300059 
 53.3       19.54      20.70       0.011     320.                 C072700300060 
 53.3       19.54      20.70       0.012      95.                 C072700300061 
 57.9        0.00       1.35       0.043     405.                 C072700300062 
 57.9        0.00       1.35       0.058     215.                 C072700300063 
 57.9        0.00       1.35       0.072      97.                 C072700300064 
 57.9        1.35       2.71       0.061     405.                 C072700300065 
 57.9        1.35       2.71       0.075     215.                 C072700300066 
 57.9        1.35       2.71       0.085      97.                 C072700300067 
 57.9        2.71       4.06       0.086     405.                 C072700300068 
 57.9        2.71       4.06       0.096     215.                 C072700300069 
 57.9        2.71       4.06       0.099      97.                 C072700300070 
 57.9        4.06       5.40       0.106     405.                 C072700300071 
 57.9        4.06       5.40       0.113     215.                 C072700300072 
 57.9        4.06       5.40       0.116      97.                 C072700300073 
 57.9        5.40       6.74       0.116     405.                 C072700300074 
 57.9        5.40       6.74       0.123     215.                 C072700300075 
 57.9        5.40       6.74       0.123      97.                 C072700300076 
 57.9        6.74       8.07       0.117     405.                 C072700300077 
 57.9        6.74       8.07       0.120     215.                 C072700300078 
 57.9        6.74       8.07       0.114      97.                 C072700300079 
 57.9        8.07       9.39       0.117     405.                 C072700300080 
 57.9        8.07       9.39       0.104     215.                 C072700300081 
 57.9        8.07       9.39       0.094      97.                 C072700300082 
 57.9        9.39      10.71       0.088     405.                 C072700300083 
