ENTRY            C0957   20040512                             0000C095700000001 
SUBENT        C0957001   20040512                             0000C095700100001 
BIB                 12         17                                 C095700100002 
INSTITUTE  (1USAANL,1USAOHO)                                      C095700100003 
REFERENCE  (J,NIM/A,505,5,2003)                                   C095700100004 
AUTHOR     (C.L.Fink,D.L.Smith,B.J.Micklich,T.N.Massey)           C095700100005 
TITLE      Gamma rays produced by 1.75- to 4-MeV proton           C095700100006 
            bombardment of thick aluminum targets                 C095700100007 
FACILITY   (VDGT,1USAOHO)                                         C095700100008 
SAMPLE     Pure aluminum sheet, sufficiently thick to stop a      C095700100009 
            4-MeV proton beam.                                    C095700100010 
DETECTOR   (NAICR) 2 NaI scintillators.                           C095700100011 
MONITOR    Detectors calibrated using standard 137Cs and 60Co     C095700100012 
            sources, as well as 4.439-MeV gammas from Am-Be       C095700100013 
            source.                                               C095700100014 
CORRECTION Corrected for deadtime.                                C095700100015 
ERR-ANALYS No information on uncertainties.                       C095700100016 
STATUS     (APRVD) Approved by B.Micklich, 5/5/2004.              C095700100017 
HISTORY    (20040121C) VM                                         C095700100018 
           (20040512A) Added author approval.                     C095700100019 
ENDBIB              17          0                                 C095700100020 
NOCOMMON             0          0                                 C095700100021 
ENDSUBENT           20          0                                 C095700199999 
SUBENT        C0957002   20040121                             0000C095700200001 
BIB                  2          2                                 C095700200002 
REACTION   (13-AL-27(P,X)0-G-0,,TTY/PY/DA/DE)                     C095700200003 
STATUS     Data taken from Table 1 in reference.                  C095700200004 
ENDBIB               2          0                                 C095700200005 
NOCOMMON             0          0                                 C095700200006 
DATA                 5        119                                 C095700200007 
EN         ANG        E-MIN      E-MAX      DATA                  C095700200008 
MEV        ADEG       MEV        MEV        P/MEVMUCSR            C095700200009 
  1.75       0.         4.5        5.5       1839.                C095700200010 
  1.75       0.         5.5        6.5       2405.                C095700200011 
  1.75       0.         6.5        7.5       2391.                C095700200012 
  1.75       0.         7.5        8.5       1088.                C095700200013 
  1.75       0.         9.5       10.5         54.                C095700200014 
  1.75       0.        10.5       11.5       8207.                C095700200015 
  1.75       0.        11.5       12.5          0.                C095700200016 
  1.75       0.        12.5       13.5        230.                C095700200017 
  1.75       0.        13.5       14.5          0.                C095700200018 
  1.75      90.         4.5        5.5       1936.                C095700200019 
  1.75      90.         5.5        6.5       2257.                C095700200020 
  1.75      90.         6.5        7.5       2200.                C095700200021 
  1.75      90.         7.5        8.5       1375.                C095700200022 
  1.75      90.         8.5        9.5          0.                C095700200023 
  1.75      90.         9.5       10.5        874.                C095700200024 
  1.75      90.        10.5       11.5       8528.                C095700200025 
  1.75      90.        11.5       12.5          0.                C095700200026 
  1.75      90.        12.5       13.5          0.                C095700200027 
  1.75      90.        13.5       14.5          0.                C095700200028 
  2.0        0.         4.5        5.5       2206.                C095700200029 
  2.0        0.         5.5        6.5       2544.                C095700200030 
  2.0        0.         6.5        7.5       3271.                C095700200031 
  2.0        0.         7.5        8.5       1281.                C095700200032 
  2.0        0.         8.5        9.5        694.                C095700200033 
  2.0        0.         9.5       10.5          0.                C095700200034 
  2.0        0.        10.5       11.5       8999.                C095700200035 
  2.0        0.        11.5       12.5        533.                C095700200036 
  2.0        0.        12.5       13.5        205.                C095700200037 
  2.0        0.        13.5       14.5         38.                C095700200038 
  2.0       90.         4.5        5.5       2240.                C095700200039 
  2.0       90.         5.5        6.5       2315.                C095700200040 
  2.0       90.         6.5        7.5       3033.                C095700200041 
  2.0       90.         7.5        8.5       1764.                C095700200042 
  2.0       90.         8.5        9.5          0.                C095700200043 
  2.0       90.         9.5       10.5        879.                C095700200044 
  2.0       90.        10.5       11.5       9574.                C095700200045 
  2.0       90.        11.5       12.5          0.                C095700200046 
  2.0       90.        12.5       13.5          0.                C095700200047 
  2.0       90.        13.5       14.5          1.                C095700200048 
  2.5        0.         4.5        5.5       2667.                C095700200049 
  2.5        0.         5.5        6.5       2853.                C095700200050 
  2.5        0.         6.5        7.5       3933.                C095700200051 
  2.5        0.         7.5        8.5       1282.                C095700200052 
  2.5        0.         8.5        9.5       2231.                C095700200053 
  2.5        0.         9.5       10.5          0.                C095700200054 
  2.5        0.        10.5       11.5       7171.                C095700200055 
  2.5        0.        11.5       12.5       3695.                C095700200056 
  2.5        0.        12.5       13.5          0.                C095700200057 
  2.5        0.        13.5       14.5         56.                C095700200058 
  2.5       90.         4.5        5.5       3185.                C095700200059 
  2.5       90.         5.5        6.5       2632.                C095700200060 
  2.5       90.         6.5        7.5       3990.                C095700200061 
  2.5       90.         7.5        8.5       1381.                C095700200062 
  2.5       90.         8.5        9.5       2749.                C095700200063 
  2.5       90.         9.5       10.5        368.                C095700200064 
  2.5       90.        10.5       11.5       8945.                C095700200065 
  2.5       90.        11.5       12.5       1686.                C095700200066 
  2.5       90.        12.5       13.5          0.                C095700200067 
  2.5       90.        13.5       14.5        144.                C095700200068 
  3.0        0.         4.5        5.5       6027.                C095700200069 
  3.0        0.         5.5        6.5       4052.                C095700200070 
  3.0        0.         6.5        7.5       6921.                C095700200071 
  3.0        0.         7.5        8.5       2483.                C095700200072 
  3.0        0.         8.5        9.5       4001.                C095700200073 
  3.0        0.         9.5       10.5       1529.                C095700200074 
  3.0        0.        10.5       11.5       7014.                C095700200075 
  3.0        0.        11.5       12.5       8676.                C095700200076 
  3.0        0.        12.5       13.5       1241.                C095700200077 
