ENTRY            C0838   20120123                             C114C083800000001 
SUBENT        C0838001   20120123                             C114C083800100001 
BIB                 12         23                                 C083800100002 
INSTITUTE  (1USAMIT,1USAOHO)                                      C083800100003 
REFERENCE  (J,NSE,138,145,200106)                                 C083800100004 
           (C,97TRIEST,2,1655,1997) prelim.results                C083800100005 
AUTHOR     (W.B.Howard,S.M.Grimes,T.N.Massey,S.I.Al-Quraishi,     C083800100006 
           D.K.Jacobs,C.E.Brient,J.C.Yanch)                       C083800100007 
TITLE      Measurement of the Thick-Target 9Be(p,n) Neutron EnergyC083800100008 
            Spectra                                               C083800100009 
FACILITY   (VDGT,1USAOHO) Beam swinger facility at tandem Van de  C083800100010 
            Graaff.                                               C083800100011 
SAMPLE     Beryllium targets, 99.9% pure, 0.25 or 0.5 mm thick    C083800100012 
            (thick enough to stop 4-MeV protons).                 C083800100013 
METHOD     (TOF,PSD) Neutron time-of-flight; 10-m flight path.    C083800100014 
DETECTOR   (GLASD) Four Li-loaded (95% 6Li) glass scintillators   C083800100015 
            used to detect neutrons.                              C083800100016 
CORRECTION Corrected for background.                              C083800100017 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C083800100018 
STATUS     (APRVD) Approved by T. Massey, 16 August 2002.         C083800100019 
           (TABLE) Data received by email from T. Massey,         C083800100020 
            2 August 2001.                                        C083800100021 
HISTORY    (20020814C) VM                                         C083800100022 
           (20100610A) VM: subentry 003 updated.                  C083800100023 
           (20110121A) OS. Reaction in Sub.3 modified             C083800100024 
           (20120123U) SD: ref. added.                            C083800100025 
ENDBIB              23          0                                 C083800100026 
NOCOMMON             0          0                                 C083800100027 
ENDSUBENT           26          0                                 C083800199999 
SUBENT        C0838003   20110123                             C104C083800300001 
BIB                  2          5                                 C083800300002 
REACTION   (4-BE-9(P,X)0-NN-1,,TTY/PY/DA/DE,,AV)                  C083800300003 
HISTORY    (20030127A) Comment added.                             C083800300004 
           (20040504A) Reaction updated.                          C083800300005 
           (20100610A) Reaction updated.                          C083800300006 
           (20110121A) OS. REACTION SF6 corrected                 C083800300007 
ENDBIB               5          0                                 C083800300008 
NOCOMMON             0          0                                 C083800300009 
DATA                 6       1734                                 C083800300010 
EN         ANG        E-MEAN     E-RSL      DATA       ERR-S      C083800300011 
MEV        ADEG       MEV        MEV        P/MEVMUCSR P/MEVMUCSR C083800300012 
 3.0         0.         0.090      0.010     6.1322E+06 1.2585E+06C083800300013 
 3.0         0.         0.110      0.010     9.0610E+06 1.1810E+06C083800300014 
 3.0         0.         0.130      0.010     8.5473E+06 1.0361E+06C083800300015 
 3.0         0.         0.150      0.010     7.8486E+06 8.4653E+05C083800300016 
 3.0         0.         0.170      0.010     7.5768E+06 6.7776E+05C083800300017 
 3.0         0.         0.190      0.010     8.8799E+06 6.6813E+05C083800300018 
 3.0         0.         0.210      0.010     8.7719E+06 6.2579E+05C083800300019 
 3.0         0.         0.230      0.010     8.6572E+06 4.8509E+05C083800300020 
 3.0         0.         0.250      0.010     1.0937E+07 5.1908E+05C083800300021 
 3.0         0.         0.270      0.010     1.0008E+07 5.2016E+05C083800300022 
 3.0         0.         0.290      0.010     1.0182E+07 5.2458E+05C083800300023 
 3.0         0.         0.310      0.010     1.6928E+07 7.1341E+05C083800300024 
 3.0         0.         0.330      0.010     1.8113E+07 7.7569E+05C083800300025 
 3.0         0.         0.350      0.010     2.2045E+07 9.2938E+05C083800300026 
 3.0         0.         0.370      0.010     1.8118E+07 8.1776E+05C083800300027 
 3.0         0.         0.390      0.010     2.0185E+07 8.4302E+05C083800300028 
 3.0         0.         0.410      0.010     2.2583E+07 9.2294E+05C083800300029 
 3.0         0.         0.430      0.010     3.0624E+07 1.2709E+06C083800300030 
 3.0         0.         0.450      0.010     2.8292E+07 1.2059E+06C083800300031 
 3.0         0.         0.470      0.010     3.4880E+07 1.6708E+06C083800300032 
 3.0         0.         0.490      0.010     3.3482E+07 1.7038E+06C083800300033 
 3.0         0.         0.510      0.010     4.4885E+07 2.3987E+06C083800300034 
 3.0         0.         0.530      0.010     4.9368E+07 2.5940E+06C083800300035 
 3.0         0.         0.550      0.010     5.5990E+07 2.9075E+06C083800300036 
 3.0         0.         0.570      0.010     5.8583E+07 3.2087E+06C083800300037 
 3.0         0.         0.590      0.010     5.9266E+07 3.2539E+06C083800300038 
 3.0         0.         0.610      0.010     6.4148E+07 3.8767E+06C083800300039 
 3.0         0.         0.630      0.010     6.5476E+07 4.0223E+06C083800300040 
 3.0         0.         0.650      0.010     4.3856E+07 2.5879E+06C083800300041 
 3.0         0.         0.670      0.010     4.5918E+07 3.0582E+06C083800300042 
 3.0         0.         0.690      0.010     3.9615E+07 2.6528E+06C083800300043 
