EN         ANG-MIN    ANG-MAX    DATA       MISC                  C072600300009 
MEV        ADEG       ADEG       NO-DIM     SEE TEXT              C072600300010 
 76.6        6.50       8.53      0.173      0.81                 C072600300060 
 76.6        8.53      10.53      0.162      0.49                 C072600300061 
 76.6        8.53      10.53      0.170      0.81                 C072600300062 
 76.6       10.53      12.52      0.135      0.49                 C072600300063 
 76.6       10.53      12.52      0.139      0.81                 C072600300064 
 76.6       12.52      14.48      0.097      0.49                 C072600300065 
 76.6       12.52      14.48      0.093      0.81                 C072600300066 
 76.6       14.48      16.42      0.060      0.49                 C072600300067 
 76.6       14.48      16.42      0.057      0.81                 C072600300068 
 76.6       16.42      18.30      0.035      0.49                 C072600300069 
 76.6       16.42      18.30      0.035      0.81                 C072600300070 
 76.6       18.30      20.15      0.018      0.49                 C072600300071 
 76.6       18.30      20.15      0.022      0.81                 C072600300072 
 76.6       20.15      21.95      0.008      0.49                 C072600300073 
 76.6       20.15      21.95      0.013      0.81                 C072600300074 
 76.6       21.95      23.72      0.008      0.81                 C072600300075 
 76.7        2.37       4.43      0.124      0.74                 C072600300076 
 76.7        4.43       6.50      0.163      0.74                 C072600300077 
 76.7        6.50       8.53      0.171      0.74                 C072600300078 
 76.7        8.53      10.53      0.159      0.74                 C072600300079 
 76.7       10.53      12.52      0.130      0.74                 C072600300080 
 76.7       12.52      14.48      0.091      0.74                 C072600300081 
 76.7       14.48      16.42      0.061      0.74                 C072600300082 
 76.7       16.42      18.30      0.035      0.74                 C072600300083 
 76.7       18.30      20.15      0.019      0.74                 C072600300084 
 76.7       20.15      21.95      0.009      0.74                 C072600300085 
 98.8        2.37       4.43      0.097      1.66                 C072600300086 
 98.8        4.43       6.50      0.126      1.66                 C072600300087 
 98.8        6.50       8.53      0.146      1.66                 C072600300088 
 98.8        8.53      10.53      0.146      1.66                 C072600300089 
 98.8       10.53      12.52      0.134      1.66                 C072600300090 
 98.8       12.52      14.48      0.104      1.66                 C072600300091 
 98.8       14.48      16.42      0.075      1.66                 C072600300092 
 98.8       16.42      18.30      0.050      1.66                 C072600300093 
 98.8       18.30      20.15      0.032      1.66                 C072600300094 
 98.8       20.15      21.95      0.020      1.66                 C072600300095 
 98.8       21.95      23.72      0.012      1.66                 C072600300096 
 98.8       23.72      25.42      0.008      1.66                 C072600300097 
 99.2        2.37       4.43      0.103      0.92                 C072600300098 
 99.2        4.43       6.50      0.152      0.92                 C072600300099 
 99.2        6.50       8.53      0.154      0.92                 C072600300100 
 99.2        8.53      10.53      0.149      0.92                 C072600300101 
 99.2       10.53      12.52      0.137      0.92                 C072600300102 
 99.2       12.52      14.48      0.105      0.92                 C072600300103 
 99.2       14.48      16.42      0.059      0.92                 C072600300104 
 99.2       16.42      18.30      0.044      0.92                 C072600300105 
 99.2       18.30      20.15      0.029      0.92                 C072600300106 
 99.2       20.15      21.95      0.018      0.92                 C072600300107 
 99.2       21.95      23.72      0.011      0.92                 C072600300108 
 99.2       23.72      25.42      0.008      0.92                 C072600300109 
 99.4        2.37       4.43      0.103      0.51                 C072600300110 
 99.4        4.43       6.50      0.142      0.51                 C072600300111 
 99.4        6.50       8.53      0.155      0.51                 C072600300112 
 99.4        8.53      10.53      0.151      0.51                 C072600300113 
 99.4       10.53      12.52      0.126      0.51                 C072600300114 
 99.4       12.52      14.48      0.095      0.51                 C072600300115 
 99.4       14.48      16.42      0.068      0.51                 C072600300116 
 99.4       16.42      18.30      0.047      0.51                 C072600300117 
 99.4       18.30      20.15      0.031      0.51                 C072600300118 
 99.4       20.15      21.95      0.020      0.51                 C072600300119 
 99.4       21.95      23.72      0.014      0.51                 C072600300120 
 99.4       23.72      25.42      0.010      0.51                 C072600300121 
 99.4       25.42      27.08      0.007      0.51                 C072600300122 
114.8        2.37       4.43      0.093      1.66                 C072600300123 
114.8        2.37       4.43      0.096      1.69                 C072600300124 
114.8        4.43       6.50      0.119      1.66                 C072600300125 
114.8        4.43       6.50      0.122      1.69                 C072600300126 
114.8        6.50       8.53      0.140      1.66                 C072600300127 
114.8        6.50       8.53      0.137      1.69                 C072600300128 
114.8        8.53      10.53      0.148      1.66                 C072600300129 
114.8        8.53      10.53      0.138      1.69                 C072600300130 
114.8       10.53      12.52      0.135      1.66                 C072600300131 
114.8       10.53      12.52      0.125      1.69                 C072600300132 
114.8       12.52      14.48      0.106      1.66                 C072600300133 
114.8       12.52      14.48      0.100      1.69                 C072600300134 
114.8       14.48      16.42      0.077      1.66                 C072600300135 
114.8       14.48      16.42      0.077      1.69                 C072600300136 
114.8       16.42      18.30      0.051      1.66                 C072600300137 
114.8       16.42      18.30      0.055      1.69                 C072600300138 
114.8       18.30      20.15      0.034      1.66                 C072600300139 
114.8       18.30      20.15      0.038      1.69                 C072600300140 
114.8       20.15      21.95      0.022      1.66                 C072600300141 
114.8       20.15      21.95      0.024      1.69                 C072600300142 
114.8       21.95      23.72      0.014      1.66                 C072600300143 
114.8       21.95      23.72      0.016      1.69                 C072600300144 
114.8       23.72      25.42      0.009      1.66                 C072600300145 
114.8       23.72      25.42      0.010      1.69                 C072600300146 
114.8       25.42      27.08      0.006      1.66                 C072600300147 
114.8       25.42      27.08      0.007      1.69                 C072600300148 
ENDDATA            140          0                                 C072600300149 
ENDSUBENT          148          0                                 C072600399999 
ENDENTRY             3          0                                 C072699999999 
