ENTRY            C0480   20010307                             0000C048000000001 
SUBENT        C0480001   20010307                             0000C048000100001 
BIB                 11         28                                 C048000100002 
INSTITUTE  (1USAANL)                                              C048000100003 
REFERENCE  (J,PR/C,22,167,198007)                                 C048000100004 
AUTHOR     (S.B.KAUFMAN,E.P.STEINBERG)                            C048000100005 
TITLE      Cross-section measurements of nuclides formed by       C048000100006 
            reaction of 0.20 - 6.0 GeV protons with 197Au.        C048000100007 
FACILITY   (SYNCH,1USABNL) The USA BNL AGS for bombardment at     C048000100008 
            200 MeV.                                              C048000100009 
           (SYNCH,1USAANL) The USA ANL IPNS synchrotron for       C048000100010 
            bombardment at 490 MeV.                               C048000100011 
           (SYNCH,1USAANL) The USA ANL ZGS accelerator for        C048000100012 
            bombardment at 1.0, 3.0, and 6.0 GeV.                 C048000100013 
SAMPLE     Targets consisted of three gold foils, each 24         C048000100014 
            mg/cm**2 thick.                                       C048000100015 
METHOD     (ACTIV)                                                C048000100016 
DETECTOR   (GELI)                                                 C048000100017 
ERR-ANALYS (DATA-ERR) The errors given include the estimated      C048000100018 
            errors in the extrapolated decay rates, obtained      C048000100019 
            from the least-squares decay curve analysis and       C048000100020 
            the statistical uncertainties in the photopeak        C048000100021 
            intensities.  In addition, a 5 % uncertainty in the   C048000100022 
            efficiency calibration of the detectors was folded    C048000100023 
            in.  Possible systematic errors in the gamma-ray      C048000100024 
            abundances and monitor cross sections are not         C048000100025 
            included.                                             C048000100026 
STATUS     Data taken from the Table 1 of reference.              C048000100027 
HISTORY    (19990415C) VV                                         C048000100028 
           (20000209A) Reference corrected.                       C048000100029 
           (20010307A) Date on subentry records corrected.        C048000100030 
ENDBIB              28          0                                 C048000100031 
NOCOMMON             0          0                                 C048000100032 
ENDSUBENT           31          0                                 C048000199999 
SUBENT        C0480002   20010329                             0000C048000200001 
BIB                  3          7                                 C048000200002 
REACTION   (79-AU-197(P,X)ELEM/MASS,CUM,SIG)                      C048000200003 
CORRECTION Cross sections corrected for the effect of possibility C048000200004 
            of significant errors for nuclei with half-lifes not  C048000200005 
            much longer that of any of its precursors.            C048000200006 
           This correction is < 5% for all nuclides, except for   C048000200007 
            170Lu, 171Lu, and 181Re.                              C048000200008 
HISTORY    (20010329A) Data fields reorded and data sorted.       C048000200009 
ENDBIB               7          0                                 C048000200010 
NOCOMMON             0          0                                 C048000200011 
DATA                 5        127                                 C048000200012 
ELEMENT    MASS       EN         DATA       DATA-ERR              C048000200013 
NO-DIM     NO-DIM     GEV        MB         MB                    C048000200014 
   11.        24.         1.0       0.53       0.06               C048000200015 
   11.        24.         3.0       5.7        0.5                C048000200016 
   11.        24.         6.0      10.3        1.3                C048000200017 
   12.        28.         3.0       1.31       0.14               C048000200018 
   12.        28.         6.0       2.44       0.22               C048000200019 
   23.        48.         3.0       0.58       0.07               C048000200020 
   23.        48.         6.0       1.15       0.15               C048000200021 
   26.        59.         0.49      0.36       0.04               C048000200022 
   26.        59.         1.0       0.62       0.06               C048000200023 
   26.        59.         3.0       1.14       0.10               C048000200024 
   26.        59.         6.0       1.41       0.15               C048000200025 
   30.        65.         0.49      0.22       0.03               C048000200026 
   30.        65.         1.0       0.71       0.08               C048000200027 
   30.        65.         3.0       2.00       0.18               C048000200028 
   30.        65.         6.0       3.08       0.25               C048000200029 
   34.        75.         0.49      0.53       0.10               C048000200030 
   34.        75.         1.0       1.35       0.14               C048000200031 
   34.        75.         3.0       2.96       0.30               C048000200032 
   34.        75.         6.0       4.33       0.40               C048000200033 
   37.        83.         0.49      1.49       0.18               C048000200034 
   37.        83.         1.0       2.50       0.23               C048000200035 
   37.        83.         3.0       4.47       0.35               C048000200036 
   37.        83.         6.0       6.20       0.6                C048000200037 
   39.        87.         0.2       0.23       0.06               C048000200038 
   39.        87.         0.49      1.1        0.13               C048000200039 
   39.        87.         1.0       1.90       0.21               C048000200040 
   39.        87.         3.0       4.78       0.35               C048000200041 
   39.        87.         6.0       6.22       0.55               C048000200042 
   40.        89.         0.2       0.14       0.05               C048000200043 
   40.        89.         0.49      0.94       0.12               C048000200044 
   40.        89.         1.0       1.53       0.12               C048000200045 
   40.        89.         3.0       3.89       0.30               C048000200046 
   40.        89.         6.0       5.17       0.37               C048000200047 
   40.        95.         0.2       0.48       0.10               C048000200048 
   40.        95.         0.49      0.55       0.11               C048000200049 
   40.        95.         1.0       0.44       0.06               C048000200050 
   40.        95.         3.0       0.26       0.05               C048000200051 
   40.        95.         6.0       0.26       0.05               C048000200052 
   41.        90.         1.0       0.93       0.12               C048000200053 
   41.        90.         3.0       3.18       0.25               C048000200054 
   41.        90.         6.0       4.17       0.40               C048000200055 
   44.       103.         0.2       0.96       0.11               C048000200056 
   44.       103.         0.49      1.04       0.14               C048000200057 
   44.       103.         1.0       0.72       0.09               C048000200058 
   44.       103.         3.0       0.37       0.06               C048000200059 
   44.       103.         6.0       0.41       0.05               C048000200060 
