EN         ANG        E          DATA       DATA-ERR              C0897  2   11 
MEV/A      ADEG       MEV        P/IN/MEVSR P/IN/MEVSR            C0897  2   12 
 272.        6.        310.         6.73E-06   5.90E-07           C0897  2   68 
 272.        6.        340.         2.67E-06   2.56E-07           C0897  2   69 
 272.        6.        380.         1.12E-06   1.54E-07           C0897  2   70 
 272.        6.        420.         3.32E-07   8.02E-08           C0897  2   71 
 272.        6.        460.         7.42E-08   3.72E-08           C0897  2   72 
 272.        6.        500.         7.10E-08   3.72E-08           C0897  2   73 
 272.        6.        560.         6.15E-08   2.47E-08           C0897  2   74 
 272.        6.        640.         5.61E-09   6.78E-09           C0897  2   75 
 272.        9.         25.         6.29E-06   3.75E-07           C0897  2   76 
 272.        9.         35.         8.12E-06   4.14E-07           C0897  2   77 
 272.        9.         45.         8.63E-06   3.99E-07           C0897  2   78 
 272.        9.         55.         8.78E-06   3.87E-07           C0897  2   79 
 272.        9.         65.         8.70E-06   3.79E-07           C0897  2   80 
 272.        9.         75.         1.01E-05   4.17E-07           C0897  2   81 
 272.        9.         85.         1.00E-05   4.19E-07           C0897  2   82 
 272.        9.         95.         1.07E-05   4.40E-07           C0897  2   83 
 272.        9.        105.         1.06E-05   4.39E-07           C0897  2   84 
 272.        9.        115.         1.11E-05   4.54E-07           C0897  2   85 
 272.        9.        125.         1.03E-05   4.34E-07           C0897  2   86 
 272.        9.        135.         1.05E-05   4.40E-07           C0897  2   87 
 272.        9.        145.         1.02E-05   4.31E-07           C0897  2   88 
 272.        9.        155.         1.01E-05   4.29E-07           C0897  2   89 
 272.        9.        165.         9.64E-06   4.16E-07           C0897  2   90 
 272.        9.        175.         9.55E-06   4.13E-07           C0897  2   91 
 272.        9.        185.         9.58E-06   4.16E-07           C0897  2   92 
 272.        9.        195.         8.96E-06   3.97E-07           C0897  2   93 
 272.        9.        210.         8.64E-06   3.18E-07           C0897  2   94 
 272.        9.        230.         7.34E-06   2.82E-07           C0897  2   95 
 272.        9.        250.         6.07E-06   2.46E-07           C0897  2   96 
 272.        9.        270.         5.02E-06   2.16E-07           C0897  2   97 
 272.        9.        290.         3.66E-06   1.75E-07           C0897  2   98 
 272.        9.        310.         2.39E-06   1.34E-07           C0897  2   99 
 272.        9.        340.         1.44E-06   7.52E-08           C0897  2  100 
 272.        9.        380.         6.06E-07   4.52E-08           C0897  2  101 
 272.        9.        420.         2.89E-07   3.02E-08           C0897  2  102 
 272.        9.        460.         1.80E-07   2.36E-08           C0897  2  103 
 272.        9.        500.         6.40E-08   1.39E-08           C0897  2  104 
 272.        9.        560.         3.55E-08   7.33E-09           C0897  2  105 
 272.        9.        640.         1.19E-08   4.23E-09           C0897  2  106 
 272.       12.         25.         6.35E-06   3.87E-07           C0897  2  107 
 272.       12.         35.         7.89E-06   4.21E-07           C0897  2  108 
 272.       12.         45.         8.36E-06   4.09E-07           C0897  2  109 
 272.       12.         55.         7.33E-06   3.59E-07           C0897  2  110 
 272.       12.         65.         7.75E-06   3.68E-07           C0897  2  111 
 272.       12.         75.         7.98E-06   3.74E-07           C0897  2  112 
 272.       12.         85.         7.81E-06   3.71E-07           C0897  2  113 
 272.       12.         95.         8.64E-06   4.00E-07           C0897  2  114 
 272.       12.        105.         7.78E-06   3.72E-07           C0897  2  115 
 272.       12.        115.         8.23E-06   3.89E-07           C0897  2  116 
 272.       12.        125.         7.31E-06   3.59E-07           C0897  2  117 
 272.       12.        135.         7.13E-06   3.53E-07           C0897  2  118 
 272.       12.        145.         6.63E-06   3.37E-07           C0897  2  119 
 272.       12.        155.         6.96E-06   3.49E-07           C0897  2  120 
 272.       12.        165.         6.27E-06   3.26E-07           C0897  2  121 
 272.       12.        175.         5.81E-06   3.10E-07           C0897  2  122 
 272.       12.        185.         5.37E-06   2.96E-07           C0897  2  123 
 272.       12.        195.         5.21E-06   2.90E-07           C0897  2  124 
 272.       12.        210.         4.38E-06   2.06E-07           C0897  2  125 
 272.       12.        230.         4.00E-06   1.94E-07           C0897  2  126 
 272.       12.        250.         3.06E-06   1.62E-07           C0897  2  127 
 272.       12.        270.         2.54E-06   1.44E-07           C0897  2  128 
 272.       12.        290.         1.94E-06   1.21E-07           C0897  2  129 
 272.       12.        310.         1.52E-06   1.04E-07           C0897  2  130 
 272.       12.        340.         9.03E-07   5.81E-08           C0897  2  131 
 272.       12.        380.         5.03E-07   4.14E-08           C0897  2  132 
 272.       12.        420.         2.62E-07   2.89E-08           C0897  2  133 
 272.       12.        460.         1.42E-07   2.09E-08           C0897  2  134 
 272.       12.        500.         1.15E-07   1.88E-08           C0897  2  135 
 272.       12.        560.         4.39E-08   8.20E-09           C0897  2  136 
 272.       12.        640.         1.58E-08   4.92E-09           C0897  2  137 
 272.       16.         25.         5.16E-06   2.51E-07           C0897  2  138 
 272.       16.         35.         6.51E-06   2.80E-07           C0897  2  139 
 272.       16.         45.         6.10E-06   2.51E-07           C0897  2  140 
 272.       16.         55.         5.88E-06   2.35E-07           C0897  2  141 
 272.       16.         65.         5.87E-06   2.33E-07           C0897  2  142 
 272.       16.         75.         5.77E-06   2.30E-07           C0897  2  143 
 272.       16.         85.         5.53E-06   2.25E-07           C0897  2  144 
 272.       16.         95.         5.30E-06   2.18E-07           C0897  2  145 
 272.       16.        105.         5.08E-06   2.12E-07           C0897  2  146 
 272.       16.        115.         4.73E-06   2.03E-07           C0897  2  147 
 272.       16.        125.         4.29E-06   1.91E-07           C0897  2  148 
 272.       16.        135.         4.09E-06   1.85E-07           C0897  2  149 
 272.       16.        145.         3.76E-06   1.75E-07           C0897  2  150 
 272.       16.        155.         3.24E-06   1.58E-07           C0897  2  151 
 272.       16.        165.         3.15E-06   1.56E-07           C0897  2  152 
 272.       16.        175.         2.68E-06   1.41E-07           C0897  2  153 
 272.       16.        185.         2.64E-06   1.40E-07           C0897  2  154 
 272.       16.        195.         2.12E-06   1.22E-07           C0897  2  155 
 272.       16.        210.         1.87E-06   8.74E-08           C0897  2  156 
 272.       16.        230.         1.48E-06   7.56E-08           C0897  2  157 
 272.       16.        250.         1.23E-06   6.73E-08           C0897  2  158 
 272.       16.        270.         9.51E-07   5.80E-08           C0897  2  159 
 272.       16.        290.         7.31E-07   4.98E-08           C0897  2  160 
 272.       16.        310.         5.21E-07   4.11E-08           C0897  2  161 
 272.       16.        340.         3.74E-07   2.52E-08           C0897  2  162 
 272.       16.        380.         2.28E-07   1.90E-08           C0897  2  163 
 272.       16.        420.         9.46E-08   1.19E-08           C0897  2  164 
 272.       16.        460.         6.27E-08   9.65E-09           C0897  2  165 
 272.       16.        500.         3.59E-08   7.27E-09           C0897  2  166 
 272.       16.        560.         1.70E-08   3.54E-09           C0897  2  167 
 272.       16.        640.         7.46E-09   2.34E-09           C0897  2  168 
 272.       16.        720.         3.79E-09   1.67E-09           C0897  2  169 
 272.       20.         25.         4.28E-06   2.70E-07           C0897  2  170 
 272.       20.         35.         5.00E-06   2.95E-07           C0897  2  171 
 272.       20.         45.         5.04E-06   2.84E-07           C0897  2  172 
 272.       20.         55.         4.54E-06   2.54E-07           C0897  2  173 
 272.       20.         65.         4.56E-06   2.54E-07           C0897  2  174 
 272.       20.         75.         4.45E-06   2.49E-07           C0897  2  175 
 272.       20.         85.         4.38E-06   2.47E-07           C0897  2  176 
 272.       20.         95.         4.04E-06   2.31E-07           C0897  2  177 
 272.       20.        105.         3.51E-06   2.08E-07           C0897  2  178 
 272.       20.        115.         3.41E-06   2.04E-07           C0897  2  179 
 272.       20.        125.         3.18E-06   1.94E-07           C0897  2  180 
 272.       20.        135.         2.75E-06   1.74E-07           C0897  2  181 
 272.       20.        145.         2.44E-06   1.59E-07           C0897  2  182 
 272.       20.        155.         2.45E-06   1.59E-07           C0897  2  183 
 272.       20.        165.         2.04E-06   1.39E-07           C0897  2  184 
 272.       20.        175.         1.86E-06   1.31E-07           C0897  2  185 
 272.       20.        185.         1.68E-06   1.22E-07           C0897  2  186 
