EN         ELEMENT    MASS       DATA       DATA-ERR              C030600200013 
MEV        NO-DIM     NO-DIM     MB         MB                    C030600200014 
 127.3      24.        52.         23.        3.                  C030600200099 
 127.3      24.        53.          6.        3.                  C030600200100 
 127.3      24.        54.          5.        2.                  C030600200101 
 127.3      25.        51.         12.        3.                  C030600200102 
 127.3      25.        52.         10.        5.                  C030600200103 
 127.3      25.        53.         24.        4.                  C030600200104 
 127.3      25.        54.         93.        6.                  C030600200105 
 127.3      25.        55.         37.        5.                  C030600200106 
 127.3      26.        53.          2.        1.                  C030600200107 
 127.3      26.        54.         18.        4.                  C030600200108 
 127.3      26.        55.         47.        6.                  C030600200109 
 127.3      26.        56.        160.       10.                  C030600200110 
 127.3      26.        57.         76.       16.                  C030600200111 
 127.3      26.        58.         18.        6.                  C030600200112 
 127.3      27.        56.         23.        5.                  C030600200113 
 127.3      27.        57.         26.        7.                  C030600200114 
 127.3      27.        58.        121.        8.                  C030600200115 
 127.3      27.        59.         58.        8.                  C030600200116 
 127.3      28.        58.         20.        4.                  C030600200117 
 127.3      28.        59.         87.        8.                  C030600200118 
 127.3      28.        60.         22.        4.                  C030600200119 
 149.5      22.        48.          6.        3.                  C030600200120 
 149.5      23.        48.         12.        3.                  C030600200121 
 149.5      23.        49.         20.        5.                  C030600200122 
 149.5      23.        50.         26.       13.                  C030600200123 
 149.5      24.        50.         21.        4.                  C030600200124 
 149.5      24.        51.         32.        6.                  C030600200125 
 149.5      24.        52.         48.        6.                  C030600200126 
 149.5      24.        53.         13.       11.                  C030600200127 
 149.5      24.        54.         10.       10.                  C030600200128 
 149.5      25.        51.         13.        3.                  C030600200129 
 149.5      25.        52.         10.        5.                  C030600200130 
 149.5      25.        53.         62.        5.                  C030600200131 
 149.5      25.        54.         92.       10.                  C030600200132 
 149.5      25.        55.         40.       20.                  C030600200133 
 149.5      26.        53.          4.        2.                  C030600200134 
 149.5      26.        54.         43.        5.                  C030600200135 
 149.5      26.        55.         95.       15.                  C030600200136 
 149.5      26.        56.        270.       20.                  C030600200137 
 149.5      26.        57.        175.       30.                  C030600200138 
 149.5      26.        58.         26.        4.                  C030600200139 
 149.5      26.        59.          8.        8.                  C030600200140 
 149.5      27.        56.         31.        5.                  C030600200141 
 149.5      27.        57.         56.       16.                  C030600200142 
 149.5      27.        58.        138.       15.                  C030600200143 
 149.5      27.        59.         91.       18.                  C030600200144 
 149.5      28.        58.         16.        3.                  C030600200145 
 149.5      28.        59.         54.       12.                  C030600200146 
 149.5      28.        60.         25.        5.                  C030600200147 
ENDDATA            135          0                                 C030600200148 
ENDSUBENT          147          0                                 C030600299999 
SUBENT        C0306003   19980521                             0000C030600300001 
BIB                  5          8                                 C030600300002 
REACTION   (27-CO-59(A,X)ELEM/MASS,,SIG)                          C030600300003 
SAMPLE     Target assemblies consisted of a stack of Co foils     C030600300004 
            (each about 5-6 mg/cm2 thick) and Al forward and      C030600300005 
            backward catchers interspersed with beam energy       C030600300006 
            degraders.                                            C030600300007 
METHOD     (ACTIV,BCINT)                                          C030600300008 
ERR-ANALYS (DATA-ERR) Not analysed in detail.                     C030600300009 
HISTORY    (19980520A) Products corrected.                        C030600300010 
ENDBIB               8          0                                 C030600300011 
NOCOMMON             0          0                                 C030600300012 
DATA                 6        196                                 C030600300013 
EN         ELEMENT    MASS       ISOMER     DATA       DATA-ERR   C030600300014 
MEV        NO-DIM     NO-DIM     NO-DIM     MB         MB         C030600300015 
  20.1      27.        58.                    34.        6.       C030600300016 
  20.1      29.        61.                   230.       20.       C030600300017 
  26.8      27.        57.                     0.9       0.4      C030600300018 
  26.8      27.        58.                   183.       15.       C030600300019 
  26.8      29.        61.                   473.       40.       C030600300020 
  37.1      25.        54.                     6.1       0.6      C030600300021 
  37.1      27.        56.                     0.2       0.1      C030600300022 
  37.1      27.        57.                   166.       10.       C030600300023 
  37.1      27.        58.                   173.       10.       C030600300024 
  37.1      27.        60.                    40.        6.       C030600300025 
  39.8      27.        61.                     8.4       0.2      C030600300026 
  39.8      29.        60.                    59.        4.       C030600300027 
  39.8      29.        61.                    72.        5.       C030600300028 
  48.8      25.        54.                    30.        2.       C030600300029 
  48.8      26.        58.                     0.5        .2      C030600300030 
  48.8      27.        56.                    17.        1.       C030600300031 
  48.8      27.        57.                   181.       10.       C030600300032 
  48.8      27.        58.                   103.       10.       C030600300033 
  48.8      27.        60.                    63.       10.       C030600300034 
  54.5      25.        56.                     3.5       0.5      C030600300035 
  54.5      27.        61.                     2.6       0.5      C030600300036 
  54.5      29.        61.                    21.        3.       C030600300037 
  60.4      25.        52.        0.           0.26      0.07     C030600300038 
  60.4      25.        54.                    20.        2.       C030600300039 
  60.4      26.        59.                     2.6       0.3      C030600300040 
  60.4      27.        56.                    52.        3.       C030600300041 
  60.4      27.        57.                    98.        6.       C030600300042 
  60.4      27.        58.                   179.       10.       C030600300043 
  60.4      27.        60.                    48.        9.       C030600300044 
  60.4      28.        57.                     0.5       0.2      C030600300045 
  69.5      25.        52.        0.           6.2       1.0      C030600300046 
  69.5      25.        56.                     8.9       1.0      C030600300047 
  69.5      27.        55.                     2.8       0.6      C030600300048 
  69.5      27.        61.                     2.0       0.4      C030600300049 
  69.5      29.        61.                    11.4       1.0      C030600300050 
  71.1      25.        52.        0.           6.8       0.4      C030600300051 
  71.1      25.        54.                    16.        2.       C030600300052 
  71.1      26.        59.                     3.3       0.3      C030600300053 
  71.1      27.        55.                     3.4       1.2      C030600300054 
  71.1      27.        56.                    36.7       1.5      C030600300055 
  71.1      27.        57.                    93.        6.       C030600300056 
  71.1      27.        58.                   282.       15.       C030600300057 
  71.1      27.        60.                    40.        9.       C030600300058 
  71.1      28.        57.                     1.0       0.4      C030600300059 
  81.5      23.        48.                     0.18      0.05     C030600300060 
  81.5      24.        51.                     8.        1.       C030600300061 
  81.5      25.        52.        0.          15.        1.       C030600300062 
  81.5      25.        54.                    48.        3.       C030600300063 
  81.5      26.        59.                     2.9       0.3      C030600300064 
  81.5      27.        55.                     4.6       0.4      C030600300065 
  81.5      27.        56.                    26.        1.       C030600300066 
  81.5      27.        57.                   147.        8.       C030600300067 
  81.5      27.        58.                   284.       15.       C030600300068 
  81.5      27.        60.                    38.        9.       C030600300069 
  81.5      28.        57.                     2.6       0.6      C030600300070 
  81.8      25.        52.        0.          12.3       0.5      C030600300071 
  81.8      25.        56.                     7.4       1.0      C030600300072 
  81.8      27.        55.                     4.1       0.7      C030600300073 
  81.8      27.        61.                     1.7       0.3      C030600300074 
  81.8      29.        60.                     6.4       1.0      C030600300075 
  81.8      29.        61.                     6.3       1.0      C030600300076 
  92.4      23.        48.                     1.1       0.2      C030600300077 
  92.4      24.        51.                    31.        2.       C030600300078 
  92.4      25.        52.        0.          12.8       0.5      C030600300079 
  92.4      25.        54.                    93.        8.       C030600300080 
  92.4      26.        59.                     3.0       0.3      C030600300081 
  92.4      27.        56.                    30.2       0.8      C030600300082 
  92.4      27.        57.                   180.        8.       C030600300083 
  92.4      27.        58.                   252.       15.       C030600300084 
  92.4      27.        60.                    35.        9.       C030600300085 
  92.4      28.        57.                     4.0       0.4      C030600300086 
  93.6      25.        52.        0.          10.8       1.0      C030600300087 
  93.6      25.        52.        1.           1.7       0.3      C030600300088 
  93.6      25.        56.                     7.2       0.4      C030600300089 
  93.6      27.        55.                     4.0       1.0      C030600300090 
  93.6      27.        61.                     1.6       0.3      C030600300091 
  93.6      29.        60.                     3.8       1.0      C030600300092 
  93.6      29.        61.                     4.6       0.6      C030600300093 
 102.9      25.        52.        0.          10.5       1.5      C030600300094 
 102.9      25.        56.                     8.0       1.2      C030600300095 
 102.9      27.        61.                     1.4       0.3      C030600300096 
 102.9      28.        57.                     4.1       0.7      C030600300097 
 102.9      29.        61.                     3.2       0.6      C030600300098 
 103.1      21.        46.                     0.38      0.07     C030600300099 
 103.1      21.        47.                     0.3       0.1      C030600300100 
 103.1      21.        48.                     0.1       0.1      C030600300101 
 103.1      23.        48.                     2.8       0.3      C030600300102 
 103.1      24.        51.                    45.        2.       C030600300103 
 103.1      25.        52.        0.          12.9       0.4      C030600300104 
 103.1      25.        54.                   107.       10.       C030600300105 
 103.1      26.        59.                     3.0       0.3      C030600300106 
 103.1      27.        55.                     3.7       0.3      C030600300107 
 103.1      27.        56.                    40.3       1.0      C030600300108 
 103.1      27.        57.                   177.        8.       C030600300109 
 103.1      27.        58.                   240.       15.       C030600300110 
 103.1      27.        60.                    35.        9.       C030600300111 
