EN         ELEMENT    MASS       DATA       DATA-ERR              C030600200013 
MEV        NO-DIM     NO-DIM     MB         MB                    C030600200014 
 146.3      26.        58.                     0.4       0.1      C030600400142 
 146.3      27.        55.                     1.6       0.5      C030600400143 
 146.3      27.        56.                     6.2       0.5      C030600400144 
 146.3      27.        57.                    40.        3.       C030600400145 
 146.3      27.        58.                   133.        9.       C030600400146 
 146.3      27.        60.                   160.       10.       C030600400147 
 146.3      29.        61.                     3.6       0.2      C030600400148 
ENDDATA            135          0                                 C030600400149 
ENDSUBENT          148          0                                 C030600499999 
ENDENTRY             4          0                                 C030699999999 
