ANG        EN         DATA       ERR-S                            C082700200017 
ADEG       MEV        MB/SR      MB/SR                            C082700200018 
       98.8     4.3024     42.211     1.8181                      C082700200087 
       98.8     4.3426     40.381     1.8181                      C082700200088 
       98.8       4.36      35.83     2.0453                      C082700200089 
       98.8      4.387     35.595     1.8181                      C082700200090 
       98.8     4.4047     33.317     1.8181                      C082700200091 
       98.8     4.4178     30.585     1.8181                      C082700200092 
       98.8     4.4312     29.672     1.5908                      C082700200093 
       98.8     4.4536     29.438     2.2726                      C082700200094 
       98.8     4.4671     29.207     1.8195                      C082700200095 
       98.8     4.4941     30.108     1.3649                      C082700200096 
       98.8     4.5167     30.783     1.5908                      C082700200097 
       98.8     4.5306     34.415     2.2726                      C082700200098 
       98.8     4.5488     36.227     2.2726                      C082700200099 
       98.8     4.5712     36.221     1.8181                      C082700200100 
       98.8     4.5937     35.987     2.0453                      C082700200101 
       98.8     4.6158      33.48     1.8181                      C082700200102 
       98.8     4.6383     33.246     1.8181                      C082700200103 
       98.8     4.6741     32.553     1.3649                      C082700200104 
       98.8     4.6875      31.64     1.3649                      C082700200105 
       98.8     4.7099     31.633     1.3622                      C082700200106 
       98.8      4.728     32.764     1.1349                      C082700200107 
       98.8     4.7506     33.439     1.1363                      C082700200108 
       98.8     4.7775     33.204     1.1363                      C082700200109 
       98.8     4.8045     33.195     1.1363                      C082700200110 
       98.8      4.818     33.419     1.1363                      C082700200111 
       98.8     4.8404     32.957     1.1363                      C082700200112 
       98.8     4.8584     33.634    0.90905                      C082700200113 
       98.8     4.8854     33.625     1.5908                      C082700200114 
       98.8     4.9035     35.211     1.8181                      C082700200115 
       98.8     4.9305     35.657     1.3636                      C082700200116 
       98.8     4.9486     36.334     1.8181                      C082700200117 
       98.8      4.971     36.327     1.5908                      C082700200118 
       98.8     4.9891     37.458     1.5922                      C082700200119 
       98.8     5.0027     38.135     1.8181                      C082700200120 
       98.8     5.0298     39.491     1.8195                      C082700200121 
       98.8     5.0523     39.484     1.8181                      C082700200122 
       98.8     5.0747      39.25     1.8195                      C082700200123 
       98.8     5.0884     41.518     1.8181                      C082700200124 
       98.8     5.1111     43.102     1.5908                      C082700200125 
       98.8     5.1336     43.323      2.274                      C082700200126 
       98.8     5.1471        44.     2.0453                      C082700200127 
       98.8      5.161     46.951     2.5012                      C082700200128 
       98.8     5.1789     46.945      2.274                      C082700200129 
       98.8     5.2017     49.893     2.9558                      C082700200130 
       98.8     5.2243     50.568     2.4999                      C082700200131 
       98.8      5.238     52.609     3.4089                      C082700200132 
       98.8     5.2605     52.602     2.2726                      C082700200133 
       98.8     5.2688     47.145     2.0453                      C082700200134 
       98.8     5.2863     42.822     2.9544                      C082700200135 
       98.8     5.3086     42.133     2.7271                      C082700200136 
       98.8     5.3263     39.628     2.4999                      C082700200137 
       98.8     5.3489      40.53     2.7271                      C082700200138 
       98.8     5.3669     40.752     2.2726                      C082700200139 
       98.8     5.3846     38.474     3.1817                      C082700200140 
       98.8     5.3984     41.424     2.4999                      C082700200141 
       98.8     5.4162     40.283     2.7285                      C082700200142 
       98.8     5.4382     35.731     2.7258                      C082700200143 
       98.8     5.4599     30.042     1.3622                      C082700200144 
       98.8     5.4819     25.945     1.5908                      C082700200145 
       98.8      5.495     22.986     1.3636                      C082700200146 
       98.8     5.5219     22.524     1.5922                      C082700200147 
       98.8     5.5404     26.382     1.3636                      C082700200148 
