ENTRY            C1559   20120705                             C120C155900000001 
SUBENT        C1559001   20120705                             C120C155900100001 
BIB                 11         27                                 C155900100002 
INSTITUTE  (1USAMRY,1USAMHD,3SAFNAC,1USAOBR,1USAIOW,1USAMSU)      C155900100003 
REFERENCE  (J,PR/C,31,1662,1985)                                  C155900100004 
AUTHOR     (C.W.Wang,P.G.Roos,N.S.Chant,G.Ciangaru,F.Khazaie,     C155900100005 
            D.J.Mack,A.Nadasen,S.J.Mills,R.E.Warner,E.Norbeck,    C155900100006 
            F.D.Becchetti,J.W.Janecke,P.M.Lister)                 C155900100007 
TITLE      9Be(p,p+alpha)5He cluster knockout reaction with       C155900100008 
            150 MeV polarized protons                             C155900100009 
FACILITY   (CYCLO,1USAINU) Indiana University  cyclotron facility C155900100010 
INC-SPECT  Polarized proton beam  at En = 150.5 MeV               C155900100011 
DETECTOR   (TELES,SIBAR,CSICR,SILI) Two detector telescopes       C155900100012 
           consisting of a 1000 microm solicon surface barrier    C155900100013 
           detector followed by a sodium iodide scintillator. A   C155900100014 
           150 microm silicon surface barrier dE-detector and a   C155900100015 
           5 mm Si(Li) E-detector formed another telescope for    C155900100016 
           alpha detection                                        C155900100017 
METHOD     (EDE,COINC)                                            C155900100018 
SAMPLE     Besides the 2.5 mg/cm2 thick 9Be target, a 3.1 mg/cm2  C155900100019 
           CH2 target, a 3.32 mg/cm2 CD2 target, and a blank      C155900100020 
           target were mounted on a target ladder.                C155900100021 
MONITOR    The angular separation between the two detectors was   C155900100022 
            calibrated by using a coincident measurement of p-d   C155900100023 
            scattering on CD2 target                              C155900100024 
HISTORY    (20070615C) DR                                         C155900100025 
           (20120705A) SD: BIB updated. Subents 2,3 deleted (data C155900100026 
           of the quasifree peak (zero recoil momentum) as a      C155900100027 
           function of the two-body p-alpha c.m. scattering angle C155900100028 
           are presented). Subents 4,5 added.                     C155900100029 
ENDBIB              27          0                                 C155900100030 
COMMON               1          3                                 C155900100031 
EN                                                                C155900100032 
MEV                                                               C155900100033 
150.5                                                             C155900100034 
ENDCOMMON            3          0                                 C155900100035 
ENDSUBENT           34          0                                 C155900199999 
NOSUBENT      C1559002   20120705                             C120C155900200001 
NOSUBENT      C1559003   20120705                             C120C155900300001 
SUBENT        C1559004   20120705                             C120C155900400001 
BIB                  3          7                                 C155900400002 
REACTION   (4-BE-9(P,P+A)2-HE-5,,DA/DA/DE,P/A/P)                  C155900400003 
           ANG1 Proton detector angle                             C155900400004 
           ANG2 Alpha detector angle                              C155900400005 
ERR-ANALYS (ERR-S) Statistical error                              C155900400006 
           (E-ERR-DIG) Digitizing error                           C155900400007 
           (ERR-DIG)    Digitizing error                          C155900400008 
STATUS     (CURVE)SD:Digitized data from figs.3-10 of PR/C,31,1662C155900400009 
ENDBIB               7          0                                 C155900400010 
COMMON               2          3                                 C155900400011 
E-ERR-DIG  ERR-DIG                                                C155900400012 
MEV        PER-CENT                                               C155900400013 
 0.07        0.4                                                  C155900400014 
ENDCOMMON            3          0                                 C155900400015 
DATA                 5        220                                 C155900400016 
ANG1       ANG2       E          DATA       ERR-S                 C155900400017 
ADEG       ADEG       MEV        MUB/SR2MEV MUB/SR2MEV            C155900400018 
        25.      -72.8      95.48     1.2968     0.6416           C155900400019 
        25.      -72.8      97.18     2.0068     0.7839           C155900400020 
        25.      -72.8      99.35     2.3633     0.9128           C155900400021 
        25.      -72.8     101.56     2.6717     0.9175           C155900400022 
        25.      -72.8     103.46     6.3179     1.3340           C155900400023 
        25.      -72.8     105.68     6.5825     1.5160           C155900400024 
        25.      -72.8     107.72     8.9563     1.7222           C155900400025 
        25.      -72.8     109.84    10.9180     1.9369           C155900400026 
        25.      -72.8     111.88    16.4770     2.4417           C155900400027 
        25.      -72.8     113.75    22.6310     2.8684           C155900400028 
        25.      -72.8     115.80    20.0890     2.4753           C155900400029 
        25.      -72.8     117.75    35.9220     3.6734           C155900400030 
        25.      -72.8     120.00    37.3090     4.0740           C155900400031 
        25.      -72.8     121.83    53.5470     4.7386           C155900400032 
        25.      -72.8     124.04    64.0570     5.2319           C155900400033 
        25.      -72.8     126.12    76.1480     5.1912           C155900400034 
        25.      -72.8     128.04    98.2220     5.0615           C155900400035 
        25.      -72.8     130.03   136.6100     7.4917           C155900400036 
        25.      -72.8     132.03   180.1300     8.6871           C155900400037 
        25.      -72.8     134.07   210.8000     8.7825           C155900400038 
        25.      -72.8     136.07   310.2500     6.8957           C155900400039 
        25.      -72.8     137.90   355.1600    10.1820           C155900400040 
        25.      -72.8     140.07   364.2700    10.4430           C155900400041 
        25.      -72.8     142.13   124.8600     3.5789           C155900400042 
        25.      -72.8     144.07    26.3030     3.1777           C155900400043 
        25.      -72.8     146.22    11.3390     1.9768           C155900400044 
        25.      -72.8     148.03     3.3956     0.9425           C155900400045 
        30.      -69.8      93.35     3.3567     0.9539           C155900400046 
        30.      -69.8      94.96     3.8522     1.0333           C155900400047 
        30.      -69.8      97.03     5.7130     1.2655           C155900400048 
        30.      -69.8      99.02     5.1056     1.1897           C155900400049 
        30.      -69.8     101.09     8.1618     1.5313           C155900400050 
        30.      -69.8     103.29     8.6358     1.4928           C155900400051 
        30.      -69.8     105.41    11.3020     1.6657           C155900400052 
        30.      -69.8     107.32    11.1980     1.4999           C155900400053 
        30.      -69.8     109.35    11.9600     1.5043           C155900400054 
        30.      -69.8     111.25    19.2380     2.3593           C155900400055 
        30.      -69.8     113.87    22.8520     2.9634           C155900400056 
        30.      -69.8     116.07    33.3650     3.1665           C155900400057 
        30.      -69.8     118.02    43.1220     3.0703           C155900400058 
        30.      -69.8     119.88    54.8660     2.9951           C155900400059 
        30.      -69.8     121.74    74.5470     4.0698           C155900400060 
        30.      -69.8     123.86    94.8530     5.4905           C155900400061 
        30.      -69.8     125.85   107.5100     8.3768           C155900400062 
        30.      -69.8     127.92   157.4500    10.1590           C155900400063 
        30.      -69.8     129.91   200.9700     9.6489           C155900400064 
        30.      -69.8     131.85   258.1100    10.7060           C155900400065 
        30.      -69.8     133.80   338.8400    12.9550           C155900400066 
        30.      -69.8     135.91   415.2700    13.1850           C155900400067 
        30.      -69.8     137.99   410.1700    16.3380           C155900400068 
