ENTRY            C0545   20000510                             0000C054500000001 
SUBENT        C0545001   20000510                             0000C054500100001 
BIB                  9         19                                 C054500100002 
INSTITUTE  (1USAGEO,2FR PAR,1USARUT,1USALAS,1USAMIN,1USATEX,      C054500100003 
           2FR GRE)                                               C054500100004 
REFERENCE  (J,PR/C,61,037302,200003)                              C054500100005 
           (J,PR/C,40,1877,198911)                                C054500100006 
           (J,PR/C,37,1350,198803)                                C054500100007 
           (J,PRL,58,2404,198706)                                 C054500100008 
AUTHOR     (F.T.BAKER,L.BIMBOT,G.EDWARDS,C.GLASHAUSSER,A.GREEN,   C054500100009 
           K.JONES,D.MIHAILIDIS,D.READ,A.SETHI,B.H.STORM JR,      C054500100010 
           R.DESWINARSKI)                                         C054500100011 
TITLE      Spin excitations in the 40Ca(p(pol),p'(pol)) reaction  C054500100012 
            revisited                                             C054500100013 
FACILITY   (MESON,1USALAS)                                        C054500100014 
INC-SOURCE (POLIS) Transversely polarized beam.                   C054500100015 
DETECTOR   (MAGSP)                                                C054500100016 
STATUS     (APRVD) Approved by F.T. Baker, 4 August 1999.         C054500100017 
           Updated data received by email from T. Baker,          C054500100018 
            31 March 2000.                                        C054500100019 
HISTORY    (19990723C) VM                                         C054500100020 
           (20000412A) Data replaced, reference updated.          C054500100021 
ENDBIB              19          0                                 C054500100022 
COMMON               2          3                                 C054500100023 
EN         E-ERR                                                  C054500100024 
MEV        KEV                                                    C054500100025 
319.       250.                                                   C054500100026 
ENDCOMMON            3          0                                 C054500100027 
ENDSUBENT           26          0                                 C054500199999 
SUBENT        C0545002   20000412                             0000C054500200001 
BIB                  3          6                                 C054500200002 
REACTION   (20-CA-40(P,INL)20-CA-40,,DA/DE)                       C054500200003 
MONITOR    (1-H-1(P,EL)1-H-1,,DA)                                 C054500200004 
            Data taken from private communication, Arndt and      C054500200005 
            Roper.                                                C054500200006 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C054500200007 
           (DATA-ERR) Estimate of absolute uncertainty.           C054500200008 
ENDBIB               6          0                                 C054500200009 
COMMON               1          3                                 C054500200010 
DATA-ERR                                                          C054500200011 
PER-CENT                                                          C054500200012 
 10.                                                              C054500200013 
ENDCOMMON            3          0                                 C054500200014 
DATA                 4        260                                 C054500200015 
ANG        E-EXC      DATA       ERR-S                            C054500200016 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        C054500200017 
  3.5        6.9       7.9834E-01 1.6667E-02                      C054500200018 
  3.5        8.7       9.9678E-01 2.2222E-02                      C054500200019 
  3.5       10.5       7.8260E-01 1.1111E-02                      C054500200020 
  3.5       12.3       1.2064E+00 2.7778E-02                      C054500200021 
  3.5       14.1       1.7700E+00 4.4445E-02                      C054500200022 
  3.5       14.8       1.7483E+00 5.0000E-02                      C054500200023 
  3.5       16.6       2.1438E+00 6.1111E-02                      C054500200024 
  3.5       18.4       2.7391E+00 8.3333E-02                      C054500200025 
  3.5       20.2       2.5852E+00 7.2222E-02                      C054500200026 
  3.5       22.0       2.1764E+00 5.5555E-02                      C054500200027 
  3.5       22.7       1.7131E+00 5.0000E-02                      C054500200028 
  3.5       24.5       1.4252E+00 3.8889E-02                      C054500200029 
  3.5       26.3       1.2795E+00 2.7778E-02                      C054500200030 
  3.5       28.1       1.2703E+00 2.7777E-02                      C054500200031 
  3.5       29.9       1.2849E+00 2.7778E-02                      C054500200032 
  3.5       30.9       1.1323E+00 2.7778E-02                      C054500200033 
  3.5       32.7       1.0991E+00 2.2222E-02                      C054500200034 
  3.5       34.5       1.0807E+00 2.2222E-02                      C054500200035 
  3.5       36.3       1.1107E+00 2.2222E-02                      C054500200036 
  3.5       38.1       9.5711E-01 1.6667E-02                      C054500200037 
  5.0        6.9       9.3350E-01 1.6667E-02                      C054500200038 
  5.0        8.7       1.4131E+00 3.3333E-02                      C054500200039 
  5.0       10.5       8.4521E-01 1.1111E-02                      C054500200040 
  5.0       12.3       1.2754E+00 2.7778E-02                      C054500200041 
  5.0       14.1       1.7110E+00 3.8886E-02                      C054500200042 
  5.0       14.8       1.8539E+00 4.9990E-02                      C054500200043 
  5.0       16.6       2.2887E+00 6.6660E-02                      C054500200044 
  5.0       18.4       2.6397E+00 7.7780E-02                      C054500200045 
  5.0       20.2       2.3172E+00 6.1110E-02                      C054500200046 
  5.0       22.0       2.0584E+00 5.0000E-02                      C054500200047 
  5.0       22.7       1.6955E+00 4.4440E-02                      C054500200048 
  5.0       24.5       1.5218E+00 3.8890E-02                      C054500200049 
  5.0       26.3       1.3727E+00 3.3330E-02                      C054500200050 
  5.0       28.1       1.3469E+00 2.7780E-02                      C054500200051 
  5.0       29.9       1.2914E+00 2.7780E-02                      C054500200052 
  5.0       30.9       1.1675E+00 2.7770E-02                      C054500200053 
  5.0       32.7       1.1595E+00 2.2220E-02                      C054500200054 
  5.0       34.5       1.1118E+00 2.2226E-02                      C054500200055 
  5.0       36.3       1.1043E+00 2.2222E-02                      C054500200056 
  5.0       38.1       1.0358E+00 1.6667E-02                      C054500200057 
  7.0        6.9       2.2530E+00 6.5427E-02                      C054500200058 
  7.0        8.7       2.0729E+00 6.0415E-02                      C054500200059 
  7.0       10.5       1.0940E+00 3.3399E-02                      C054500200060 
  7.0       12.3       1.7558E+00 5.1654E-02                      C054500200061 
  7.0       14.1       2.3321E+00 6.7505E-02                      C054500200062 
  7.0       14.8       2.3296E+00 6.7250E-02                      C054500200063 
  7.0       16.6       2.7259E+00 7.8155E-02                      C054500200064 
  7.0       18.4       3.0013E+00 8.5735E-02                      C054500200065 
  7.0       20.2       2.4987E+00 7.1884E-02                      C054500200066 
  7.0       22.0       2.0467E+00 5.9418E-02                      C054500200067 
  7.0       22.7       1.7767E+00 5.0988E-02                      C054500200068 
  7.0       24.5       1.6187E+00 4.6635E-02                      C054500200069 
  7.0       26.3       1.5080E+00 4.3585E-02                      C054500200070 
  7.0       28.1       1.4775E+00 4.2743E-02                      C054500200071 
  7.0       29.9       1.3729E+00 3.9860E-02                      C054500200072 
  7.0       30.9       1.2563E+00 3.6065E-02                      C054500200073 
  7.0       32.7       1.2577E+00 3.6104E-02                      C054500200074 
  7.0       34.5       1.1738E+00 3.3793E-02                      C054500200075 
  7.0       36.3       1.1155E+00 3.2187E-02                      C054500200076 
  7.0       38.1       1.0437E+00 3.0213E-02                      C054500200077 
  7.0       38.9       1.0260E+00 2.9489E-02                      C054500200078 
  7.0       40.7       9.9615E-01 2.8667E-02                      C054500200079 
  7.0       42.5       9.4804E-01 2.7341E-02                      C054500200080 
