E-LVL      ANG-CM     DATA-CM    ERR-T                            C188100200012 
KEV        ADEG       MB/SR      MB/SR                            C188100200013 
     6333.0       11.0   1.56E+00   1.93E-01                      C188100200074 
     6333.0       12.0   1.24E+00   1.76E-01                      C188100200075 
     6333.0       13.0   1.01E+00   1.51E-01                      C188100200076 
     6333.0       14.0   1.21E+00   1.57E-01                      C188100200077 
     6333.0       15.0   1.21E+00   1.65E-01                      C188100200078 
     6333.0       16.0   1.01E+00   1.31E-01                      C188100200079 
     6333.0       17.0   1.17E+00   1.60E-01                      C188100200080 
     6333.0       18.0   1.22E+00   1.66E-01                      C188100200081 
     6333.0       19.0   8.70E-01   1.30E-01                      C188100200082 
     6333.0       20.0   1.06E+00   1.45E-01                      C188100200083 
     6333.0       21.0   8.15E-01   1.27E-01                      C188100200084 
     6333.0       22.0   1.13E+00   1.55E-01                      C188100200085 
     6333.0       23.0   1.02E+00   1.52E-01                      C188100200086 
     6333.0       24.0   6.99E-01   1.13E-01                      C188100200087 
     6333.0       25.0   8.97E-01   1.28E-01                      C188100200088 
     6333.0       26.0   7.98E-01   1.29E-01                      C188100200089 
     6333.0       27.0   8.78E-01   1.52E-01                      C188100200090 
     6333.0       28.0   6.55E-01   1.37E-01                      C188100200091 
     6333.0       29.0   8.91E-01   1.33E-01                      C188100200092 
     6333.0       30.0   5.87E-01   1.16E-01                      C188100200093 
     6333.0       31.0   6.14E-01   1.35E-01                      C188100200094 
     6333.0       32.0   2.74E-01   8.27E-02                      C188100200095 
     6333.0       33.0   4.96E-01   1.07E-01                      C188100200096 
     6333.0       34.0   5.19E-01   1.14E-01                      C188100200097 
     6333.0       35.0   1.82E-01   6.81E-02                      C188100200098 
     6333.0       36.0   3.27E-01   9.70E-02                      C188100200099 
     6333.0       37.0   4.61E-01   1.22E-01                      C188100200100 
     6333.0       38.0   1.51E-01   6.78E-02                      C188100200101 
     6333.0       39.0   9.61E-02   5.44E-02                      C188100200102 
     6333.0       40.0   2.40E-01   9.44E-02                      C188100200103 
     6333.0       41.0   1.82E-01   8.22E-02                      C188100200104 
     6333.0       42.0   2.72E-01   1.01E-01                      C188100200105 
     6333.0       43.0   1.68E-01   8.30E-02                      C188100200106 
     6333.0       44.0   2.73E-01   1.15E-01                      C188100200107 
     6333.0       45.0   2.48E-01   1.12E-01                      C188100200108 
     6333.0       46.0   2.71E-01   1.23E-01                      C188100200109 
     6333.0       47.0   2.41E-01   1.20E-01                      C188100200110 
     6333.0       48.0   3.35E-01   1.49E-01                      C188100200111 
     6333.0       49.0   1.51E-01   1.02E-01                      C188100200112 
     6333.0       50.0   2.57E-01                                 C188100200113 
     6500.0        1.0   1.05E+01                                 C188100200114 
     6500.0        2.0   9.83E+00                                 C188100200115 
     6500.0        3.0   1.01E+01                                 C188100200116 
     6500.0        4.0   9.36E+00                                 C188100200117 
     6500.0        5.0   8.51E+00                                 C188100200118 
     6500.0        6.0   8.22E+00                                 C188100200119 
