ENTRY            C0624   20120621                             C119C062400000001 
SUBENT        C0624001   20120621                             C119C062400100001 
BIB                 12         39                                 C062400100002 
INSTITUTE  (1CANMNA,1USARDL,1USAOSU,1CANTMF,1USAFSU)              C062400100003 
           (1USAUSA) + IBM, Yorktown Heights, NY                  C062400100004 
REFERENCE  (J,PR/C,33,1624,198605)                                C062400100005 
AUTHOR     (R.H.McCamis,T.N.Nasr,J.Birchall,N.E.Davison,          C062400100006 
           W.T.H.Van Oers,P.J.T.Verheijen,R.F.Carlson,A.J.Cox,    C062400100007 
           B.C.Clark,E.D.Cooper,S.Hama,R.L.Mercer)                C062400100008 
TITLE      Elastic scattering of protons from 40,42,44,48Ca from  C062400100009 
            20 to 50 MeV and nuclear matter radii                 C062400100010 
FACILITY   (CYCLO,1CANMNA)                                        C062400100011 
INC-SPECT  Incident energy spread <200 keV at 45.0 MeV.           C062400100012 
METHOD     (BCINT)                                                C062400100013 
DETECTOR   (NAICR) NaI(Tl) detector assemblies.                   C062400100014 
CORRECTION Corrected for:                                         C062400100015 
           . any oxygen contamination in targets,                 C062400100016 
           . computer deadtime,                                   C062400100017 
           . contributions from other Ca isotopes in target,      C062400100018 
           . proton reaction losses in detectors,                 C062400100019 
           . finite geometry.                                     C062400100020 
ERR-ANALYS (DATA-ERR) Relative uncertainty.                       C062400100021 
           (ERR-S,,1.) Statistical uncertainty <1%.               C062400100022 
            Systematic uncertainties:                             C062400100023 
           (ERR-1,,1.) Dead time correction                 <1.0% C062400100024 
           (ERR-2,,0.1)  Correction for reaction losses           C062400100025 
                                                 in NaI(Tl) <0.1% C062400100026 
           (ERR-3,,0.3)  Finite geometry correction         <0.3% C062400100027 
           (ERR-4,,1.)  Detector angle                      <1.0% C062400100028 
           (ERR-5,,1.5)  Incident proton energy             <1.5% C062400100029 
           (ERR-6,,2.)  Impurity subtraction - worst case    2.0% C062400100030 
           (ERR-SYS) Uncertainty in the absolute scale includes:  C062400100031 
           (ERR-7) Uncertainty in the detector solid angle        C062400100032 
           (ERR-8,,1.) Uncertainty in the target rotation angle   C062400100033 
           (ERR-9) Uncertainty in the beam current integration    C062400100034 
            * Uncertainty in the target thickness                 C062400100035 
STATUS     (APRVD) Approved by W.T.H. van Oers, 28 June 2000.     C062400100036 
           (TABLE) Tabulated data received from W.T.H.van Oers,   C062400100037 
                                                    5 April 2000. C062400100038 
HISTORY    (20000417C) VM                                         C062400100039 
           (20120621U) SD: Author's name corrected. BIB update.   C062400100040 
            Coded information was added to SAMPLE in Subents 2-5. C062400100041 
ENDBIB              39          0                                 C062400100042 
COMMON               4          3                                 C062400100043 
EN-ERR     ERR-SYS    ERR-7      ERR-9                            C062400100044 
KEV        PER-CENT   PER-CENT   PER-CENT                         C062400100045 
200.         3.0         1.0        1.0                           C062400100046 
ENDCOMMON            3          0                                 C062400100047 
ENDSUBENT           46          0                                 C062400199999 
SUBENT        C0624002   20120621                             C119C062400200001 
BIB                  2          3                                 C062400200002 
REACTION   (20-CA-40(P,EL)20-CA-40,,DA)                           C062400200003 
SAMPLE     (20-CA-40,ENR=0.9997) Target enriched to 99.97% 40Ca.  C062400200004 
             Areal density 6.57+-0.13 mg/cm2.                     C062400200005 
ENDBIB               3          0                                 C062400200006 
NOCOMMON             0          0                                 C062400200007 
DATA                 5        511                                 C062400200008 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C062400200009 
 27.5        0.20     121.20         2.096    2.5                 C062400200275 
 27.5        0.20     126.13         1.582    2.5                 C062400200276 
 27.5        0.20     131.06         1.104    2.8                 C062400200277 
 27.5        0.20     135.98         0.884    3.2                 C062400200278 
 27.5        0.20     140.89         0.963    3.6                 C062400200279 
 27.5        0.20     145.79         1.273    3.6                 C062400200280 
 27.5        0.20     150.69         1.656    2.9                 C062400200281 
 27.5        0.20     155.58         1.876    2.7                 C062400200282 
 27.5        0.20     160.47         1.893    2.7                 C062400200283 
 27.5        0.20     165.36         1.765    2.7                 C062400200284 
 27.5        0.20     170.24         1.567    3.3                 C062400200285 
 30.0        0.20      10.24      7832.       4.1                 C062400200286 
 30.0        0.20      12.80      4055.       3.9                 C062400200287 
 30.0        0.20      15.36      2547.       3.6                 C062400200288 
 30.0        0.20      17.92      1621.       4.3                 C062400200289 
 30.0        0.20      20.47      1034.       3.5                 C062400200290 
 30.0        0.20      23.03       589.2      3.9                 C062400200291 
 30.0        0.20      25.59       299.9      3.6                 C062400200292 
 30.0        0.20      28.14       132.3      4.0                 C062400200293 
 30.0        0.20      30.69        46.85     3.5                 C062400200294 
 30.0        0.20      33.25        29.39     4.1                 C062400200295 
 30.0        0.20      35.80        45.32     3.9                 C062400200296 
 30.0        0.20      38.34        69.90     3.9                 C062400200297 
 30.0        0.20      40.89        97.50     3.5                 C062400200298 
 30.0        0.20      43.44       113.9      3.8                 C062400200299 
 30.0        0.20      45.98       117.9      3.6                 C062400200300 
 30.0        0.20      48.52       114.8      3.2                 C062400200301 
 30.0        0.20      51.06        95.78     2.6                 C062400200302 
 30.0        0.20      53.60        77.31     3.2                 C062400200303 
 30.0        0.20      56.14        60.96     3.0                 C062400200304 
 30.0        0.20      58.67        43.07     3.8                 C062400200305 
 30.0        0.20      61.20        28.99     2.9                 C062400200306 
 30.0        0.20      63.73        20.29     3.4                 C062400200307 
 30.0        0.20      66.26        14.24     2.7                 C062400200308 
 30.0        0.20      68.78        10.58     3.6                 C062400200309 
 30.0        0.20      71.30        10.47     2.4                 C062400200310 
 30.0        0.20      73.82        11.26     2.7                 C062400200311 
 30.0        0.20      76.34        11.78     2.5                 C062400200312 
 30.0        0.20      78.85        11.87     2.7                 C062400200313 
 30.0        0.20      81.37        11.59     2.6                 C062400200314 
 30.0        0.20      86.38        10.64     3.3                 C062400200315 
 30.0        0.20      91.39         7.404    3.9                 C062400200316 
 30.0        0.20      96.38         3.709    5.3                 C062400200317 
 30.0        0.20     101.36         2.555    3.3                 C062400200318 
 30.0        0.20     106.34         1.938    3.4                 C062400200319 
 30.0        0.20     111.30         1.924    2.7                 C062400200320 
 30.0        0.20     116.26         1.987    3.4                 C062400200321 
 30.0        0.20     121.20         1.794    2.6                 C062400200322 
 30.0        0.20     126.14         1.318    3.1                 C062400200323 
 30.0        0.20     131.06         0.793    3.0                 C062400200324 
 30.0        0.20     135.98         0.480    6.6                 C062400200325 
 30.0        0.20     140.89         0.479    4.0                 C062400200326 
 30.0        0.20     145.79         0.733    4.1                 C062400200327 
 30.0        0.20     150.69         1.069    3.1                 C062400200328 
 30.0        0.20     155.59         1.313    3.4                 C062400200329 
 30.0        0.20     160.47         1.398    2.8                 C062400200330 
 30.0        0.20     165.36         1.361    3.1                 C062400200331 
 30.0        0.20     170.24         1.180    3.3                 C062400200332 
 35.0        0.20      10.24      5562.       3.2                 C062400200333 
 35.0        0.20      12.80      3426.       3.1                 C062400200334 
 35.0        0.20      15.36      2354.       2.6                 C062400200335 
 35.0        0.20      17.92      1525.       2.5                 C062400200336 
 35.0        0.20      20.48       959.1      2.4                 C062400200337 
 35.0        0.20      23.03       525.5      2.6                 C062400200338 
 35.0        0.20      25.59       267.4      2.5                 C062400200339 
 35.0        0.20      28.14       106.6      3.0                 C062400200340 
 35.0        0.20      30.70        47.86     2.5                 C062400200341 
 35.0        0.20      33.25        38.42     2.5                 C062400200342 
 35.0        0.20      35.80        58.79     2.4                 C062400200343 
 35.0        0.20      38.35        77.85     2.5                 C062400200344 
 35.0        0.20      40.90        94.19     2.4                 C062400200345 
 35.0        0.20      43.44        99.49     2.5                 C062400200346 
 35.0        0.20      45.99        99.59     2.4                 C062400200347 
 35.0        0.20      48.53        81.66     2.7                 C062400200348 
 35.0        0.20      51.07        67.73     2.4                 C062400200349 
 35.0        0.20      53.61        47.41     2.8                 C062400200350 
 35.0        0.20      56.14        35.11     2.7                 C062400200351 
 35.0        0.20      58.68        22.01     3.1                 C062400200352 
 35.0        0.20      61.21        15.05     2.6                 C062400200353 
 35.0        0.20      63.74         9.683    3.0                 C062400200354 
 35.0        0.20      66.26         8.718    2.8                 C062400200355 
 35.0        0.20      68.79         8.500    2.6                 C062400200356 
 35.0        0.20      71.31         8.606    2.5                 C062400200357 
 35.0        0.20      73.83         8.355    3.0                 C062400200358 
 35.0        0.20      76.35         8.252    2.8                 C062400200359 
 35.0        0.20      78.86         8.004    2.9                 C062400200360 
 35.0        0.20      81.37         7.681    2.5                 C062400200361 
 35.0        0.20      86.39         5.608    3.2                 C062400200362 
 35.0        0.20      91.39         3.286    3.3                 C062400200363 
 35.0        0.20      96.39         2.015    2.8                 C062400200364 
 35.0        0.20     101.37         1.250    2.4                 C062400200365 
 35.0        0.20     106.35         1.128    3.0                 C062400200366 
 35.0        0.20     111.31         1.119    2.5                 C062400200367 
 35.0        0.20     116.26         1.109    4.1                 C062400200368 
 35.0        0.20     121.21         0.864    3.0                 C062400200369 
 35.0        0.20     126.14         0.521    5.5                 C062400200370 
 35.0        0.20     131.07         0.305    2.9                 C062400200371 
 35.0        0.20     135.98         0.169    3.1                 C062400200372 
