ENTRY            C0624   20120621                             C119C062400000001 
SUBENT        C0624001   20120621                             C119C062400100001 
BIB                 12         39                                 C062400100002 
INSTITUTE  (1CANMNA,1USARDL,1USAOSU,1CANTMF,1USAFSU)              C062400100003 
           (1USAUSA) + IBM, Yorktown Heights, NY                  C062400100004 
REFERENCE  (J,PR/C,33,1624,198605)                                C062400100005 
AUTHOR     (R.H.McCamis,T.N.Nasr,J.Birchall,N.E.Davison,          C062400100006 
           W.T.H.Van Oers,P.J.T.Verheijen,R.F.Carlson,A.J.Cox,    C062400100007 
           B.C.Clark,E.D.Cooper,S.Hama,R.L.Mercer)                C062400100008 
TITLE      Elastic scattering of protons from 40,42,44,48Ca from  C062400100009 
            20 to 50 MeV and nuclear matter radii                 C062400100010 
FACILITY   (CYCLO,1CANMNA)                                        C062400100011 
INC-SPECT  Incident energy spread <200 keV at 45.0 MeV.           C062400100012 
METHOD     (BCINT)                                                C062400100013 
DETECTOR   (NAICR) NaI(Tl) detector assemblies.                   C062400100014 
CORRECTION Corrected for:                                         C062400100015 
           . any oxygen contamination in targets,                 C062400100016 
           . computer deadtime,                                   C062400100017 
           . contributions from other Ca isotopes in target,      C062400100018 
           . proton reaction losses in detectors,                 C062400100019 
           . finite geometry.                                     C062400100020 
ERR-ANALYS (DATA-ERR) Relative uncertainty.                       C062400100021 
           (ERR-S,,1.) Statistical uncertainty <1%.               C062400100022 
            Systematic uncertainties:                             C062400100023 
           (ERR-1,,1.) Dead time correction                 <1.0% C062400100024 
           (ERR-2,,0.1)  Correction for reaction losses           C062400100025 
                                                 in NaI(Tl) <0.1% C062400100026 
           (ERR-3,,0.3)  Finite geometry correction         <0.3% C062400100027 
           (ERR-4,,1.)  Detector angle                      <1.0% C062400100028 
           (ERR-5,,1.5)  Incident proton energy             <1.5% C062400100029 
           (ERR-6,,2.)  Impurity subtraction - worst case    2.0% C062400100030 
           (ERR-SYS) Uncertainty in the absolute scale includes:  C062400100031 
           (ERR-7) Uncertainty in the detector solid angle        C062400100032 
           (ERR-8,,1.) Uncertainty in the target rotation angle   C062400100033 
           (ERR-9) Uncertainty in the beam current integration    C062400100034 
            * Uncertainty in the target thickness                 C062400100035 
STATUS     (APRVD) Approved by W.T.H. van Oers, 28 June 2000.     C062400100036 
           (TABLE) Tabulated data received from W.T.H.van Oers,   C062400100037 
                                                    5 April 2000. C062400100038 
HISTORY    (20000417C) VM                                         C062400100039 
           (20120621U) SD: Author's name corrected. BIB update.   C062400100040 
            Coded information was added to SAMPLE in Subents 2-5. C062400100041 
ENDBIB              39          0                                 C062400100042 
COMMON               4          3                                 C062400100043 
EN-ERR     ERR-SYS    ERR-7      ERR-9                            C062400100044 
KEV        PER-CENT   PER-CENT   PER-CENT                         C062400100045 
200.         3.0         1.0        1.0                           C062400100046 
ENDCOMMON            3          0                                 C062400100047 
ENDSUBENT           46          0                                 C062400199999 
SUBENT        C0624002   20120621                             C119C062400200001 
BIB                  2          3                                 C062400200002 
REACTION   (20-CA-40(P,EL)20-CA-40,,DA)                           C062400200003 
SAMPLE     (20-CA-40,ENR=0.9997) Target enriched to 99.97% 40Ca.  C062400200004 
             Areal density 6.57+-0.13 mg/cm2.                     C062400200005 
ENDBIB               3          0                                 C062400200006 
NOCOMMON             0          0                                 C062400200007 
DATA                 5        511                                 C062400200008 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C062400200009 
 35.0        0.20     140.89         0.183    2.5                 C062400200373 
 35.0        0.20     145.80         0.398    2.9                 C062400200374 
 35.0        0.20     150.70         0.564    2.5                 C062400200375 
 35.0        0.20     155.59         0.683    3.2                 C062400200376 
 35.0        0.20     160.48         0.706    2.7                 C062400200377 
 35.0        0.20     165.36         0.666    3.7                 C062400200378 
 35.0        0.20     170.24         0.402    4.4                 C062400200379 
 40.0        0.20      10.24      5665.       3.7                 C062400200380 
 40.0        0.20      12.80      3709.       3.9                 C062400200381 
 40.0        0.20      15.36      2407.       3.6                 C062400200382 
 40.0        0.20      17.92      1691.       3.6                 C062400200383 
 40.0        0.20      20.48       983.3      3.2                 C062400200384 
 40.0        0.20      23.04       516.1      3.6                 C062400200385 
 40.0        0.20      25.59       229.0      3.6                 C062400200386 
 40.0        0.20      28.15       101.4      4.2                 C062400200387 
 40.0        0.20      30.70        65.50     3.6                 C062400200388 
 40.0        0.20      33.25        59.80     3.6                 C062400200389 
 40.0        0.20      35.80        71.80     3.3                 C062400200390 
 40.0        0.20      38.35        97.70     3.5                 C062400200391 
 40.0        0.20      40.90       103.4      3.5                 C062400200392 
 40.0        0.20      43.45        97.40     3.5                 C062400200393 
 40.0        0.20      45.99        77.30     3.3                 C062400200394 
 40.0        0.20      48.53        62.52     2.9                 C062400200395 
 40.0        0.20      51.07        44.81     2.6                 C062400200396 
 40.0        0.20      53.61        31.58     3.1                 C062400200397 
 40.0        0.20      56.15        21.28     2.7                 C062400200398 
 40.0        0.20      58.68        13.14     3.3                 C062400200399 
 40.0        0.20      61.21         9.437    2.7                 C062400200400 
 40.0        0.20      63.74         8.423    2.5                 C062400200401 
 40.0        0.20      66.27         8.356    2.6                 C062400200402 
 40.0        0.20      68.79         8.515    2.5                 C062400200403 
 40.0        0.20      71.32         8.094    2.4                 C062400200404 
 40.0        0.20      73.84         7.759    2.6                 C062400200405 
 40.0        0.20      76.35         6.528    2.7                 C062400200406 
 40.0        0.20      78.87         5.597    3.6                 C062400200407 
 40.0        0.20      81.38         4.335    3.0                 C062400200408 
 40.0        0.20      86.39         2.298    3.4                 C062400200409 
 40.0        0.20      91.40         1.349    3.2                 C062400200410 
 40.0        0.20      96.39         1.050    3.1                 C062400200411 
 40.0        0.20     101.38         0.979    2.7                 C062400200412 
 40.0        0.20     106.35         0.913    2.6                 C062400200413 
 40.0        0.20     111.32         0.684    2.6                 C062400200414 
 40.0        0.20     116.27         0.431    4.1                 C062400200415 
 40.0        0.20     121.21         0.333    3.7                 C062400200416 
 40.0        0.20     126.15         0.235    3.6                 C062400200417 
 40.0        0.20     131.07         0.187    2.6                 C062400200418 
 40.0        0.20     135.99         0.155    2.7                 C062400200419 
 40.0        0.20     140.90         0.167    2.4                 C062400200420 
 40.0        0.20     145.80         0.205    3.3                 C062400200421 
 40.0        0.20     150.70         0.244    3.2                 C062400200422 
 40.0        0.20     155.59         0.279    5.4                 C062400200423 
 40.0        0.20     160.48         0.261    4.2                 C062400200424 
 40.0        0.20     165.36         0.210    6.5                 C062400200425 
 40.0        0.20     170.24         0.114    5.1                 C062400200426 
 45.0        0.20      10.24      4556.       2.6                 C062400200427 
 45.0        0.20      12.80      2963.       2.5                 C062400200428 
 45.0        0.20      15.36      2180.       2.9                 C062400200429 
 45.0        0.20      17.92      1347.       2.5                 C062400200430 
 45.0        0.20      20.48       852.0      2.4                 C062400200431 
 45.0        0.20      23.04       397.4      2.5                 C062400200432 
 45.0        0.20      25.60       200.3      2.5                 C062400200433 
 45.0        0.20      28.15        75.29     2.8                 C062400200434 
 45.0        0.20      30.70        52.44     2.6                 C062400200435 
 45.0        0.20      33.26        61.67     2.7                 C062400200436 
 45.0        0.20      35.81        77.79     2.4                 C062400200437 
 45.0        0.20      38.36        84.51     2.4                 C062400200438 
 45.0        0.20      40.90        89.48     2.4                 C062400200439 
 45.0        0.20      43.45        78.80     2.5                 C062400200440 
 45.0        0.20      46.00        63.27     2.3                 C062400200441 
 45.0        0.20      48.54        42.16     2.5                 C062400200442 
 45.0        0.20      51.08        30.23     2.4                 C062400200443 
 45.0        0.20      53.62        17.39     2.7                 C062400200444 
 45.0        0.20      56.15        12.13     2.5                 C062400200445 
 45.0        0.20      58.69         8.029    2.6                 C062400200446 
 45.0        0.20      61.22         7.808    2.4                 C062400200447 
 45.0        0.20      63.75         7.552    2.5                 C062400200448 
 45.0        0.20      66.28         7.232    2.5                 C062400200449 
 45.0        0.20      68.80         7.088    2.5                 C062400200450 
 45.0        0.20      71.32         6.156    2.5                 C062400200451 
 45.0        0.20      73.84         4.864    2.7                 C062400200452 
 45.0        0.20      76.36         4.010    2.5                 C062400200453 
 45.0        0.20      78.87         2.889    3.0                 C062400200454 
 45.0        0.20      81.39         2.305    2.6                 C062400200455 
 45.0        0.20      86.40         1.117    3.2                 C062400200456 
 45.0        0.20      91.41         0.976    2.4                 C062400200457 
 45.0        0.20      96.40         0.872    2.4                 C062400200458 
 45.0        0.20     101.39         0.749    2.6                 C062400200459 
 45.0        0.20     106.36         0.514    2.8                 C062400200460 
 45.0        0.20     111.32         0.298    3.8                 C062400200461 
 45.0        0.20     116.27         0.186    3.1                 C062400200462 
 45.0        0.20     121.22         0.143    2.9                 C062400200463 
 45.0        0.20     126.15         0.146    2.7                 C062400200464 
 45.0        0.20     131.08         0.148    2.6                 C062400200465 
 45.0        0.20     135.99         0.121    3.1                 C062400200466 
 45.0        0.20     140.90         0.098    3.0                 C062400200467 
 45.0        0.20     145.81         0.074    4.3                 C062400200468 
 45.0        0.20     150.70         0.073    4.0                 C062400200469 
 45.0        0.20     155.59         0.075    4.1                 C062400200470 
 45.0        0.20     160.48         0.073    4.2                 C062400200471 
 45.0        0.20     165.36         0.059    3.7                 C062400200472 
 45.0        0.20     170.24         0.035    5.9                 C062400200473 
 48.0        0.15      10.3       5492.       2.0                 C062400200474 
 48.0        0.15      14.9       2236.       2.1                 C062400200475 
 48.0        0.15      16.0       2166.       2.4                 C062400200476 
 48.0        0.15      17.4       1423.       2.3                 C062400200477 
 48.0        0.15      20.0        806.1      2.6                 C062400200478 
 48.0        0.15      20.5        722.0      2.9                 C062400200479 
 48.0        0.15      21.1        700.1      3.0                 C062400200480 
 48.0        0.15      22.6        418.8      2.7                 C062400200481 
 48.0        0.15      25.1        174.3      2.8                 C062400200482 
 48.0        0.15      25.6        154.4      3.2                 C062400200483 
 48.0        0.15      26.2        131.0      3.4                 C062400200484 
 48.0        0.15      27.7         70.42     2.9                 C062400200485 
 48.0        0.15      30.2         44.48     1.9                 C062400200486 
 48.0        0.15      30.8         40.58     1.8                 C062400200487 
 48.0        0.15      32.8         55.42     2.0                 C062400200488 
 48.0        0.15      35.9         68.98     1.2                 C062400200489 
 48.0        0.15      41.0         75.05     0.8                 C062400200490 
 48.0        0.15      46.1         46.27     2.0                 C062400200491 
 48.0        0.15      50.6         18.15     1.2                 C062400200492 
 48.0        0.15      51.2         19.98     1.6                 C062400200493 
 48.0        0.15      55.6          7.611    1.8                 C062400200494 
 48.0        0.15      60.7          6.059    1.2                 C062400200495 
 48.0        0.15      61.3          5.825    1.7                 C062400200496 
 48.0        0.15      66.4          5.212    1.1                 C062400200497 
 48.0        0.15      71.4          4.234    1.2                 C062400200498 
 48.0        0.15      76.5          2.386    1.7                 C062400200499 
 48.0        0.15      81.5          1.258    1.8                 C062400200500 
 48.0        0.15      86.5          0.822    1.2                 C062400200501 
 48.0        0.15      91.5          0.711    1.1                 C062400200502 
 48.0        0.15      96.5          0.617    1.3                 C062400200503 
 48.0        0.15     101.5          0.445    1.9                 C062400200504 
 48.0        0.15     106.5          0.270    2.3                 C062400200505 
 48.0        0.15     111.4          0.158    2.6                 C062400200506 
 48.0        0.15     114.4          0.116    3.5                 C062400200507 
 48.0        0.15     117.0          0.093    2.2                 C062400200508 
 48.0        0.15     119.4          0.095    2.4                 C062400200509 
 48.0        0.15     121.9          0.097    2.3                 C062400200510 
 48.0        0.15     124.4          0.104    2.3                 C062400200511 
 48.0        0.15     126.2          0.100    2.0                 C062400200512 
 48.0        0.15     131.2          0.115    2.0                 C062400200513 
 48.0        0.15     136.8          0.078    2.8                 C062400200514 
 48.0        0.15     141.5          0.049    3.8                 C062400200515 
 48.0        0.15     146.4          0.029    4.5                 C062400200516 
 48.0        0.15     151.2          0.023    4.9                 C062400200517 
 48.0        0.15     156.3          0.030    4.3                 C062400200518 
 48.0        0.15     161.2          0.034    4.1                 C062400200519 
 48.0        0.15     166.0          0.030    5.1                 C062400200520 
 48.0        0.15     170.8          0.016    5.4                 C062400200521 
ENDDATA            513          0                                 C062400200522 
ENDSUBENT          521          0                                 C062400299999 
SUBENT        C0624003   20120621                             C119C062400300001 
BIB                  2          3                                 C062400300002 
REACTION   (20-CA-42(P,EL)20-CA-42,,DA)                           C062400300003 
SAMPLE     (20-CA-42,ENR=0.9370) Target enriched to 93.70% 42Ca.  C062400300004 
           Areal density 5.87+-0.11 mg/cm2.                       C062400300005 
ENDBIB               3          0                                 C062400300006 
NOCOMMON             0          0                                 C062400300007 
DATA                 5        329                                 C062400300008 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C062400300009 
MEV        MEV        ADEG       MB/SR      PER-CENT              C062400300010 
 21.0        0.20      10.23     15230.       4.3                 C062400300011 
 21.0        0.20      12.78      6102.       4.1                 C062400300012 
 21.0        0.20      15.34      3149.       3.6                 C062400300013 
 21.0        0.20      17.89      1871.       3.6                 C062400300014 
 21.0        0.20      20.45      1162.       3.6                 C062400300015 
 21.0        0.20      23.00       704.2      3.6                 C062400300016 
 21.0        0.20      25.55       419.3      3.7                 C062400300017 
 21.0        0.20      28.10       223.3      3.8                 C062400300018 
 21.0        0.20      30.65       109.4      4.0                 C062400300019 
 21.0        0.20      33.20        46.68     4.5                 C062400300020 
 21.0        0.20      35.75        24.29     3.7                 C062400300021 
 21.0        0.20      38.30        34.05     3.8                 C062400300022 
 21.0        0.20      40.84        49.57     3.8                 C062400300023 
 21.0        0.20      43.38        64.89     4.2                 C062400300024 
 21.0        0.20      45.93        77.61     3.9                 C062400300025 
 21.0        0.20      48.47        84.98     4.0                 C062400300026 
 21.0        0.20      51.00        86.48     3.7                 C062400300027 
 21.0        0.20      53.54        84.34     3.6                 C062400300028 
 21.0        0.20      56.07        74.00     3.6                 C062400300029 
 21.0        0.20      58.60        64.83     3.7                 C062400300030 
 21.0        0.20      61.13        49.36     3.6                 C062400300031 
 21.0        0.20      63.66        37.61     3.8                 C062400300032 
 21.0        0.20      66.19        23.29     3.8                 C062400300033 
 21.0        0.20      68.71        15.61     3.8                 C062400300034 
 21.0        0.20      71.23        10.75     3.9                 C062400300035 
 21.0        0.20      73.75         7.735    3.8                 C062400300036 
 21.0        0.20      76.26         5.626    5.5                 C062400300037 
 21.0        0.20      78.78         6.386    4.7                 C062400300038 
 21.0        0.20      81.29         7.854    4.2                 C062400300039 
 21.0        0.20      86.30        10.43     4.0                 C062400300040 
 21.0        0.20      91.31        12.43     3.9                 C062400300041 
 21.0        0.20      96.30        12.67     4.0                 C062400300042 
 21.0        0.20     101.29        10.26     3.9                 C062400300043 
 21.0        0.20     106.26         7.537    4.1                 C062400300044 
 21.0        0.20     111.23         4.033    3.8                 C062400300045 
 21.0        0.20     116.19         2.530    3.9                 C062400300046 
 21.0        0.20     121.13         1.433    3.8                 C062400300047 
 21.0        0.20     126.07         1.132    3.8                 C062400300048 
 21.0        0.20     131.00         1.317    3.9                 C062400300049 
 21.0        0.20     135.93         1.631    3.8                 C062400300050 
 21.0        0.20     140.84         2.213    3.8                 C062400300051 
 21.0        0.20     145.75         2.538    4.0                 C062400300052 
 21.0        0.20     150.65         2.558    3.8                 C062400300053 
 21.0        0.20     155.55         2.406    3.8                 C062400300054 
 21.0        0.20     160.45         2.372    3.8                 C062400300055 
 21.0        0.20     165.34         2.400    3.8                 C062400300056 
 21.0        0.20     170.23         2.545    4.0                 C062400300057 
 25.0        0.20      10.23     10940.       4.5                 C062400300058 
 25.0        0.20      12.78      4998.       3.8                 C062400300059 
 25.0        0.20      15.34      2876.       3.7                 C062400300060 
 25.0        0.20      17.90      1783.       3.7                 C062400300061 
 25.0        0.20      20.45      1109.       3.6                 C062400300062 
 25.0        0.20      23.00       646.       3.7                 C062400300063 
 25.0        0.20      25.56       340.3      3.7                 C062400300064 
 25.0        0.20      28.11       152.4      3.9                 C062400300065 
 25.0        0.20      30.66        54.63     4.1                 C062400300066 
 25.0        0.20      33.21        18.03     4.7                 C062400300067 
 25.0        0.20      35.75        22.44     4.1                 C062400300068 
 25.0        0.20      38.30        44.70     3.8                 C062400300069 
 25.0        0.20      40.85        72.67     3.6                 C062400300070 
 25.0        0.20      43.39        97.86     3.8                 C062400300071 
 25.0        0.20      45.93       104.0      3.6                 C062400300072 
 25.0        0.20      48.47       105.9      3.6                 C062400300073 
 25.0        0.20      51.01       102.4      3.6                 C062400300074 
 25.0        0.20      53.54        86.21     3.7                 C062400300075 
 25.0        0.20      56.08        67.44     3.7                 C062400300076 
 25.0        0.20      58.61        51.85     3.8                 C062400300077 
 25.0        0.20      61.14        37.52     3.7                 C062400300078 
 25.0        0.20      63.67        25.32     4.0                 C062400300079 
 25.0        0.20      66.19        15.60     3.9                 C062400300080 
 25.0        0.20      68.71        10.89     3.9                 C062400300081 
 25.0        0.20      71.24         8.566    3.7                 C062400300082 
 25.0        0.20      73.75         8.298    4.1                 C062400300083 
 25.0        0.20      76.27         9.341    3.9                 C062400300084 
 25.0        0.20      78.78        10.71     4.0                 C062400300085 
 25.0        0.20      81.29        11.93     3.6                 C062400300086 
 25.0        0.20      86.31        12.93     3.7                 C062400300087 
 25.0        0.20      91.31        11.02     3.8                 C062400300088 
 25.0        0.20      96.31         7.675    4.3                 C062400300089 
 25.0        0.20     101.29         5.021    4.0                 C062400300090 
 25.0        0.20     106.27         3.009    4.6                 C062400300091 
 25.0        0.20     111.23         2.051    3.8                 C062400300092 
 25.0        0.20     116.19         1.564    3.9                 C062400300093 
 25.0        0.20     121.14         1.264    3.7                 C062400300094 
 25.0        0.20     126.08         1.022    3.7                 C062400300095 
 25.0        0.20     131.01         0.998    3.8                 C062400300096 
 25.0        0.20     135.93         1.045    4.0                 C062400300097 
 25.0        0.20     140.84         1.235    3.9                 C062400300098 
 25.0        0.20     145.75         1.287    4.1                 C062400300099 
 25.0        0.20     150.66         1.323    3.9                 C062400300100 
 25.0        0.20     155.56         1.357    4.0                 C062400300101 
 25.0        0.20     160.45         1.360    3.8                 C062400300102 
 25.0        0.20     165.34         1.379    4.0                 C062400300103 
 25.0        0.20     170.23         1.460    4.0                 C062400300104 
 30.0        0.20      10.23      7182.       3.8                 C062400300105 
 30.0        0.20      12.79      3848.       3.7                 C062400300106 
 30.0        0.20      15.34      2448.       3.6                 C062400300107 
 30.0        0.20      17.90      1552.       3.7                 C062400300108 
 30.0        0.20      20.45       935.3      3.6                 C062400300109 
 30.0        0.20      23.01       522.3      3.7                 C062400300110 
 30.0        0.20      25.56       253.8      3.7                 C062400300111 
 30.0        0.20      28.11        97.65     3.8                 C062400300112 
 30.0        0.20      30.66        31.02     3.7                 C062400300113 
 30.0        0.20      33.21        20.05     4.3                 C062400300114 
 30.0        0.20      35.76        41.07     4.5                 C062400300115 
 30.0        0.20      38.30        69.04     4.0                 C062400300116 
 30.0        0.20      40.85        90.42     3.6                 C062400300117 
 30.0        0.20      43.39       103.2      3.6                 C062400300118 
 30.0        0.20      45.93       105.8      3.6                 C062400300119 
 30.0        0.20      48.47        95.53     3.6                 C062400300120 
 30.0        0.20      51.01        79.89     3.7                 C062400300121 
 30.0        0.20      53.55        61.16     3.8                 C062400300122 
 30.0        0.20      56.08        43.33     3.7                 C062400300123 
 30.0        0.20      58.61        27.10     4.1                 C062400300124 
 30.0        0.20      61.14        17.74     3.9                 C062400300125 
 30.0        0.20      63.67        11.32     4.2                 C062400300126 
 30.0        0.20      66.20         8.423    3.9                 C062400300127 
 30.0        0.20      68.71         7.695    3.8                 C062400300128 
 30.0        0.20      71.24         8.042    3.9                 C062400300129 
 30.0        0.20      73.76         9.585    3.8                 C062400300130 
 30.0        0.20      76.28        10.35     3.7                 C062400300131 
 30.0        0.20      78.79        10.47     4.1                 C062400300132 
 30.0        0.20      81.30        10.48     3.8                 C062400300133 
 30.0        0.20      86.32         8.498    3.9                 C062400300134 
 30.0        0.20      91.32         6.052    4.3                 C062400300135 
 30.0        0.20      96.32         2.976    4.2                 C062400300136 
 30.0        0.20     101.30         1.855    3.9                 C062400300137 
 30.0        0.20     106.28         1.372    3.7                 C062400300138 
 30.0        0.20     111.24         1.481    3.6                 C062400300139 
 30.0        0.20     116.20         1.517    3.7                 C062400300140 
 30.0        0.20     121.14         1.406    3.7                 C062400300141 
 30.0        0.20     126.08         1.017    3.7                 C062400300142 
 30.0        0.20     131.01         0.648    3.9                 C062400300143 
 30.0        0.20     135.93         0.372    4.4                 C062400300144 
 30.0        0.20     140.85         0.320    4.5                 C062400300145 
 30.0        0.20     145.76         0.470    4.0                 C062400300146 
 30.0        0.20     150.66         0.702    3.7                 C062400300147 
 30.0        0.20     155.56         0.853    3.7                 C062400300148 
 30.0        0.20     160.45         0.902    3.7                 C062400300149 
 30.0        0.20     165.34         0.842    3.8                 C062400300150 
 30.0        0.20     170.23         0.792    4.0                 C062400300151 
 35.0        0.20      10.23      6459.       3.8                 C062400300152 
 35.0        0.20      12.79      3835.       3.8                 C062400300153 
 35.0        0.20      15.34      2559.       3.6                 C062400300154 
 35.0        0.20      17.90      1642.       3.6                 C062400300155 
 35.0        0.20      20.45       977.8      3.6                 C062400300156 
 35.0        0.20      23.01       513.0      3.7                 C062400300157 
 35.0        0.20      25.56       229.1      3.7                 C062400300158 
 35.0        0.20      28.11        86.16     3.7                 C062400300159 
 35.0        0.20      30.66        37.24     3.7                 C062400300160 
 35.0        0.20      33.21        40.84     4.0                 C062400300161 
 35.0        0.20      35.76        66.51     3.8                 C062400300162 
 35.0        0.20      38.31        94.61     3.7                 C062400300163 
 35.0        0.20      40.85       110.3      3.6                 C062400300164 
 35.0        0.20      43.40       112.5      3.6                 C062400300165 
 35.0        0.20      45.94        99.51     3.6                 C062400300166 
 35.0        0.20      48.48        82.53     3.7                 C062400300167 
 35.0        0.20      51.02        63.12     3.7                 C062400300168 
 35.0        0.20      53.55        42.05     3.8                 C062400300169 
 35.0        0.20      56.09        26.54     3.7                 C062400300170 
 35.0        0.20      58.62        17.98     4.1                 C062400300171 
 35.0        0.20      61.15        10.89     3.7                 C062400300172 
 35.0        0.20      63.68         8.602    4.0                 C062400300173 
 35.0        0.20      66.20         7.971    3.7                 C062400300174 
 35.0        0.20      68.73         8.962    4.0                 C062400300175 
 35.0        0.20      71.25         9.367    3.6                 C062400300176 
 35.0        0.20      73.77         9.727    3.8                 C062400300177 
 35.0        0.20      76.28         9.478    3.7                 C062400300178 
 35.0        0.20      78.80         8.429    3.9                 C062400300179 
 35.0        0.20      81.31         7.173    3.7                 C062400300180 
 35.0        0.20      86.32         4.354    4.0                 C062400300181 
 35.0        0.20      91.33         2.470    4.4                 C062400300182 
 35.0        0.20      96.32         1.342    3.7                 C062400300183 
 35.0        0.20     101.31         1.244    3.6                 C062400300184 
 35.0        0.20     106.28         1.164    3.7                 C062400300185 
 35.0        0.20     111.25         1.099    3.8                 C062400300186 
 35.0        0.20     116.20         0.882    4.1                 C062400300187 
 35.0        0.20     121.15         0.659    4.3                 C062400300188 
 35.0        0.20     126.09         0.430    5.1                 C062400300189 
 35.0        0.20     131.02         0.258    4.1                 C062400300190 
 35.0        0.20     135.94         0.175    3.9                 C062400300191 
 35.0        0.20     140.85         0.195    3.7                 C062400300192 
 35.0        0.20     145.76         0.286    3.8                 C062400300193 
 35.0        0.20     150.66         0.393    3.9                 C062400300194 
 35.0        0.20     155.56         0.449    4.0                 C062400300195 
 35.0        0.20     160.45         0.433    3.9                 C062400300196 
 35.0        0.20     165.34         0.326    4.7                 C062400300197 
 35.0        0.20     170.23         0.211    5.7                 C062400300198 
 40.0        0.20      10.23      5645.       4.1                 C062400300199 
 40.0        0.20      12.79      3788.       3.7                 C062400300200 
 40.0        0.20      15.35      2576.       3.6                 C062400300201 
 40.0        0.20      17.90      1626.       3.6                 C062400300202 
 40.0        0.20      20.46       926.9      3.6                 C062400300203 
 40.0        0.20      23.01       466.8      3.7                 C062400300204 
 40.0        0.20      25.56       199.4      3.7                 C062400300205 
 40.0        0.20      28.12        77.02     3.8                 C062400300206 
 40.0        0.20      30.67        42.94     3.6                 C062400300207 
 40.0        0.20      33.22        58.97     3.7                 C062400300208 
 40.0        0.20      35.77        83.23     3.6                 C062400300209 
 40.0        0.20      38.31       104.5      3.7                 C062400300210 
 40.0        0.20      40.86       106.9      3.6                 C062400300211 
 40.0        0.20      43.40        97.47     3.8                 C062400300212 
 40.0        0.20      45.94        78.55     3.7                 C062400300213 
 40.0        0.20      48.48        59.07     3.8                 C062400300214 
 40.0        0.20      51.02        37.74     3.7                 C062400300215 
 40.0        0.20      53.56        24.27     4.0                 C062400300216 
 40.0        0.20      56.09        14.06     3.9                 C062400300217 
 40.0        0.20      58.63         9.743    4.1                 C062400300218 
 40.0        0.20      61.16         7.677    3.6                 C062400300219 
 40.0        0.20      63.68         7.866    3.7                 C062400300220 
 40.0        0.20      66.21         8.102    3.7                 C062400300221 
 40.0        0.20      68.73         8.422    3.7                 C062400300222 
 40.0        0.20      71.25         8.164    3.6                 C062400300223 
 40.0        0.20      73.77         7.010    4.3                 C062400300224 
 40.0        0.20      76.29         6.171    3.9                 C062400300225 
 40.0        0.20      78.80         5.103    4.7                 C062400300226 
 40.0        0.20      81.31         3.647    3.9                 C062400300227 
 40.0        0.20      86.33         1.996    5.2                 C062400300228 
 40.0        0.20      91.33         1.286    3.9                 C062400300229 
 40.0        0.20      96.33         1.109    3.7                 C062400300230 
 40.0        0.20     101.31         0.971    3.7                 C062400300231 
 40.0        0.20     106.29         0.790    4.6                 C062400300232 
 40.0        0.20     111.25         0.499    4.1                 C062400300233 
 40.0        0.20     116.21         0.318    5.1                 C062400300234 
 40.0        0.20     121.15         0.227    4.0                 C062400300235 
 40.0        0.20     126.09         0.173    4.1                 C062400300236 
 40.0        0.20     131.02         0.162    3.7                 C062400300237 
 40.0        0.20     135.94         0.173    4.2                 C062400300238 
 40.0        0.20     140.86         0.144    4.0                 C062400300239 
 40.0        0.20     145.76         0.136    4.5                 C062400300240 
 40.0        0.20     150.67         0.147    4.3                 C062400300241 
 40.0        0.20     155.56         0.157    4.9                 C062400300242 
 40.0        0.20     160.46         0.153    4.1                 C062400300243 
 40.0        0.20     165.34         0.117    4.7                 C062400300244 
 40.0        0.20     170.23         0.070    4.4                 C062400300245 
 45.0        0.20      10.23      4496.       6.2                 C062400300246 
 45.0        0.20      12.79      3202.       5.4                 C062400300247 
 45.0        0.20      15.35      2206.       4.6                 C062400300248 
 45.0        0.20      17.90      1484.       4.7                 C062400300249 
 45.0        0.20      20.46       769.4      4.3                 C062400300250 
 45.0        0.20      23.01       354.1      4.3                 C062400300251 
 45.0        0.20      25.57       116.6      4.1                 C062400300252 
 45.0        0.20      28.12        52.05     4.2                 C062400300253 
 45.0        0.20      30.67        41.46     3.8                 C062400300254 
 45.0        0.20      33.22        52.85     4.2                 C062400300255 
 45.0        0.20      35.77        73.19     3.9                 C062400300256 
 45.0        0.20      38.32        88.62     4.2                 C062400300257 
 45.0        0.20      40.86        88.67     3.6                 C062400300258 
 45.0        0.20      43.41        78.67     3.7                 C062400300259 
 45.0        0.20      45.95        51.55     3.7                 C062400300260 
 45.0        0.20      48.49        36.04     3.8                 C062400300261 
 45.0        0.20      51.03        22.20     3.7                 C062400300262 
 45.0        0.20      53.56        14.19     4.4                 C062400300263 
 45.0        0.20      56.10         8.725    3.7                 C062400300264 
 45.0        0.20      58.63         7.194    4.1                 C062400300265 
 45.0        0.20      61.16         7.131    3.7                 C062400300266 
 45.0        0.20      63.69         7.410    3.8                 C062400300267 
 45.0        0.20      66.22         7.113    3.7                 C062400300268 
 45.0        0.20      68.74         6.643    4.0                 C062400300269 
 45.0        0.20      71.26         5.596    3.7                 C062400300270 
 45.0        0.20      73.78         4.550    3.9                 C062400300271 
 45.0        0.20      76.30         3.279    4.0                 C062400300272 
