ENTRY            C0740   20001229                             0000C074000000001 
SUBENT        C0740001   20001229                             0000C074000100001 
BIB                 11         15                                 C074000100002 
INSTITUTE  (1CANMNA)                                              C074000100003 
REFERENCE  (J,NP/A,436,1,1985)                                    C074000100004 
AUTHOR     (R.ARYAEINEJAD,W.R.FALK,N.E.DAVISON,J.N.KNUDSON,       C074000100005 
           J.R.CAMPBELL)                                          C074000100006 
TITLE      T=1/2 and 3/2 negative-parity states in 11B with the   C074000100007 
            14C(p,alpha)11B reaction                              C074000100008 
FACILITY   (CYCLO,1CANMNA)                                        C074000100009 
SAMPLE     Self-supporting target enriched to >95% 14C.  Areal    C074000100010 
            density 524 microg/cm2.                               C074000100011 
METHOD     (EDE)                                                  C074000100012 
DETECTOR   (TELES,SOLST) 4 surface-barrier detector telescopes.   C074000100013 
ERR-ANALYS (ERR-S) Statistical uncertainty given.                 C074000100014 
STATUS     Tabulated data received from W. Falk, 13 November 2000.C074000100015 
           (APRVD) Approved by W. Falk, 29 December 2000.         C074000100016 
HISTORY    (20001114C) VM                                         C074000100017 
ENDBIB              15          0                                 C074000100018 
NOCOMMON             0          0                                 C074000100019 
ENDSUBENT           18          0                                 C074000199999 
SUBENT        C0740002   20001229                             0000C074000200001 
BIB                  2          2                                 C074000200002 
REACTION   (6-C-14(P,A)5-B-11,PAR,DA)                             C074000200003 
MISC-COL   (MISC) Detector number                                 C074000200004 
ENDBIB               2          0                                 C074000200005 
COMMON               1          3                                 C074000200006 
EN                                                                C074000200007 
MEV                                                               C074000200008 
 41.9                                                             C074000200009 
ENDCOMMON            3          0                                 C074000200010 
DATA                 5        436                                 C074000200011 
E-EXC      ANG-CM     DATA-CM    ERR-S      MISC                  C074000200012 
MEV        ADEG       MU-B/SR    MU-B/SR    NO-DIM                C074000200013 
 10.33      11.93       9.948      1.651      1.                  C074000200266 
 10.33      17.88      10.769      1.924      2.                  C074000200267 
 10.33      23.80      10.390      1.230      1.                  C074000200268 
 10.33      29.70       9.979      1.612      2.                  C074000200269 
 10.33      35.57       8.516      0.911      1.                  C074000200270 
 10.33      41.39       7.011      0.640      2.                  C074000200271 
 10.33      47.16       4.379      0.459      3.                  C074000200272 
 10.33      69.67       3.080      0.849      2.                  C074000200273 
 10.33      69.67       2.991      0.545      3.                  C074000200274 
 10.33      75.12       3.580      0.587      3.                  C074000200275 
 10.33     106.13       4.427      0.512      4.                  C074000200276 
 10.33     111.00       4.000      0.518      3.                  C074000200277 
 10.33     111.00       3.987      0.931      4.                  C074000200278 
 10.33     115.79       3.272      0.865      4.                  C074000200279 
 10.33     120.49       3.323      0.906      4.                  C074000200280 
 10.33     129.66       3.425      0.660      4.                  C074000200281 
 10.33     134.13       6.647      1.574      4.                  C074000200282 
 10.33     138.53       5.990      0.896      4.                  C074000200283 
 10.33     142.87      10.092      1.194      4.                  C074000200284 
 10.33     151.38      12.206      0.597      4.                  C074000200285 
 10.33     159.69      22.825      0.624      4.                  C074000200286 
 11.6       11.98      73.206      2.698      1.                  C074000200287 
 11.6       17.95      54.600      1.702      2.                  C074000200288 
 11.6       23.89      48.532      1.547      1.                  C074000200289 
 11.6       29.81      37.102      1.342      2.                  C074000200290 
 11.6       35.70      16.356      1.055      1.                  C074000200291 
 11.6       41.54      19.961      1.183      2.                  C074000200292 
 11.6       47.33      12.806      2.852      1.                  C074000200293 
 11.6       47.33       7.031      0.848      2.                  C074000200294 
 11.6       47.33      11.517      0.966      3.                  C074000200295 
 11.6       53.07       7.245      0.828      2.                  C074000200296 
 11.6       53.07       8.999      0.514      3.                  C074000200297 
 11.6       58.74       8.710      1.037      2.                  C074000200298 
 11.6       58.74       4.991      0.663      3.                  C074000200299 
 11.6       64.35       2.655      0.339      3.                  C074000200300 
 11.6       69.89       3.386      0.776      2.                  C074000200301 
 11.6       69.89       2.945      0.543      3.                  C074000200302 
 11.6       75.36       3.046      0.385      3.                  C074000200303 
 11.6       80.74       5.103      0.808      2.                  C074000200304 
 11.6       80.74       2.134      0.493      3.                  C074000200305 
 11.6       80.74       3.396      0.378      3.                  C074000200306 
 11.6       86.05       2.187      0.281      3.                  C074000200307 
 11.6       86.05       6.105      0.439      4.                  C074000200308 
