ENTRY            C0833   20050602                             C074C083300000001 
SUBENT        C0833001   20050602                             C074C083300100001 
BIB                 13         24                                 C083300100002 
INSTITUTE  (1USADKE,1USAORL)                                      C083300100003 
REFERENCE  (J,PR,163,1034,1967)                                   C083300100004 
AUTHOR     (L.A.Schaller,R.S.Thomason,N.R.Roberson,R.L.Walter)    C083300100005 
TITLE      Determination and Distorted-Wave Born-Approximation    C083300100006 
            Analysis of the Neutron Polarization in the           C083300100007 
            C12(He3,n)O14 Reaction                                C083300100008 
FACILITY   (VDG,1USADKE)                                          C083300100009 
INC-SOURCE 3He+ beam.                                             C083300100010 
SAMPLE     Several self-supporting carbon foils; thicknesses      C083300100011 
            from 160 to 210 keV for 3He beam.                     C083300100012 
METHOD     (LRASY)                                                C083300100013 
DETECTOR   (SCIN) Neutrons scattered by 4He-gas scintillator      C083300100014 
            detected by 'up' and 'down' plastic scintillators.    C083300100015 
CORRECTION Corrected for background. Assumed nonsubtractable as   C083300100016 
            well as accidental and room background are            C083300100017 
            unpolarized.                                          C083300100018 
ERR-ANALYS (DATA-ERR) Uncertainty given includes                  C083300100019 
           . statistical uncertainty in asymmetry,                C083300100020 
           . uncertainty in average analyzing power,              C083300100021 
           . estimate of uncertainty in background subtraction    C083300100022 
             (50%).                                               C083300100023 
STATUS     Data taken from table in reference.                    C083300100024 
HISTORY    (20020604C) VM                                         C083300100025 
           (20050602C) DR Reference corrected                     C083300100026 
ENDBIB              24          0                                 C083300100027 
NOCOMMON             0          0                                 C083300100028 
ENDSUBENT           27          0                                 C083300199999 
SUBENT        C0833002   20020604                             0000C083300200001 
BIB                  2          3                                 C083300200002 
REACTION   (6-C-12(HE3,N)8-O-14,,POL/DA)                          C083300200003 
MISC-COL   (MISC1) Angle of He-scattered neutrons detected.       C083300200004 
           (MISC2) Background corrected asymmetry.                C083300200005 
ENDBIB               3          0                                 C083300200006 
NOCOMMON             0          0                                 C083300200007 
DATA                 6         73                                 C083300200008 
EN         ANG        DATA       DATA-ERR   MISC1      MISC2      C083300200009 
MEV        ADEG       NO-DIM     NO-DIM     ADEG       NO-DIM     C083300200010 
  2.24      20.       -0.14       0.06       70.       -0.12      C083300200011 
  2.24      30.       -0.08       0.06       70.       -0.07      C083300200012 
  2.24      40.       -0.41       0.09       70.       -0.35      C083300200013 
  2.24      50.       -0.60       0.08       70.       -0.50      C083300200014 
  2.24      60.       -0.77       0.12       70.       -0.60      C083300200015 
  2.24      70.       -0.76       0.16       60.       -0.69      C083300200016 
  2.24      80.       -0.45       0.12       60.       -0.39      C083300200017 
  2.39      20.       -0.21       0.03       80.       -0.17      C083300200018 
  2.39      30.       -0.34       0.06       80.       -0.27      C083300200019 
  2.39      40.       -0.53       0.07       80.       -0.42      C083300200020 
  2.39      50.       -0.87       0.11       80.       -0.68      C083300200021 
  2.39      60.       -0.78       0.09       80.       -0.57      C083300200022 
  2.39      70.       -0.55       0.08       70.       -0.47      C083300200023 
  2.39      80.       -0.42       0.10       70.       -0.33      C083300200024 
  2.39     100.       -0.15       0.09       60.       -0.14      C083300200025 
  2.59      10.       -0.15       0.05      100.       -0.10      C083300200026 
  2.59      20.       -0.33       0.06       90.       -0.24      C083300200027 
  2.59      30.       -0.49       0.08       90.       -0.35      C083300200028 
  2.59      40.       -0.57       0.09       90.       -0.41      C083300200029 
  2.59      50.       -0.12       0.09       90.       -0.08      C083300200030 
  2.59      60.        0.00       0.05       80.        0.00      C083300200031 
  2.59      80.        0.09       0.04       80.        0.07      C083300200032 
  2.59     100.        0.22       0.05       70.        0.18      C083300200033 
  2.59     120.        0.14       0.09       70.        0.10      C083300200034 
  2.75      10.       -0.08       0.05       90.       -0.06      C083300200035 
  2.75      20.       -0.21       0.05       90.       -0.15      C083300200036 
  2.75      30.       -0.28       0.08       90.       -0.20      C083300200037 
  2.75      40.       -0.14       0.06       90.       -0.10      C083300200038 
  2.75      60.        0.23       0.05       90.        0.17      C083300200039 
  2.75      80.        0.15       0.06       80.        0.12      C083300200040 
  2.75     100.        0.22       0.08       70.        0.19      C083300200041 
  2.75     120.        0.12       0.06       70.        0.10      C083300200042 
