ENTRY            C2615   20211109                             C208C2615  0    1 
SUBENT        C2615001   20211107                             C208C2615  1    1 
BIB                 11         36                                 C2615  1    2 
TITLE      Polarization and angular distribution of the neutrons  C2615  1    3 
           from 14C(p,n) reaction and the tensor force            C2615  1    4 
AUTHOR     (C.Wong,J.D.Anderson,V.A.Madsen,F.A.Schmittroth,       C2615  1    5 
           M.J.Stomp)                                             C2615  1    6 
INSTITUTE  (1USALRL,1USAORU)                                      C2615  1    7 
REFERENCE  (J,PR/C,3,1904,1971)                                   C2615  1    8 
           #doi:10.1103/PhysRevC.3.1904                           C2615  1    9 
FACILITY   (ISOCY,1USALRL)                                        C2615  1   10 
REL-REF    (I,O0493001,B.D.Walker+,J,PR,137,B347,1965)            C2615  1   11 
COMMENT    The proton beam energy spread due to energy loss in    C2615  1   12 
           the gas targets varied between +-0.18 MeV at Ep = 7.2  C2615  1   13 
           MeV and +-0.14 MeV at Ep = 13.3 MeV.                   C2615  1   14 
SAMPLE     (6-C-14,ENR=0.91)                                      C2615  1   15 
           The cell filled with CO2 gas to a pressure of 1.5 atm. C2615  1   16 
           For the lower-energy measurements, Ep = 7.2, 8.8, and  C2615  1   17 
           10.4 MeV, the gas target is 2.5x2.5-cm gas cell lined  C2615  1   18 
           with Ta. The entrance window was 0.0013-cm Ta and was  C2615  1   19 
           supported by a gold grid whose transmission was        C2615  1   20 
           approximately 90%. The cell was filled with 14CO2 gas  C2615  1   21 
           to a pressure of 1.5 atm.                              C2615  1   22 
           For the measurements at Ep = 10.4, 11.7, 12.6, and     C2615  1   23 
           13.3 MeV, a 2.5x2.5-cm target with nickel entrance and C2615  1   24 
           windows (9-mg/cm2 unsupported Ni windows) was used. TheC2615  1   25 
           beam stopper was also nickel and was located some 30 cmC2615  1   26 
           from the gas cell. The cell was filled with 14CO2 gas  C2615  1   27 
           to a pressure of two atm.                              C2615  1   28 
METHOD     (TOF)                                                  C2615  1   29 
           (MAGFR) The method consists of precessing the neutron  C2615  1   30 
           magnetic moment plus and minus 90 degrees with a       C2615  1   31 
           suitably designed solenoid to obtain the equivalent    C2615  1   32 
           "left" and "right" scattering measurements.            C2615  1   33 
           (DSCAT) The analyzer was liquid helium, and the angle  C2615  1   34 
           of scattering from the helium was 60 degrees.          C2615  1   35 
DETECTOR   (SCIN) The neutron detector was a 5x5-cm stilbene      C2615  1   36 
           scintillator located 30 cm from the helium scatterer.  C2615  1   37 
HISTORY    (20210807C) OG                                         C2615  1   38 
ENDBIB              36          0                                 C2615  1   39 
NOCOMMON             0          0                                 C2615  1   40 
ENDSUBENT           39          0                                 C2615  199999 
SUBENT        C2615002   20210810                             C208C2615  2    1 
BIB                  5         16                                 C2615  2    2 
REACTION   (6-C-14(P,N)7-N-14,PAR,POL/DA)                         C2615  2    3 
LEVEL-PROP (7-N-14,E-LVL=0.,SPIN=1.,PARITY=+1.)                   C2615  2    4 
           (7-N-14,E-LVL=2.31,SPIN=0.,PARITY=+1.)                 C2615  2    5 
           (7-N-14,E-LVL=3.95,SPIN=1.,PARITY=+1.)                 C2615  2    6 
CORRECTION The values of polarization have been corrected for     C2615  2    7 
           multiple scattering; these corrections varied between  C2615  2    8 
           8 and 12%.                                             C2615  2    9 
ERR-ANALYS (DATA-ERR) The error on polarization was computed from C2615  2   10 
           the statistical counting error on the product P(He)*P, C2615  2   11 
           where P(He) is the polarization of the neutrons        C2615  2   12 
           scattered from the helium and P is the polarization of C2615  2   13 
           the neutrons from the (p,n) reaction, since the        C2615  2   14 
           statistical counting errors are much larger than the   C2615  2   15 
           uncertainties in the values of P(He).                  C2615  2   16 
STATUS     (CURVE) Fig.3 (p.1909) in Phys.Rev/C,3,1904,1971 was   C2615  2   17 
           digitized by GSYS2.4.7.                                C2615  2   18 
ENDBIB              16          0                                 C2615  2   19 
NOCOMMON             0          0                                 C2615  2   20 
DATA                 5        189                                 C2615  2   21 
E-LVL      EN         ANG        DATA       DATA-ERR              C2615  2   22 
MEV        MEV        ADEG       NO-DIM     NO-DIM                C2615  2   23 
         0.        7.2      0.009      0.056      0.086           C2615  2   24 
         0.        7.2      8.431     -0.066      0.106           C2615  2   25 
         0.        7.2     18.778     -0.160      0.088           C2615  2   26 
         0.        7.2     19.065     -0.237      0.085           C2615  2   27 
         0.        7.2     28.354     -0.194      0.106           C2615  2   28 
         0.        7.2     37.749      0.000      0.133           C2615  2   29 
         0.        7.2     37.929     -0.255      0.144           C2615  2   30 
         0.        7.2     48.282     -0.231      0.144           C2615  2   31 
         0.        7.2     58.249     -0.186      0.163           C2615  2   32 
         0.        7.2     68.132      0.085      0.162           C2615  2   33 
         0.        7.2     77.241      0.378      0.213           C2615  2   34 
         0.        7.2     88.228     -0.436      0.255           C2615  2   35 
         0.        8.8      0.507      0.025      0.123           C2615  2   36 
         0.        8.8      4.532     -0.154      0.076           C2615  2   37 
         0.        8.8      9.629     -0.115      0.084           C2615  2   38 
         0.        8.8     19.613     -0.237      0.081           C2615  2   39 
         0.        8.8     29.488     -0.507      0.089           C2615  2   40 
         0.        8.8     39.888     -0.476      0.130           C2615  2   41 
         0.        8.8     40.163     -0.545      0.130           C2615  2   42 
         0.        8.8     49.388     -0.425      0.141           C2615  2   43 
         0.        8.8     59.349     -0.807      0.184           C2615  2   44 
         0.        8.8     69.384     -0.357      0.168           C2615  2   45 
         0.        8.8     78.909     -0.230      0.149           C2615  2   46 
         0.       10.4      0.255      0.021      0.054           C2615  2   47 
         0.       10.4      9.449     -0.084      0.079           C2615  2   48 
         0.       10.4     19.225     -0.130      0.094           C2615  2   49 
         0.       10.4     29.392     -0.175      0.107           C2615  2   50 
         0.       10.4     39.265     -0.464      0.110           C2615  2   51 
         0.       10.4     48.552     -0.155      0.099           C2615  2   52 
         0.       10.4     59.012      0.000      0.131           C2615  2   53 
         0.       10.4     68.788      0.251      0.126           C2615  2   54 
         0.       10.4     78.270      0.714      0.181           C2615  2   55 
         0.       11.7      0.008      0.104      0.068           C2615  2   56 
         0.       11.7      9.766     -0.337      0.229           C2615  2   57 
         0.       11.7     19.501     -0.625      0.221           C2615  2   58 
         0.       11.7     29.340     -0.791      0.309           C2615  2   59 
         0.       11.7     39.672     -0.956      0.221           C2615  2   60 
         0.       11.7     49.342     -0.513      0.155           C2615  2   61 
         0.       11.7     59.098     -0.364      0.160           C2615  2   62 
         0.       11.7     69.631     -0.444      0.219           C2615  2   63 
         0.       11.7     78.356      0.852      0.420           C2615  2   64 
         0.       12.6      0.555     -0.012      0.062           C2615  2   65 
         0.       12.6     10.076     -0.230      0.211           C2615  2   66 
         0.       12.6     19.858     -0.350      0.192           C2615  2   67 
         0.       12.6     29.964     -0.639      0.291           C2615  2   68 
         0.       12.6     30.146     -0.299      0.211           C2615  2   69 
         0.       12.6     39.804     -0.451      0.234           C2615  2   70 
         0.       12.6     40.141     -0.547      0.227           C2615  2   71 
         0.       12.6     49.247     -0.497      0.205           C2615  2   72 
         0.       12.6     59.762     -0.486      0.192           C2615  2   73 
         0.       12.6     69.734     -0.231      0.333           C2615  2   74 
         0.       12.6     79.279     -0.990      0.400           C2615  2   75 
         0.       12.6     89.689     -0.986      0.691           C2615  2   76 
         0.       13.3      0.475      0.011      0.113           C2615  2   77 
         0.       13.3      9.693     -0.017      0.156           C2615  2   78 
         0.       13.3      9.814      0.312      0.113           C2615  2   79 
         0.       13.3     19.190      0.312      0.191           C2615  2   80 
         0.       13.3     19.449      0.210      0.198           C2615  2   81 
         0.       13.3     29.471      0.093      0.216           C2615  2   82 
         0.       13.3     29.597      0.195      0.315           C2615  2   83 
         0.       13.3     39.754     -0.225      0.262           C2615  2   84 
         0.       13.3     40.143     -0.359      0.258           C2615  2   85 
         0.       13.3     49.393     -0.466      0.216           C2615  2   86 
         0.       13.3     49.645     -0.239      0.237           C2615  2   87 
         0.       13.3     59.792     -0.225      0.230           C2615  2   88 
         0.       13.3     70.074     -0.480      0.258           C2615  2   89 
