ENTRY            C0651   20040804                             0000C065100000001 
SUBENT        C0651001   20040804                             0000C065100100001 
BIB                 10         15                                 C065100100002 
INSTITUTE  (1USARIC)                                              C065100100003 
REFERENCE  (J,NP/A,337,365,1980)                                  C065100100004 
           (T,ANDRADE IBARRA,1972)                                C065100100005 
AUTHOR     (E.Andrade,D.Miljanic,G.C.Phillips)                    C065100100006 
TITLE      Analysis of the angular distribution of proton-neutron C065100100007 
            FSI in the reaction 2H(p,n)1H at E0 = 12.5 MeV        C065100100008 
FACILITY   (VDGT,1USARIC)                                         C065100100009 
SAMPLE     Deuterated polyethylene foils; 98.3% 2H, 1.7% 1H.      C065100100010 
DETECTOR   (SOLST) Protons detected using silicon surface barrier C065100100011 
            detector.                                             C065100100012 
           (SCIN) Neutrons detected by NE-218 liquid scintillator.C065100100013 
MONITOR    (1-H-2(P,P)1-H-2,,DA)                                  C065100100014 
CORRECTION Corrected for background due to accidental events.     C065100100015 
HISTORY    (20000508C) VM                                         C065100100016 
           (20040804A) Second angle added.                        C065100100017 
ENDBIB              15          0                                 C065100100018 
COMMON               1          3                                 C065100100019 
EN                                                                C065100100020 
MEV                                                               C065100100021 
 12.5                                                             C065100100022 
ENDCOMMON            3          0                                 C065100100023 
ENDSUBENT           22          0                                 C065100199999 
SUBENT        C0651002   20040804                             0000C065100200001 
BIB                  5          9                                 C065100200002 
REACTION   (1-H-2(P,N+P)1-H-1,,DA/DA/DE,N/P/P)                    C065100200003 
METHOD     (COINC) Proton-neutron coincidence spectra             C065100200004 
ERR-ANALYS (DATA-ERR) Error scanned from figure.                  C065100200005 
           Digitizing error in proton energy 0.05 MeV.            C065100200006 
           Digitizing error in data 0.05 mb/sr**2/MeV.            C065100200007 
STATUS     (CURVE) Data scanned from Fig.5,6 in main reference    C065100200008 
                   at RFNC-VNIIEF.                                C065100200009 
HISTORY    (20011102A) SD                                         C065100200010 
           (20040804A) Digitizing error added to COMMON           C065100200011 
ENDBIB               9          0                                 C065100200012 
COMMON               2          3                                 C065100200013 
E-ERR-DIG  ERR-DIG                                                C065100200014 
MEV        MB/SR2/MEV                                             C065100200015 
  0.05       0.05                                                 C065100200016 
ENDCOMMON            3          0                                 C065100200017 
DATA                 5        313                                 C065100200018 
ANG1       ANG2       E          DATA       DATA-ERR              C065100200019 
ADEG       ADEG       MEV        MB/SR2/MEV MB/SR2/MEV            C065100200020 
  17.5       17.5        0.69       0.49       0.13               C065100200021 
  17.5       17.5        0.91       0.80       0.17               C065100200022 
  17.5       17.5        1.11       1.33       0.20               C065100200023 
  17.5       17.5        1.31       1.10       0.19               C065100200024 
  17.5       17.5        1.53       0.63       0.15               C065100200025 
  17.5       17.5        1.71       1.19       0.18               C065100200026 
  17.5       17.5        1.92       1.33       0.21               C065100200027 
  17.5       17.5        2.12       2.34       0.26               C065100200028 
  17.5       17.5        2.33       2.55       0.28               C065100200029 
  17.5       17.5        2.53       2.36       0.24               C065100200030 
  17.5       17.5        2.76       3.28       0.29               C065100200031 
  17.5       17.5        2.92       3.32       0.29               C065100200032 
  17.5       17.5        3.10       3.61       0.31               C065100200033 
  17.5       17.5        3.33       4.33       0.32               C065100200034 
  17.5       17.5        3.55       5.70       0.40               C065100200035 
  17.5       17.5        3.77       6.48       0.39               C065100200036 
  17.5       17.5        4.01       8.12       0.41               C065100200037 
  17.5       17.5        4.24       8.94       0.47               C065100200038 
  17.5       17.5        4.43       8.24       0.44               C065100200039 
  17.5       17.5        4.65       8.26       0.44               C065100200040 
  17.5       17.5        4.83       6.99       0.41               C065100200041 
  17.5       17.5        4.99       5.60       0.33               C065100200042 
  17.5       17.5        5.18       4.48       0.32               C065100200043 
  17.5       17.5        5.41       4.35       0.32               C065100200044 
  17.5       17.5        5.60       3.93       0.31               C065100200045 
  17.5       17.5        5.78       2.93       0.24               C065100200046 
  17.5       17.5        5.99       2.84       0.26               C065100200047 
  17.5       17.5        6.18       2.44       0.23               C065100200048 
  17.5       17.5        6.39       2.12       0.22               C065100200049 
  17.5       17.5        6.58       1.74       0.20               C065100200050 
  17.5       17.5        6.77       1.66       0.21               C065100200051 
  17.5       17.5        6.97       1.53       0.20               C065100200052 
  17.5       17.5        7.18       1.54       0.21               C065100200053 
  17.5       17.5        7.34       1.58       0.20               C065100200054 
  17.5       17.5        7.57       1.24       0.22               C065100200055 
  17.5       17.5        7.80       1.11       0.22               C065100200056 
  17.5       17.5        7.98       0.21       0.24               C065100200057 
  20.0       20.0        0.92       0.42       0.14               C065100200058 
  20.0       20.0        1.11       0.71       0.18               C065100200059 
  20.0       20.0        1.32       0.53       0.17               C065100200060 
  20.0       20.0        1.56       0.27       0.14               C065100200061 
  20.0       20.0        1.73       0.85       0.20               C065100200062 
  20.0       20.0        1.94       1.02       0.22               C065100200063 
  20.0       20.0        2.13       1.33       0.24               C065100200064 
  20.0       20.0        2.35       1.78       0.28               C065100200065 
  20.0       20.0        2.54       2.27       0.32               C065100200066 
  20.0       20.0        2.73       2.33       0.29               C065100200067 
  20.0       20.0        2.95       2.42       0.30               C065100200068 
  20.0       20.0        3.20       3.38       0.35               C065100200069 
  20.0       20.0        3.39       3.98       0.39               C065100200070 
  20.0       20.0        3.58       4.84       0.41               C065100200071 
  20.0       20.0        3.84       5.10       0.39               C065100200072 
  20.0       20.0        4.01       6.50       0.46               C065100200073 
  20.0       20.0        4.21       6.50       0.46               C065100200074 
  20.0       20.0        4.43       7.24       0.48               C065100200075 
  20.0       20.0        4.63       6.28       0.47               C065100200076 
  20.0       20.0        4.84       4.14       0.36               C065100200077 
  20.0       20.0        5.02       3.63       0.35               C065100200078 
  20.0       20.0        5.24       3.08       0.31               C065100200079 
  20.0       20.0        5.39       2.11       0.27               C065100200080 
  20.0       20.0        5.59       2.26       0.29               C065100200081 
  20.0       20.0        5.77       1.97       0.26               C065100200082 
  20.0       20.0        6.00       2.05       0.25               C065100200083 
  20.0       20.0        6.17       1.27       0.22               C065100200084 
  20.0       20.0        6.38       1.06       0.20               C065100200085 
  20.0       20.0        6.59       1.11       0.19               C065100200086 
  20.0       20.0        6.80       1.38       0.23               C065100200087 
  20.0       20.0        7.00       1.16       0.22               C065100200088 
  20.0       20.0        7.20       1.24       0.24               C065100200089 
  20.0       20.0        7.41       1.23       0.28               C065100200090 
  20.0       20.0        7.67       1.49       0.28               C065100200091 
  20.0       20.0        7.82       1.82       0.31               C065100200092 
  20.0       20.0        8.01       0.67       0.32               C065100200093 
