ENTRY            C1254   20050609                             C074C125400000001 
SUBENT        C1254001   20050609                             C074C125400100001 
BIB                 10         14                                 C125400100002 
INSTITUTE  (1USADKE,1USANCS,1USAWMU)                              C125400100003 
REFERENCE  (J,PR/C,25,2823,1982)                                  C125400100004 
AUTHOR     (M.C.Wright,N.R.Roberson,H.R.Weller,D.R.Tilley,        C125400100005 
            D.Halderson)                                          C125400100006 
TITLE      Proton capture in the 19 MeV region of 12C             C125400100007 
FACILITY   (ACCEL,1USATNL) Triangle University Nuclear            C125400100008 
            Laboratory                                            C125400100009 
INC-SPECT  Proton beam                                            C125400100010 
SAMPLE     Self supporting enriched  target (97% 11B),            C125400100011 
            500 microg/cm2 thick                                  C125400100012 
METHOD     (TOF)                                                  C125400100013 
DETECTOR   (NAICR) NaI crystal, 25.4 x 25.4 cm surrounded by      C125400100014 
            a plastic NE110                                       C125400100015 
HISTORY    (20050609C) DR                                         C125400100016 
ENDBIB              14          0                                 C125400100017 
NOCOMMON             0          0                                 C125400100018 
ENDSUBENT           17          0                                 C125400199999 
SUBENT        C1254002   20050609                             C074C125400200001 
BIB                  4          4                                 C125400200002 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA)                             C125400200003 
EN-SEC     (E-EXC,6-C-12)                                         C125400200004 
ERR-ANALYS (DATA-ERR) No information                              C125400200005 
STATUS     (CURVE) Data read from Figures 2 and 3                 C125400200006 
ENDBIB               4          0                                 C125400200007 
NOCOMMON             0          0                                 C125400200008 
DATA                 5        113                                 C125400200009 
ANG        E-EXC      EN         DATA       DATA-ERR              C125400200010 
90.        0.0           3.96E+00   1.52E+00   2.95E-02           C125400200079 
90.        0.0           4.01E+00   1.60E+00   3.32E-02           C125400200080 
90.        0.0           4.07E+00   1.70E+00   2.58E-02           C125400200081 
90.        0.0           4.12E+00   1.84E+00   3.32E-02           C125400200082 
90.        0.0           4.21E+00   2.01E+00   2.58E-02           C125400200083 
90.        0.0           4.32E+00   2.33E+00   2.96E-02           C125400200084 
90.        0.0           4.42E+00   2.55E+00   4.43E-02           C125400200085 
90.        0.0           4.62E+00   3.15E+00   3.32E-02           C125400200086 
90.        4.439         2.89E+00   6.60E-01   2.50E-02           C125400200087 
90.        4.439         2.99E+00   7.04E-01   2.22E-02           C125400200088 
90.        4.439         3.10E+00   1.24E+00   2.22E-02           C125400200089 
90.        4.439         3.21E+00   1.81E+00   2.22E-02           C125400200090 
90.        4.439         3.30E+00   9.45E-01   2.22E-02           C125400200091 
90.        4.439         3.40E+00   8.95E-01   2.22E-02           C125400200092 
90.        4.439         3.50E+00   9.37E-01   2.77E-02           C125400200093 
90.        4.439         3.60E+00   8.70E-01   2.22E-02           C125400200094 
90.        4.439         3.70E+00   7.53E-01   2.22E-02           C125400200095 
90.        4.439         3.80E+00   6.03E-01   2.49E-02           C125400200096 
90.        4.439         3.90E+00   5.50E-01   2.22E-02           C125400200097 
90.        4.439         3.95E+00   5.78E-01   2.50E-02           C125400200098 
90.        4.439         4.00E+00   6.11E-01   2.49E-02           C125400200099 
90.        4.439         4.05E+00   6.11E-01   2.50E-02           C125400200100 
90.        4.439         4.10E+00   6.86E-01   2.22E-02           C125400200101 
90.        4.439         4.21E+00   8.11E-01   2.22E-02           C125400200102 
90.        4.439         4.30E+00   9.85E-01   1.94E-02           C125400200103 
90.        4.439         4.41E+00   1.00E+00   2.49E-02           C125400200104 
90.        4.439         4.61E+00   1.31E+00   2.50E-02           C125400200105 
90.        9.641         2.89E+00   4.55E-01   1.20E-02           C125400200106 
90.        9.641         2.99E+00   3.21E-01   1.38E-02           C125400200107 
90.        9.641         3.09E+00   2.77E-01   8.33E-03           C125400200108 
90.        9.641         3.20E+00   3.98E-01   9.25E-03           C125400200109 
90.        9.641         3.30E+00   3.70E-01   1.29E-02           C125400200110 
90.        9.641         3.40E+00   3.88E-01   1.20E-02           C125400200111 
90.        9.641         3.49E+00   3.02E-01   1.29E-02           C125400200112 
90.        9.641         3.59E+00   2.73E-01   1.11E-02           C125400200113 
90.        9.641         3.69E+00   2.43E-01   1.20E-02           C125400200114 
90.        9.641         3.79E+00   2.55E-01   1.20E-02           C125400200115 
90.        9.641         3.89E+00   2.39E-01   1.11E-02           C125400200116 
