ELEMENT    MASS       DATA       -DATA-ERR  +DATA-ERR             C203000200013 
NO-DIM     NO-DIM     MB         MB         MB                    C203000200014 
       15.0       36.0   1.31E-02   3.26E-03   3.54E-03           C203000200057 
       15.0       37.0   4.36E-03   1.57E-03   2.76E-03           C203000200058 
       15.0       38.0   9.98E-04   4.32E-04   1.17E-03           C203000200059 
       15.0       39.0   2.35E-04   1.16E-04   1.90E-04           C203000200060 
       15.0       40.0   2.18E-05   1.07E-05   1.85E-05           C203000200061 
       15.0       41.0   3.50E-06   1.45E-06   2.32E-06           C203000200062 
       15.0       42.0   2.01E-07   6.66E-08   9.23E-08           C203000200063 
       15.0       43.0   2.81E-08   1.43E-08   1.95E-08           C203000200064 
       15.0       44.0   8.41E-10   4.62E-10   4.35E-10           C203000200065 
       15.0       45.0   2.89E-11   2.26E-11   5.20E-11           C203000200066 
       16.0       33.0   6.47E-01   3.89E-01   5.18E-01           C203000200067 
       16.0       34.0   1.70E+00   7.20E-01   1.18E+00           C203000200068 
       16.0       35.0   1.11E+00   4.12E-01   5.13E-01           C203000200069 
       16.0       36.0   4.87E-01   1.74E-01   1.61E-01           C203000200070 
       16.0       37.0   1.15E-01   5.70E-02   8.86E-02           C203000200071 
       16.0       38.0   2.64E-02   7.07E-03   1.11E-02           C203000200072 
       16.0       39.0   7.62E-03   2.51E-03   4.06E-03           C203000200073 
       16.0       40.0   2.07E-03   7.40E-04   2.22E-03           C203000200074 
       16.0       41.0   2.69E-04   1.43E-04   4.82E-04           C203000200075 
       16.0       42.0   5.01E-05   2.53E-05   4.91E-05           C203000200076 
       16.0       43.0   3.80E-06   1.83E-06   3.45E-06           C203000200077 
       16.0       44.0   5.27E-07   1.82E-07   2.20E-07           C203000200078 
       16.0       45.0   3.25E-08   1.48E-08   2.24E-08           C203000200079 
       16.0       46.0   2.05E-09   1.03E-09   9.77E-10           C203000200080 
       16.0       47.0   8.06E-11   4.91E-11   6.45E-11           C203000200081 
       16.0       48.0   2.54E-11   1.94E-11   4.54E-11           C203000200082 
       17.0       35.0   5.37E-01   2.78E-01   2.66E-01           C203000200083 
       17.0       36.0   1.58E+00   4.95E-01   6.77E-01           C203000200084 
       17.0       37.0   1.66E+00   4.45E-01   4.90E-01           C203000200085 
       17.0       38.0   6.70E-01   2.11E-01   1.99E-01           C203000200086 
       17.0       39.0   2.26E-01   7.02E-02   6.52E-02           C203000200087 
       17.0       40.0   5.19E-02   1.50E-02   2.43E-02           C203000200088 
       17.0       41.0   9.17E-03   4.50E-03   1.03E-02           C203000200089 
       17.0       42.0   4.91E-03   1.63E-03   3.35E-03           C203000200090 
       17.0       43.0   7.57E-04   3.91E-04   1.57E-03           C203000200091 
       17.0       44.0   1.25E-04   6.36E-05   1.26E-04           C203000200092 
       17.0       45.0   1.79E-05   8.57E-06   1.63E-05           C203000200093 
       17.0       46.0   1.16E-06   4.82E-07   8.19E-07           C203000200094 
       17.0       47.0   1.66E-07   5.78E-08   8.74E-08           C203000200095 
       17.0       48.0   6.65E-09   3.21E-09   3.00E-09           C203000200096 
       17.0       49.0   6.32E-10   2.99E-10   2.70E-10           C203000200097 
       17.0       50.0   3.06E-11   2.56E-11   2.84E-11           C203000200098 
       18.0       38.0   2.65E+00   8.20E-01   9.24E-01           C203000200099 
       18.0       39.0   2.67E+00   5.58E-01   6.34E-01           C203000200100 
       18.0       40.0   1.29E+00   3.22E-01   3.37E-01           C203000200101 
       18.0       41.0   3.95E-01   1.20E-01   1.12E-01           C203000200102 
       18.0       42.0   9.47E-02   2.64E-02   2.68E-02           C203000200103 
       18.0       43.0   1.49E-02   3.47E-03   5.53E-03           C203000200104 
       18.0       44.0   6.59E-03   2.86E-03   4.50E-03           C203000200105 
       18.0       45.0   1.01E-03   4.79E-04   3.24E-03           C203000200106 
       18.0       46.0   1.68E-04   9.12E-05   3.53E-04           C203000200107 
       18.0       47.0   1.67E-05   8.70E-06   1.98E-05           C203000200108 
       18.0       48.0   2.39E-06   1.12E-06   2.41E-06           C203000200109 
       18.0       49.0   1.29E-07   6.49E-08   1.22E-07           C203000200110 
       18.0       50.0   1.34E-08   6.80E-09   5.82E-09           C203000200111 
       18.0       51.0   3.99E-10   2.99E-10   3.21E-10           C203000200112 
       18.0       52.0   7.21E-11   4.06E-11   4.52E-11           C203000200113 
       19.0       39.0   8.97E-01   8.53E-01   6.37E-01           C203000200114 
       19.0       40.0   4.41E+00   2.23E+00   2.22E+00           C203000200115 
       19.0       41.0   5.73E+00   1.35E+00   1.58E+00           C203000200116 
       19.0       42.0   2.20E+00   4.50E-01   5.08E-01           C203000200117 
       19.0       43.0   7.82E-01   2.28E-01   2.23E-01           C203000200118 
       19.0       44.0   1.95E-01   5.13E-02   5.14E-02           C203000200119 
       19.0       45.0   4.17E-02   1.76E-02   9.44E-03           C203000200120 
       19.0       46.0   1.05E-02   5.27E-03   9.04E-03           C203000200121 
       19.0       47.0   2.45E-03   7.59E-04   1.57E-03           C203000200122 
       19.0       48.0   2.63E-04   1.34E-04   4.69E-04           C203000200123 
       19.0       49.0   5.29E-05   3.17E-05   6.76E-05           C203000200124 
       19.0       50.0   6.83E-06   3.70E-06   9.31E-06           C203000200125 
       19.0       51.0   8.43E-07   3.71E-07   7.49E-07           C203000200126 
       19.0       52.0   2.61E-08   1.54E-08   1.24E-08           C203000200127 
       19.0       53.0   2.89E-09   1.40E-09   1.04E-09           C203000200128 
       19.0       54.0   1.28E-10   6.87E-11   7.34E-11           C203000200129 
       19.0       55.0   2.18E-11   1.30E-11   1.74E-11           C203000200130 
       20.0       41.0   2.20E+00   2.09E+00   2.12E+00           C203000200131 
       20.0       42.0   6.99E+00   5.37E+00   4.19E+00           C203000200132 
       20.0       43.0   6.86E+00   1.84E+00   2.07E+00           C203000200133 
       20.0       44.0   3.50E+00   6.82E-01   8.05E-01           C203000200134 
       20.0       45.0   1.20E+00   3.26E-01   3.20E-01           C203000200135 
       20.0       46.0   3.94E-01   9.99E-02   1.00E-01           C203000200136 
       20.0       47.0   7.86E-02   2.86E-02   1.81E-02           C203000200137 
       20.0       48.0   1.30E-02   4.42E-03   4.79E-03           C203000200138 
       20.0       49.0   1.92E-03   1.04E-03   2.36E-03           C203000200139 
       20.0       50.0   3.88E-04   1.54E-04   4.48E-04           C203000200140 
       20.0       51.0   4.48E-05   2.00E-05   9.80E-05           C203000200141 
