ELEMENT    MASS       DATA       -DATA-ERR  +DATA-ERR             C203000200013 
NO-DIM     NO-DIM     MB         MB         MB                    C203000200014 
       33.0       82.0   1.08E-02   9.87E-03   8.79E-02           C203000200343 
       33.0       83.0   1.18E-05   8.00E-06   9.53E-06           C203000200344 
ENDDATA            332          0                                 C203000200345 
ENDSUBENT          344          0                                 C203000299999 
SUBENT        C2030003   20130630                             C133C203000300001 
BIB                  4          6                                 C203000300002 
REACTION   (74-W-0(34-SE-82,X)ELEM/MASS,,SIG)                     C203000300003 
STATUS     (TABLE) Data presented in fig. 6 of the reference      C203000300004 
                   sent by author (O.B.T.)                        C203000300005 
SAMPLE     Tungsten target with thickness of 750 mg/cm2           C203000300006 
ANALYSIS   Cross sections normalized using LISE++ transmission    C203000300007 
           calculations                                           C203000300008 
ENDBIB               6          0                                 C203000300009 
NOCOMMON             0          0                                 C203000300010 
DATA                 5         88                                 C203000300011 
ELEMENT    MASS       DATA       -ERR-T     +ERR-T                C203000300012 
NO-DIM     NO-DIM     MB         MB         MB                    C203000300013 
       12.0       35.0   1.34E-03   1.32E-03   5.54E-01           C203000300014 
       12.0       36.0   1.14E-06   1.13E-06   9.79E-06           C203000300015 
       13.0       37.0   7.50E-04   7.43E-04   2.28E-02           C203000300016 
       13.0       38.0   6.70E-06   6.63E-06   4.12E-05           C203000300017 
       14.0       39.0   1.53E-04   1.52E-04   1.89E-03           C203000300018 
       14.0       40.0   1.23E-05   1.22E-05   5.88E-05           C203000300019 
       14.0       41.0   3.61E-07   3.55E-07   1.04E-06           C203000300020 
       14.0       42.0   4.82E-08   4.77E-08   1.10E-07           C203000300021 
       15.0       40.0   1.05E-02   1.04E-02   4.05E-01           C203000300022 
       15.0       41.0   2.98E-04   2.95E-04   2.28E-03           C203000300023 
       15.0       42.0   1.32E-05   1.30E-05   5.25E-05           C203000300024 
       15.0       43.0   1.32E-06   1.21E-06   3.47E-06           C203000300025 
       15.0       44.0   5.32E-08   4.88E-08   1.06E-07           C203000300026 
       16.0       42.0   3.97E-03   3.93E-03   5.05E-02           C203000300027 
       16.0       43.0   1.25E-04   1.24E-04   6.82E-04           C203000300028 
       16.0       44.0   1.57E-05   1.51E-05   5.33E-05           C203000300029 
       16.0       45.0   9.25E-07   8.25E-07   2.26E-06           C203000300030 
       16.0       46.0   3.72E-08   3.39E-08   7.25E-08           C203000300031 
       17.0       44.0   3.16E-03   3.13E-03   2.38E-02           C203000300032 
       17.0       45.0   3.06E-04   3.03E-04   1.32E-03           C203000300033 
       17.0       46.0   1.54E-05   1.43E-05   4.61E-05           C203000300034 
       17.0       47.0   1.88E-06   1.62E-06   4.23E-06           C203000300035 
       17.0       48.0   1.53E-07   1.26E-07   2.66E-07           C203000300036 
       17.0       49.0   8.47E-09   8.39E-09   1.46E-08           C203000300037 
       18.0       46.0   1.80E-03   1.78E-03   9.53E-03           C203000300038 
       18.0       47.0   1.64E-04   1.62E-04   6.12E-04           C203000300039 
       18.0       48.0   1.22E-05   1.11E-05   3.37E-05           C203000300040 
       18.0       49.0   1.15E-06   9.78E-07   2.42E-06           C203000300041 
       18.0       50.0   1.27E-07   1.03E-07   2.05E-07           C203000300042 
       18.0       51.0   9.14E-09   9.05E-09   1.31E-08           C203000300043 
       19.0       48.0   1.34E-03   1.32E-03   5.64E-03           C203000300044 
       19.0       49.0   2.67E-04   2.64E-04   8.74E-04           C203000300045 
       19.0       50.0   1.44E-05   1.35E-05   3.64E-05           C203000300046 
       19.0       51.0   2.36E-06   2.00E-06   4.59E-06           C203000300047 
       19.0       52.0   1.82E-07   1.51E-07   2.63E-07           C203000300048 
       19.0       53.0   2.09E-08   1.70E-08   2.41E-08           C203000300049 
       19.0       54.0   2.93E-09   2.76E-09   4.03E-09           C203000300050 
       20.0       51.0   3.35E-04   3.31E-04   1.02E-03           C203000300051 
       20.0       52.0   1.99E-05   1.97E-05   4.72E-05           C203000300052 
       20.0       53.0   7.53E-07   6.96E-07   1.38E-06           C203000300053 
       20.0       54.0   1.39E-07   1.22E-07   1.85E-07           C203000300054 
       20.0       55.0   1.74E-08   1.45E-08   1.83E-08           C203000300055 
       20.0       56.0   3.57E-09   3.34E-09   3.70E-09           C203000300056 
       21.0       54.0   1.12E-04   1.10E-04   2.46E-04           C203000300057 
       21.0       55.0   6.91E-06   6.85E-06   1.16E-05           C203000300058 
       21.0       56.0   9.06E-07   8.97E-07   1.11E-06           C203000300059 
       21.0       57.0   3.05E-07   2.49E-07   2.66E-07           C203000300060 
       21.0       58.0   2.21E-08   1.56E-08   1.45E-08           C203000300061 
       21.0       59.0   9.34E-09   6.14E-09   5.01E-09           C203000300062 
       22.0       57.0   7.22E-05   7.14E-05   1.18E-04           C203000300063 
       22.0       58.0   4.24E-06   4.19E-06   4.86E-06           C203000300064 
       22.0       59.0   7.71E-07   7.63E-07   6.27E-07           C203000300065 
       22.0       60.0   1.87E-07   1.35E-07   1.03E-07           C203000300066 
       22.0       61.0   2.18E-08   1.29E-08   8.93E-09           C203000300067 
       22.0       62.0   5.61E-09   3.21E-09   2.52E-09           C203000300068 
       23.0       60.0   1.94E-05   1.92E-05   2.42E-05           C203000300069 
       23.0       61.0   3.35E-06   3.31E-06   2.70E-06           C203000300070 
       23.0       62.0   4.91E-07   4.81E-07   2.70E-07           C203000300071 
       23.0       63.0   1.53E-07   9.32E-08   5.61E-08           C203000300072 
       23.0       64.0   1.93E-08   9.42E-09   6.09E-09           C203000300073 
       23.0       65.0   4.63E-09   2.37E-09   1.98E-09           C203000300074 
       24.0       63.0   6.84E-06   6.77E-06   6.58E-06           C203000300075 
       24.0       64.0   1.47E-06   1.46E-06   9.44E-07           C203000300076 
       24.0       65.0   2.03E-07   1.85E-07   8.93E-08           C203000300077 
       24.0       66.0   4.48E-08   2.37E-08   1.43E-08           C203000300078 
       24.0       67.0   3.35E-09   1.76E-09   1.62E-09           C203000300079 
       24.0       68.0   1.14E-09   8.56E-10   9.15E-10           C203000300080 
       24.0       69.0   4.21E-10   3.10E-10   7.43E-10           C203000300081 
       25.0       66.0   3.28E-06   3.25E-06   3.00E-06           C203000300082 
       25.0       67.0   1.15E-06   1.14E-06   6.60E-07           C203000300083 
       25.0       68.0   1.61E-07   1.38E-07   6.45E-08           C203000300084 
       25.0       69.0   3.86E-08   1.82E-08   1.13E-08           C203000300085 
       25.0       70.0   5.61E-09   2.56E-09   2.09E-09           C203000300086 
       25.0       71.0   8.09E-10   6.14E-10   9.31E-10           C203000300087 
       26.0       69.0   3.04E-06   3.01E-06   2.59E-06           C203000300088 
       26.0       70.0   5.31E-07   5.26E-07   3.45E-07           C203000300089 
       26.0       71.0   8.88E-08   7.59E-08   3.50E-08           C203000300090 
       26.0       72.0   1.75E-08   8.16E-09   5.26E-09           C203000300091 
       26.0       73.0   2.39E-09   1.32E-09   1.42E-09           C203000300092 
       26.0       74.0   1.44E-09   8.32E-10   1.06E-09           C203000300093 
       27.0       71.0   2.23E-04   2.21E-04   3.36E-04           C203000300094 
       27.0       72.0   7.27E-06   7.20E-06   5.96E-06           C203000300095 
       27.0       73.0   7.93E-07   7.85E-07   4.27E-07           C203000300096 
       27.0       74.0   3.73E-08   3.32E-08   1.52E-08           C203000300097 
       27.0       75.0   3.23E-09   1.87E-09   1.69E-09           C203000300098 
       28.0       74.0   4.46E-04   4.42E-04   5.44E-04           C203000300099 
       28.0       75.0   2.57E-06   2.55E-06   2.10E-06           C203000300100 
       28.0       76.0   1.02E-07   1.01E-07   6.27E-08           C203000300101 
ENDDATA             90          0                                 C203000300102 
ENDSUBENT          101          0                                 C203000399999 
ENDENTRY             3          0                                 C203099999999 
