ENTRY            C3024   20250207                             C248C302400000001 
SUBENT        C3024001   20250207                             C248C302400100001 
BIB                 10         31                                 C302400100002 
TITLE      Spectra of p, d, and t from relativistic nuclear       C302400100003 
           collisions                                             C302400100004 
AUTHOR     (A.Sandoval,H.H.Gutbrod,W.G.Meyer,R.Stock,C.Lukner,    C302400100005 
           A.M.Poskanzer,J.Gosset,J.-C.Jourdain,C.H.King,G.King,  C302400100006 
           Nguyen Van Sen,G.D.Westfall,K.L.Wolf)                  C302400100007 
INSTITUTE  (1USABRK,2GERGSI)                                      C302400100008 
REFERENCE  (J,PR/C,21,1321,1980)                                  C302400100009 
           #doi:10.1103/PhysRevC.21.1321                          C302400100010 
FACILITY   (SYNCH,1USABRK) LBL Bevalac.                           C302400100011 
DETECTOR   (TELES,SILI,SCIN) The multiplicity array, just outside C302400100012 
           the scattering chamber, consisted of 80 plastic        C302400100013 
           scintillator paddies. The paddies were 6.4 mm thick andC302400100014 
           were arranged in four azimuthal rings. The special     C302400100015 
           deltaE-E-Erej detector system was developed to measure C302400100016 
           stopped particles up to a proton energy of 200 MeV. TheC302400100017 
           deltaE detectors consisted of a 150 mu-m Si(P) and a   C302400100018 
           5-mm Si(Li). The rejection detector Erej was a large   C302400100019 
           area Si(Li). All three detectors were cooled to -30 C  C302400100020 
           by an external circulating refrigerated bath.          C302400100021 
           Intrinsic germanium detectors were developed for E     C302400100022 
           counters and were aligned so that the particles enteredC302400100023 
           the crystal perpendicular to their field lines.        C302400100024 
SAMPLE     The targets were 2.5 cm high by 5 cm wide. The targets C302400100025 
           were placed at 45 degrees with respect to the beam.    C302400100026 
           All the targets were supported on their edges with     C302400100027 
           1 mg/cm2 Mylar film in a plastic frame.                C302400100028 
CORRECTION Corrections were applied for the loss of particles due C302400100029 
           to reactions while stopping and for scattering out fromC302400100030 
           the detectors.                                         C302400100031 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  C302400100032 
HISTORY    (20250207C) OG                                         C302400100033 
ENDBIB              31          0                                 C302400100034 
NOCOMMON             0          0                                 C302400100035 
ENDSUBENT           34          0                                 C302400199999 
SUBENT        C3024002   20250207                             C248C302400200001 
BIB                  4          6                                 C302400200002 
REACTION   (92-U-238(10-NE-20,X)1-H-1,,DA/DE)                     C302400200003 
SAMPLE     The thickness of the U238 target was 200 mg/cm2.       C302400200004 
FLAG       (1.) Refers to interpolated data                       C302400200005 
STATUS     (TABLE,,A.Sandoval,J,PR/C,21,1321,1980) Data were takenC302400200006 
           from Document No: PRVCA-21-1321-117, p. 2-9, 23-30,    C302400200007 
           81-93. 110-117.                                        C302400200008 
ENDBIB               6          0                                 C302400200009 
NOCOMMON             0          0                                 C302400200010 
DATA                 6       1135                                 C302400200011 
EN         ANG        E          DATA       DATA-ERR   FLAG       C302400200012 
MEV/A      ADEG       MEV/A      MB/SR/MEVA MB/SR/MEVA NO-DIM     C302400200013 
       241.        30.       189.     1.52E1     0.06E1           C302400200073 
       241.        30.       195.     1.42E1     0.06E1           C302400200074 
       241.        50.        15.     2.52E1     0.05E1           C302400200075 
       241.        50.        21.     2.08E1     0.05E1           C302400200076 
       241.        50.        27.     1.91E1     0.05E1         1.C302400200077 
       241.        50.        33.     1.76E1     0.04E1         1.C302400200078 
       241.        50.        39.     1.62E1     0.04E1         1.C302400200079 
       241.        50.        45.     1.49E1     0.03E1           C302400200080 
       241.        50.        51.     1.58E1     0.04E1           C302400200081 
       241.        50.        57.     1.53E1     0.04E1           C302400200082 
       241.        50.        63.     1.49E1     0.03E1           C302400200083 
       241.        50.        69.     1.47E1     0.03E1           C302400200084 
       241.        50.        75.     1.47E1     0.04E1           C302400200085 
       241.        50.        81.     1.41E1     0.03E1           C302400200086 
       241.        50.        87.     1.40E1     0.03E1           C302400200087 
       241.        50.        93.     1.37E1     0.03E1           C302400200088 
       241.        50.        99.     1.28E1     0.03E1           C302400200089 
       241.        50.       105.     1.27E1     0.03E1           C302400200090 
       241.        50.       111.     1.07E1     0.03E1         1.C302400200091 
       241.        50.       117.     9.83E0     0.31E0         1.C302400200092 
       241.        50.       123.     9.74E0     0.30E0           C302400200093 
       241.        50.       129.     9.28E0     0.29E0           C302400200094 
       241.        50.       135.     9.23E0     0.29E0           C302400200095 
       241.        50.       141.     8.79E0     0.29E0           C302400200096 
       241.        50.       147.     8.30E0     0.28E0           C302400200097 
       241.        50.       153.     7.83E0     0.28E0           C302400200098 
       241.        50.       159.     8.06E0     0.29E0           C302400200099 
       241.        50.       165.     7.13E0     0.27E0           C302400200100 
       241.        50.       171.     6.76E0     0.27E0           C302400200101 
       241.        50.       177.     6.10E0     0.26E0           C302400200102 
       241.        50.       183.     5.89E0     0.26E0           C302400200103 
       241.        50.       189.     5.41E0     0.25E0           C302400200104 
       241.        70.        15.     2.34E1     0.04E1           C302400200105 
       241.        70.        21.     1.85E1     0.04E1           C302400200106 
       241.        70.        27.     1.66E1     0.03E1         1.C302400200107 
       241.        70.        33.     1.50E1     0.03E1         1.C302400200108 
       241.        70.        39.     1.35E1     0.03E1         1.C302400200109 
       241.        70.        45.     1.21E1     0.03E1           C302400200110 
       241.        70.        51.     1.16E1     0.02E1           C302400200111 
       241.        70.        57.     1.13E1     0.02E1           C302400200112 
       241.        70.        63.     1.03E1     0.02E1           C302400200113 
       241.        70.        69.     1.01E1     0.02E1           C302400200114 
       241.        70.        75.     9.29E0     0.22E0           C302400200115 
       241.        70.        81.     8.39E0     0.21E0           C302400200116 
       241.        70.        87.     8.18E0     0.21E0           C302400200117 
       241.        70.        93.     7.07E0     0.20E0           C302400200118 
       241.        70.        99.     7.01E0     0.20E0           C302400200119 
       241.        70.       105.     6.30E0     0.19E0           C302400200120 
       241.        70.       111.     5.14E0     0.18E0         1.C302400200121 
       241.        70.       117.     4.47E0     0.17E0         1.C302400200122 
       241.        70.       123.     4.14E0     0.16E0           C302400200123 
       241.        70.       129.     4.13E0     0.16E0           C302400200124 
       241.        70.       135.     3.33E0     0.14E0           C302400200125 
       241.        70.       141.     3.37E0     0.15E0           C302400200126 
       241.        70.       147.     3.02E0     0.14E0           C302400200127 
       241.        70.       153.     2.31E0     0.12E0           C302400200128 
       241.        70.       159.     2.28E0     0.12E0           C302400200129 
       241.        70.       165.     2.25E0     0.12E0           C302400200130 
       241.        70.       171.     1.89E0     0.12E0           C302400200131 
       241.        70.       177.     1.64E0     0.11E0           C302400200132 
       241.        70.       183.     1.65E0     0.11E0           C302400200133 
       241.        70.       189.     1.33E0     0.10E0           C302400200134 
       241.        70.       195.     1.16E0     0.10E0           C302400200135 
       241.        90.        15.     2.20E1     0.03E1           C302400200136 
       241.        90.        21.     1.65E1     0.02E1           C302400200137 
       241.        90.        27.     1.39E1     0.02E1         1.C302400200138 
       241.        90.        33.     1.17E1     0.02E1         1.C302400200139 
       241.        90.        39.     9.81E0     0.15E0         1.C302400200140 
       241.        90.        45.     8.25E0     0.13E0           C302400200141 
       241.        90.        51.     7.52E0     0.12E0           C302400200142 
       241.        90.        57.     6.58E0     0.10E0           C302400200143 
       241.        90.        63.     5.98E0     0.11E0           C302400200144 
       241.        90.        69.     5.48E0     0.10E0           C302400200145 
       241.        90.        75.     4.69E0     0.10E0           C302400200146 
       241.        90.        81.     4.07E0     0.09E0           C302400200147 
       241.        90.        87.     3.62E0     0.08E0           C302400200148 
       241.        90.        93.     3.20E0     0.08E0           C302400200149 
       241.        90.        99.     2.61E0     0.07E0           C302400200150 
       241.        90.       105.     2.36E0     0.07E0           C302400200151 
       241.        90.       111.     1.86E0     0.06E0         1.C302400200152 
       241.        90.       117.     1.58E0     0.06E0         1.C302400200153 
       241.        90.       123.     1.43E0     0.05E0           C302400200154 
       241.        90.       129.     1.38E0     0.05E0           C302400200155 
       241.        90.       135.     1.10E0     0.06E0           C302400200156 
       241.        90.       141.    9.30E-1    0.45E-1           C302400200157 
       241.        90.       147.    8.34E-1    0.43E-1           C302400200158 
       241.        90.       153.    6.88E-1    0.40E-1           C302400200159 
       241.        90.       159.    5.96E-1    0.38E-1           C302400200160 
       241.        90.       165.    5.46E-1    0.36E-1           C302400200161 
       241.        90.       171.    4.96E-1    0.35E-1           C302400200162 
       241.        90.       177.    4.27E-1    0.33E-1           C302400200163 
