ENTRY            C0103   20090930                             C097C010300000001 
SUBENT        C0103001   20090930                             C097C010300100001 
BIB                 12         31                                 C010300100002 
INSTITUTE  (1USALAS,1USATAM,1USANWU,1USAMTU,1USAWSU)              C010300100003 
REFERENCE  (J,PR/C,45,35,199201)                                  C010300100004 
AUTHOR     (G.Glass,T.S.Bhatia,J.C.Hiebert,R.A.Kenefick,S.Nath,   C010300100005 
           L.C.Northcliffe,D.B.Barlow,J.J.Jarmer,R.H.Jeppesen,    C010300100006 
           G.E.Tripard)                                           C010300100007 
TITLE      Measurement of spin-correlation parameters A(LL) and   C010300100008 
            A(SL) in p-p elastic scattering from 500 to 800 MeV   C010300100009 
FACILITY   (MESON,1USALAS) LAMPF                                  C010300100010 
INC-SOURCE (POLIS,LAMB) Beam polarization 70-80%.                 C010300100011 
           (POLTR) Target polarization 70-80%.                    C010300100012 
SAMPLE     2-mm diameter beads of propanediol (CH2)3(OH)2 doped   C010300100013 
            with 2% by weight Cr(V) in cylindrical teflon         C010300100014 
            container immersed in bath of liquid 3He at < 0.5 K.  C010300100015 
DETECTOR   (MWPC) At 90 degrees, protons detected using multi-wireC010300100016 
            proportional counter with, on one side, a magnetic    C010300100017 
            spectrometer, and on the other side, a magnetic       C010300100018 
            spectrometer.                                         C010300100019 
           (SCIN) At other angles a small scintillator was used toC010300100020 
            detect scattered protons.                             C010300100021 
           Ar-CO2 Ionization chambers and scintillator telescopes C010300100022 
            in the beam line served as polarimeters.              C010300100023 
CORRECTION Corrected for background.                              C010300100024 
ERR-ANALYS (DATA-ERR) Uncertainty given is statistical uncertaintyC010300100025 
            combined with systematic uncertainty including target C010300100026 
            and beam polarization uncertainties.                  C010300100027 
STATUS     (APRVD) Approved by G. Glass, 97/3/7.                  C010300100028 
           (TABLE) Data taken from article                        C010300100029 
HISTORY    (19970213C)                                            C010300100030 
           (20000807A) Updated to new date formats, reactions     C010300100031 
                       corrected.                                 C010300100032 
           (20090930A) BIB update.                                C010300100033 
ENDBIB              31          0                                 C010300100034 
NOCOMMON             0          0                                 C010300100035 
ENDSUBENT           34          0                                 C010300199999 
SUBENT        C0103002   20090930                             C097C010300200001 
BIB                  2          2                                 C010300200002 
REACTION   (1-H-1(P,EL)1-H-1,LL,POL/DA,,C)                        C010300200003 
HISTORY    (20090930A) Reaction updated.                          C010300200004 
ENDBIB               2          0                                 C010300200005 
NOCOMMON             0          0                                 C010300200006 
DATA                 4        147                                 C010300200007 
EN         ANG-CM     DATA       DATA-ERR                         C010300200008 
MEV        ADEG       NO-DIM     NO-DIM                           C010300200009 
 488.       72.7       0.243      0.070                           C010300200010 
 488.       75.4       0.159      0.023                           C010300200011 
 488.       77.9       0.077      0.027                           C010300200012 
 488.       81.3       0.146      0.123                           C010300200013 
 488.       85.7       0.128      0.022                           C010300200014 
 488.       87.5       0.151      0.016                           C010300200015 
 488.       89.9       0.157      0.017                           C010300200016 
 488.       92.3       0.139      0.021                           C010300200017 
 488.       94.5       0.143      0.026                           C010300200018 
 589.       35.5       0.390      0.015                           C010300200019 
 589.       37.5       0.365      0.019                           C010300200020 
 589.       39.9       0.356      0.011                           C010300200021 
 589.       43.0       0.360      0.011                           C010300200022 
 589.       45.5       0.310      0.015                           C010300200023 
 589.       45.5       0.309      0.026                           C010300200024 
 589.       48.0       0.291      0.030                           C010300200025 
 589.       50.4       0.325      0.015                           C010300200026 
 589.       53.0       0.298      0.030                           C010300200027 
 589.       55.4       0.309      0.049                           C010300200028 
 589.       55.6       0.296      0.027                           C010300200029 
 589.       58.0       0.301      0.013                           C010300200030 
 589.       60.5       0.279      0.014                           C010300200031 
 589.       62.9       0.250      0.013                           C010300200032 
 589.       63.8       0.267      0.021                           C010300200033 
 589.       65.2       0.290      0.020                           C010300200034 
 589.       66.0       0.276      0.016                           C010300200035 
 589.       69.0       0.245      0.041                           C010300200036 
 589.       71.4       0.219      0.017                           C010300200037 
 589.       73.4       0.211      0.023                           C010300200038 
 589.       75.7       0.187      0.024                           C010300200039 
 589.       78.2       0.162      0.025                           C010300200040 
 589.       80.5       0.173      0.025                           C010300200041 
 589.       83.0       0.185      0.016                           C010300200042 
 589.       85.2       0.165      0.027                           C010300200043 
 589.       85.8       0.191      0.025                           C010300200044 
 589.       87.5       0.177      0.021                           C010300200045 
 589.       89.9       0.200      0.019                           C010300200046 
 589.       92.4       0.187      0.026                           C010300200047 
 589.       94.5       0.143      0.035                           C010300200048 
 640.       34.9       0.331      0.040                           C010300200049 
 640.       37.2       0.316      0.032                           C010300200050 
 640.       39.4       0.310      0.015                           C010300200051 
 640.       42.0       0.307      0.027                           C010300200052 
 640.       44.9       0.289      0.017                           C010300200053 
 640.       50.2       0.235      0.016                           C010300200054 
 640.       52.0       0.263      0.011                           C010300200055 
 640.       54.9       0.254      0.011                           C010300200056 
 640.       57.9       0.233      0.011                           C010300200057 
 640.       60.2       0.223      0.015                           C010300200058 
 640.       65.6       0.278      0.037                           C010300200059 
 640.       67.5       0.221      0.029                           C010300200060 
 640.       69.9       0.257      0.015                           C010300200061 
 640.       72.4       0.237      0.015                           C010300200062 
 640.       74.6       0.193      0.017                           C010300200063 
 640.       74.9       0.270      0.058                           C010300200064 
 640.       77.0       0.231      0.017                           C010300200065 
 640.       79.4       0.197      0.018                           C010300200066 
 640.       81.4       0.216      0.019                           C010300200067 
 640.       83.7       0.238      0.022                           C010300200068 
 640.       85.8       0.158      0.056                           C010300200069 
 640.       87.5       0.272      0.032                           C010300200070 
 640.       89.9       0.151      0.052                           C010300200071 
 640.       92.4       0.189      0.038                           C010300200072 
 640.       94.5       0.214      0.030                           C010300200073 
 692.       28.6       0.331      0.017                           C010300200074 
 692.       31.1       0.343      0.011                           C010300200075 
 692.       33.5       0.312      0.010                           C010300200076 
 692.       35.7       0.308      0.028                           C010300200077 
 692.       37.5       0.318      0.010                           C010300200078 
 692.       39.9       0.305      0.019                           C010300200079 
 692.       43.0       0.266      0.009                           C010300200080 
 692.       45.4       0.228      0.014                           C010300200081 
 692.       45.7       0.206      0.012                           C010300200082 
 692.       48.0       0.246      0.012                           C010300200083 
 692.       50.4       0.226      0.013                           C010300200084 
 692.       53.0       0.233      0.012                           C010300200085 
 692.       54.7       0.234      0.016                           C010300200086 
 692.       55.4       0.207      0.021                           C010300200087 
 692.       57.2       0.248      0.016                           C010300200088 
 692.       60.7       0.219      0.015                           C010300200089 
 692.       63.4       0.248      0.016                           C010300200090 
 692.       65.6       0.279      0.021                           C010300200091 
 692.       65.7       0.276      0.029                           C010300200092 
 692.       67.5       0.236      0.017                           C010300200093 
 692.       69.9       0.202      0.026                           C010300200094 
 692.       72.4       0.256      0.017                           C010300200095 
 692.       74.5       0.199      0.021                           C010300200096 
 692.       75.9       0.164      0.037                           C010300200097 
 692.       78.2       0.201      0.031                           C010300200098 
 692.       80.5       0.216      0.027                           C010300200099 
 692.       83.0       0.245      0.024                           C010300200100 
 692.       85.4       0.234      0.023                           C010300200101 
 692.       85.8       0.232      0.033                           C010300200102 
 692.       87.5       0.271      0.043                           C010300200103 
 692.       90.0       0.219      0.021                           C010300200104 
 692.       92.4       0.268      0.019                           C010300200105 
 692.       94.5       0.234      0.023                           C010300200106 
 743.       36.6       0.301      0.016                           C010300200107 
 743.       38.5       0.239      0.012                           C010300200108 
 743.       40.9       0.230      0.012                           C010300200109 
 743.       43.9       0.205      0.011                           C010300200110 
 743.       46.4       0.223      0.027                           C010300200111 
 743.       55.6       0.187      0.015                           C010300200112 
 743.       58.0       0.196      0.029                           C010300200113 
 743.       60.9       0.208      0.013                           C010300200114 
 743.       63.4       0.216      0.014                           C010300200115 
 743.       65.4       0.205      0.023                           C010300200116 
 743.       75.9       0.209      0.033                           C010300200117 
 743.       78.2       0.224      0.022                           C010300200118 
 743.       80.5       0.261      0.027                           C010300200119 
 743.       82.5       0.250      0.048                           C010300200120 
 743.       84.4       0.245      0.020                           C010300200121 
 743.       85.8       0.214      0.046                           C010300200122 
 743.       87.5       0.216      0.033                           C010300200123 
 743.       90.0       0.244      0.018                           C010300200124 
 743.       92.4       0.221      0.017                           C010300200125 
 743.       94.5       0.181      0.020                           C010300200126 
 793.       29.6       0.371      0.017                           C010300200127 
 793.       31.5       0.362      0.023                           C010300200128 
 793.       33.3       0.322      0.015                           C010300200129 
 793.       36.9       0.285      0.015                           C010300200130 
 793.       38.5       0.276      0.010                           C010300200131 
 793.       40.9       0.250      0.023                           C010300200132 
 793.       44.0       0.247      0.017                           C010300200133 
 793.       46.2       0.210      0.018                           C010300200134 
 793.       48.0       0.226      0.011                           C010300200135 
 793.       50.4       0.200      0.011                           C010300200136 
 793.       52.9       0.205      0.025                           C010300200137 
 793.       55.7       0.194      0.016                           C010300200138 
 793.       57.9       0.203      0.022                           C010300200139 
 793.       60.9       0.185      0.024                           C010300200140 
 793.       63.4       0.186      0.024                           C010300200141 
 793.       65.6       0.197      0.019                           C010300200142 
 793.       67.5       0.182      0.017                           C010300200143 
 793.       69.9       0.206      0.015                           C010300200144 
 793.       72.4       0.216      0.018                           C010300200145 
 793.       74.6       0.210      0.019                           C010300200146 
 793.       75.8       0.170      0.031                           C010300200147 
 793.       78.2       0.214      0.023                           C010300200148 
 793.       80.5       0.224      0.021                           C010300200149 
 793.       82.5       0.215      0.020                           C010300200150 
 793.       84.4       0.232      0.021                           C010300200151 
 793.       85.8       0.215      0.035                           C010300200152 
 793.       87.5       0.231      0.021                           C010300200153 
 793.       90.0       0.193      0.020                           C010300200154 
 793.       92.4       0.258      0.019                           C010300200155 
 793.       94.5       0.223      0.023                           C010300200156 
ENDDATA            149          0                                 C010300200157 
ENDSUBENT          156          0                                 C010300299999 
SUBENT        C0103003   20090930                             C097C010300300001 
BIB                  2          2                                 C010300300002 
REACTION   (1-H-1(P,EL)1-H-1,SL,POL/DA,,C)                        C010300300003 
HISTORY    (20090930A) Reaction updated.                          C010300300004 
ENDBIB               2          0                                 C010300300005 
NOCOMMON             0          0                                 C010300300006 
DATA                 4         66                                 C010300300007 
EN         ANG-CM     DATA       DATA-ERR                         C010300300008 
MEV        ADEG       NO-DIM     NO-DIM                           C010300300009 
 488.       72.7       0.071      0.052                           C010300300010 
 488.       75.4       0.002      0.053                           C010300300011 
 488.       77.9       0.159      0.053                           C010300300012 
 488.       85.7      -0.025      0.021                           C010300300013 
 488.       87.5      -0.028      0.017                           C010300300014 
 488.       89.9       0.014      0.022                           C010300300015 
 488.       92.3       0.021      0.018                           C010300300016 
 488.       94.5       0.091      0.023                           C010300300017 
 640.       34.9      -0.179      0.021                           C010300300018 
 640.       37.2      -0.117      0.039                           C010300300019 
 640.       39.4      -0.100      0.015                           C010300300020 
 640.       42.0      -0.094      0.022                           C010300300021 
 640.       44.9      -0.110      0.015                           C010300300022 
 640.       50.2      -0.043      0.025                           C010300300023 
 640.       52.0      -0.073      0.015                           C010300300024 
 640.       54.9      -0.017      0.014                           C010300300025 
 640.       57.9      -0.049      0.014                           C010300300026 
 640.       60.2       0.000      0.017                           C010300300027 
 640.       65.6      -0.035      0.024                           C010300300028 
 640.       67.5      -0.004      0.026                           C010300300029 
 640.       69.9      -0.004      0.027                           C010300300030 
 640.       72.4      -0.017      0.017                           C010300300031 
 640.       74.6       0.028      0.021                           C010300300032 
 640.       74.9      -0.013      0.074                           C010300300033 
 640.       77.0       0.006      0.020                           C010300300034 
 640.       79.0      -0.015      0.022                           C010300300035 
 640.       81.4      -0.008      0.043                           C010300300036 
 640.       83.7       0.042      0.027                           C010300300037 
 640.       85.8      -0.016      0.096                           C010300300038 
 640.       87.5       0.021      0.061                           C010300300039 
 640.       89.9       0.009      0.030                           C010300300040 
 640.       92.4       0.105      0.101                           C010300300041 
 640.       94.5      -0.026      0.028                           C010300300042 
 793.       29.6      -0.071      0.027                           C010300300043 
 793.       31.5      -0.028      0.040                           C010300300044 
 793.       33.3      -0.053      0.016                           C010300300045 
 793.       36.9      -0.031      0.016                           C010300300046 
 793.       38.5      -0.035      0.011                           C010300300047 
 793.       40.9      -0.029      0.017                           C010300300048 
