ENTRY            C0728   20140418                             C141C072800000001 
SUBENT        C0728001   20140418                             C141C072800100001 
BIB                 12         36                                 C072800100002 
INSTITUTE  (1USAMIN,1USAINU,2GERKFK,1USAKNT,1USAMRY)              C072800100003 
REFERENCE  (J,PR/C,58,645,199808)                                 C072800100004 
           (J,PL/B,368,39,199601) - Some of the 4He results       C072800100005 
           published with emphasis on the astrophysical aspects   C072800100006 
           of the reaction                                        C072800100007 
           (J,PL/B,380,493,1996) Erratum.                         C072800100008 
AUTHOR     (M.Palarczyk,C.M.Riedel,D.Dehnhard,M.A.Espy,M.A.Franey,C072800100009 
           J.L.Langenbrunner,L.C.Bland,D.S.Carman,B.Brinkmoeller, C072800100010 
           R.Madey,Y.Wang,J.W.Watson,N.S.Chant,L.Bildsten)        C072800100011 
TITLE      Cross sections and analyzing powers for the (p(pol),n) C072800100012 
            reaction on 3He and 4He at 200 MeV.                   C072800100013 
FACILITY   (CYCLO,1USAINU)                                        C072800100014 
METHOD     (TOF)                                                  C072800100015 
DETECTOR   (SCIN) NE102 plastic scintillators.                    C072800100016 
MONITOR    (6-C-12(P,N)7-N-12,,DA)                                C072800100017 
           (6-C-13(P,N)7-N-13,,DA)                                C072800100018 
           Relative detector efficiency determined by by          C072800100019 
            normalized measured yields at 100, 147, and 200 MeV   C072800100020 
            to published cross sections at similar energies.      C072800100021 
           Neutron energy calibrated using well-known states in   C072800100022 
            12N and 13N.                                          C072800100023 
CORRECTION Corrected for background due to reactions in Havar     C072800100024 
            windows of target cells.                              C072800100025 
ERR-ANALYS (ERR-S) Statistical uncertainty given.                 C072800100026 
           Systematic uncertainty about 8%, primarily due to      C072800100027 
            uncertainties in neutron detector efficiency and arealC072800100028 
            density.                                              C072800100029 
           At 0 degrees there is an additional estimated          C072800100030 
            systematic uncertainty of 5-10% due to background     C072800100031 
            subtraction difficulties.                             C072800100032 
STATUS     (TABLE) Data received by email from C.Riedel,13/10/2000C072800100033 
           (APRVD) Approved by C. Riedel, 18 June 2001.           C072800100034 
HISTORY    (20001016C) VM                                         C072800100035 
           (20010619A) Updated as per C. Riedel comments.         C072800100036 
           (20140418A) SD: Titles of columns in DATA section      C072800100037 
            corrected in Subents 2,3.                             C072800100038 
ENDBIB              36          0                                 C072800100039 
NOCOMMON             0          0                                 C072800100040 
ENDSUBENT           39          0                                 C072800199999 
SUBENT        C0728002   20140418                             C141C072800200001 
BIB                  4          7                                 C072800200002 
REACTION   (2-HE-3(P,X)0-NN-1,,DA/DE)                             C072800200003 
SAMPLE     Gas target at about 77 K and 7 atm.  Areal density     C072800200004 
            typically about 12 mg/cm2 (but only 5.8 mg/cm2 at 0   C072800200005 
            degrees)                                              C072800200006 
EN-SEC     (E-RL,P+P+P)                                           C072800200007 
HISTORY    (20140418A) SD: E-EXC -> E-RL in DATA section and      C072800200008 
            (E-RL,P+P+P) under EN-SEC added.                      C072800200009 
ENDBIB               7          0                                 C072800200010 
NOCOMMON             0          0                                 C072800200011 
DATA                 5        692                                 C072800200012 
EN         ANG        E-RL       DATA       ERR-S                 C072800200013 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             C072800200014 
199.         0.       -10.0        5.207E-03    2.9E-03           C072800200015 
199.         0.        -9.0        9.477E-03    2.9E-03           C072800200016 
199.         0.        -8.0        5.267E-03    2.9E-03           C072800200017 
199.         0.        -7.0        4.017E-03    3.3E-03           C072800200018 
199.         0.        -6.0       -1.244E-03    3.8E-03           C072800200019 
199.         0.        -5.0        7.854E-03    4.7E-03           C072800200020 
199.         0.        -4.0        1.996E-03    4.8E-03           C072800200021 
199.         0.        -3.0        3.899E-02    7.3E-03           C072800200022 
199.         0.        -2.0        1.846E-02    1.2E-02           C072800200023 
199.         0.        -1.0        8.514E-02    1.5E-02           C072800200024 
199.         0.         0.0        3.529E-02    2.3E-02           C072800200025 
199.         0.         1.0        4.859E-06    2.1E-02           C072800200026 
199.         0.         2.0        9.409E-02    1.8E-02           C072800200027 
199.         0.         3.0        1.867E-01    2.1E-02           C072800200028 
199.         0.         4.0        1.347E-01    2.5E-02           C072800200029 
199.         0.         5.0        1.704E-01    2.7E-02           C072800200030 
199.         0.         6.0        2.174E-01    2.9E-02           C072800200031 
199.         0.         7.0        2.375E-01    2.9E-02           C072800200032 
199.         0.         8.0        2.204E-01    2.8E-02           C072800200033 
199.         0.         9.0        2.185E-01    2.9E-02           C072800200034 
199.         0.        10.0        1.598E-01    2.9E-02           C072800200035 
199.         0.        11.0        1.607E-01    2.5E-02           C072800200036 
199.         0.        12.0        1.930E-01    2.1E-02           C072800200037 
199.         0.        13.0        2.057E-01    2.0E-02           C072800200038 
199.         0.        14.0        2.346E-01    1.9E-02           C072800200039 
199.         0.        15.0        2.171E-01    1.9E-02           C072800200040 
199.         0.        16.0        2.099E-01    1.9E-02           C072800200041 
199.         0.        17.0        1.837E-01    1.9E-02           C072800200042 
199.         0.        18.0        1.940E-01    1.9E-02           C072800200043 
199.         0.        19.0        2.024E-01    1.9E-02           C072800200044 
199.         0.        20.0        1.693E-01    1.9E-02           C072800200045 
199.         0.        21.0        1.992E-01    1.9E-02           C072800200046 
199.         0.        22.0        2.115E-01    1.8E-02           C072800200047 
199.         0.        23.0        1.670E-01    1.9E-02           C072800200048 
199.         0.        24.0        1.716E-01    1.9E-02           C072800200049 
199.         0.        25.0        1.593E-01    1.9E-02           C072800200050 
199.         0.        26.0        1.432E-01    1.8E-02           C072800200051 
199.         0.        27.0        1.752E-01    1.8E-02           C072800200052 
199.         0.        28.0        1.317E-01    1.8E-02           C072800200053 
199.         0.        29.0        1.488E-01    1.8E-02           C072800200054 
199.         0.        30.0        1.691E-01    1.8E-02           C072800200055 
199.         0.        31.0        1.627E-01    1.8E-02           C072800200056 
199.         0.        32.0        1.041E-01    1.8E-02           C072800200057 
199.         0.        33.0        1.261E-01    1.8E-02           C072800200058 
199.         0.        34.0        1.169E-01    1.8E-02           C072800200059 
199.         0.        35.0        1.472E-01    1.8E-02           C072800200060 
199.         0.        36.0        1.343E-01    1.8E-02           C072800200061 
199.         0.        37.0        1.215E-01    1.7E-02           C072800200062 
199.         0.        38.0        1.382E-01    1.7E-02           C072800200063 
199.         0.        39.0        9.046E-02    1.7E-02           C072800200064 
199.         0.        40.0        1.310E-01    1.7E-02           C072800200065 
199.         0.        41.0        7.825E-02    1.7E-02           C072800200066 
199.         0.        42.0        1.432E-01    1.7E-02           C072800200067 
199.         0.        43.0        1.276E-01    1.7E-02           C072800200068 
199.         0.        44.0        1.030E-01    1.7E-02           C072800200069 
199.         0.        45.0        1.031E-01    1.7E-02           C072800200070 
199.         0.        46.0        1.091E-01    1.6E-02           C072800200071 
199.         0.        47.0        1.001E-01    1.7E-02           C072800200072 
199.         0.        48.0        9.373E-02    1.7E-02           C072800200073 
199.         0.        49.0        8.092E-02    1.7E-02           C072800200074 
199.         0.        50.0        1.231E-01    1.7E-02           C072800200075 
199.         0.        51.0        9.289E-02    1.7E-02           C072800200076 
199.         0.        52.0        9.710E-02    1.6E-02           C072800200077 
199.         0.        53.0        1.020E-01    1.7E-02           C072800200078 
