ENTRY            E2129   20150520                             E097E212900000001 
SUBENT        E2129001   20150520                             E097E212900100001 
BIB                 14         28                                 E212900100002 
TITLE      Measurements of double-differential neutron-production E212900100003 
           cross-sections for the 9Be(p,xn) and 9Be(d,xn)         E212900100004 
           reactions at 10 MeV                                    E212900100005 
AUTHOR     (Y.Iwamoto, Y.Sakamoto, N.Matsuda, Y.Nakane, K.Ochiai, E212900100006 
            H.Kaneko, K.Niita, T.Shibata, H.Nakashima)            E212900100007 
INSTITUTE  (2JPNJAE)                                              E212900100008 
           (2JPNJPN) Research Organization for Information        E212900100009 
                     Science and Technology, Tokai                E212900100010 
REFERENCE  (J,NIM/A,598,(3),687,200901)                           E212900100011 
PART-DET   (N)                                                    E212900100012 
INC-SOURCE Beam intensity is 10 to 20 nA.                         E212900100013 
SAMPLE     - Chemical-form of target is element.                  E212900100014 
           - Physical-form of target is solid.                    E212900100015 
           - Target-thickness is 0.028 mg/cm2.                    E212900100016 
METHOD     (TOF) Flight path of 2.0 m                             E212900100017 
FACILITY   (ISOCY,2JPNJAE) HB-1 beam line at the TIARA facility   E212900100018 
DETECTOR   Solid angle of detector is 2.03 msr.                   E212900100019 
           (SCIN) To detect neutron (NE213)                       E212900100020 
ERR-ANALYS (ERR-SYS) Mainly due to limited neutron detection      E212900100021 
                     efficiency                                   E212900100022 
           (ERR-S) Statistical uncertainty                        E212900100023 
ADD-RES    Integrated neutron production cross sections for En >  E212900100024 
           1.8 MeV (Fig.9, p695)                                  E212900100025 
STATUS     (APRVD) Proofread by Y.Iwamoto (2015.05.20)            E212900100026 
HISTORY    (20090106C) Mt                                         E212900100027 
           (20150430R) Received by e-mail from Y.Iwamoto          E212900100028 
           (20150520A) MA: Numerical data replaced and heading    E212900100029 
                       modified in 2,3                            E212900100030 
ENDBIB              28          0                                 E212900100031 
COMMON               2          3                                 E212900100032 
EN         ERR-SYS                                                E212900100033 
MEV        PER-CENT                                               E212900100034 
 10.        10.                                                   E212900100035 
ENDCOMMON            3          0                                 E212900100036 
ENDSUBENT           35          0                                 E212900199999 
SUBENT        E2129002   20150520                             E097E212900200001 
BIB                  4          7                                 E212900200002 
REACTION   (4-BE-9(P,X)0-NN-1,,DA/DE)                             E212900200003 
EN-SEC     ANG is polar angle (lab.) between beam and neutron     E212900200004 
           (E,N)                                                  E212900200005 
STATUS     (TABLE) Data (Fig.7, p691 of reference) sent by e-mail E212900200006 
                   from Y.Iwamoto (2009.01.06)                    E212900200007 
HISTORY    (20150520A) MA: ERR-T -> ERR-S, numerical data         E212900200008 
                       replaced                                   E212900200009 
ENDBIB               7          0                                 E212900200010 
NOCOMMON             0          0                                 E212900200011 
DATA                 4        421                                 E212900200012 
ANG        E          DATA       ERR-S                            E212900200013 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        E212900200014 
        15.       1.55      9.097     0.3042                      E212900200015 
        15.       1.65      9.263     0.2984                      E212900200016 
        15.       1.75      8.923     0.2896                      E212900200017 
        15.       1.85      8.787     0.2785                      E212900200018 
        15.       1.95      8.655     0.2738                      E212900200019 
        15.       2.05      8.613     0.2724                      E212900200020 
        15.       2.15      8.626     0.2691                      E212900200021 
        15.       2.25      8.273     0.2617                      E212900200022 
        15.       2.35      8.312     0.2602                      E212900200023 
        15.       2.45      8.123     0.2566                      E212900200024 
        15.       2.55      8.009     0.2499                      E212900200025 
        15.       2.65      7.456     0.2367                      E212900200026 
        15.       2.75      7.095     0.2353                      E212900200027 
        15.       2.85      6.608     0.2310                      E212900200028 
        15.       2.95      6.421     0.2245                      E212900200029 
        15.       3.05      5.738     0.2142                      E212900200030 
        15.       3.15      5.420     0.2121                      E212900200031 
        15.       3.25      5.116     0.2087                      E212900200032 
        15.       3.35      4.867     0.1991                      E212900200033 
        15.       3.45      4.888     0.2006                      E212900200034 
        15.       3.55      4.720     0.1952                      E212900200035 
        15.       3.65      4.561     0.1925                      E212900200036 
        15.       3.75      4.616     0.1893                      E212900200037 
        15.       3.85      4.293     0.1870                      E212900200038 
        15.       3.95      4.484     0.1861                      E212900200039 
        15.       4.05      4.510     0.1875                      E212900200040 
        15.       4.15      4.550     0.1938                      E212900200041 
        15.       4.25      4.570     0.1883                      E212900200042 
        15.       4.35      4.850     0.1946                      E212900200043 
        15.       4.45      4.919     0.1918                      E212900200044 
        15.       4.55      5.146     0.1934                      E212900200045 
        15.       4.65      5.310     0.2006                      E212900200046 
        15.       4.75      5.559     0.2032                      E212900200047 
        15.       4.85      5.904     0.2112                      E212900200048 
        15.       4.95      6.108     0.2220                      E212900200049 
        15.       5.05      6.773     0.2195                      E212900200050 
        15.       5.15      7.687     0.2258                      E212900200051 
        15.       5.25     10.535     0.2554                      E212900200052 
        15.       5.35     12.872     0.2813                      E212900200053 
        15.       5.45     10.029     0.2216                      E212900200054 
        15.       5.55      4.903     0.1760                      E212900200055 
        15.       5.65      3.208     0.1478                      E212900200056 
        15.       5.75      2.680     0.1371                      E212900200057 
        15.       5.85      2.466     0.1412                      E212900200058 
        15.       5.95      2.352     0.1331                      E212900200059 
        15.       6.05      2.153     0.1206                      E212900200060 
        15.       6.15      2.098     0.1317                      E212900200061 
        15.       6.25      1.920     0.1325                      E212900200062 
        15.       6.35      1.941     0.1232                      E212900200063 
        15.       6.45      1.799     0.1224                      E212900200064 
        15.       6.55      1.743     0.1300                      E212900200065 
        15.       6.65      1.655     0.1333                      E212900200066 
