ENTRY            E2568   20180419                             E115E256800000001 
SUBENT        E2568001   20180419                             E115E256800100001 
BIB                 11         29                                 E256800100002 
TITLE      Measurement of nuclear reaction cross sections by      E256800100003 
           using Cherenkov radiation toward high-precision proton E256800100004 
           therapy                                                E256800100005 
AUTHOR     (T.Masuda, J.Kataoka, M.Arimoto, M.Takabe, T.Nishio,   E256800100006 
            K.Matsushita, T.Miyake, S.Yamamoto, T.Inaniwa,        E256800100007 
            T.Toshito)                                            E256800100008 
INSTITUTE  (2JPNWDA) Graduate School of Advanced Science and      E256800100009 
                     Engineering                                  E256800100010 
           (2JPNJPN) Department of Medical Physics, Tokyo Women's E256800100011 
                     Medical University, Tokyo                    E256800100012 
           (2JPNKYP) Department of Radiology                      E256800100013 
           (2JPNYOK) Graduate School of Science                   E256800100014 
           (2JPNNAG) Graduate School of Medicine                  E256800100015 
           (2JPNIRS) Department of Accelerator and Medical        E256800100016 
                     Physics                                      E256800100017 
           (2JPNJPN) Nagoya Proton Therapy Center, Nagoya         E256800100018 
REFERENCE  (J,PR/C,8,2570,2018)                                   E256800100019 
MONITOR    ((MONIT)8-O-16(P,X)8-O-15,,SIG)                        E256800100020 
SAMPLE     - Chemical-form of target is SiO2.                     E256800100021 
           - Physical-form of target is solid.                    E256800100022 
METHOD     Detection of Cerenkov radiation from beta+ ray         E256800100023 
FACILITY   (ISOCY,2JPNIRS) AVF930                                 E256800100024 
DETECTOR   (CEREN) To detect Cerenkov radiation from beta+ ray    E256800100025 
ERR-ANALYS (DATA-ERR) The error includes both the statistical and E256800100026 
                      systematic uncertainties.                   E256800100027 
           (EN-ERR) corresponding to 1-sigma values of the        E256800100028 
                    Gaussian function                             E256800100029 
HISTORY    (20180213R) Received from T.Masuda                     E256800100030 
           (20180319C) Ichiko                                     E256800100031 
ENDBIB              29          0                                 E256800100032 
COMMON               2          3                                 E256800100033 
EN-NRM     MONIT                                                  E256800100034 
MEV        MB                                                     E256800100035 
 35.        76.8                                                  E256800100036 
ENDCOMMON            3          0                                 E256800100037 
ENDSUBENT           36          0                                 E256800199999 
SUBENT        E2568002   20180419                             E115E256800200001 
BIB                  2          3                                 E256800200002 
REACTION   (8-O-16(P,X)8-O-15,,SIG)                               E256800200003 
STATUS     (TABLE) Plotted in Fig.3 of Scientific Report 8        E256800200004 
                   (2018)2570                                     E256800200005 
ENDBIB               3          0                                 E256800200006 
NOCOMMON             0          0                                 E256800200007 
DATA                 5        161                                 E256800200008 
EN         +EN-ERR    -EN-ERR    DATA       DATA-ERR              E256800200009 
MEV        MEV        MEV        MB         MB                    E256800200010 
      69.93       0.19       0.22      51.88       1.33           E256800200011 
      69.69       0.19       0.23      52.94       1.35           E256800200012 
      69.46       0.20       0.23      53.36       1.36           E256800200013 
      69.22       0.20       0.24      53.61       1.37           E256800200014 
      68.98       0.21       0.25      53.89       1.37           E256800200015 
      68.75       0.22       0.25      54.27       1.38           E256800200016 
      68.52       0.22       0.26      54.67       1.39           E256800200017 
      68.28       0.22       0.26      55.06       1.40           E256800200018 
      68.04       0.23       0.27      55.43       1.41           E256800200019 
      67.81       0.23       0.27      55.75       1.42           E256800200020 
      67.57       0.24       0.28      56.02       1.42           E256800200021 
      67.33       0.24       0.28      56.31       1.43           E256800200022 
      67.09       0.25       0.28      56.62       1.44           E256800200023 
      66.85       0.25       0.29      56.89       1.44           E256800200024 
      66.61       0.25       0.29      57.12       1.45           E256800200025 
      66.38       0.26       0.30      57.30       1.45           E256800200026 
      66.13       0.26       0.30      57.45       1.46           E256800200027 
      65.89       0.27       0.31      57.60       1.46           E256800200028 
      65.65       0.27       0.32      57.75       1.46           E256800200029 
      65.41       0.27       0.33      57.92       1.47           E256800200030 
      65.15       0.28       0.33      58.13       1.47           E256800200031 
      64.90       0.29       0.34      58.32       1.48           E256800200032 
      64.66       0.29       0.34      58.44       1.48           E256800200033 
      64.41       0.30       0.35      58.55       1.48           E256800200034 
      64.16       0.30       0.35      58.61       1.48           E256800200035 
      63.91       0.30       0.36      58.63       1.48           E256800200036 
      63.65       0.31       0.36      58.76       1.49           E256800200037 
      63.40       0.31       0.37      58.94       1.49           E256800200038 
      63.15       0.32       0.37      58.98       1.49           E256800200039 
      62.89       0.32       0.38      59.04       1.49           E256800200040 
      62.63       0.33       0.38      59.19       1.50           E256800200041 
      62.38       0.33       0.39      59.39       1.50           E256800200042 
      62.12       0.33       0.39      59.73       1.51           E256800200043 
      61.87       0.34       0.40      60.09       1.52           E256800200044 
      61.61       0.34       0.40      60.41       1.53           E256800200045 
      61.35       0.35       0.41      60.62       1.53           E256800200046 
      61.09       0.35       0.41      60.74       1.53           E256800200047 
      60.83       0.36       0.42      60.87       1.54           E256800200048 
      60.57       0.36       0.42      61.04       1.54           E256800200049 
      60.31       0.36       0.43      61.21       1.55           E256800200050 
      60.04       0.37       0.43      61.44       1.55           E256800200051 
      59.78       0.37       0.43      61.70       1.56           E256800200052 
      59.51       0.38       0.44      61.88       1.56           E256800200053 
      59.25       0.38       0.44      62.01       1.56           E256800200054 
      58.98       0.39       0.45      62.12       1.56           E256800200055 
      58.71       0.39       0.45      62.21       1.57           E256800200056 
      58.44       0.39       0.46      62.25       1.57           E256800200057 
      58.17       0.40       0.46      62.26       1.57           E256800200058 
      57.89       0.40       0.47      62.22       1.57           E256800200059 
      57.63       0.41       0.47      62.27       1.57           E256800200060 
      57.36       0.41       0.48      62.35       1.57           E256800200061 
      57.08       0.41       0.48      62.51       1.57           E256800200062 
      56.81       0.42       0.49      62.74       1.58           E256800200063 
      56.54       0.42       0.49      62.99       1.58           E256800200064 
      56.26       0.43       0.50      63.27       1.59           E256800200065 
