ENTRY            E2297   20130408                             E074E229700000001 
SUBENT        E2297001   20130408                             E074E229700100001 
BIB                 11         32                                 E229700100002 
TITLE      Quasi-monoenergetic neutron energy spectra for 246 and E229700100003 
           389 MeV 7Li(p,n) reactions at angles from 0 deg to 30  E229700100004 
           deg                                                    E229700100005 
AUTHOR     (Y.Iwamoto, M.Hagiwara, D.Satoh, H.Iwase, H.Yashima,   E229700100006 
            T.Itoga, T.Sato, Y.Nakane, H.Nakashima, Y.Sakamoto,   E229700100007 
            T.Tatsumoto, A.Masuda, J.Nishiyama, A.Tamii,          E229700100008 
            K.Hatanaka, C.Theis, E.Feldbaumer, L.Jaegerhofer,     E229700100009 
            C.Pioch, V.Mares, T.Nakamura)                         E229700100010 
INSTITUTE  (2JPNJAE)                                              E229700100011 
           (2JPNKEK)                                              E229700100012 
           (2JPNKTO) Research Reactor Institute                   E229700100013 
           (2JPNIPC)                                              E229700100014 
           (2JPNAIS)                                              E229700100015 
           (2JPNOSA) Research Center for Nuclear Physics (RCNP)   E229700100016 
           (2ZZZCER)                                              E229700100017 
           (2GERGER) German Research Center for Environmental     E229700100018 
                     Health, Institute of Radiation Protection,   E229700100019 
                     Ingolstadter Landstr.1, 85764 Neuherberg     E229700100020 
           (2JPNTOH)                                              E229700100021 
REFERENCE  (J,NIM/A,629,(1),43,201102)                            E229700100022 
PART-DET   (N)                                                    E229700100023 
SAMPLE     - Target is natural.                                   E229700100024 
           - Chemical-form of target is element.                  E229700100025 
           - Physical-form of target is solid.                    E229700100026 
           - Target-thickness: 1.0 cm                             E229700100027 
METHOD     (TOF) Flight path extends to about 100m                E229700100028 
FACILITY   (CYCLO,2JPNOSA) ring cyclotron at RCNP                 E229700100029 
DETECTOR   (SCIN) TOF measurement (N213 organic liquid            E229700100030 
                  scintillator)                                   E229700100031 
ERR-ANALYS (ERR-1) Detection efficiency                           E229700100032 
HISTORY    (20110228C) Ichinkhorloo                               E229700100033 
           (20130205A) MA. 003, 004, 005: ENR -> NAT              E229700100034 
ENDBIB              32          0                                 E229700100035 
COMMON               1          3                                 E229700100036 
ERR-1                                                             E229700100037 
PER-CENT                                                          E229700100038 
 15.                                                              E229700100039 
ENDCOMMON            3          0                                 E229700100040 
ENDSUBENT           39          0                                 E229700199999 
SUBENT        E2297002   20111008                             E066E229700200001 
BIB                  5          7                                 E229700200002 
REACTION   (3-LI-0(P,X)0-NN-1,,TTY/PY/DA/DE)                      E229700200003 
EN-SEC     ANG is polar angle (lab.) between beam and neutron     E229700200004 
           (E,N)                                                  E229700200005 
SAMPLE     Target is natural.                                     E229700200006 
ERR-ANALYS (ERR-S,,3.) 0.16% (peak), 1-3% (continuum) (<3%)       E229700200007 
STATUS     (TABLE) Data (Fig. 8 and 9, p43 of reference) sent by  E229700200008 
                   e-mail from Y.Iwamoto (2011.01.28)             E229700200009 
ENDBIB               7          0                                 E229700200010 
NOCOMMON             0          0                                 E229700200011 
DATA                 4       1983                                 E229700200012 
EN         ANG        E          DATA                             E229700200013 
MEV        ADEG       MEV        P/MEVMUCSR                       E229700200014 
       246.         0.        2.5   1.92E+08                      E229700200015 
       246.         0.        3.5   1.60E+08                      E229700200016 
       246.         0.        4.5   1.23E+08                      E229700200017 
       246.         0.        5.5   1.03E+08                      E229700200018 
       246.         0.        6.5   9.08E+07                      E229700200019 
       246.         0.        7.5   8.03E+07                      E229700200020 
       246.         0.        8.5   7.23E+07                      E229700200021 
       246.         0.        9.5   6.18E+07                      E229700200022 
       246.         0.        11.   5.23E+07                      E229700200023 
       246.         0.        13.   4.97E+07                      E229700200024 
       246.         0.        15.   4.36E+07                      E229700200025 
       246.         0.        17.   4.13E+07                      E229700200026 
       246.         0.        19.   3.87E+07                      E229700200027 
       246.         0.        21.   3.60E+07                      E229700200028 
       246.         0.        23.   3.39E+07                      E229700200029 
       246.         0.        25.   3.36E+07                      E229700200030 
       246.         0.        27.   3.31E+07                      E229700200031 
       246.         0.        29.   3.17E+07                      E229700200032 
       246.         0.        31.   3.13E+07                      E229700200033 
       246.         0.        33.   3.08E+07                      E229700200034 
       246.         0.        35.   3.11E+07                      E229700200035 
       246.         0.        37.   3.12E+07                      E229700200036 
       246.         0.        39.   2.99E+07                      E229700200037 
       246.         0.        41.   3.07E+07                      E229700200038 
       246.         0.        43.   2.92E+07                      E229700200039 
       246.         0.        45.   3.08E+07                      E229700200040 
       246.         0.        47.   2.94E+07                      E229700200041 
       246.         0.        49.   3.03E+07                      E229700200042 
       246.         0.        51.   2.90E+07                      E229700200043 
       246.         0.        53.   2.92E+07                      E229700200044 
       246.         0.        55.   3.08E+07                      E229700200045 
       246.         0.        57.   3.05E+07                      E229700200046 
       246.         0.        59.   3.05E+07                      E229700200047 
       246.         0.        61.   3.09E+07                      E229700200048 
       246.         0.        63.   3.19E+07                      E229700200049 
       246.         0.        65.   3.37E+07                      E229700200050 
       246.         0.        67.   3.31E+07                      E229700200051 
       246.         0.        69.   3.41E+07                      E229700200052 
       246.         0.        71.   3.41E+07                      E229700200053 
       246.         0.        73.   3.37E+07                      E229700200054 
       246.         0.        75.   3.54E+07                      E229700200055 
       246.         0.        77.   3.64E+07                      E229700200056 
       246.         0.        79.   3.56E+07                      E229700200057 
       246.         0.        81.   3.44E+07                      E229700200058 
       246.         0.        83.   3.76E+07                      E229700200059 
       246.         0.        85.   3.73E+07                      E229700200060 
       246.         0.        87.   3.75E+07                      E229700200061 
       246.         0.        89.   3.80E+07                      E229700200062 
       246.         0.        91.   3.71E+07                      E229700200063 
       246.         0.        93.   3.78E+07                      E229700200064 
       246.         0.        95.   3.99E+07                      E229700200065 
       246.         0.        97.   4.01E+07                      E229700200066 
       246.         0.        99.   3.80E+07                      E229700200067 
       246.         0.       101.   3.94E+07                      E229700200068 
       246.         0.       103.   3.89E+07                      E229700200069 
       246.         0.       105.   4.02E+07                      E229700200070 
       246.         0.       107.   3.90E+07                      E229700200071 
