ENTRY            E1983   20070208                             E042E198300000001 
SUBENT        E1983001   20070208                             E042E198300100001 
BIB                 11         32                                 E198300100002 
TITLE      'Bi-modal' isoscalar giant dipole strength in 58Ni     E198300100003 
AUTHOR     (B.K.Nayak, U.Garg, M.Hedden, M.Koss, T.Li, Y.Liu,     E198300100004 
           P.V.Madhusudhana Rao, S.Zhu, M.Itoh, H.Sakaguchi,      E198300100005 
           H.Takeda, M.Uchida, Y.Yasuda, M.Yosoi, H.Fujimura,     E198300100006 
           M.Fujiwara, K.Hara, T.Kawabata, H.Akimune,             E198300100007 
           M.N.Harakeh)                                           E198300100008 
INSTITUTE  (1USANOT) Physics Department                           E198300100009 
           (2JPNKTO) Department of Physics                        E198300100010 
           (2JPNOSA) Research Center for Nuclear Physics          E198300100011 
           (2JPNTOK) Center for Nuclear Study                     E198300100012 
           (2JPNKON) Department of Pnysics                        E198300100013 
           (2NEDKVI)                                              E198300100014 
REFERENCE  (J,PL/B,637,(1-2),43,200606)                           E198300100015 
PART-DET   (A)                                                    E198300100016 
SAMPLE     - Chemical-form of target is element.                  E198300100017 
           - Physical-form of target is solid.                    E198300100018 
           - Target-thickness is 5.8 mg/cm**2.                    E198300100019 
METHOD     Ray-tracing method                                     E198300100020 
FACILITY   (CYCLO,2JPNOSA) Research Center for Nuclear Physics    E198300100021 
DETECTOR   (MAGSP) To analyze momentum (Grand Raiden)             E198300100022 
           (MWDC,SCIN) To detect scattered alphas                 E198300100023 
ADD-RES    E1983.007:28-NI-58(A,INL)28-NI-58                      E198300100024 
                     Strength function                            E198300100025 
                     See NRDF D1983 DATA,6 for detail.            E198300100026 
           E1983.008:28-NI-58(A,INL)28-NI-58                      E198300100027 
                     Strength function                            E198300100028 
                     See NRDF D1983 DATA,7 for detail.            E198300100029 
           E1983.009:28-NI-58(A,INL)28-NI-58                      E198300100030 
                     Strength function                            E198300100031 
                     See NRDF D1983 DATA,8 for detail.            E198300100032 
HISTORY    (20060516C) Tt + On                                    E198300100033 
           (20060518R) On. Data received by e-mail from U.Garg    E198300100034 
ENDBIB              32          0                                 E198300100035 
COMMON               1          3                                 E198300100036 
EN                                                                E198300100037 
MEV                                                               E198300100038 
 386.                                                             E198300100039 
ENDCOMMON            3          0                                 E198300100040 
ENDSUBENT           39          0                                 E198300199999 
SUBENT        E1983002   20070208                             E042E198300200001 
BIB                  5          9                                 E198300200002 
REACTION   (28-NI-58(A,INL)28-NI-58,,DA/DE,A/RSD)                 E198300200003 
EN-SEC     ANG is polar angle between beam and alpha in           E198300200004 
           laboratory system                                      E198300200005 
           (E-EXC,28-NI-58)                                       E198300200006 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E198300200007 
FLAG       (1.) Low energy part                                   E198300200008 
           (2.) High energy part                                  E198300200009 
STATUS     (TABLE) Data (Fig. 1, p44 in reference) received by    E198300200010 
                   e-mail from U.Garg (2006.05.18)                E198300200011 
ENDBIB               9          0                                 E198300200012 
COMMON               1          3                                 E198300200013 
ANG                                                               E198300200014 
ADEG                                                              E198300200015 
 0.69                                                             E198300200016 
ENDCOMMON            3          0                                 E198300200017 
DATA                 4        515                                 E198300200018 
E-EXC      DATA       DATA-ERR   FLAG                             E198300200019 
MEV        MB/SR/MEV  MB/SR/MEV  NO-DIM                           E198300200020 
 7.05       0.33603    0.11326    1.                              E198300200021 
 7.15       0.26135    0.09964    1.                              E198300200022 
 7.25       0.70939    0.16657    1.                              E198300200023 
 7.35       0.74673    0.1711     1.                              E198300200024 
 7.45       1.30677    0.23035    1.                              E198300200025 
 7.55       3.36026    0.39203    1.                              E198300200026 
 7.65       7.87795    0.67029    1.                              E198300200027 
 7.75       9.89411    0.78367    1.                              E198300200028 
 7.85       24.00721   1.52879    1.                              E198300200029 
 7.95       12.769     0.94041    1.                              E198300200030 
 8.05       14.18778   1.01634    1.                              E198300200031 
 8.15       10.08079   0.794      1.                              E198300200032 
 8.25       14.82249   1.05009    1.                              E198300200033 
 8.35       28.71158   1.76999    1.                              E198300200034 
 8.45       30.98909   1.88622    1.                              E198300200035 
 8.55       28.71158   1.76999    1.                              E198300200036 
 8.65       37.63494   2.22399    1.                              E198300200037 
 8.75       28.22621   1.74518    1.                              E198300200038 
 8.85       15.60655   1.09161    1.                              E198300200039 
 8.95       14.33712   1.02429    1.                              E198300200040 
 9.05       18.10808   1.22305    1.                              E198300200041 
 9.15       11.35022   0.86362    1.                              E198300200042 
 9.25       15.12118   1.06592    1.                              E198300200043 
 9.35       16.42795   1.13492    1.                              E198300200044 
 9.45       28.97293   1.78334    1.                              E198300200045 
 9.55       25.50066   1.60556    1.                              E198300200046 
 9.65       28.67424   1.76808    1.                              E198300200047 
 9.75       27.7035    1.71845    1.                              E198300200048 
 9.85       31.95983   1.93568    1.                              E198300200049 
 9.95       20.27358   1.33585    1.                              E198300200050 
 10.05      27.62883   1.71462    1.                              E198300200051 
 10.15      27.06878   1.68595    1.                              E198300200052 
 10.25      23.85787   1.5211     1.                              E198300200053 
 10.35      21.43101   1.39584    1.                              E198300200054 
 10.45      19.71354   1.30675    1.                              E198300200055 
 10.55      15.15852   1.0679     1.                              E198300200056 
 10.65      15.7559    1.09949    1.                              E198300200057 
 10.75      18.40677   1.23865    1.                              E198300200058 
 10.85      20.72162   1.35909    1.                              E198300200059 
 10.95      17.80939   1.20742    1.                              E198300200060 
 11.05      22.5511    1.45374    1.                              E198300200061 
 11.15      25.35132   1.59789    1.                              E198300200062 
 11.25      29.19695   1.79479    1.                              E198300200063 
 11.35      22.81245   1.46723    1.                              E198300200064 
 11.45      22.62577   1.45759    1.                              E198300200065 
 11.55      24.04455   1.53071    1.                              E198300200066 
 11.65      25.01529   1.58063    1.                              E198300200067 
 11.75      30.31704   1.85195    1.                              E198300200068 
 11.85      25.42599   1.60172    1.                              E198300200069 
 11.95      24.79127   1.56912    1.                              E198300200070 
 12.05      19.19083   1.27954    1.                              E198300200071 
 12.15      28.71158   1.76999    1.                              E198300200072 
 12.25      30.80241   1.8767     1.                              E198300200073 
 12.35      26.80743   1.67257    1.                              E198300200074 
 12.45      26.02337   1.63238    1.                              E198300200075 
 12.55      25.87402   1.62472    1.                              E198300200076 
 12.65      25.38865   1.59981    1.                              E198300200077 
 12.75      32.10918   1.94328    1.                              E198300200078 
