ENTRY            E0078   20181127                             E119E007800000001 
SUBENT        E0078001   20181127                             E119E007800100001 
BIB                 13         19                                 E007800100002 
TITLE      Measurement and semi-phenomenological analysis of the  E007800100003 
           2H(a,pa)n reaction at 18 MeV                           E007800100004 
AUTHOR     (K.Sagara, T.Motobayashi, N.Takahashi, Y.Hashimoto,    E007800100005 
            M.Hara, Y.Nogami, H.Nakamura, H.Noya)                 E007800100006 
INSTITUTE  (2JPNTOK) Department of Physics                        E007800100007 
           (2JPNAOY) College of Science and Engineering           E007800100008 
           (2JPNHOS) Department of Physics                        E007800100009 
REFERENCE  (J,NP/A,299,77,1978)                                   E007800100010 
PART-DET   (P,A)                                                  E007800100011 
INC-SOURCE Beam intensity is 30 to 100 nA.                        E007800100012 
SAMPLE     - Chemical-form of target is element. (CD2)N           E007800100013 
           - Physical-form of target is solid.                    E007800100014 
           - Target-thickness is 0.25 to 0.4 mg/cm2.              E007800100015 
METHOD     (COINC,EDE)                                            E007800100016 
FACILITY   (CYCLO,2JPNIPC)                                        E007800100017 
DETECTOR   (SI) Two Si-SSD detectors are used.                    E007800100018 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E007800100019 
ADD-RES    (COMP) PWIA (Plane wave impulse approximation)         E007800100020 
HISTORY    (20110511C) NK, AM                                     E007800100021 
ENDBIB              19          0                                 E007800100022 
COMMON               1          3                                 E007800100023 
EN                                                                E007800100024 
MEV                                                               E007800100025 
 18.                                                              E007800100026 
ENDCOMMON            3          0                                 E007800100027 
ENDSUBENT           26          0                                 E007800199999 
SUBENT        E0078002   20181127                             E119E007800200001 
BIB                  4          8                                 E007800200002 
REACTION   (1-H-2(A,N+P)2-HE-4,,DA/DA/DE,P/A/P)                   E007800200003 
EN-SEC     - ANG1 is polar angle (lab.) between beam and proton   E007800200004 
           - ANG2 is polar angle (lab.) between beam and A        E007800200005 
           (E,P)                                                  E007800200006 
COMMENT    On the upper kinetic locus on (Ep,Ea) plane. See also  E007800200007 
           fig1.                                                  E007800200008 
STATUS     (CURVE) Fig.3, 4 and 5 - top panel of Nucl. Phys. A    E007800200009 
                   299(1978)77                                    E007800200010 
ENDBIB               8          0                                 E007800200011 
NOCOMMON             0          0                                 E007800200012 
DATA                 5        744                                 E007800200013 
ANG1       ANG2       E          DATA       DATA-ERR              E007800200014 
ADEG       ADEG       MEV        MB/SR2/MEV MB/SR2/MEV            E007800200015 
       48.9       16.0       0.93      12.74       3.29           E007800200016 
       48.9       16.0       1.09      11.26       2.99           E007800200017 
       48.9       16.0       1.26      15.46       3.29           E007800200018 
       48.9       16.0       1.42      17.26       3.59           E007800200019 
       48.9       16.0       1.58      19.36       3.89           E007800200020 
       48.9       16.0       1.74      18.18       3.89           E007800200021 
       48.9       16.0       1.89      16.99       3.29           E007800200022 
       48.9       16.0       2.05      15.81       2.99           E007800200023 
       48.9       16.0       2.22      17.91       2.69           E007800200024 
       48.9       16.0       2.38      20.91       2.99           E007800200025 
       48.9       16.0       2.54      22.42       3.29           E007800200026 
       48.9       16.0       2.69      24.22       3.89           E007800200027 
       48.9       16.0       2.85      26.03       3.59           E007800200028 
       48.9       16.0       3.01      28.43       3.59           E007800200029 
       48.9       16.0       3.17      36.21       3.59           E007800200030 
       48.9       16.0       3.32      38.61       4.18           E007800200031 
       48.9       16.0       3.48      47.00       3.89           E007800200032 
       48.9       16.0       3.64      59.86       5.08           E007800200033 
       48.9       16.0       3.82      60.47       5.08           E007800200034 
       48.9       16.0       3.97      61.68       5.08           E007800200035 
       48.9       16.0       4.13      68.86       5.38           E007800200036 
       48.9       16.0       4.28      63.49       5.08           E007800200037 
       48.9       16.0       4.44      56.03       4.78           E007800200038 
       48.9       16.0       4.60      46.47       4.48           E007800200039 
       48.9       16.0       4.77      30.64       3.89           E007800200040 
       48.9       16.0       4.93      27.07       3.59           E007800200041 
       48.9       16.0       5.08      24.39       3.59           E007800200042 
       48.9       16.0       5.26      22.01       3.29           E007800200043 
       48.9       16.0       5.41      22.91       2.99           E007800200044 
       48.9       16.0       5.57      13.66       2.39           E007800200045 
       46.5       18.0       1.27      11.21       3.60           E007800200046 
       46.5       18.0       1.42      14.19       3.00           E007800200047 
       46.5       18.0       1.60      12.68       3.30           E007800200048 
       46.5       18.0       1.75      12.97       3.30           E007800200049 
       46.5       18.0       1.91      15.96       3.60           E007800200050 
       46.5       18.0       2.08      17.15       3.30           E007800200051 
       46.5       18.0       2.23      15.34       3.30           E007800200052 
       46.5       18.0       2.39      15.03       3.30           E007800200053 
       46.5       18.0       2.56      21.91       3.90           E007800200054 
       46.5       18.0       2.71      21.90       3.90           E007800200055 
