ENTRY            E2651   20200528                             E126E265100000001 
SUBENT        E2651001   20200528                             E126E265100100001 
BIB                 12         24                                 E265100100002 
TITLE      Low-energy-threshold detector for measuring proton     E265100100003 
           spectra at several tens of MeV using Bragg curve       E265100100004 
           spectroscopy                                           E265100100005 
AUTHOR     (Y.Yamaguchi, T.Sanami, Y.Koba, Y.Uozumi)              E265100100006 
INSTITUTE  (2JPNKYU)                                              E265100100007 
           (2JPNKEK)                                              E265100100008 
           (2JPNIRS)                                              E265100100009 
REFERENCE  (J,NIM/A,953,163158,2020)                              E265100100010 
PART-DET   (P)                                                    E265100100011 
INC-SOURCE Beam intensity is less than 15 nA.                     E265100100012 
METHOD     (EDE)                                                  E265100100013 
FACILITY   (CYCLO,2JPNIRS)                                        E265100100014 
DETECTOR   (IOCH,SIBAR,BGO)                                       E265100100015 
ERR-ANALYS (ERR-1,,10.) entrance window inhomogeneity (<10%)      E265100100016 
           (ERR-2,,5.) particle misidentification (<5%)           E265100100017 
           (ERR-3) beam current (2%)                              E265100100018 
           (ERR-4) target thickness (5%)                          E265100100019 
           (ERR-5) solid angle (5%)                               E265100100020 
           (ERR-S) Statistical uncertainty                        E265100100021 
STATUS     (TABLE) Data received by an email from the authors     E265100100022 
           (APRVD) Approved by Yuji Yamaguchi (2020-03-13)        E265100100023 
HISTORY    (20200312R) On. Received by e-mail from Yuji           E265100100024 
                       Yamaguchi.                                 E265100100025 
           (20200313C) On                                         E265100100026 
ENDBIB              24          0                                 E265100100027 
COMMON               3          3                                 E265100100028 
ERR-3      ERR-4      ERR-5                                       E265100100029 
PER-CENT   PER-CENT   PER-CENT                                    E265100100030 
 2.         5.         5.                                         E265100100031 
ENDCOMMON            3          0                                 E265100100032 
ENDSUBENT           31          0                                 E265100199999 
SUBENT        E2651002   20200528                             E126E265100200001 
BIB                  3          5                                 E265100200002 
REACTION   (6-C-0(P,X)1-H-1,,DA/DE)                               E265100200003 
EN-SEC     ANG is polar angle (lab.) between beam and proton      E265100200004 
           (E,P)                                                  E265100200005 
SAMPLE     - Chemical-form of target: polyethylene                E265100200006 
           - Target-thickness: 11 um thick                        E265100200007 
ENDBIB               5          0                                 E265100200008 
NOCOMMON             0          0                                 E265100200009 
DATA                 5        422                                 E265100200010 
EN         ANG        E          DATA       ERR-S                 E265100200011 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             E265100200012 
        40.        15.      1.500  0.251E+01  0.144E+00           E265100200013 
        40.        15.      1.700  0.275E+01  0.146E+00           E265100200014 
        40.        15.      1.900  0.266E+01  0.147E+00           E265100200015 
        40.        15.      2.100  0.286E+01  0.128E+00           E265100200016 
        40.        15.      2.300  0.280E+01  0.131E+00           E265100200017 
        40.        15.      2.500  0.275E+01  0.135E+00           E265100200018 
        40.        15.      2.700  0.287E+01  0.142E+00           E265100200019 
        40.        15.      2.900  0.301E+01  0.144E+00           E265100200020 
        40.        15.      3.100  0.270E+01  0.132E+00           E265100200021 
        40.        15.      4.750  0.280E+01  0.751E-01           E265100200022 
        40.        15.      5.250  0.288E+01  0.778E-01           E265100200023 
        40.        15.      5.750  0.294E+01  0.846E-01           E265100200024 
        40.        15.      6.250  0.306E+01  0.941E-01           E265100200025 
        40.        15.      6.750  0.301E+01  0.101E+00           E265100200026 
        40.        15.      9.500  0.321E+01  0.704E-01           E265100200027 
        40.        15.     10.500  0.342E+01  0.728E-01           E265100200028 
        40.        15.     11.500  0.345E+01  0.734E-01           E265100200029 
        40.        15.     12.500  0.365E+01  0.758E-01           E265100200030 
        40.        60.      0.100  0.000E+00  0.000E+00           E265100200031 
        40.        60.      0.300  0.000E+00  0.000E+00           E265100200032 
        40.        60.      0.500  0.000E+00  0.000E+00           E265100200033 
        40.        60.      0.700  0.000E+00  0.000E+00           E265100200034 
        40.        60.      0.900  0.000E+00  0.000E+00           E265100200035 
        40.        60.      1.100  0.000E+00  0.000E+00           E265100200036 
        40.        60.      1.300  0.000E+00  0.000E+00           E265100200037 
        40.        60.      1.500  0.000E+00  0.000E+00           E265100200038 
        40.        60.      1.700  0.208E+01  0.720E-01           E265100200039 
        40.        60.      1.900  0.254E+01  0.794E-01           E265100200040 
        40.        60.      2.100  0.259E+01  0.786E-01           E265100200041 
        40.        60.      3.750  0.192E+01  0.253E-01           E265100200042 
        40.        60.      4.250  0.209E+01  0.251E-01           E265100200043 
        40.        60.      4.750  0.214E+01  0.257E-01           E265100200044 
        40.        60.      5.750  0.167E+01  0.453E-01           E265100200045 
        40.        60.      6.250  0.169E+01  0.454E-01           E265100200046 
        40.        60.      6.750  0.173E+01  0.555E-01           E265100200047 
        40.        60.      7.250  0.160E+01  0.560E-01           E265100200048 
        40.        60.      7.750  0.141E+01  0.502E-01           E265100200049 
        40.        60.     10.500  0.117E+01  0.345E-01           E265100200050 
        40.        60.     11.500  0.108E+01  0.319E-01           E265100200051 
        40.        60.     12.500  0.970E+00  0.285E-01           E265100200052 
        40.        60.     13.500  0.900E+00  0.270E-01           E265100200053 
        40.        60.     14.500  0.835E+00  0.267E-01           E265100200054 
        40.        60.     15.500  0.838E+00  0.291E-01           E265100200055 
        40.        60.     16.500  0.926E+00  0.314E-01           E265100200056 
        40.        60.     17.500  0.877E+00  0.304E-01           E265100200057 
        40.        60.     18.500  0.997E+00  0.217E-01           E265100200058 
        40.        60.     19.500  0.767E+00  0.183E-01           E265100200059 
        40.        60.     20.500  0.604E+00  0.167E-01           E265100200060 
        40.        60.     21.500  0.658E+00  0.184E-01           E265100200061 
        40.        60.     22.500  0.761E+00  0.200E-01           E265100200062 
        40.        60.     23.500  0.685E+00  0.185E-01           E265100200063 
        40.        60.     24.500  0.718E+00  0.198E-01           E265100200064 
        40.        60.     25.500  0.821E+00  0.213E-01           E265100200065 
        40.        60.     26.500  0.104E+01  0.247E-01           E265100200066 
        40.        60.     27.500  0.170E+01  0.324E-01           E265100200067 
        40.        60.     28.500  0.104E+01  0.217E-01           E265100200068 
        40.        60.     29.500  0.555E+00  0.166E-01           E265100200069 
        40.        60.     30.500  0.523E+00  0.175E-01           E265100200070 
        40.        60.     31.500  0.896E+00  0.238E-01           E265100200071 
        40.        60.     32.500  0.165E+01  0.329E-01           E265100200072 
        40.        60.     33.500  0.108E+01  0.236E-01           E265100200073 
        40.        60.     34.500  0.102E+01  0.253E-01           E265100200074 
        40.        60.     35.500  0.274E+01  0.438E-01           E265100200075 
        40.        60.     36.500  0.540E+01  0.597E-01           E265100200076 
        40.        60.     37.500  0.487E+01  0.530E-01           E265100200077 
        40.        60.     38.500  0.113E+01  0.158E-01           E265100200078 
        40.        60.     39.500  0.110E+00  0.385E-02           E265100200079 
        40.        60.     40.500  0.997E-02  0.179E-02           E265100200080 
        40.        60.     41.500  0.328E-02  0.134E-02           E265100200081 
        40.        60.     42.500  0.358E-02  0.154E-02           E265100200082 
        40.        60.     43.500  0.143E-02  0.798E-03           E265100200083 
        40.        60.     44.500  0.969E-03  0.782E-03           E265100200084 
        40.        60.     45.500  0.931E-03  0.782E-03           E265100200085 
        40.        60.     46.500  0.157E-03  0.111E-03           E265100200086 
        40.        60.     47.500  0.687E-05  0.328E-05           E265100200087 
        40.        60.     48.500  0.115E-06  0.529E-07           E265100200088 
        40.        60.     49.500  0.813E-09  0.513E-09           E265100200089 
        40.        60.     50.500  0.160E-11  0.160E-11           E265100200090 
        40.        60.     51.500  0.789E-03  0.789E-03           E265100200091 
        40.        60.     52.500  0.136E-03  0.987E-04           E265100200092 
        40.        60.     53.500  0.550E-05  0.265E-05           E265100200093 
        40.        60.     54.500  0.883E-07  0.410E-07           E265100200094 
        40.        60.     55.500  0.583E-09  0.371E-09           E265100200095 
        40.        60.     56.500  0.110E-11  0.110E-11           E265100200096 
        40.        60.     57.500  0.000E+00  0.000E+00           E265100200097 
        40.       120.      1.500  0.180E+01  0.565E-01           E265100200098 
        40.       120.      1.700  0.213E+01  0.608E-01           E265100200099 
        40.       120.      4.250  0.128E+01  0.162E-01           E265100200100 
        40.       120.      4.750  0.123E+01  0.156E-01           E265100200101 
        40.       120.      5.250  0.115E+01  0.159E-01           E265100200102 
        40.       120.      5.750  0.111E+01  0.171E-01           E265100200103 
        40.       120.      6.250  0.108E+01  0.182E-01           E265100200104 
        40.       120.      6.750  0.896E+00  0.171E-01           E265100200105 
        40.       120.      7.500  0.653E+00  0.107E-01           E265100200106 
        40.       120.      8.500  0.571E+00  0.101E-01           E265100200107 
        40.       120.      9.500  0.463E+00  0.911E-02           E265100200108 
        40.       120.     10.500  0.439E+00  0.895E-02           E265100200109 
        40.       120.     11.500  0.465E+00  0.927E-02           E265100200110 
        40.       120.     12.500  0.416E+00  0.873E-02           E265100200111 
        40.       120.     13.500  0.388E+00  0.847E-02           E265100200112 
        40.       120.     14.500  0.304E+00  0.108E-01           E265100200113 
        40.       120.     15.500  0.299E+00  0.872E-02           E265100200114 
        40.       120.     16.500  0.227E+00  0.797E-02           E265100200115 
        40.       120.     17.500  0.237E+00  0.866E-02           E265100200116 
        40.       120.     18.500  0.260E+00  0.701E-02           E265100200117 
        40.       120.     19.500  0.189E+00  0.595E-02           E265100200118 
        40.       120.     20.500  0.965E-01  0.421E-02           E265100200119 
        40.       120.     21.500  0.645E-01  0.348E-02           E265100200120 
        40.       120.     22.500  0.188E+00  0.601E-02           E265100200121 
        40.       120.     23.500  0.366E-01  0.252E-02           E265100200122 
        40.       120.     24.500  0.423E-01  0.286E-02           E265100200123 
        40.       120.     25.500  0.625E-02  0.102E-02           E265100200124 
        40.       120.     26.500  0.939E-01  0.427E-02           E265100200125 
        40.       120.     27.500  0.112E+00  0.463E-02           E265100200126 
        40.       120.     28.500  0.567E-02  0.863E-03           E265100200127 
        40.       120.     29.500  0.418E-02  0.897E-03           E265100200128 
        40.       120.     30.500  0.176E+00  0.585E-02           E265100200129 
        40.       120.     31.500  0.127E+00  0.491E-02           E265100200130 
        40.       120.     32.500  0.563E-02  0.791E-03           E265100200131 
        40.       120.     33.500  0.143E-02  0.519E-03           E265100200132 
        40.       120.     34.500  0.829E-05  0.290E-03           E265100200133 
        40.       120.     35.500  0.000E+00  0.000E+00           E265100200134 
        40.       120.     36.500  0.000E+00  0.000E+00           E265100200135 
        40.       120.     37.500  0.000E+00  0.000E+00           E265100200136 
        40.       120.     38.500  0.000E+00  0.000E+00           E265100200137 
        40.       120.     39.500  0.000E+00  0.000E+00           E265100200138 
        40.       120.     40.500  0.000E+00  0.000E+00           E265100200139 
        40.       150.      1.100  0.224E+01  0.609E-01           E265100200140 
        40.       150.      1.300  0.214E+01  0.542E-01           E265100200141 
        40.       150.      1.500  0.213E+01  0.531E-01           E265100200142 
        40.       150.      1.700  0.212E+01  0.513E-01           E265100200143 
        40.       150.      1.900  0.214E+01  0.517E-01           E265100200144 
        40.       150.      2.100  0.169E+01  0.442E-01           E265100200145 
        40.       150.      3.750  0.124E+01  0.209E-01           E265100200146 
        40.       150.      4.250  0.122E+01  0.200E-01           E265100200147 
        40.       150.      4.750  0.116E+01  0.193E-01           E265100200148 
        40.       150.      5.250  0.983E+00  0.178E-01           E265100200149 
        40.       150.      5.750  0.807E+00  0.176E-01           E265100200150 
        40.       150.      6.250  0.756E+00  0.193E-01           E265100200151 
        40.       150.      6.750  0.690E+00  0.195E-01           E265100200152 
        40.       150.      7.500  0.611E+00  0.106E-01           E265100200153 
        40.       150.      8.500  0.528E+00  0.994E-02           E265100200154 
        40.       150.      9.500  0.516E+00  0.986E-02           E265100200155 
        40.       150.     10.500  0.494E+00  0.964E-02           E265100200156 
        40.       150.     11.500  0.430E+00  0.901E-02           E265100200157 
        40.       150.     12.500  0.373E+00  0.839E-02           E265100200158 
        40.       150.     13.500  0.313E+00  0.772E-02           E265100200159 
        40.       150.     14.500  0.202E+00  0.619E-02           E265100200160 
        40.       150.     15.500  0.222E+00  0.655E-02           E265100200161 
        40.       150.     16.500  0.317E+00  0.784E-02           E265100200162 
        40.       150.     17.500  0.278E+00  0.730E-02           E265100200163 
        40.       150.     18.500  0.188E+00  0.599E-02           E265100200164 
        40.       150.     19.500  0.122E+00  0.484E-02           E265100200165 
        40.       150.     20.500  0.177E+00  0.585E-02           E265100200166 
        40.       150.     21.500  0.502E-01  0.305E-02           E265100200167 
        40.       150.     22.500  0.724E-01  0.375E-02           E265100200168 
        40.       150.     23.500  0.115E-01  0.147E-02           E265100200169 
        40.       150.     24.500  0.107E+00  0.460E-02           E265100200170 
