 1.05        4.578E+01  1.743E+01  2.309E+00                      E010300200078 
 1.05        5.035E+01  1.304E+01  1.391E+00                      E010300200079 
 1.05        5.545E+01  1.229E+01  1.186E+00                      E010300200080 
 1.05        6.056E+01  1.106E+01  1.068E+00                      E010300200081 
 1.05        6.574E+01  3.218E+00  5.976E-01                      E010300200082 
 1.05        7.067E+01  5.620E+00  5.709E-01                      E010300200083 
 1.05        7.589E+01  7.079E+00  9.003E-01                      E010300200084 
 1.05        8.059E+01  5.496E+00  5.582E-01                      E010300200085 
 1.05        9.631E+01  3.437E+00  3.688E-01                      E010300200086 
 1.32        1.985E+01  2.081E+01  4.735E+00                      E010300200087 
 1.32        2.463E+01  2.103E+01  3.456E+00                      E010300200088 
 1.32        2.936E+01  2.438E+01  3.739E+00                      E010300200089 
 1.32        3.509E+01  2.293E+01  3.643E+00                      E010300200090 
 1.32        3.996E+01  1.644E+01  2.164E+00                      E010300200091 
 1.32        4.507E+01  1.621E+01  2.399E+00                      E010300200092 
 1.32        5.082E+01  1.114E+01  1.230E+00                      E010300200093 
 1.32        5.582E+01  8.418E+00  9.293E-01                      E010300200094 
 1.32        6.080E+01  9.001E+00  1.185E+00                      E010300200095 
 1.32        6.591E+01  8.385E+00  9.257E-01                      E010300200096 
 1.32        7.043E+01  5.778E+00  6.181E-01                      E010300200097 
 1.32        7.566E+01  7.061E+00  8.651E-01                      E010300200098 
 1.32        8.064E+01  4.588E+00  5.062E-01                      E010300200099 
 1.32        9.597E+01  3.093E+00  3.270E-01                      E010300200100 
 1.48        2.047E+01  2.065E+01  4.134E+00                      E010300200101 
 1.48        2.522E+01  2.374E+01  3.409E+00                      E010300200102 
 1.48        3.086E+01  2.010E+01  2.641E+00                      E010300200103 
 1.48        3.620E+01  1.885E+01  2.707E+00                      E010300200104 
 1.48        4.095E+01  1.936E+01  3.628E+00                      E010300200105 
 1.48        4.614E+01  1.505E+01  2.160E+00                      E010300200106 
 1.48        5.148E+01  1.260E+01  1.733E+00                      E010300200107 
 1.48        5.653E+01  1.182E+01  1.199E+00                      E010300200108 
 1.48        6.112E+01  1.079E+01  1.549E+00                      E010300200109 
 1.48        6.586E+01  4.797E+00  7.480E-01                      E010300200110 
 1.48        7.170E+01  4.757E+00  6.991E-01                      E010300200111 
 1.48        7.641E+01  9.382E+00  1.119E+00                      E010300200112 
 1.48        8.234E+01  6.727E+00  7.622E-01                      E010300200113 
 1.48        9.642E+01  2.519E+00  3.463E-01                      E010300200114 
 1.71        2.056E+01  8.921E+01  1.244E+01                      E010300200115 
 1.71        2.568E+01  7.084E+01  7.832E+00                      E010300200116 
 1.71        3.060E+01  8.513E+01  9.904E+00                      E010300200117 
 1.71        3.554E+01  6.154E+01  6.441E+00                      E010300200118 
 1.71        4.088E+01  7.319E+01                                 E010300200119 
 1.71        5.089E+01  5.076E+01  4.809E+00                      E010300200120 
 1.71        5.597E+01  3.991E+01                                 E010300200121 
 1.71        6.118E+01  3.412E+01                                 E010300200122 
 1.71        6.570E+01  2.696E+01                                 E010300200123 
 1.71        7.105E+01  2.245E+01  2.221E+00                      E010300200124 
 1.71        7.584E+01  2.098E+01  2.087E+00                      E010300200125 
 1.71        8.105E+01  2.121E+01                                 E010300200126 
 1.71        9.584E+01  1.584E+01  1.567E+00                      E010300200127 
 1.87        2.141E+01  2.982E+01  5.818E+00                      E010300200128 
 1.87        2.637E+01  4.089E+01  5.795E+00                      E010300200129 
 1.87        3.134E+01  4.341E+01  7.292E+00                      E010300200130 
 1.87        3.620E+01  4.055E+01  5.749E+00                      E010300200131 
 1.87        4.095E+01  3.084E+01  3.575E+00                      E010300200132 
 1.87        4.616E+01  3.721E+01  4.503E+00                      E010300200133 
 1.87        5.157E+01  1.439E+01  1.522E+00                      E010300200134 
 1.87        5.618E+01  1.332E+01                                 E010300200135 
 1.87        6.201E+01  1.983E+01  2.197E+00                      E010300200136 
 1.87        6.619E+01  5.037E+00  7.138E-01                      E010300200137 
 1.87        7.111E+01  1.315E+01                                 E010300200138 
 1.87        7.597E+01  1.292E+01  1.367E+00                      E010300200139 
 1.87        8.085E+01  8.297E+00                                 E010300200140 
 1.87        9.619E+01  4.757E+00  5.032E-01                      E010300200141 
 2.07        2.077E+01  6.707E+01  1.045E+01                      E010300200142 
 2.07        2.562E+01  5.141E+01  6.647E+00                      E010300200143 
 2.07        3.094E+01  4.152E+01  5.639E+00                      E010300200144 
 2.07        3.595E+01  2.802E+01  4.931E+00                      E010300200145 
 2.07        4.125E+01  2.787E+01  3.422E+00                      E010300200146 
 2.07        4.640E+01  2.886E+01  4.689E+00                      E010300200147 
 2.07        5.092E+01  2.557E+01  2.647E+00                      E010300200148 
 2.07        5.609E+01  1.849E+01  2.033E+00                      E010300200149 
 2.07        6.077E+01  1.766E+01  1.827E+00                      E010300200150 
 2.07        6.609E+01  1.256E+01  1.707E+00                      E010300200151 
 2.07        7.124E+01  1.347E+01  1.221E+00                      E010300200152 
 2.07        7.607E+01  1.257E+01  1.707E+00                      E010300200153 
 2.07        8.061E+01  9.412E+00  1.035E+00                      E010300200154 
 2.07        9.529E+01  7.095E+00  8.256E-01                      E010300200155 
 2.3         2.035E+01  5.888E+01  1.213E+01                      E010300200156 
 2.3         2.514E+01  5.443E+01  6.555E+00                      E010300200157 
 2.3         3.056E+01  4.443E+01  9.143E+00                      E010300200158 
 2.3         3.533E+01  4.707E+01  5.365E+00                      E010300200159 
 2.3         4.093E+01  3.334E+01  4.009E+00                      E010300200160 
 2.3         4.572E+01  3.171E+01  3.612E+00                      E010300200161 
 2.3         5.067E+01  2.663E+01  2.536E+00                      E010300200162 
 2.3         5.534E+01  1.973E+01  1.879E+00                      E010300200163 
 2.3         6.057E+01  2.163E+01  2.055E+00                      E010300200164 
 2.3         6.568E+01  1.755E+01  1.774E+00                      E010300200165 
 2.3         7.094E+01  1.569E+01  1.491E+00                      E010300200166 
 2.3         7.588E+01  1.459E+01  1.661E+00                      E010300200167 
 2.3         8.019E+01  1.528E+01  1.742E+00                      E010300200168 
 2.3         9.646E+01  8.450E+00  8.018E-01                      E010300200169 
 2.5         2.012E+01  6.681E+01  8.188E+00                      E010300200170 
 2.5         2.514E+01  5.160E+01  5.987E+00                      E010300200171 
 2.5         3.053E+01  2.852E+01  4.622E+00                      E010300200172 
 2.5         3.528E+01  4.082E+01  5.788E+00                      E010300200173 
 2.5         4.056E+01  4.639E+01  5.070E+00                      E010300200174 
 2.5         5.058E+01  2.799E+01  2.525E+00                      E010300200175 
 2.5         5.499E+01  1.716E+01  2.325E+00                      E010300200176 
 2.5         6.061E+01  1.669E+01  2.042E+00                      E010300200177 
 2.5         6.545E+01  1.422E+01  1.928E+00                      E010300200178 
 2.5         7.139E+01  1.448E+01  1.581E+00                      E010300200179 
 2.5         7.567E+01  1.991E+01  2.054E+00                      E010300200180 
 2.5         8.135E+01  1.308E+01                                 E010300200181 
 2.5         9.593E+01  5.495E+00  6.730E-01                      E010300200182 
 2.9         2.080E+01  7.185E+01  1.046E+01                      E010300200183 
