ENTRY            E2268   20190117                             E119E226800000001 
SUBENT        E2268001   20190117                             E119E226800100001 
BIB                 10         31                                 E226800100002 
TITLE      j-forbidden (d,p) stripping reactions on C12, O16 and  E226800100003 
           Mg24                                                   E226800100004 
AUTHOR     (K.Hosono)                                             E226800100005 
INSTITUTE  (2JPNKTO) Institute for Chemical Research              E226800100006 
REFERENCE  (J,JPJ,25,36,1968)                                     E226800100007 
PART-DET   (P)                                                    E226800100008 
METHOD     (BCINT)                                                E226800100009 
FACILITY   (CYCLO,2JPNKTO)                                        E226800100010 
DETECTOR   (SOLST) The beam was monitored by a 500 u solid state  E226800100011 
                   detector counting the elastically scattered    E226800100012 
                   deutrons from the target                       E226800100013 
           (SIBAR) 2mm thick silicon solid state detector of      E226800100014 
                   surface barrier type in conjunction with a     E226800100015 
                   1024 channel PHA was used to detect the proton E226800100016 
                   groups from the (d,p) reaction.                E226800100017 
           (MAGSP) A broad range magnetic spectrograph with       E226800100018 
                   nuclear plates of Sakura NRE-1 of 100 u thick  E226800100019 
                   was used for higher order resolution was       E226800100020 
                   necessary to resolve the individual levels.    E226800100021 
           (PLATE) The plates were covered with Al foils of       E226800100022 
                   relevant to avoid particles other than proton. E226800100023 
ADD-RES    E2268.007:6-C-12(D,P)6-C-13                            E226800100024 
                     Optical potential parameter                  E226800100025 
                     See NRDF D2268 DATA,6 for detail.            E226800100026 
           E2268.008:8-O-16(D,P)8-O-17                            E226800100027 
                     Optical potential parameter                  E226800100028 
                     See NRDF D2268 DATA,7 for detail.            E226800100029 
           E2268.009:12-MG-24(D,P)12-MG-25                        E226800100030 
                     Optical potential parameter                  E226800100031 
                     See NRDF D2268 DATA,8 for detail.            E226800100032 
HISTORY    (20120814C) V.D                                        E226800100033 
ENDBIB              31          0                                 E226800100034 
NOCOMMON             0          0                                 E226800100035 
ENDSUBENT           34          0                                 E226800199999 
SUBENT        E2268002   20190117                             E119E226800200001 
BIB                  8         20                                 E226800200002 
REACTION   (6-C-12(D,P)6-C-13,PAR,DA)                             E226800200003 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and proton   E226800200004 
           (E-LVL,6-C-13)                                         E226800200005 
INC-SOURCE Beam intensity: The uncertainty in the beam current    E226800200006 
           measurement depended on the beam intensity and         E226800200007 
           estimated to about 20%                                 E226800200008 
INC-SPECT  [EN-RSL] overall energy resolution of the system was   E226800200009 
           about 0.9%                                             E226800200010 
SAMPLE     - Target is natural.                                   E226800200011 
           - Chemical-form of target: Carbon foil prepared from   E226800200012 
             natural methane gas.                                 E226800200013 
           - Physical-form of target is gas.                      E226800200014 
           - Target-thickness is 0.87 mg/cm2.                     E226800200015 
           - Target is self supported. self-supported carbon      E226800200016 
             foils prepared from natural methane gas              E226800200017 
ERR-ANALYS (ERR-S) Statistical uncertainty                        E226800200018 
ADD-RES    (COMP) 1. PWBA (Plane wave Born approximation)         E226800200019 
           (COMP) 2. DWBA (Distorted wave Born approximation)     E226800200020 
STATUS     (CURVE) Plotted in Fig. 4 of J. Phys. Soc. Jpn 25, 1   E226800200021 
                   (1968) 36.                                     E226800200022 
ENDBIB              20          0                                 E226800200023 
COMMON               1          3                                 E226800200024 
EN                                                                E226800200025 
MEV                                                               E226800200026 
 14.6                                                             E226800200027 
ENDCOMMON            3          0                                 E226800200028 
DATA                 4        197                                 E226800200029 
E-LVL      ANG-CM     DATA-CM    ERR-S                            E226800200030 
MEV        ADEG       MB/SR      MB/SR                            E226800200031 
        0.0      12.90  1.163E+01  9.786E-01                      E226800200032 
        0.0      16.34  1.182E+01  8.812E-01                      E226800200033 
        0.0      21.28  1.135E+01  8.720E-01                      E226800200034 
        0.0      27.73  7.493E+00  5.200E-01                      E226800200035 
        0.0      33.33  3.507E+00  2.434E-01                      E226800200036 
        0.0      38.06  2.260E+00                                 E226800200037 
        0.0      43.65  1.926E+00  1.479E-01                      E226800200038 
        0.0      49.88  2.206E+00  1.694E-01                      E226800200039 
        0.0      54.82  2.487E+00  1.910E-01                      E226800200040 
        0.0      59.33  2.487E+00  1.910E-01                      E226800200041 
        0.0      64.49  2.171E+00  1.619E-01                      E226800200042 
        0.0      69.22  1.602E+00  1.195E-01                      E226800200043 
        0.0      74.38  1.344E+00  8.874E-02                      E226800200044 
        0.0      80.83  1.024E+00  7.108E-02                      E226800200045 
        0.0      85.77  8.660E-01  6.458E-02                      E226800200046 
        0.0      90.93  8.870E-01  6.156E-02                      E226800200047 
        0.0      95.66  9.381E-01  7.205E-02                      E226800200048 
        0.0     107.00  1.155E+00  8.869E-02                      E226800200049 
        0.0     110.70  1.173E+00  9.012E-02                      E226800200050 
        0.0     115.90  1.221E+00  9.107E-02                      E226800200051 
        0.0     125.50  9.685E-01  6.722E-02                      E226800200052 
        0.0     130.90  7.322E-01  5.624E-02                      E226800200053 
        0.0     134.10  5.070E-01  3.894E-02                      E226800200054 
        0.0     144.50  3.089E-01  2.825E-02                      E226800200055 
        0.0     148.30  3.683E-01  3.368E-02                      E226800200056 
       3.09      14.33  2.136E+01  1.813E+00                      E226800200057 
       3.09      17.55  2.241E+01  1.753E+00                      E226800200058 
       3.09      22.68  6.159E+00  5.284E-01                      E226800200059 
       3.09      28.03  4.184E+00  3.224E-01                      E226800200060 
       3.09      33.84  5.731E+00  4.687E-01                      E226800200061 
       3.09      39.42  6.627E+00  5.106E-01                      E226800200062 
       3.09      44.82  6.433E+00  4.444E-01                      E226800200063 
       3.09      50.81  5.264E+00  3.766E-01                      E226800200064 
       3.09      56.20  2.822E+00  2.212E-01                      E226800200065 
       3.09      60.66  1.419E+00  1.053E-01                      E226800200066 
       3.09      66.23  9.914E-01  7.568E-02                      E226800200067 
       3.09      70.37  9.336E-01  6.449E-02                      E226800200068 
       3.09      76.75  8.519E-01  6.101E-02                      E226800200069 
       3.09      82.76  1.115E+00  8.592E-02                      E226800200070 
       3.09      89.42  1.279E+00  8.676E-02                      E226800200071 
       3.09      94.57  1.465E+00  9.233E-02                      E226800200072 
       3.09      98.44  1.573E+00  1.056E-01                      E226800200073 
       3.09     102.60  1.467E+00  1.050E-01                      E226800200074 
       3.09     106.80  1.352E+00  8.722E-02                      E226800200075 
       3.09     111.70  1.099E+00  7.164E-02                      E226800200076 
       3.09     117.10  9.219E-01  6.225E-02                      E226800200077 
       3.09     121.20  7.316E-01  5.373E-02                      E226800200078 
       3.09     126.50  5.506E-01  3.369E-02                      E226800200079 
       3.09     130.90  4.926E-01  2.839E-02                      E226800200080 
       3.09     136.20  3.685E-01  2.359E-02                      E226800200081 
       3.09     144.90  3.062E-01  1.979E-02                      E226800200082 
       3.09     148.90  2.283E-01  1.385E-02                      E226800200083 
       3.68      17.19  4.742E+00  5.189E-01                      E226800200084 
       3.68      22.72  4.262E+00  4.323E-01                      E226800200085 
       3.68      28.24  3.382E+00  3.700E-01                      E226800200086 
       3.68      32.82  2.411E+00  2.251E-01                      E226800200087 
       3.68      40.03  1.750E+00  1.775E-01                      E226800200088 
       3.68      45.31  1.388E+00  1.519E-01                      E226800200089 
       3.68      50.60  1.162E+00  1.085E-01                      E226800200090 
       3.68      56.13  9.468E-01  9.604E-02                      E226800200091 
       3.68      61.89  7.785E-01  7.898E-02                      E226800200092 
       3.68      66.93  7.316E-01  7.537E-02                      E226800200093 
       3.68      71.26  5.753E-01  5.835E-02                      E226800200094 
       3.68      77.99  4.138E-01  4.198E-02                      E226800200095 
       3.68      98.13  5.365E-01  5.870E-02                      E226800200096 
       3.68     107.50  5.765E-01  6.307E-02                      E226800200097 
       3.68     112.30  6.534E-01  7.664E-02                      E226800200098 
       3.68     117.80  5.372E-01  6.303E-02                      E226800200099 
       3.68     122.60  5.822E-01  5.907E-02                      E226800200100 
       3.68     127.40  4.457E-01  4.522E-02                      E226800200101 
       3.68     131.20  3.935E-01  4.306E-02                      E226800200102 
       3.68     136.10  3.601E-01  4.224E-02                      E226800200103 
       3.68     145.70  2.187E-01  2.393E-02                      E226800200104 
       3.68     150.70  4.011E-01  4.705E-02                      E226800200105 
