ENTRY            E2431   20131029                             E081E243100000001 
SUBENT        E2431001   20131029                             E081E243100100001 
BIB                 10         29                                 E243100100002 
TITLE      Alpha-resonance structure in 11C studied via resonant  E243100100003 
           scattering of 7Be+alpha and with the 7Be(alpha,p)      E243100100004 
           reaction                                               E243100100005 
AUTHOR     (H.Yamaguchi, D.Kahl, Y.Wakabayashi, S.Kubono,         E243100100006 
            T.Hashimoto, S.Hayakawa, T.Kawabata, N.Iwasa,         E243100100007 
            T.Teranishi, Y.K.Kwon, D.N.Binh, L.H.Khiem, N.N.Duy)  E243100100008 
INSTITUTE  (2JPNTOK) Center for Nuclear Study                     E243100100009 
           (2JPNIPC)                                              E243100100010 
           (2JPNOSA) Research Center for Nuclear Physics          E243100100011 
           (2ITYLNS)                                              E243100100012 
           (2JPNKTO) Department of Physics                        E243100100013 
           (2JPNTOH) Department of Physics                        E243100100014 
           (2JPNKYU) Department of Physics                        E243100100015 
           (3KORKOR) Institute for Basic Science, Daejeon         E243100100016 
           (3VN IPH)                                              E243100100017 
REFERENCE  (J,PR/C,87,034303,2013)                                E243100100018 
INC-SOURCE Beam intensity is 2.0E+05 PPS.                         E243100100019 
SAMPLE     - Chemical-form of target is element.                  E243100100020 
           - Physical-form of target is gas.                      E243100100021 
           - Target-thickness: 815 Torr                           E243100100022 
METHOD     (EDE)                                                  E243100100023 
FACILITY   (ISOCY,2JPNIPC) AVF cyclotron                          E243100100024 
           (PRJFS,2JPNTOK) CNS radioactive ion beam separator     E243100100025 
                           (CRIB) at Center for Nuclear Study     E243100100026 
DETECTOR   (SI) dE-E detector to detect alpha particles           E243100100027 
           (NAICR) to detect gamma rays                           E243100100028 
HISTORY    (20130628C) V.D                                        E243100100029 
           (20130628R) Received by e-mail from Dr. H.Yamaguchi on E243100100030 
                       26.06.2013                                 E243100100031 
ENDBIB              29          0                                 E243100100032 
NOCOMMON             0          0                                 E243100100033 
ENDSUBENT           32          0                                 E243100199999 
SUBENT        E2431002   20131029                             E081E243100200001 
BIB                  5          7                                 E243100200002 
REACTION   ((2-HE-4(4-BE-7,EL)2-HE-4,,DA)=                        E243100200003 
           (4-BE-7(A,EL)4-BE-7,,DA))                              E243100200004 
PART-DET   (A)                                                    E243100200005 
EN-SEC     ANG-CM is averaged angle                               E243100200006 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E243100200007 
STATUS     (TABLE) Plotted in Fig.5 of J, Phys. Rev. C, 87 (2013) E243100200008 
                   034303                                         E243100200009 
ENDBIB               7          0                                 E243100200010 
NOCOMMON             0          0                                 E243100200011 
DATA                 5        135                                 E243100200012 
EN-CM      EN-ERR     ANG-CM     DATA-CM    DATA-ERR              E243100200013 
MEV        MEV        ADEG       MB/SR      MB/SR                 E243100200014 
       1.23       0.10      142.3   7.89E+01   5.33E+00           E243100200015 
       1.25       0.10      143.4   8.01E+01   5.48E+00           E243100200016 
       1.28       0.10      145.0   7.08E+01   5.69E+00           E243100200017 
       1.32       0.10      146.6   7.69E+01   5.74E+00           E243100200018 
       1.35       0.09      148.2   7.86E+01   6.08E+00           E243100200019 
       1.38       0.09      149.8   8.69E+01   6.23E+00           E243100200020 
       1.41       0.09      151.4   7.74E+01   6.75E+00           E243100200021 
       1.45       0.09      153.0   7.52E+01   6.62E+00           E243100200022 
       1.48       0.09      154.6   6.63E+01   6.66E+00           E243100200023 
       1.51       0.09      155.7   6.70E+01   6.79E+00           E243100200024 
       1.54       0.09      156.1   6.26E+01   6.61E+00           E243100200025 
       1.58       0.09      156.5   6.48E+01   6.70E+00           E243100200026 
       1.61       0.09      156.9   6.85E+01   7.37E+00           E243100200027 
       1.64       0.09      157.4   7.64E+01   7.01E+00           E243100200028 
       1.67       0.09      157.8   6.71E+01   7.46E+00           E243100200029 
       1.71       0.08      158.2   6.15E+01   7.39E+00           E243100200030 
       1.74       0.08      158.6   6.39E+01   7.51E+00           E243100200031 
       1.77       0.08      159.0   6.15E+01   7.34E+00           E243100200032 
       1.80       0.08      159.4   6.08E+01   8.35E+00           E243100200033 
       1.84       0.08      159.8   5.80E+01   7.20E+00           E243100200034 
       1.87       0.08      160.2   6.39E+01   7.46E+00           E243100200035 
       1.90       0.08      160.6   5.33E+01   8.67E+00           E243100200036 
       1.93       0.08      161.0   5.59E+01   8.01E+00           E243100200037 
       1.97       0.08      161.4   5.86E+01   8.81E+00           E243100200038 
       2.00       0.08      161.8   5.64E+01   9.66E+00           E243100200039 
       2.03       0.08      162.0   6.67E+01   8.15E+00           E243100200040 
       2.06       0.08      162.1   6.08E+01   9.09E+00           E243100200041 
       2.10       0.08      162.3   6.02E+01   9.02E+00           E243100200042 
       2.13       0.08      162.5   7.74E+01   9.22E+00           E243100200043 
       2.16       0.07      162.7   7.28E+01   9.86E+00           E243100200044 
       2.19       0.07      162.8   8.45E+01   1.12E+01           E243100200045 
       2.23       0.07      163.0   8.95E+01   1.13E+01           E243100200046 
       2.26       0.07      163.2   1.02E+02   1.22E+01           E243100200047 
       2.29       0.07      163.4   1.03E+02   1.29E+01           E243100200048 
       2.32       0.07      163.5   1.30E+02   1.20E+01           E243100200049 
       2.36       0.07      163.7   1.15E+02   1.23E+01           E243100200050 
       2.39       0.07      163.9   1.21E+02   1.22E+01           E243100200051 
       2.42       0.07      164.1   1.09E+02   1.28E+01           E243100200052 
       2.45       0.07      164.2   7.70E+01   9.49E+00           E243100200053 
