ENTRY            E2151   20240504                             E144E215100000001 
SUBENT        E2151001   20240504                             E144E215100100001 
BIB                  8         29                                 E215100100002 
TITLE      Gamow-Teller strength distributions in 48Sc by the     E215100100003 
           48Ca(p,n) and 48Ti(n,p) reactions and two-neutrino     E215100100004 
           double-beta decay nuclear matrix elements              E215100100005 
AUTHOR     (K.Yako, M.Sasano, K.Miki, H.Sakai, M.Dozono,          E215100100006 
            D.Frekers, M.B.Greenfield, K.Hatanaka, E.Ihara,       E215100100007 
            M.Kato, T.Kawabata, H.Kuboki, Y.Maeda, H.Matsubara,   E215100100008 
            K.Muto, S.Noji, H.Okamura, T.H.Okabe, S.Sakaguchi,    E215100100009 
            Y.Sakemi, Y.Sasamoto, K.Sekiguchi, Y.Shimizu, K.Suda, E215100100010 
            Y.Tameshige, A.Tamii, T.Uesaka, T.Wakasa, H.Zheng)    E215100100011 
INSTITUTE  (2JPNTOK)                                              E215100100012 
REFERENCE  (J,PRL,103,012503,2009)                                E215100100013 
           Main reference. See also TITLE and AUTHOR.             E215100100014 
           (S,AIP-1120,47,2009)                                   E215100100015 
           K.Yako for ICHOR project and RCNP E272, E293           E215100100016 
           collaborations                                         E215100100017 
           (S,AIP-1165,427,2009) H.Sakai+, DA/DE given            E215100100018 
METHOD     (TOF) To obtain the (p,n) data with a NPOL3 neutron    E215100100019 
                 detector system                                  E215100100020 
FACILITY   (CYCLO,2JPNOSA) To accelerate a proton beam at         E215100100021 
                           Research Center for Nuclear            E215100100022 
                           Physics(RCNP)                          E215100100023 
DETECTOR   (SCIN) To detect neutron and recoil proton             E215100100024 
HISTORY    (20090813R) TM. Received by e-mail from K.Yako         E215100100025 
           (20090819C) TM                                         E215100100026 
           (20100604A) Tsubakihara. REFERENCE:                    E215100100027 
                       J,PRL,103,012503,2009 added                E215100100028 
           (20240320U) MA: modified REFERENCE in 001, REACTION in E215100100029 
                       002; deleted 003 due to neutron data and   E215100100030 
                       duplication of EXFOR 23125.002.            E215100100031 
ENDBIB              29          0                                 E215100100032 
NOCOMMON             0          0                                 E215100100033 
ENDSUBENT           32          0                                 E215100199999 
SUBENT        E2151002   20240504                             E144E215100200001 
BIB                  8         16                                 E215100200002 
REACTION   (20-CA-48(P,N)21-SC-48,ICL,DA/DE,N/RSD)                E215100200003 
ANG-SEC    (ANG-CM,21-SC-48)                                      E215100200004 
EN-SEC     (E-EXC,21-SC-48)                                       E215100200005 
INC-SOURCE Beam intensity is 100 nA.                              E215100200006 
SAMPLE     - Chemical-form of target is element.                  E215100200007 
           - Target-thickness is 17 mg/cm2.                       E215100200008 
           (20-CA-48,ENR=0.98)                                    E215100200009 
ERR-ANALYS (ERR-SYS) Total systematic uncertainty                 E215100200010 
           (ERR-1) The thicknesses of the 48Ca target             E215100200011 
           (ERR-2) The thicknesses of the 7Li target              E215100200012 
           (ERR-3) Beam integration in the Faraday cup            E215100200013 
           (ERR-4) The 7Li(p,n) cross section used for            E215100200014 
                   calibrating the efficiency                     E215100200015 
           (ERR-S) Statistical uncertainty                        E215100200016 
STATUS     (TABLE,,K.Yako+,J,PRL,103,012503,2009) Fig. 1          E215100200017 
HISTORY    (20240504A) MA: SF5-SF7: ,DA/DE -> ICL,DA/DE,N/RSD.    E215100200018 
ENDBIB              16          0                                 E215100200019 
COMMON               6          3                                 E215100200020 
EN         ERR-SYS    ERR-1      ERR-2      ERR-3      ERR-4      E215100200021 
MEV        PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   E215100200022 
 295.       12.        10.        3.         2.         5.        E215100200023 
ENDCOMMON            3          0                                 E215100200024 
DATA                 5        342                                 E215100200025 
ANG-CM     E-EXC-MIN  E-EXC-MAX  DATA-CM    ERR-S                 E215100200026 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             E215100200027 
        0.2       -0.5       -0.3      0.004      0.004           E215100200028 
        0.2       -0.3       -0.1      0.005      0.004           E215100200029 
        0.2       -0.1        0.1      0.005      0.005           E215100200030 
        0.2        0.1        0.3      0.018      0.006           E215100200031 
        0.2        0.3        0.5      0.127      0.012           E215100200032 
        0.2        0.5        0.7      0.339      0.018           E215100200033 
        0.2        0.7        0.9      0.344      0.018           E215100200034 
        0.2        0.9        1.1      0.117      0.011           E215100200035 
        0.2        1.1        1.3      0.048      0.008           E215100200036 
        0.2        1.3        1.5      0.026      0.006           E215100200037 
        0.2        1.5        1.7      0.018      0.006           E215100200038 
        0.2        1.7        1.9      0.025      0.006           E215100200039 
        0.2        1.9        2.1      0.082      0.010           E215100200040 
        0.2        2.1        2.3      1.158      0.033           E215100200041 
        0.2        2.3        2.5      7.236      0.082           E215100200042 
        0.2        2.5        2.7     13.918      0.114           E215100200043 
        0.2        2.7        2.9      7.857      0.085           E215100200044 
        0.2        2.9        3.1      2.327      0.047           E215100200045 
        0.2        3.1        3.3      1.491      0.037           E215100200046 
        0.2        3.3        3.5      0.950      0.030           E215100200047 
        0.2        3.5        3.7      0.979      0.030           E215100200048 
        0.2        3.7        3.9      1.305      0.035           E215100200049 
        0.2        3.9        4.1      0.907      0.029           E215100200050 
        0.2        4.1        4.3      0.678      0.025           E215100200051 
        0.2        4.3        4.5      0.630      0.025           E215100200052 
        0.2        4.5        4.7      0.696      0.026           E215100200053 
        0.2        4.7        4.9      1.158      0.033           E215100200054 
        0.2        4.9        5.1      1.261      0.034           E215100200055 
        0.2        5.1        5.3      1.598      0.039           E215100200056 
        0.2        5.3        5.5      1.919      0.042           E215100200057 
        0.2        5.5        5.7      1.955      0.043           E215100200058 
        0.2        5.7        5.9      2.023      0.043           E215100200059 
        0.2        5.9        6.1      2.086      0.044           E215100200060 
        0.2        6.1        6.3      2.330      0.047           E215100200061 
        0.2        6.3        6.5      3.297      0.055           E215100200062 
        0.2        6.5        6.7      5.338      0.070           E215100200063 
        0.2        6.7        6.9      6.248      0.076           E215100200064 
        0.2        6.9        7.1      4.350      0.064           E215100200065 
        0.2        7.1        7.3      4.116      0.062           E215100200066 
        0.2        7.3        7.5      5.223      0.070           E215100200067 
        0.2        7.5        7.7      7.096      0.081           E215100200068 
        0.2        7.7        7.9      7.231      0.082           E215100200069 
        0.2        7.9        8.1      6.103      0.075           E215100200070 
        0.2        8.1        8.3      6.048      0.075           E215100200071 
        0.2        8.3        8.5      4.881      0.067           E215100200072 
        0.2        8.5        8.7      3.549      0.057           E215100200073 
        0.2        8.7        8.9      3.307      0.055           E215100200074 
        0.2        8.9        9.1      4.218      0.063           E215100200075 
        0.2        9.1        9.3      5.776      0.073           E215100200076 
        0.2        9.3        9.5      6.859      0.080           E215100200077 
        0.2        9.5        9.7      7.091      0.081           E215100200078 
        0.2        9.7        9.9      6.981      0.081           E215100200079 
        0.2        9.9       10.1      7.038      0.081           E215100200080 
        0.2       10.1       10.3      8.398      0.088           E215100200081 
        0.2       10.3       10.5      9.252      0.093           E215100200082 
        0.2       10.5       10.7      8.737      0.090           E215100200083 
        0.2       10.7       10.9      8.803      0.090           E215100200084 
        0.2       10.9       11.1      9.564      0.094           E215100200085 
        0.2       11.1       11.3      8.250      0.087           E215100200086 
        0.2       11.3       11.5      6.503      0.078           E215100200087 
        0.2       11.5       11.7      5.803      0.073           E215100200088 
        0.2       11.7       11.9      5.813      0.073           E215100200089 
        0.2       11.9       12.1      5.826      0.073           E215100200090 
        0.2       12.1       12.3      5.566      0.072           E215100200091 
        0.2       12.3       12.5      5.762      0.073           E215100200092 
        0.2       12.5       12.7      5.567      0.072           E215100200093 
        0.2       12.7       12.9      5.059      0.069           E215100200094 
        0.2       12.9       13.1      4.515      0.065           E215100200095 
        0.2       13.1       13.3      4.138      0.062           E215100200096 
        0.2       13.3       13.5      3.788      0.059           E215100200097 
        0.2       13.5       13.7      3.506      0.057           E215100200098 
        0.2       13.7       13.9      3.220      0.055           E215100200099 
        0.2       13.9       14.1      3.020      0.053           E215100200100 
        0.2       14.1       14.3      2.829      0.051           E215100200101 
        0.2       14.3       14.5      2.502      0.048           E215100200102 
        0.2       14.5       14.7      2.381      0.047           E215100200103 
        0.2       14.7       14.9      2.328      0.047           E215100200104 
        0.2       14.9       15.1      2.081      0.044           E215100200105 
