ENTRY            E2289   20111008                             E066E228900000001 
SUBENT        E2289001   20111008                             E066E228900100001 
BIB                 11         22                                 E228900100002 
TITLE      Proton-production double-differential cross sections   E228900100003 
           for 300-MeV and 392-MeV proton-induced reactions       E228900100004 
AUTHOR     (H.Iwamoto, M.Imamura, Y.Koba, Y.Fukui, G.Wakabayashi, E228900100005 
            Y.Uozumi, T.Kin, Y.Iwamoto, S.Hohara, M.Nakano)       E228900100006 
INSTITUTE  (2JPNKYU) Department of Applied Quantum Physics and    E228900100007 
                     Nuclear Engineering                          E228900100008 
           (2JPNJAE)                                              E228900100009 
           (2JPNKNK) Atomic Energy Research Institute             E228900100010 
           (2JPNKIT)                                              E228900100011 
REFERENCE  (J,PR/C,82,(3),034604,201009)                          E228900100012 
PART-DET   (P)                                                    E228900100013 
INC-SOURCE Beam intensity is 5 nA.                                E228900100014 
SAMPLE     Physical-form of target is solid.                      E228900100015 
FACILITY   (CYCLO,2JPNOSA) Research Center for Nuclear Physics    E228900100016 
DETECTOR   Calibration: The proton scattering off hydrogen        E228900100017 
           contained in polyester was used in energy calibration  E228900100018 
           of the scintillators.                                  E228900100019 
           (SCIN,GE) To detect emitted proton with Delta E-E      E228900100020 
                     spectrometry                                 E228900100021 
ERR-ANALYS (ERR-S) Statistical uncertainty                        E228900100022 
HISTORY    (20110104C) Kt                                         E228900100023 
           (20110630U) Nf. Author name corrected                  E228900100024 
ENDBIB              22          0                                 E228900100025 
NOCOMMON             0          0                                 E228900100026 
ENDSUBENT           25          0                                 E228900199999 
SUBENT        E2289002   20110518                             E065E228900200001 
BIB                  5          8                                 E228900200002 
REACTION   (8-O-16(P,X)1-H-1,,DA/DE)                              E228900200003 
EN-SEC     ANG is polar angle (lab.) between beam and proton      E228900200004 
           (E,P)                                                  E228900200005 
SAMPLE     - Target is natural.                                   E228900200006 
           - Chemical-form of target: Al2O3                       E228900200007 
           - Target-thickness is 1.34 mg/cm**2.                   E228900200008 
STATUS     (TABLE) Plotted in Fig.4 of J,PR/C,82,034604,2010      E228900200009 
HISTORY    (20100927R) Received by e-mail from Y.Uozumi           E228900200010 
ENDBIB               8          0                                 E228900200011 
COMMON               1          3                                 E228900200012 
EN                                                                E228900200013 
MEV                                                               E228900200014 
 300.                                                             E228900200015 
ENDCOMMON            3          0                                 E228900200016 
DATA                 4        143                                 E228900200017 
E          ANG        DATA       ERR-S                            E228900200018 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        E228900200019 
   4.00E+01        30.   2.87E-01   5.46E-02                      E228900200020 
   4.00E+01        50.   3.27E-01   2.35E-02                      E228900200021 
   4.00E+01        75.   3.44E-01   4.64E-03                      E228900200022 
   4.00E+01        90.   1.54E-01   1.68E-02                      E228900200023 
   4.00E+01       105.   9.22E-02   6.34E-03                      E228900200024 
   5.00E+01        30.   3.54E-01   5.27E-02                      E228900200025 
   5.00E+01        40.   3.59E-01   3.46E-02                      E228900200026 
   5.00E+01        50.   3.69E-01   2.35E-02                      E228900200027 
   5.00E+01        60.   4.26E-01   5.58E-03                      E228900200028 
   5.00E+01        75.   3.47E-01   4.52E-03                      E228900200029 
   5.00E+01        90.   1.43E-01   1.65E-02                      E228900200030 
   5.00E+01       105.   8.98E-02   6.18E-03                      E228900200031 
   6.00E+01        30.   3.58E-01   5.21E-02                      E228900200032 
   6.00E+01        40.   3.97E-01   3.47E-02                      E228900200033 
   6.00E+01        50.   4.14E-01   2.33E-02                      E228900200034 
   6.00E+01        60.   4.45E-01   5.54E-03                      E228900200035 
   6.00E+01        75.   3.33E-01   4.22E-03                      E228900200036 
   6.00E+01        90.   1.50E-01   1.63E-02                      E228900200037 
   6.00E+01       105.   7.59E-02   5.94E-03                      E228900200038 
   7.00E+01        30.   3.60E-01   5.21E-02                      E228900200039 
   7.00E+01        40.   4.04E-01   3.40E-02                      E228900200040 
   7.00E+01        50.   4.13E-01   2.37E-02                      E228900200041 
   7.00E+01        60.   4.52E-01   5.52E-03                      E228900200042 
   7.00E+01        75.   2.80E-01   4.03E-03                      E228900200043 
   7.00E+01        90.   1.18E-01   1.56E-02                      E228900200044 
   7.00E+01       105.   7.46E-02   5.61E-03                      E228900200045 
   8.00E+01        30.   3.94E-01   5.34E-02                      E228900200046 
   8.00E+01        40.   3.86E-01   3.52E-02                      E228900200047 
   8.00E+01        50.   4.34E-01   2.31E-02                      E228900200048 
   8.00E+01        60.   4.20E-01   5.44E-03                      E228900200049 
   8.00E+01        75.   2.24E-01   3.67E-03                      E228900200050 
   8.00E+01        90.   9.67E-02   1.45E-02                      E228900200051 
   8.00E+01       105.   5.46E-02   4.96E-03                      E228900200052 
   9.00E+01        30.   3.29E-01   5.46E-02                      E228900200053 
