ENTRY            E2325   20111008                             E066E232500000001 
SUBENT        E2325001   20111008                             E066E232500100001 
BIB                 11         31                                 E232500100002 
TITLE      14Be(p,n)14B reaction at 69 MeV in inverse kinematics  E232500100003 
AUTHOR     (Y.Satou, T.Nakamura, Y.Kondo, N.Matsui, Y.Hashimoto,  E232500100004 
            T.Nakabayashi, T.Okumura, M.Shinohara, N.Fukuda,      E232500100005 
            T.Sugimoto, H.Otsu, Y.Togano, T.Motobayashi,          E232500100006 
            H.Sakurai, Y.Yanagisawa, N.Aoi, S.Takeuchi, T.Gomi,   E232500100007 
            M.Ishihara, S.Kawai, H.J.Ong, T.K.Onishi, S.Shimoura, E232500100008 
            M.Tamaki, T.Kobayashi, Y.Matsuda, N.Endo, M.Kitayama) E232500100009 
INSTITUTE  (3KORNSU) Department of Physics and Astronomy          E232500100010 
           (2JPNTIT) Department of Physics                        E232500100011 
           (2JPNIPC) Nishina Center                               E232500100012 
           (2JPNYOK) Department of Physics                        E232500100013 
           (2JPNTOK) Department of Physics                        E232500100014 
           (2JPNTOK) Center for Nuclear study                     E232500100015 
           (2JPNTOH) Department of Physics                        E232500100016 
REFERENCE  (J,PL/B,697,(5),459,201103)                            E232500100017 
INC-SOURCE Beam intensity is 7E3 PPS.                             E232500100018 
INC-SPECT  EN: Average energy at the target center                E232500100019 
SAMPLE     - Chemical-form of target is element.                  E232500100020 
           - Physical-form of target is liquid.                   E232500100021 
           - Target-thickness is 229 mg/cm**2.                    E232500100022 
METHOD     (EDE,TOF)                                              E232500100023 
FACILITY   (PRJFS,2JPNIPC) The radioactive beam of 14Be was       E232500100024 
                           produced from a 100 MeV/nucleon 18O    E232500100025 
                           beam, which impinged on a 6-mm-thick   E232500100026 
                           Be target at Projectile-fragment       E232500100027 
                           separator RIPS                         E232500100028 
DETECTOR   Efficiency: The neutron detection efficiency is        E232500100029 
           24.1+-0.8% for a threshold setting of 4 MeVee          E232500100030 
           (MAGSP,NAICR,MWDC,SCIN)                                E232500100031 
HISTORY    (20110405R) Received by e-mail from Y.Satou            E232500100032 
           (20110417C) Nf                                         E232500100033 
ENDBIB              31          0                                 E232500100034 
COMMON               1          3                                 E232500100035 
EN                                                                E232500100036 
MEV/A                                                             E232500100037 
 69.                                                              E232500100038 
ENDCOMMON            3          0                                 E232500100039 
ENDSUBENT           38          0                                 E232500199999 
SUBENT        E2325002   20111008                             E066E232500200001 
BIB                  6          9                                 E232500200002 
REACTION   (1-H-1(4-BE-14,N+X)5-B-13,,IPA/DE)                     E232500200003 
PART-DET   (N,5-B-13)                                             E232500200004 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and 14B      E232500200005 
           (E-RL,N+5-B-13)                                        E232500200006 
ERR-ANALYS (ERR-S) Statistical uncertainty                        E232500200007 
COMMENT    Background contributions due to window materials,      E232500200008 
           measured with an empty target, were less than 0.1      E232500200009 
           mb/MeV and were subtracted from data.                  E232500200010 
STATUS     (TABLE) Plotted in Fig.1 of J,PL/B,697,459,2011        E232500200011 
ENDBIB               9          0                                 E232500200012 
NOCOMMON             0          0                                 E232500200013 
DATA                 5        132                                 E232500200014 
ANG-CM-MIN ANG-CM-MAX E-RL       DATA       ERR-S                 E232500200015 
ADEG       ADEG       MEV        MB/MEV     MB/MEV                E232500200016 
         0.        16.       0.06     0.2862     0.0176           E232500200017 
         0.        16.       0.18     0.9404     0.0309           E232500200018 
         0.        16.        0.3     1.7248     0.0419           E232500200019 
         0.        16.       0.42     1.5091     0.0402           E232500200020 
         0.        16.       0.54     0.8852     0.0321           E232500200021 
         0.        16.       0.66     0.5979     0.0276           E232500200022 
         0.        16.       0.78     0.4370     0.0248           E232500200023 
         0.        16.        0.9     0.4547     0.0261           E232500200024 
         0.        16.       1.02     0.3914     0.0252           E232500200025 
         0.        16.       1.14     0.4012     0.0262           E232500200026 
         0.        16.       1.26     0.3550     0.0256           E232500200027 
         0.        16.       1.38     0.3750     0.0269           E232500200028 
         0.        16.        1.5     0.3506     0.0269           E232500200029 
         0.        16.       1.62     0.3368     0.0271           E232500200030 
         0.        16.       1.74     0.3619     0.0288           E232500200031 
         0.        16.       1.86     0.3556     0.0293           E232500200032 
         0.        16.       1.98     0.3522     0.0298           E232500200033 
         0.        16.        2.1     0.3284     0.0294           E232500200034 
         0.        16.       2.22     0.3101     0.0294           E232500200035 
         0.        16.       2.34     0.2767     0.0283           E232500200036 
         0.        16.       2.46     0.3251     0.0309           E232500200037 
         0.        16.       2.58     0.3375     0.0321           E232500200038 
         0.        16.        2.7     0.2846     0.0301           E232500200039 
         0.        16.       2.82     0.2540     0.0288           E232500200040 
         0.        16.       2.94     0.2377     0.0284           E232500200041 
         0.        16.       3.06     0.2589     0.0298           E232500200042 
         0.        16.       3.18     0.2628     0.0305           E232500200043 
         0.        16.        3.3     0.2155     0.0283           E232500200044 
         0.        16.       3.42     0.2648     0.0314           E232500200045 
         0.        16.       3.54     0.2116     0.0286           E232500200046 
         0.        16.       3.66     0.2269     0.0300           E232500200047 
         0.        16.       3.78     0.2686     0.0327           E232500200048 
         0.        16.        3.9     0.1697     0.0266           E232500200049 
         0.        16.       4.02     0.2102     0.0297           E232500200050 
         0.        16.       4.14     0.2236     0.0310           E232500200051 
         0.        16.       4.26     0.1733     0.0279           E232500200052 
         0.        16.       4.38     0.1391     0.0255           E232500200053 
         0.        16.        4.5     0.1502     0.0266           E232500200054 
         0.        16.       4.62     0.1367     0.0262           E232500200055 
         0.        16.       4.74     0.1205     0.0250           E232500200056 
         0.        16.       4.86     0.1717     0.0294           E232500200057 
         0.        16.       4.98     0.1247     0.0258           E232500200058 
         0.        16.        5.1     0.1296     0.0263           E232500200059 
         0.        16.       5.22     0.1744     0.0311           E232500200060 
         0.        16.       5.34     0.1218     0.0262           E232500200061 
         0.        16.       5.46     0.0938     0.0242           E232500200062 
         0.        16.       5.58     0.1091     0.0258           E232500200063 
         0.        16.        5.7     0.1651     0.0319           E232500200064 
         0.        16.       5.82     0.1158     0.0278           E232500200065 
         0.        16.       5.94     0.0899     0.0240           E232500200066 
         0.        16.       6.06     0.0783     0.0247           E232500200067 
         0.        16.       6.18     0.1385     0.0308           E232500200068 
         0.        16.        6.3     0.1176     0.0290           E232500200069 
         0.        16.       6.42     0.1900     0.0359           E232500200070 
         0.        16.       6.54     0.1304     0.0304           E232500200071 
         0.        16.       6.66     0.0795     0.0252           E232500200072 
         0.        16.       6.78     0.1098     0.0280           E232500200073 
         0.        16.        6.9     0.0650     0.0230           E232500200074 
         0.        16.       7.02     0.1342     0.0319           E232500200075 
