ENTRY            E2661   20210604                             E131E266100000001 
SUBENT        E2661001   20210604                             E131E266100100001 
BIB                 12         35                                 E266100100002 
TITLE      Role of Multichance Fission in the Description of      E266100100003 
           Fission-Fragment Mass Distributions at High Energies   E266100100004 
AUTHOR     (K.Hirose, K.Nishio, S.Tanaka, R.Leguillon, H.Makii,   E266100100005 
            I.Nishinaka, R.Orlandi, K.Tsukada, J.Smallcombe,      E266100100006 
            M.J.Vermeulen, S.Chiba, Y.Aritomo, T.Ohtsuki,         E266100100007 
            K.Nakano, S.Araki, Y.Watanabe, R.Tatsuzawa, N.Takaki, E266100100008 
            N.Tamura, S.Goto, I.Tsekhanovich, A.N.Andreyev)       E266100100009 
INSTITUTE  (2JPNJAE) Advanced Science Research Center             E266100100010 
           (2JPNKNK) Faculty of Science and Engineering           E266100100011 
           (1CANTMF)                                              E266100100012 
           (2JPNTIT) Laboratory for Advanced Nuclear Energy,      E266100100013 
                     Institute for Innovative Research            E266100100014 
           (2JPNKTO) Research Reactor Institute                   E266100100015 
           (2JPNKYU) Interdisciplinary Graduate School of         E266100100016 
                     Engineering Sciences                         E266100100017 
           (2JPNJPN) Graduate School of Engineering, Tokyo City   E266100100018 
                     University                                   E266100100019 
           (2JPNNII) Graduate School of Science and Technology    E266100100020 
           (2FR BOR)                                              E266100100021 
           (2UK YRK) Department of Physics                        E266100100022 
REFERENCE  (J,PRL,119,222501,2017)                                E266100100023 
PART-DET   (FF)                                                   E266100100024 
INC-SOURCE Beam intensity is 0.5 particle-nA.                     E266100100025 
SAMPLE     - Chemical-form of target is element.                  E266100100026 
           - Physical-form of target is solid.                    E266100100027 
           - Target-thickness is 0.08 mg/cm2.                     E266100100028 
           - Backing is nickel.                                   E266100100029 
           - Backing-thickness is 0.09 mg/cm2.                    E266100100030 
FACILITY   (VDGT,2JPNJAE)                                         E266100100031 
DETECTOR   (SI)                                                   E266100100032 
           (MWPC)                                                 E266100100033 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E266100100034 
STATUS     (TABLE) Plotted in Fig.3 of Physics Review L 119,      E266100100035 
                   222501 (2017)                                  E266100100036 
HISTORY    (20200831C) Qing Zhao                                  E266100100037 
ENDBIB              35          0                                 E266100100038 
COMMON               1          3                                 E266100100039 
EN                                                                E266100100040 
MEV                                                               E266100100041 
 157.5                                                            E266100100042 
ENDCOMMON            3          0                                 E266100100043 
ENDSUBENT           42          0                                 E266100199999 
SUBENT        E2661002   20210604                             E131E266100200001 
BIB                  2          2                                 E266100200002 
REACTION   (92-U-238(8-O-18,8-O-19+F)MASS,ISP/PRE,FY)             E266100200003 
EN-SEC     (E-EXC,92-U-237)                                       E266100200004 
ENDBIB               2          0                                 E266100200005 
NOCOMMON             0          0                                 E266100200006 
DATA                 5        200                                 E266100200007 
E-EXC-MIN  E-EXC-MAX  MASS       DATA       DATA-ERR              E266100200008 
MEV        MEV        NO-DIM     PC/FIS     PC/FIS                E266100200009 
        10.        20.       40.5  0.0000000  0.0000000           E266100200010 
        10.        20.       44.5  0.0000000  0.0000000           E266100200011 
        10.        20.       48.5  0.0000000  0.0000000           E266100200012 
        10.        20.       52.5  0.0431779  0.0305314           E266100200013 
        10.        20.       56.5  0.0431779  0.0305314           E266100200014 
        10.        20.       60.5  0.0000000  0.0000000           E266100200015 
        10.        20.       64.5  0.0431779  0.0305314           E266100200016 
        10.        20.       68.5  0.0863558  0.0431779           E266100200017 
        10.        20.       72.5  0.3454231  0.0863558           E266100200018 
        10.        20.       76.5  0.5613126  0.1100825           E266100200019 
        10.        20.       80.5  0.7772021  0.1295337           E266100200020 
        10.        20.       84.5  1.8134714  0.1978660           E266100200021 
        10.        20.       88.5  1.9430051  0.2048107           E266100200022 
        10.        20.       92.5  3.3678756  0.2696458           E266100200023 
        10.        20.       96.5  4.2314334  0.3022453           E266100200024 
        10.        20.      100.5  4.2746115  0.3037834           E266100200025 
        10.        20.      104.5  3.9291880  0.2912508           E266100200026 
        10.        20.      108.5  2.4179618  0.2284759           E266100200027 
        10.        20.      112.5  0.7340242  0.1258841           E266100200028 
        10.        20.      116.5  0.3886010  0.0915941           E266100200029 
        10.        20.      120.5  0.3886010  0.0915941           E266100200030 
        10.        20.      124.5  0.7340242  0.1258841           E266100200031 
        10.        20.      128.5  2.4179618  0.2284759           E266100200032 
        10.        20.      132.5  3.9291880  0.2912508           E266100200033 
        10.        20.      136.5  4.2746115  0.3037834           E266100200034 
        10.        20.      140.5  4.2314334  0.3022453           E266100200035 
        10.        20.      144.5  3.3678756  0.2696458           E266100200036 
        10.        20.      148.5  1.9430051  0.2048107           E266100200037 
        10.        20.      152.5  1.8134714  0.1978660           E266100200038 
        10.        20.      156.5  0.7772021  0.1295337           E266100200039 
        10.        20.      160.5  0.5613126  0.1100825           E266100200040 
        10.        20.      164.5  0.3454231  0.0863558           E266100200041 
        10.        20.      168.5  0.0863558  0.0431779           E266100200042 
        10.        20.      172.5  0.0431779  0.0305314           E266100200043 
        10.        20.      176.5  0.0000000  0.0000000           E266100200044 
        10.        20.      180.5  0.0431779  0.0305314           E266100200045 
        10.        20.      184.5  0.0431779  0.0305314           E266100200046 
        10.        20.      188.5  0.0000000  0.0000000           E266100200047 
        10.        20.      192.5  0.0000000  0.0000000           E266100200048 
        10.        20.      196.5  0.0000000  0.0000000           E266100200049 
        20.        30.       40.5  0.0000000  0.0000000           E266100200050 
        20.        30.       44.5  0.0000000  0.0000000           E266100200051 
        20.        30.       48.5  0.0297974  0.0210699           E266100200052 
        20.        30.       52.5  0.0000000  0.0000000           E266100200053 
        20.        30.       56.5  0.0893921  0.0364942           E266100200054 
        20.        30.       60.5  0.0297974  0.0210699           E266100200055 
        20.        30.       64.5  0.1191895  0.0421399           E266100200056 
