ENTRY            E2461   20150227                             E096E246100000001 
SUBENT        E2461001   20150227                             E096E246100100001 
BIB                 12         48                                 E246100100002 
TITLE      Examination of the role of the 14O(alpha, p)17F        E246100100003 
           reaction rate in type-I x-ray bursts                   E246100100004 
AUTHOR     (J.Hu, J.J.He, A.Parikh, S.W.Xu, H.Yamaguchi, D.Kahl,  E246100100005 
            P.Ma, J.Su, H.W.Wang, T.Nakao, Y.Wakabayashi,         E246100100006 
            T.Teranishi, K.I.Hahn, J.Y.Moon, H.S.Jung,            E246100100007 
            T.Hashimoto, A.A.Chen, D.Irvine, C.S.Lee, S.Kubono)   E246100100008 
INSTITUTE  (3CPRIMP) Key Laboratory of High Precision Nuclear     E246100100009 
                     Spectroscopy and Center for Nuclear Matter   E246100100010 
                     Science                                      E246100100011 
           (2JPNTOK) Center for Nuclear Study                     E246100100012 
           (2SPNUPC) Departament de Fisica i Enginyeria Nuclear,  E246100100013 
                     EUETIB                                       E246100100014 
           (2SPNSPN) Institut d'Estudis Espacials de Catalunya,   E246100100015 
                     Barcelona                                    E246100100016 
           (3CPRCPR) University of Chinese Academy of Sciences,   E246100100017 
                     Beijing                                      E246100100018 
           (3CPRAEP)                                              E246100100019 
           (3CPRNRS)                                              E246100100020 
           (2JPNIPC) Nishina Center                               E246100100021 
           (2JPNKYU) Department of Physics                        E246100100022 
           (3KORKOR) Department of Science Education, Ewha Womans E246100100023 
                     University, Seoul                            E246100100024 
           (3KORCHA) Department of Physics                        E246100100025 
           (2JPNOSA) Research Center for Nuclear Physics (RCNP)   E246100100026 
           (1CANMCM) Department of Physics & Astronomy            E246100100027 
REFERENCE  (J,PR/C,90,025803,2014)                                E246100100028 
PART-DET   (P)                                                    E246100100029 
INC-SOURCE Beam intensity is 2.5E+05 PPS.                         E246100100030 
SAMPLE     - Chemical-form of target is element.                  E246100100031 
           - Physical-form of target is gas. (600 Torr)           E246100100032 
           - Target-thickness: 300-mm-radius semicylindrical      E246100100033 
             chamber                                              E246100100034 
           - Backing-thickness: 2.5-micro meter-thick Havar foil  E246100100035 
             as an entrance window and a 25-micro meter-thick     E246100100036 
             aluminized Mylar foil as an exit window              E246100100037 
METHOD     (EDE,TTM)                                              E246100100038 
FACILITY   (ISOCY,2JPNIPC) To accelerate 16O primary beam up to   E246100100039 
                           6.6 MeV/A                              E246100100040 
           (PRJFS,2JPNTOK) 17F RI beam at Center for Nuclear      E246100100041 
                           Study                                  E246100100042 
DETECTOR   (PPAC) To measure the position and timing of the       E246100100043 
                  incoming beam                                   E246100100044 
           (TELES,SISD,PS) To identify the recoiled particles     E246100100045 
ERR-ANALYS (ERR-1) for the solid angle                            E246100100046 
HISTORY    (20140924C) S.I                                        E246100100047 
           (20140930R) Received by e-mail from J. Hu              E246100100048 
           (20150129R) Received by e-mail from J. Hu              E246100100049 
           (20150227A) MA: TTM added in METHOD                    E246100100050 
ENDBIB              48          0                                 E246100100051 
COMMON               1          3                                 E246100100052 
ERR-1                                                             E246100100053 
PER-CENT                                                          E246100100054 
 3.                                                               E246100100055 
ENDCOMMON            3          0                                 E246100100056 
ENDSUBENT           55          0                                 E246100199999 
SUBENT        E2461002   20150205                             E094E246100200001 
BIB                  4          7                                 E246100200002 
REACTION   ((1-H-1(9-F-17,EL)1-H-1,,DA)=                          E246100200003 
           (9-F-17(P,EL)9-F-17,,DA))                              E246100200004 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and proton   E246100200005 
ERR-ANALYS (ERR-T) Total uncertainty                              E246100200006 
           (ERR-SYS) Total systematic uncertainty                 E246100200007 
           (ERR-S) Statistical uncertainty                        E246100200008 
STATUS     (TABLE) Plotted in Fig.3 (a) of J,PR-C,90,025803,2014  E246100200009 
ENDBIB               7          0                                 E246100200010 
COMMON               2          3                                 E246100200011 
ANG-CM     ANG-ERR                                                E246100200012 
ADEG       ADEG                                                   E246100200013 
 155.       18.                                                   E246100200014 
ENDCOMMON            3          0                                 E246100200015 
DATA                 5         83                                 E246100200016 
EN-CM      DATA-CM    ERR-T      ERR-S      ERR-SYS               E246100200017 
MEV        MB/SR      MB/SR      MB/SR      MB/SR                 E246100200018 
       1.81      44.95      1.527      0.333      1.490           E246100200019 
       1.83      45.37      1.531      0.341      1.493           E246100200020 
       1.85      44.64      1.498      0.343      1.458           E246100200021 
       1.87      45.76      1.526      0.353      1.484           E246100200022 
       1.89      45.48      1.507      0.358      1.464           E246100200023 
       1.91      44.53      1.466      0.354      1.423           E246100200024 
       1.93      44.58      1.459      0.361      1.414           E246100200025 
       1.95      44.33      1.443      0.366      1.396           E246100200026 
       1.97      44.76      1.447      0.372      1.399           E246100200027 
       1.99      42.87      1.380      0.370      1.329           E246100200028 
       2.01      43.68      1.396      0.378      1.344           E246100200029 
       2.03      43.36      1.378      0.382      1.324           E246100200030 
       2.05      43.11      1.362      0.387      1.306           E246100200031 
       2.07      42.55      1.337      0.390      1.279           E246100200032 
       2.09      42.32      1.322      0.394      1.262           E246100200033 
       2.11      42.48      1.319      0.401      1.257           E246100200034 
       2.13      40.86      1.263      0.397      1.199           E246100200035 
       2.15      41.16      1.265      0.405      1.198           E246100200036 
       2.17      39.61      1.212      0.401      1.144           E246100200037 
       2.19       39.4      1.199      0.407      1.128           E246100200038 
       2.21      39.41      1.192      0.411      1.119           E246100200039 
       2.23      40.45      1.215      0.421      1.139           E246100200040 
       2.25      41.14      1.227      0.431      1.149           E246100200041 
       2.27      41.46      1.229      0.439      1.148           E246100200042 
       2.29      41.97      1.236      0.446      1.152           E246100200043 
       2.31      41.29      1.210      0.449      1.124           E246100200044 
       2.33      40.95      1.193      0.451      1.105           E246100200045 
       2.35      41.23      1.194      0.459      1.103           E246100200046 
       2.37      41.93      1.205      0.467      1.111           E246100200047 
       2.39      42.32      1.210      0.477      1.112           E246100200048 
       2.41      43.98      1.247      0.494      1.145           E246100200049 
       2.43      43.83      1.234      0.495      1.131           E246100200050 
       2.45       44.7      1.250      0.507      1.142           E246100200051 
       2.47      45.13      1.254      0.516      1.143           E246100200052 
       2.49       44.4      1.228      0.517      1.114           E246100200053 
       2.51      44.38      1.220      0.522      1.103           E246100200054 
       2.53       44.3      1.212      0.529      1.090           E246100200055 
       2.55      43.04      1.172      0.524      1.049           E246100200056 
       2.57       44.3      1.197      0.538      1.069           E246100200057 
       2.59      44.17      1.187      0.544      1.056           E246100200058 
       2.61       44.9      1.200      0.557      1.062           E246100200059 
       2.63       45.4      1.204      0.564      1.063           E246100200060 
       2.65      44.74      1.182      0.566      1.037           E246100200061 
       2.67      44.76      1.175      0.570      1.027           E246100200062 
       2.69      45.64      1.187      0.579      1.037           E246100200063 
       2.71      45.53      1.179      0.585      1.023           E246100200064 
       2.73      45.94      1.182      0.594      1.022           E246100200065 
       2.75      46.65      1.193      0.608      1.026           E246100200066 
       2.77      46.03      1.171      0.606      1.002           E246100200067 
       2.79      48.32      1.216      0.630      1.040           E246100200068 
       2.81      47.19      1.184      0.627      1.005           E246100200069 
       2.83      48.12      1.196      0.636      1.013           E246100200070 
       2.85      50.96      1.252      0.665      1.061           E246100200071 
       2.87      52.19      1.270      0.678      1.074           E246100200072 
       2.89      52.24      1.266      0.688      1.063           E246100200073 
       2.91      56.13      1.338      0.719      1.129           E246100200074 
       2.93       57.5      1.360      0.737      1.142           E246100200075 
       2.95       58.9      1.381      0.755      1.156           E246100200076 
       2.97      62.78      1.449      0.785      1.218           E246100200077 
       2.99      67.59      1.536      0.826      1.295           E246100200078 
       3.01      72.51      1.620      0.860      1.372           E246100200079 
       3.03      78.05      1.717      0.907      1.458           E246100200080 
       3.05      84.77      1.830      0.950      1.564           E246100200081 
       3.07      91.36      1.943      1.003      1.664           E246100200082 
       3.09      95.03      1.993      1.028      1.708           E246100200083 
       3.11      95.12      1.982      1.041      1.687           E246100200084 
       3.13      83.74      1.763      0.980      1.465           E246100200085 
       3.15      71.17      1.526      0.906      1.229           E246100200086 
       3.17      58.77      1.295      0.822      1.001           E246100200087 
       3.19      47.86      1.093      0.741      0.803           E246100200088 
       3.21      41.52      0.975      0.692      0.687           E246100200089 
       3.23       38.4      0.914      0.666      0.626           E246100200090 
