ENTRY            E2631   20201027                             E130E263100000001 
SUBENT        E2631001   20201027                             E130E263100100001 
BIB                 11         27                                 E263100100002 
TITLE      Measurement of Neutron Production Doubledifferential   E263100100003 
           Cross-sections on Carbon Bombarded with 430            E263100100004 
           MeV/Nucleon Carbon Ions                                E263100100005 
AUTHOR     (Y.Itashiki, Y.Imahayashi, N.Shigyo, T.Uozumi, D.Satoh,E263100100006 
            T.Kajimoto, T.Sanami, Y.Koba, N.Matsufuji)            E263100100007 
INSTITUTE  (2JPNKYU) Department of Applied Quantum Physics and    E263100100008 
                     Nuclear Engineering,                         E263100100009 
           (2JPNJAE) Nuclear Science and Engineering Center       E263100100010 
           (2JPNHIR) Division of Energy and Environmental         E263100100011 
                     Engineering                                  E263100100012 
           (2JPNKEK) Radiation Science Center                     E263100100013 
           (2JPNIRS)                                              E263100100014 
REFERENCE  (J,RPR,41,344,2016)                                    E263100100015 
PART-DET   (N)                                                    E263100100016 
INC-SOURCE Beam intensity: 100000 particles per spill             E263100100017 
SAMPLE     - Target is natural.                                   E263100100018 
           - Chemical-form of target is element.                  E263100100019 
           - Physical-form of target is solid.                    E263100100020 
METHOD     (TOF)                                                  E263100100021 
FACILITY   (SYNCH,2JPNIRS) PH2 beam line of HIMAC facility        E263100100022 
DETECTOR   Calibration: Light outputs of the neutron detectors    E263100100023 
           were calibrated with gamma-ray sources as 241Am,       E263100100024 
           133Ba, 137Cs, 60Co, and 241Am-Be.                      E263100100025 
           (SCIN) NE213 liquid organic scintillators              E263100100026 
           (SCIN) NE102A plastic scintillator                     E263100100027 
HISTORY    (20200803C) Qing Zhao                                  E263100100028 
           (20200804R) Received by e-mail from N.Shigyo           E263100100029 
ENDBIB              27          0                                 E263100100030 
COMMON               1          3                                 E263100100031 
EN                                                                E263100100032 
MEV/A                                                             E263100100033 
 430.                                                             E263100100034 
ENDCOMMON            3          0                                 E263100100035 
ENDSUBENT           34          0                                 E263100199999 
SUBENT        E2631002   20201027                             E130E263100200001 
BIB                  4          6                                 E263100200002 
REACTION   (6-C-0(6-C-12,X)0-NN-1,,DA/DE)                         E263100200003 
EN-SEC     ANG is polar angle (lab.) between beam and neutron     E263100200004 
           (E,N)                                                  E263100200005 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E263100200006 
STATUS     (TABLE) Plotted in Fig.7 of J. Radiat. Prot. Res. 41.  E263100200007 
                   344(2016)                                      E263100200008 
ENDBIB               6          0                                 E263100200009 
NOCOMMON             0          0                                 E263100200010 
DATA                 4        161                                 E263100200011 
ANG        E          DATA       DATA-ERR                         E263100200012 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        E263100200013 
        15.   1.42E+00   6.89E+00   5.34E+00                      E263100200014 
        15.   1.79E+00   6.62E+00   4.46E+00                      E263100200015 
        15.   2.25E+00   9.78E+00   5.31E+00                      E263100200016 
        15.   2.83E+00   6.13E+00   3.74E+00                      E263100200017 
        15.   3.57E+00   2.59E+00   2.18E+00                      E263100200018 
        15.   4.50E+00   4.40E+00   2.73E+00                      E263100200019 
        15.   5.66E+00   3.56E+00   1.81E+00                      E263100200020 
        15.   7.12E+00   2.56E+00   1.36E+00                      E263100200021 
        15.   8.97E+00   3.61E+00   1.68E+00                      E263100200022 
        15.   1.13E+01   2.15E+00   1.13E+00                      E263100200023 
        15.   1.42E+01   2.18E+00   1.12E+00                      E263100200024 
        15.   1.79E+01   2.20E+00   1.12E+00                      E263100200025 
        15.   2.25E+01   2.19E+00   1.06E+00                      E263100200026 
        15.   2.84E+01   2.50E+00   1.11E+00                      E263100200027 
        15.   3.57E+01   1.83E+00   8.60E-01                      E263100200028 
        15.   4.50E+01   1.80E+00   8.21E-01                      E263100200029 
        15.   5.66E+01   2.21E+00   9.43E-01                      E263100200030 
        15.   7.13E+01   2.31E+00   9.66E-01                      E263100200031 
        15.   8.97E+01   2.58E+00   1.05E+00                      E263100200032 
        15.   1.13E+02   2.39E+00   9.86E-01                      E263100200033 
        15.   1.42E+02   3.28E+00   1.29E+00                      E263100200034 
        15.   1.79E+02   4.24E+00   1.61E+00                      E263100200035 
        15.   2.25E+02   3.93E+00   1.48E+00                      E263100200036 
        15.   2.84E+02   4.26E+00   1.58E+00                      E263100200037 
        15.   3.57E+02   3.80E+00   1.40E+00                      E263100200038 
        15.   4.50E+02   1.43E+00   5.37E-01                      E263100200039 
        15.   5.66E+02   2.76E-01   1.10E-01                      E263100200040 
        15.   7.13E+02   7.67E-02   3.53E-02                      E263100200041 
        30.   1.13E+00   4.73E+00   4.82E+00                      E263100200042 
        30.   1.42E+00   4.78E+00   3.52E+00                      E263100200043 
        30.   1.79E+00   5.60E+00   3.61E+00                      E263100200044 
        30.   2.25E+00   4.49E+00   2.88E+00                      E263100200045 
        30.   2.83E+00   3.29E+00   2.31E+00                      E263100200046 
        30.   3.57E+00   3.76E+00   2.37E+00                      E263100200047 
        30.   4.50E+00   4.22E+00   2.40E+00                      E263100200048 
        30.   5.66E+00   3.82E+00   1.81E+00                      E263100200049 
        30.   7.12E+00   3.26E+00   1.59E+00                      E263100200050 
