ENTRY            E1986   20130309                             E074E198600000001 
SUBENT        E1986001   20130309                             E074E198600100001 
BIB                 15         42                                 E198600100002 
TITLE      Measurement of neutron emission spectra in Li(d,xn)    E198600100003 
           reaction with thick and thin targets for 40-MeV        E198600100004 
           deuterons                                              E198600100005 
AUTHOR     (M.Hagiwara, T.Itoga, N.Kawata, N.Hirabayashi, T.Oishi,E198600100006 
            T.Yamauchi, M.Baba, M.Sugimoto, T.Muroga)             E198600100007 
INSTITUTE  (2JPNTOH) Cyclotron and Radioisotope Center            E198600100008 
           (2JPNJAE)                                              E198600100009 
           (2JPNNIF)                                              E198600100010 
REFERENCE  (J,FST,48,(3),1320,200511)                             E198600100011 
PART-DET   (N)                                                    E198600100012 
INC-SOURCE Beam intensity is 0.1 to 20 nA.                        E198600100013 
SAMPLE     - Target is natural.                                   E198600100014 
           - Chemical-form of target is element.                  E198600100015 
           - Physical-form of target is solid.                    E198600100016 
           - Backing-thickness: 30-mm diameter x 21.4-mm          E198600100017 
             thickness (thick target) and 30-mm diameter x        E198600100018 
             0.86-mm thickness (thin target)                      E198600100019 
METHOD     (TOF) Flight path of 11/3.45 m for high/low energy     E198600100020 
                 region                                           E198600100021 
FACILITY   (ISOCY,2JPNTOH) AVF cyclotron at Cyclotron and         E198600100022 
                           Radioisotope Center                    E198600100023 
DETECTOR   Solid angle of detector is less than 0.17 msr.         E198600100024 
           (SCIN) To detect neutrons emitted from targets (NE213) E198600100025 
CORRECTION Correction were performed for the effects of (a)       E198600100026 
           neutron attenuation in target and (b) neutron          E198600100027 
           attenuation in the air and the wall of target chamber. E198600100028 
ERR-ANALYS (ERR-1) Uncertainty of detector efficiency with the    E198600100029 
                   SCINFUL-R code                                 E198600100030 
           (ERR-2,,10.) Maximum uncertainty of attenuation in     E198600100031 
                        target (larger at backward angles and     E198600100032 
                        ranged up to 20% at low energy (<8 MeV)   E198600100033 
                        and generally several percent for the air E198600100034 
                        and chamber wall.) (<10%)                 E198600100035 
           (ERR-S,,10.) Maximum statistical uncertainty (larger   E198600100036 
                        than 20% at the highest energy (>40 MeV)) E198600100037 
                        (<10%)                                    E198600100038 
ADD-RES    (N-SPC) Neutron energy spectra from thin lithium       E198600100039 
                   target (Fig.10, p1326 in reference)            E198600100040 
STATUS     (APRVD) Proofread by Masayuki Hagiwara (2006.05.31)    E198600100041 
HISTORY    (20060530R) On. Received by e-mail from M.Hagiwara     E198600100042 
           (20060531C) Kc + On                                    E198600100043 
           (20130205A) MA. 004: REL-REF corrected                 E198600100044 
ENDBIB              42          0                                 E198600100045 
COMMON               1          3                                 E198600100046 
ERR-1                                                             E198600100047 
PER-CENT                                                          E198600100048 
 6.                                                               E198600100049 
ENDCOMMON            3          0                                 E198600100050 
ENDSUBENT           49          0                                 E198600199999 
SUBENT        E1986002   20070208                             E042E198600200001 
BIB                  5         13                                 E198600200002 
REL-REF    (A,,M.J.Saltmarsh+,J,NIM,145,81,1977)                  E198600200003 
           Good agreement with the present data on the whole up   E198600200004 
           to 40 MeV, but their data at 0 deg are rather smaller  E198600200005 
           than the present data and a little bit larger at other E198600200006 
           angles except for the data at 45 deg.                  E198600200007 
REACTION   (3-LI-0(D,X)0-NN-1,,TTY/PY/DA/DE)                      E198600200008 
EN-SEC     ANG is polar angle between beam and neutron in         E198600200009 
           laboratory system                                      E198600200010 
           (E,N)                                                  E198600200011 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes McDeLi,   E198600200012 
                  McDeLicious and MCNPX)                          E198600200013 
STATUS     (TABLE) Data (Fig.5, p1324 in reference) received by   E198600200014 
                   e-mail from M.Hagiwara (2006.05.30)            E198600200015 
ENDBIB              13          0                                 E198600200016 
COMMON               2          3                                 E198600200017 
EN         ANG-RSL                                                E198600200018 
MEV        ADEG                                                   E198600200019 
 40.        0.5                                                   E198600200020 
ENDCOMMON            3          0                                 E198600200021 
DATA                 5        769                                 E198600200022 
ANG        E          E-ERR      DATA       ERR-T                 E198600200023 
ADEG       MEV        MEV        P/MEVMUCSR P/MEVMUCSR            E198600200024 
 0.         1.          1.341E-02  8.225E+09  1.266E+09           E198600200025 
 0.         1.1         1.526E-02  8.081E+09  1.312E+09           E198600200026 
 0.         1.2         1.719E-02  7.603E+09  1.310E+09           E198600200027 
 0.         1.3         1.918E-02  7.815E+09  1.444E+09           E198600200028 
 0.         1.4         2.125E-02  7.238E+09  1.265E+09           E198600200029 
 0.         1.5         2.338E-02  7.608E+09  1.287E+09           E198600200030 
 0.         1.6         2.558E-02  7.272E+09  1.183E+09           E198600200031 
 0.         1.7         2.784E-02  7.212E+09  1.149E+09           E198600200032 
 0.         1.8         3.017E-02  7.053E+09  1.103E+09           E198600200033 
 0.         1.9         3.255E-02  7.314E+09  1.120E+09           E198600200034 
 0.         2.          3.499E-02  7.024E+09  1.060E+09           E198600200035 
 0.         2.1         3.750E-02  6.934E+09  1.034E+09           E198600200036 
 0.         2.2         4.005E-02  7.099E+09  1.040E+09           E198600200037 
 0.         2.3         4.267E-02  6.977E+09  1.006E+09           E198600200038 
 0.         2.4         4.533E-02  6.864E+09  9.769E+08           E198600200039 
 0.         2.5         4.805E-02  6.668E+09  9.383E+08           E198600200040 
 0.         2.6         5.082E-02  7.120E+09  9.865E+08           E198600200041 
 0.         2.7         5.365E-02  6.701E+09  9.210E+08           E198600200042 
 0.         2.8         5.652E-02  6.723E+09  9.155E+08           E198600200043 
 0.         2.9         5.944E-02  6.517E+09  8.778E+08           E198600200044 
 0.         3.          6.241E-02  6.569E+09  8.742E+08           E198600200045 
 0.         3.1         6.543E-02  6.825E+09  8.974E+08           E198600200046 
 0.         3.2         6.850E-02  7.422E+09  9.636E+08           E198600200047 
 0.         3.3         7.161E-02  6.888E+09  8.896E+08           E198600200048 
 0.         3.4         7.477E-02  7.181E+09  9.181E+08           E198600200049 
 0.         3.5         7.797E-02  7.180E+09  9.101E+08           E198600200050 
 0.         3.6         8.122E-02  7.225E+09  9.086E+08           E198600200051 
 0.         3.7         8.451E-02  7.566E+09  9.427E+08           E198600200052 
 0.         3.8         8.785E-02  7.511E+09  9.298E+08           E198600200053 
 0.         3.9         9.123E-02  7.533E+09  9.260E+08           E198600200054 
 0.         4.          9.465E-02  7.699E+09  9.386E+08           E198600200055 
 0.         4.1         9.811E-02  7.604E+09  9.225E+08           E198600200056 
 0.         4.2         1.016E-01  6.777E+09  8.228E+08           E198600200057 
 0.         4.3         1.052E-01  7.537E+09  9.036E+08           E198600200058 
 0.         4.4         1.087E-01  7.544E+09  8.994E+08           E198600200059 
 0.         4.5         1.124E-01  7.112E+09  8.464E+08           E198600200060 
 0.         4.6         1.160E-01  7.295E+09  8.629E+08           E198600200061 
 0.         4.7         1.197E-01  7.773E+09  9.117E+08           E198600200062 
 0.         4.8         1.235E-01  7.355E+09  8.624E+08           E198600200063 
 0.         4.9         1.273E-01  7.402E+09  8.652E+08           E198600200064 
 0.         5.          1.311E-01  6.902E+09  7.551E+08           E198600200065 
 0.         6.          1.713E-01  7.903E+09  8.614E+08           E198600200066 
 0.         7.          9.243E-02  1.182E+10  1.271E+09           E198600200067 
 0.         8.          1.122E-01  1.474E+10  1.576E+09           E198600200068 
 0.         9.          1.332E-01  1.613E+10  1.716E+09           E198600200069 
 0.         10.         1.553E-01  1.821E+10  1.926E+09           E198600200070 
 0.         11.         1.786E-01  1.971E+10  2.073E+09           E198600200071 
 0.         12.         2.030E-01  2.185E+10  2.290E+09           E198600200072 
 0.         13.         2.284E-01  2.377E+10  2.478E+09           E198600200073 
 0.         14.         2.549E-01  2.507E+10  2.601E+09           E198600200074 
 0.         15.         2.823E-01  2.562E+10  2.646E+09           E198600200075 
 0.         16.         3.107E-01  2.560E+10  2.634E+09           E198600200076 
 0.         17.         3.399E-01  2.580E+10  2.644E+09           E198600200077 
 0.         18.         3.701E-01  2.496E+10  2.548E+09           E198600200078 
 0.         19.         4.012E-01  2.363E+10  2.403E+09           E198600200079 
