ENTRY            E2723   20220622                             E135E272300000001 
SUBENT        E2723001   20220622                             E135E272300100001 
BIB                 12         17                                 E272300100002 
TITLE      Measurement of neutron energy spectra of 345 MeV/u     E272300100003 
           238U incidence on a copper target                      E272300100004 
AUTHOR     (K.Sugihara, N.Shigyo, A.Akashio, K.Tanaka)            E272300100005 
INSTITUTE  (2JPNKYU,2JPNIPC)                                      E272300100006 
REFERENCE  (J,NIM/B,512,102,2022)                                 E272300100007 
PART-DET   (N)                                                    E272300100008 
INC-SOURCE Beam intensity is 1000000 PPS.                         E272300100009 
SAMPLE     - Chemical-form of target is element.                  E272300100010 
           - Physical-form of target is solid.                    E272300100011 
           - Target-thickness: 10 mm thick                        E272300100012 
METHOD     (TOF)                                                  E272300100013 
FACILITY   (CYCLO,2JPNIPC)                                        E272300100014 
DETECTOR   (SCIN) NE213 liquid organic scintillators              E272300100015 
ERR-ANALYS (ERR-1) The uncertainty in the number of beam          E272300100016 
                   particles                                      E272300100017 
HISTORY    (20220225C) S.Shin                                     E272300100018 
           (20220413R) Received by email from Kenta Sugihara      E272300100019 
ENDBIB              17          0                                 E272300100020 
COMMON               2          3                                 E272300100021 
EN         ERR-1                                                  E272300100022 
MEV/A      PER-CENT                                               E272300100023 
 345.       5.                                                    E272300100024 
ENDCOMMON            3          0                                 E272300100025 
ENDSUBENT           24          0                                 E272300199999 
SUBENT        E2723002   20220622                             E135E272300200001 
BIB                  4          8                                 E272300200002 
REACTION   (29-CU-0(92-U-238,X)0-NN-1,,PY/DA/DE,,TT)              E272300200003 
EN-SEC     ANG is polar angle (lab.) between beam and neutron     E272300200004 
           (E,N)                                                  E272300200005 
ERR-ANALYS (DATA-ERR) statistical uncertainty and systematic      E272300200006 
                      uncertainty (number of incident ions and    E272300200007 
                      neutron detection efficiency)               E272300200008 
STATUS     (TABLE) Plotted in Fig.8 of Nucl. Inst. Methods B 512  E272300200009 
                   (2022) 102                                     E272300200010 
ENDBIB               8          0                                 E272300200011 
NOCOMMON             0          0                                 E272300200012 
DATA                 5        120                                 E272300200013 
ANG        E-MIN      E-MAX      DATA       DATA-ERR              E272300200014 
ADEG       MEV        MEV        P/IN/MEVSR P/IN/MEVSR            E272300200015 
         0.   1.00E+00   1.26E+00   0.00E+00   0.00E+00           E272300200016 
         0.   1.26E+00   1.58E+00   0.00E+00   0.00E+00           E272300200017 
         0.   1.58E+00   2.00E+00   0.00E+00   0.00E+00           E272300200018 
         0.   2.00E+00   2.51E+00   0.00E+00   0.00E+00           E272300200019 
         0.   2.51E+00   3.16E+00   0.00E+00   0.00E+00           E272300200020 
         0.   3.16E+00   3.98E+00   0.00E+00   0.00E+00           E272300200021 
         0.   3.98E+00   5.01E+00   0.00E+00   0.00E+00           E272300200022 
         0.   5.01E+00   6.31E+00   0.00E+00   0.00E+00           E272300200023 
         0.   6.31E+00   7.94E+00   0.00E+00   0.00E+00           E272300200024 
         0.   7.94E+00   1.00E+01   0.00E+00   0.00E+00           E272300200025 
         0.   1.00E+01   1.26E+01   0.00E+00   0.00E+00           E272300200026 
         0.   1.26E+01   1.58E+01   0.00E+00   0.00E+00           E272300200027 
         0.   1.58E+01   2.00E+01   0.00E+00   0.00E+00           E272300200028 
         0.   2.00E+01   2.51E+01   0.00E+00   0.00E+00           E272300200029 
         0.   2.51E+01   3.16E+01   0.00E+00   0.00E+00           E272300200030 
         0.   3.16E+01   3.98E+01   0.00E+00   0.00E+00           E272300200031 
         0.   3.98E+01   5.01E+01   0.00E+00   0.00E+00           E272300200032 
         0.   5.01E+01   6.31E+01   0.00E+00   0.00E+00           E272300200033 
         0.   6.31E+01   7.94E+01   0.00E+00   0.00E+00           E272300200034 
         0.   7.94E+01   1.00E+02   0.00E+00   0.00E+00           E272300200035 
         0.   1.00E+02   1.26E+02   0.00E+00   0.00E+00           E272300200036 
         0.   1.26E+02   1.58E+02   1.04E-01   1.67E-02           E272300200037 
         0.   1.58E+02   2.00E+02   2.24E-01   3.57E-02           E272300200038 
         0.   2.00E+02   2.51E+02   2.78E-01   4.42E-02           E272300200039 
         0.   2.51E+02   3.16E+02   2.89E-01   4.58E-02           E272300200040 
         0.   3.16E+02   3.98E+02   7.73E-02   1.23E-02           E272300200041 
