ENTRY            E2089   20190301                             E122E208900000001 
SUBENT        E2089001   20190301                             E122E208900100001 
BIB                 11         26                                 E208900100002 
TITLE      Role of effective distance in the fission mechanism    E208900100003 
           study by the double-energy measurement for uranium     E208900100004 
           isotopes                                               E208900100005 
AUTHOR     (H.Baba, T.Saito, N.Takahashi, A.Yokoyama, T.Miyauchi, E208900100006 
            S.Mori, D.Yano, T.Hakoda, K.Takamiya, K.Nakanishi,    E208900100007 
            Y.Nakagome)                                           E208900100008 
INSTITUTE  (2JPNOSA) Department of Chemistry                      E208900100009 
           (2JPNKTO) Research Reactor Institute                   E208900100010 
REFERENCE  (J,NST,34,871,1997)                                    E208900100011 
PART-DET   (FF)                                                   E208900100012 
SAMPLE     - Chemical-form of target: UF4                         E208900100013 
           - Physical-form of target is solid.                    E208900100014 
           - Target-thickness is 0.0834 mg/cm2.                   E208900100015 
           - Backing is carbon.                                   E208900100016 
           - Backing-thickness is about 0.02 mg/cm2.              E208900100017 
           (92-U-238,ENR=0.993)                                   E208900100018 
METHOD     (COINC) Detect fission fragment and fission fragment   E208900100019 
                   in coincidence.                                E208900100020 
FACILITY   (VDGT,2JPNJAE)                                         E208900100021 
DETECTOR   (SIBAR) To detect fission fragments                    E208900100022 
REL-REF    (O,23014001,H.Baba+,J,NST,34,871,1997)                 E208900100023 
            (n,f) data of this work                               E208900100024 
HISTORY    (20071117C) On + TA                                    E208900100025 
           (20190114A) Tada. +Jagjit Singh. Data heading from     E208900100026 
                       DATA-ERR to MISC and reaction code for II  E208900100027 
                       reaction is updated.                       E208900100028 
ENDBIB              26          0                                 E208900100029 
COMMON               1          3                                 E208900100030 
EN                                                                E208900100031 
MEV                                                               E208900100032 
 10.6                                                             E208900100033 
ENDCOMMON            3          0                                 E208900100034 
ENDSUBENT           33          0                                 E208900199999 
SUBENT        E2089002   20190301                             E122E208900200001 
BIB                  6         11                                 E208900200002 
REACTION  1(92-U-238(P,F)MASS,PRE,KE)                             E208900200003 
          2(92-U-238(P,F)MASS,PRE,KE,LF+HF)                       E208900200004 
           Total kinetic energy                                   E208900200005 
MISC-COL   (MISC) Dispersion of kinetic energy                    E208900200006 
COMMENT    On the assumption that pre-fission neutron number of   E208900200007 
           0.8                                                    E208900200008 
REL-REF    (R,O0809000,M.Strecker+,J,PR/C,41,2172,1990)           E208900200009 
           Pre-fission neutron number (0.8)                       E208900200010 
STATUS     (TABLE) Taken from Table 2, p877 of reference          E208900200011 
HISTORY    (20190114A) Tada. +Jagjit. REACTION: SF6-SF7 are       E208900200012 
                       corrected. DATA-ERR -> MISC                E208900200013 
ENDBIB              11          0                                 E208900200014 
NOCOMMON             0          0                                 E208900200015 
DATA                 5         94                                 E208900200016 
MASS       DATA      1MISC      1DATA      2MISC      2           E208900200017 
NO-DIM     MEV        MEV        MEV        MEV                   E208900200018 
        71.       97.7        4.0      139.3        5.2           E208900200019 
        72.       96.7        5.2      138.3        7.6           E208900200020 
        73.      106.0        2.9      153.3        4.2           E208900200021 
        74.      104.7        3.0      151.5        4.4           E208900200022 
        75.       99.9        8.2      145.5       12.0           E208900200023 
        76.       98.5        6.9      144.5        9.9           E208900200024 
        77.      103.4        3.3      152.8        4.9           E208900200025 
        78.      102.7        7.7      152.7       11.5           E208900200026 
        79.      104.4        5.0      156.0        7.5           E208900200027 
        80.      104.5        6.3      157.3        9.5           E208900200028 
        81.      105.0        5.8      159.1        8.7           E208900200029 
        82.      105.2        5.7      160.3        8.6           E208900200030 
        83.      104.7        5.1      160.6        7.8           E208900200031 
        84.      104.7        4.9      161.7        7.5           E208900200032 
        85.      105.1        5.1      163.4        7.9           E208900200033 
        86.      104.6        5.0      163.7        7.8           E208900200034 
        87.      104.8        5.2      165.1        8.2           E208900200035 
        88.      104.7        5.1      165.9        8.1           E208900200036 
        89.      104.4        5.0      166.6        8.0           E208900200037 
        90.      104.0        5.2      167.1        8.3           E208900200038 
        91.      104.0        5.0      168.1        8.1           E208900200039 
        92.      103.6        5.0      168.7        8.2           E208900200040 
        93.      103.4        5.2      169.5        8.4           E208900200041 
        94.      103.1        5.1      170.3        8.5           E208900200042 
        95.      102.9        5.2      171.1        8.6           E208900200043 
        96.      102.7        5.3      171.9        8.9           E208900200044 
        97.      102.4        5.4      172.7        9.1           E208900200045 
        98.      102.2        5.4      173.5        9.2           E208900200046 
        99.      102.0        5.6      174.5        9.6           E208900200047 
       100.      101.7        5.7      175.1        9.9           E208900200048 
       101.      101.3        5.8      175.7       10.1           E208900200049 
       102.      100.9        6.0      176.4       10.5           E208900200050 
       103.      100.6        6.0      177.0       10.5           E208900200051 
       104.       99.8        6.2      177.0       11.0           E208900200052 
       105.       99.2        6.3      177.3       11.3           E208900200053 
       106.       98.4        6.6      177.1       11.8           E208900200054 
       107.       97.1        6.7      176.2       12.1           E208900200055 
       108.       96.0        6.7      175.5       12.2           E208900200056 
       109.       94.6        6.9      174.2       12.7           E208900200057 
       110.       92.8        6.8      172.3       12.6           E208900200058 
       111.       91.1        6.5      170.4       12.2           E208900200059 
       112.       89.4        6.4      168.6       12.0           E208900200060 
       113.       87.9        5.9      167.2       11.2           E208900200061 
       114.       86.4        5.4      165.6       10.3           E208900200062 
       115.       85.6        5.2      165.4        9.9           E208900200063 
       116.       84.5        5.1      164.6        9.9           E208900200064 
       117.       83.6        4.7      164.1        9.2           E208900200065 
       118.       82.8        4.9      164.0        9.6           E208900200066 
       119.       81.9        4.6      163.5        9.2           E208900200067 
       120.       81.3        4.7      163.7        9.4           E208900200068 
       121.       80.9        4.7      164.3        9.5           E208900200069 
       122.       80.4        4.6      164.7        9.5           E208900200070 
       123.       79.7        4.9      164.6       10.1           E208900200071 
       124.       79.4        4.8      165.5        9.9           E208900200072 
       125.       79.2        5.2      166.5       11.0           E208900200073 
       126.       79.2        5.5      168.0       11.6           E208900200074 
       127.       79.1        5.7      169.3       12.1           E208900200075 
       128.       79.5        5.8      171.7       12.4           E208900200076 
       129.       79.6        5.8      173.4       12.7           E208900200077 
       130.       79.5        5.6      174.9       12.3           E208900200078 
       131.       79.3        5.5      176.0       12.1           E208900200079 
       132.       78.9        5.4      176.7       12.1           E208900200080 
       133.       78.4        5.1      177.4       11.4           E208900200081 
       134.       77.6        4.9      177.2       11.2           E208900200082 
       135.       76.8        4.6      177.1       10.5           E208900200083 
       136.       75.9        4.6      176.7       10.6           E208900200084 
       137.       74.8        4.3      175.9       10.2           E208900200085 
       138.       73.9        4.2      175.5       10.0           E208900200086 
       139.       72.9        4.0      174.7        9.7           E208900200087 
       140.       71.8        3.9      173.9        9.4           E208900200088 
       141.       70.7        3.7      173.1        9.1           E208900200089 
       142.       69.6        3.7      172.2        9.0           E208900200090 
       143.       68.6        3.5      171.4        8.6           E208900200091 
       144.       67.5        3.4      170.5        8.5           E208900200092 
       145.       66.6        3.3      169.8        8.4           E208900200093 
       146.       65.6        3.2      169.1        8.3           E208900200094 
       147.       64.6        3.2      168.4        8.2           E208900200095 
       148.       63.5        3.1      167.5        8.2           E208900200096 
       149.       62.6        3.0      166.8        8.1           E208900200097 
       150.       61.7        3.0      166.3        8.1           E208900200098 
       151.       60.7        3.0      165.5        8.1           E208900200099 
       152.       59.5        2.9      164.2        8.0           E208900200100 
       153.       58.6        2.9      163.4        8.0           E208900200101 
       154.       57.6        2.7      162.6        7.6           E208900200102 
       155.       56.3        2.7      160.9        7.7           E208900200103 
       156.       55.5        2.9      160.5        8.4           E208900200104 
       157.       54.5        3.1      159.4        8.9           E208900200105 
       158.       53.5        2.8      158.6        7.9           E208900200106 
       159.       52.1        3.2      156.3        9.6           E208900200107 
       160.       50.9        3.4      154.5       10.4           E208900200108 
       161.       49.7        2.3      152.9        6.9           E208900200109 
       162.       47.9        2.4      149.2        7.1           E208900200110 
       163.       45.6        4.4      143.7       13.4           E208900200111 
       164.       46.3        3.2      147.7       10.3           E208900200112 
ENDDATA             96          0                                 E208900200113 
ENDSUBENT          112          0                                 E208900299999 
ENDENTRY             2          0                                 E208999999999 
