EN-MAX     MASS       DATA       ERR-S                            G002500200010 
MEV        NO-DIM     PC/FIS     PC/FIS                           G002500200011 
 6.5        114.        9.50E-002  1.94E-002                      G002500200065 
 6.5        115.        5.94E-002  1.53E-002                      G002500200066 
 6.5        116.        1.19E-002  6.86E-003                      G002500200067 
 6.5        117.        3.17E-002  1.12E-002                      G002500200068 
 6.5        118.        1.98E-002  8.85E-003                      G002500200069 
 6.5        119.        2.37E-002  9.70E-003                      G002500200070 
 6.5        120.        1.98E-002  8.85E-003                      G002500200071 
 6.5        121.        3.17E-002  1.12E-002                      G002500200072 
 6.5        122.        1.19E-002  6.86E-003                      G002500200073 
 6.5        123.        5.94E-002  1.53E-002                      G002500200074 
 6.5        124.        9.50E-002  1.94E-002                      G002500200075 
 6.5        125.        1.54E-001  2.47E-002                      G002500200076 
 6.5        126.        2.61E-001  3.22E-002                      G002500200077 
 6.5        127.        5.58E-001  4.70E-002                      G002500200078 
 6.5        128.        8.91E-001  5.94E-002                      G002500200079 
 6.5        129.        1.44E+000  7.54E-002                      G002500200080 
 6.5        130.        2.28E+000  9.50E-002                      G002500200081 
 6.5        131.        3.02E+000  1.09E-001                      G002500200082 
 6.5        132.        3.86E+000  1.24E-001                      G002500200083 
 6.5        133.        4.71E+000  1.37E-001                      G002500200084 
 6.5        134.        5.48E+000  1.47E-001                      G002500200085 
 6.5        135.        6.14E+000  1.56E-001                      G002500200086 
 6.5        136.        6.27E+000  1.58E-001                      G002500200087 
 6.5        137.        6.40E+000  1.59E-001                      G002500200088 
 6.5        138.        6.68E+000  1.63E-001                      G002500200089 
 6.5        139.        6.04E+000  1.55E-001                      G002500200090 
 6.5        140.        5.50E+000  1.48E-001                      G002500200091 
 6.5        141.        5.38E+000  1.46E-001                      G002500200092 
 6.5        142.        4.91E+000  1.39E-001                      G002500200093 
 6.5        143.        4.81E+000  1.38E-001                      G002500200094 
 6.5        144.        4.40E+000  1.32E-001                      G002500200095 
 6.5        145.        3.97E+000  1.25E-001                      G002500200096 
 6.5        146.        3.53E+000  1.18E-001                      G002500200097 
 6.5        147.        2.94E+000  1.08E-001                      G002500200098 
 6.5        148.        2.47E+000  9.90E-002                      G002500200099 
 6.5        149.        2.05E+000  9.00E-002                      G002500200100 
 6.5        150.        1.57E+000  7.89E-002                      G002500200101 
 6.5        151.        1.23E+000  6.97E-002                      G002500200102 
 6.5        152.        8.35E-001  5.75E-002                      G002500200103 
 6.5        153.        7.05E-001  5.28E-002                      G002500200104 
 6.5        154.        4.35E-001  4.15E-002                      G002500200105 
 6.5        155.        2.93E-001  3.41E-002                      G002500200106 
 6.5        156.        2.02E-001  2.83E-002                      G002500200107 
 6.5        157.        1.23E-001  2.20E-002                      G002500200108 
 6.5        158.        8.31E-002  1.81E-002                      G002500200109 
 6.5        159.        5.15E-002  1.43E-002                      G002500200110 
 6.5        160.        3.17E-002  1.12E-002                      G002500200111 
 6.5        161.        2.77E-002  1.05E-002                      G002500200112 
 6.5        162.        1.98E-002  8.85E-003                      G002500200113 
 6.5        163.        3.96E-003  3.96E-003                      G002500200114 
 6.5        164.        0.00E+000  0.00E+000                      G002500200115 
 6.5        165.        0.00E+000  0.00E+000                      G002500200116 
 6.5        166.        3.96E-003  3.96E-003                      G002500200117 
 6.5        167.        0.00E+000  0.00E+000                      G002500200118 
 6.5        168.        0.00E+000  0.00E+000                      G002500200119 
 6.5        169.        3.96E-003  3.96E-003                      G002500200120 
 6.5        170.        0.00E+000  0.00E+000                      G002500200121 
 6.5        171.        0.00E+000  0.00E+000                      G002500200122 
 6.5        172.        0.00E+000  0.00E+000                      G002500200123 
 6.5        173.        0.00E+000  0.00E+000                      G002500200124 
 6.5        174.        0.00E+000  0.00E+000                      G002500200125 
 6.5        175.        0.00E+000  0.00E+000                      G002500200126 
 6.5        176.        0.00E+000  0.00E+000                      G002500200127 
 6.5        177.        0.00E+000  0.00E+000                      G002500200128 
 6.5        178.        0.00E+000  0.00E+000                      G002500200129 
 6.5        179.        0.00E+000  0.00E+000                      G002500200130 
 6.5        180.        0.00E+000  0.00E+000                      G002500200131 
 7.0         61.        0.00E+000  0.00E+000                      G002500200132 
 7.0         62.        0.00E+000  0.00E+000                      G002500200133 
 7.0         63.        0.00E+000  0.00E+000                      G002500200134 
 7.0         64.        0.00E+000  0.00E+000                      G002500200135 
 7.0         65.        0.00E+000  0.00E+000                      G002500200136 
 7.0         66.        0.00E+000  0.00E+000                      G002500200137 
 7.0         67.        0.00E+000  0.00E+000                      G002500200138 
 7.0         68.        0.00E+000  0.00E+000                      G002500200139 
 7.0         69.        0.00E+000  0.00E+000                      G002500200140 
 7.0         70.        0.00E+000  0.00E+000                      G002500200141 
 7.0         71.        0.00E+000  0.00E+000                      G002500200142 
 7.0         72.        0.00E+000  0.00E+000                      G002500200143 
 7.0         73.        0.00E+000  0.00E+000                      G002500200144 
 7.0         74.        0.00E+000  0.00E+000                      G002500200145 
 7.0         75.        1.14E-002  8.04E-003                      G002500200146 
 7.0         76.        0.00E+000  0.00E+000                      G002500200147 
 7.0         77.        2.27E-002  1.14E-002                      G002500200148 
 7.0         78.        6.25E-002  1.89E-002                      G002500200149 
 7.0         79.        3.98E-002  1.50E-002                      G002500200150 
 7.0         80.        9.09E-002  2.27E-002                      G002500200151 
 7.0         81.        1.48E-001  2.90E-002                      G002500200152 
 7.0         82.        2.44E-001  3.73E-002                      G002500200153 
 7.0         83.        3.30E-001  4.33E-002                      G002500200154 
 7.0         84.        6.08E-001  5.88E-002                      G002500200155 
 7.0         85.        8.70E-001  7.03E-002                      G002500200156 
 7.0         86.        9.55E-001  7.37E-002                      G002500200157 
 7.0         87.        1.43E+000  9.01E-002                      G002500200158 
 7.0         88.        1.67E+000  9.73E-002                      G002500200159 
 7.0         89.        2.22E+000  1.12E-001                      G002500200160 
 7.0         90.        2.47E+000  1.19E-001                      G002500200161 
 7.0         91.        3.06E+000  1.32E-001                      G002500200162 
 7.0         92.        3.37E+000  1.38E-001                      G002500200163 
 7.0         93.        3.97E+000  1.50E-001                      G002500200164 
 7.0         94.        4.29E+000  1.56E-001                      G002500200165 
 7.0         95.        4.71E+000  1.64E-001                      G002500200166 
 7.0         96.        4.95E+000  1.68E-001                      G002500200167 
 7.0         97.        5.62E+000  1.79E-001                      G002500200168 
 7.0         98.        5.71E+000  1.80E-001                      G002500200169 
 7.0         99.        6.25E+000  1.89E-001                      G002500200170 
 7.0        100.        6.57E+000  1.93E-001                      G002500200171 
 7.0        101.        6.39E+000  1.91E-001                      G002500200172 
 7.0        102.        6.30E+000  1.89E-001                      G002500200173 
 7.0        103.        5.67E+000  1.79E-001                      G002500200174 
 7.0        104.        5.12E+000  1.71E-001                      G002500200175 
 7.0        105.        4.43E+000  1.59E-001                      G002500200176 
 7.0        106.        3.81E+000  1.47E-001                      G002500200177 
 7.0        107.        3.14E+000  1.34E-001                      G002500200178 
 7.0        108.        2.31E+000  1.15E-001                      G002500200179 
 7.0        109.        1.30E+000  8.60E-002                      G002500200180 
 7.0        110.        7.33E-001  6.46E-002                      G002500200181 
 7.0        111.        4.21E-001  4.89E-002                      G002500200182 
 7.0        112.        2.67E-001  3.90E-002                      G002500200183 
 7.0        113.        1.88E-001  3.27E-002                      G002500200184 
 7.0        114.        6.25E-002  1.89E-002                      G002500200185 
 7.0        115.        1.19E-001  2.61E-002                      G002500200186 
 7.0        116.        2.27E-002  1.14E-002                      G002500200187 
 7.0        117.        3.41E-002  1.39E-002                      G002500200188 
 7.0        118.        1.14E-002  8.04E-003                      G002500200189 
 7.0        119.        1.14E-002  8.04E-003                      G002500200190 
 7.0        120.        1.14E-002  8.04E-003                      G002500200191 
 7.0        121.        3.41E-002  1.39E-002                      G002500200192 
 7.0        122.        2.27E-002  1.14E-002                      G002500200193 
 7.0        123.        1.19E-001  2.61E-002                      G002500200194 
 7.0        124.        6.25E-002  1.89E-002                      G002500200195 
 7.0        125.        1.88E-001  3.27E-002                      G002500200196 
 7.0        126.        2.67E-001  3.90E-002                      G002500200197 
 7.0        127.        4.21E-001  4.89E-002                      G002500200198 
 7.0        128.        7.33E-001  6.46E-002                      G002500200199 
 7.0        129.        1.30E+000  8.60E-002                      G002500200200 
 7.0        130.        2.31E+000  1.15E-001                      G002500200201 
 7.0        131.        3.14E+000  1.34E-001                      G002500200202 
 7.0        132.        3.81E+000  1.47E-001                      G002500200203 
 7.0        133.        4.43E+000  1.59E-001                      G002500200204 
 7.0        134.        5.12E+000  1.71E-001                      G002500200205 
 7.0        135.        5.67E+000  1.79E-001                      G002500200206 
 7.0        136.        6.30E+000  1.89E-001                      G002500200207 
 7.0        137.        6.39E+000  1.91E-001                      G002500200208 
 7.0        138.        6.57E+000  1.93E-001                      G002500200209 
 7.0        139.        6.25E+000  1.89E-001                      G002500200210 
 7.0        140.        5.71E+000  1.80E-001                      G002500200211 
 7.0        141.        5.62E+000  1.79E-001                      G002500200212 
 7.0        142.        4.95E+000  1.68E-001                      G002500200213 
 7.0        143.        4.71E+000  1.64E-001                      G002500200214 
 7.0        144.        4.29E+000  1.56E-001                      G002500200215 
 7.0        145.        3.97E+000  1.50E-001                      G002500200216 
 7.0        146.        3.37E+000  1.38E-001                      G002500200217 
 7.0        147.        3.06E+000  1.32E-001                      G002500200218 
 7.0        148.        2.47E+000  1.19E-001                      G002500200219 
 7.0        149.        2.22E+000  1.12E-001                      G002500200220 
 7.0        150.        1.67E+000  9.73E-002                      G002500200221 
 7.0        151.        1.43E+000  9.01E-002                      G002500200222 
 7.0        152.        9.55E-001  7.37E-002                      G002500200223 
 7.0        153.        8.70E-001  7.03E-002                      G002500200224 
 7.0        154.        6.08E-001  5.88E-002                      G002500200225 
 7.0        155.        3.30E-001  4.33E-002                      G002500200226 
 7.0        156.        2.44E-001  3.73E-002                      G002500200227 
 7.0        157.        1.48E-001  2.90E-002                      G002500200228 
 7.0        158.        9.09E-002  2.27E-002                      G002500200229 
 7.0        159.        3.98E-002  1.50E-002                      G002500200230 
 7.0        160.        6.25E-002  1.89E-002                      G002500200231 
 7.0        161.        2.27E-002  1.14E-002                      G002500200232 
 7.0        162.        0.00E+000  0.00E+000                      G002500200233 
 7.0        163.        1.14E-002  8.04E-003                      G002500200234 
 7.0        164.        0.00E+000  0.00E+000                      G002500200235 
 7.0        165.        0.00E+000  0.00E+000                      G002500200236 
 7.0        166.        0.00E+000  0.00E+000                      G002500200237 
 7.0        167.        0.00E+000  0.00E+000                      G002500200238 
 7.0        168.        0.00E+000  0.00E+000                      G002500200239 
 7.0        169.        0.00E+000  0.00E+000                      G002500200240 
 7.0        170.        0.00E+000  0.00E+000                      G002500200241 
 7.0        171.        0.00E+000  0.00E+000                      G002500200242 
 7.0        172.        0.00E+000  0.00E+000                      G002500200243 
 7.0        173.        0.00E+000  0.00E+000                      G002500200244 
 7.0        174.        0.00E+000  0.00E+000                      G002500200245 
 7.0        175.        0.00E+000  0.00E+000                      G002500200246 
 7.0        176.        0.00E+000  0.00E+000                      G002500200247 
 7.0        177.        0.00E+000  0.00E+000                      G002500200248 
 7.0        178.        0.00E+000  0.00E+000                      G002500200249 
 7.0        179.        0.00E+000  0.00E+000                      G002500200250 
 7.0        180.        0.00E+000  0.00E+000                      G002500200251 
 8.5         61.        0.00E+000  0.00E+000                      G002500200252 
 8.5         62.        0.00E+000  0.00E+000                      G002500200253 
 8.5         63.        0.00E+000  0.00E+000                      G002500200254 
 8.5         64.        0.00E+000  0.00E+000                      G002500200255 
 8.5         65.        0.00E+000  0.00E+000                      G002500200256 
 8.5         66.        0.00E+000  0.00E+000                      G002500200257 
 8.5         67.        0.00E+000  0.00E+000                      G002500200258 
 8.5         68.        0.00E+000  0.00E+000                      G002500200259 
 8.5         69.        0.00E+000  0.00E+000                      G002500200260 
 8.5         70.        0.00E+000  0.00E+000                      G002500200261 
 8.5         71.        0.00E+000  0.00E+000                      G002500200262 
 8.5         72.        2.36E-003  2.36E-003                      G002500200263 
 8.5         73.        0.00E+000  0.00E+000                      G002500200264 
 8.5         74.        0.00E+000  0.00E+000                      G002500200265 
 8.5         75.        4.73E-003  3.34E-003                      G002500200266 
 8.5         76.        1.42E-002  5.79E-003                      G002500200267 
 8.5         77.        2.60E-002  7.84E-003                      G002500200268 
 8.5         78.        3.78E-002  9.46E-003                      G002500200269 
 8.5         79.        5.20E-002  1.11E-002                      G002500200270 
 8.5         80.        1.02E-001  1.55E-002                      G002500200271 
 8.5         81.        1.51E-001  1.89E-002                      G002500200272 
 8.5         82.        2.67E-001  2.51E-002                      G002500200273 
 8.5         83.        4.28E-001  3.18E-002                      G002500200274 
 8.5         84.        5.56E-001  3.63E-002                      G002500200275 
 8.5         85.        6.93E-001  4.05E-002                      G002500200276 
 8.5         86.        9.96E-001  4.85E-002                      G002500200277 
 8.5         87.        1.25E+000  5.43E-002                      G002500200278 
 8.5         88.        1.69E+000  6.33E-002                      G002500200279 
 8.5         89.        2.13E+000  7.09E-002                      G002500200280 
 8.5         90.        2.59E+000  7.82E-002                      G002500200281 
 8.5         91.        3.09E+000  8.55E-002                      G002500200282 
 8.5         92.        3.80E+000  9.48E-002                      G002500200283 
 8.5         93.        4.14E+000  9.89E-002                      G002500200284 
 8.5         94.        4.63E+000  1.05E-001                      G002500200285 
