ENTRY            G0043   20141008                             G031G004300000001 
SUBENT        G0043001   20141008                             G031G004300100001 
BIB                 11         24                                 G004300100002 
TITLE      Low-energy dipole strength in 112,120Sn                G004300100003 
AUTHOR     (B.Oezel-Tashenov, J.Enders, H.Lenske, A.M.Krumbholz,  G004300100004 
            E.Litvinova, P.von Neumann-Cosel, I.Poltoratska,      G004300100005 
            A.Richter, G.Rusev, D.Savran, N.Tsoneva)              G004300100006 
INSTITUTE  (2GERTHD,2GERJLU,1USAWMU,1USAMSU,1USALAS,2GERGSI)      G004300100007 
           (3BULBLA)                                              G004300100008 
           (2TUKTUK) Nigde University, Nigde                      G004300100009 
           (2GERGER) Frankfurt Inst.for Advanced Studies,FrankfurtG004300100010 
REFERENCE  (J,PR/C,90,024304,2014)                                G004300100011 
FACILITY   (LINAC,2GERTHD) Electron linac S-DALINAC               G004300100012 
SAMPLE     Isotopically enriched (>99%) metalic 112Sn and 120Sn   G004300100013 
            (~2 g) sandwiched between 11B layers (total weight of G004300100014 
            ~1 g).                                                G004300100015 
DETECTOR   (HPGE) at 90 deg and 130 deg                           G004300100016 
ANALYSIS   Photon flux was determined by known cross sections of  G004300100017 
            11B excitations.                                      G004300100018 
           Multipolarities=1 or 2 were determined by the          G004300100019 
            intensity ratios W(90deg)/W(130deg)=0.7 or 2.         G004300100020 
REL-REF    (I,,P.Mohr+,J,NIM/A,423,480,1999) Details of setup     G004300100021 
ERR-ANALYS (MISC-ERR) Statistical errors from the peak fit and    G004300100022 
            systematic errors                                     G004300100023 
          2(ERR-1) Uncertainty in photon flux normalization (~10%)G004300100024 
           (ERR-S) Statistical uncertainty                        G004300100025 
HISTORY    (20141008C) On                                         G004300100026 
ENDBIB              24          0                                 G004300100027 
COMMON               1          3                                 G004300100028 
ERR-1                                                             G004300100029 
PER-CENT                                                          G004300100030 
 10.                                                              G004300100031 
ENDCOMMON            3          0                                 G004300100032 
ENDSUBENT           31          0                                 G004300199999 
SUBENT        G0043002   20141008                             G031G004300200001 
BIB                  5         13                                 G004300200002 
REACTION  1(50-SN-112(G,0),,EN)                                   G004300200003 
          2((50-SN-112(G,EL),,WID)*(50-SN-112(G,EL),,WID)/        G004300200004 
           (50-SN-112(G,TOT),,WID))                               G004300200005 
INC-SOURCE (BRST) E0=5.5, 7.0 and 9.5 MeV                         G004300200006 
ANALYSIS   Gamma(el)=Gamma(tot) assumed.                          G004300200007 
           Only the result obtained at E0=7.5 MeV irradiation     G004300200008 
            was used when B(E1) at E0=9.5 MeV) is larger than     G004300200009 
            B(E1) at E0=7.5 MeV) to exclude indirect population   G004300200010 
            of the levels by feeding via inelastic transitions    G004300200011 
            from higher-lying states, otherwise the results at    G004300200012 
            E0=7.0 and 9.5 MeV irradiations were averaged.        G004300200013 
MISC-COL   (MISC) B(E1) transition strength in 10E-3*e**2*fm**2   G004300200014 
STATUS     (TABLE) Table I of Phys.Rev.C90(2014)024304            G004300200015 
ENDBIB              13          0                                 G004300200016 
COMMON               2          3                                 G004300200017 
SPIN J     PARITY                                                 G004300200018 
NO-DIM     NO-DIM                                                 G004300200019 
 1.         -1.                                                   G004300200020 
ENDCOMMON            3          0                                 G004300200021 
DATA                 5         92                                 G004300200022 
DATA      1DATA      2ERR-S     2MISC       MISC-ERR              G004300200023 
MEV        MILLI-EV   MILLI-EV   SEE TEXT   SEE TEXT              G004300200024 
 3433.9      162.       15.       11.5       1.1                  G004300200025 
 4141.3       17.        4.        0.7       0.2                  G004300200026 
 4162.3       44.        4.        1.8       0.2                  G004300200027 
 4330.4       15.        3.        0.5       0.1                  G004300200028 
 4726.5       12.        3.        0.3       0.1                  G004300200029 
 4837.4       28.        5.        0.7       0.1                  G004300200030 
 5057.1      134.       13.        3.0       0.3                  G004300200031 
 5128.2      198.       20.        4.2       0.4                  G004300200032 
 5246.2      166.       14.        3.3       0.3                  G004300200033 
 5480.5       66.       11.        1.2       0.2                  G004300200034 
 5502.6       86.       10.        1.5       0.2                  G004300200035 
 5593.7       43.        7.        0.7       0.1                  G004300200036 
 5617.6       39.        7.        0.6       0.1                  G004300200037 
 5649.1       43.        7.        0.7       0.1                  G004300200038 
 5666.4       23.        6.        0.4       0.1                  G004300200039 
 5699.9       33.        7.        0.5       0.1                  G004300200040 
 5748.6       66.        7.        1.0       0.1                  G004300200041 
 5812.7       34.        8.        0.5       0.1                  G004300200042 
 5860.7      159.       27.        2.3       0.4                  G004300200043 
 5884.0      100.       16.        1.4       0.2                  G004300200044 
 5924.1      112.       12.        1.5       0.2                  G004300200045 
 5976.6      128.       14.        1.7       0.2                  G004300200046 
 6005.0      244.       21.        3.2       0.3                  G004300200047 
 6059.8      470.       44.        6.1       0.6                  G004300200048 
 6080.9       73.       15.        0.9       0.2                  G004300200049 
 6096.9      385.       23.        3.6       0.2                  G004300200050 
 6129.0      115.       13.        1.4       0.2                  G004300200051 
 6150.4      273.       28.        3.4       0.3                  G004300200052 
 6168.3       98.       17.        1.2       0.2                  G004300200053 
 6198.7      179.       18.        2.2       0.2                  G004300200054 
 6224.3      315.       26.        3.7       0.3                  G004300200055 
 6246.4      152.       20.        1.8       0.2                  G004300200056 
 6259.1      130.       17.        1.5       0.2                  G004300200057 
 6272.6      220.       21.        2.5       0.3                  G004300200058 
 6313.3      251.       23.        2.9       0.3                  G004300200059 
 6348.7      134.       17.        1.5       0.2                  G004300200060 
 6388.1      663.       47.        7.3       0.5                  G004300200061 
 6404.1     1686.      120.       18.4       1.3                  G004300200062 
 6428.6      114.       18.        1.2       0.2                  G004300200063 
 6450.0      109.       15.        1.2       0.2                  G004300200064 
 6520.7      309.       33.        3.2       0.3                  G004300200065 
 6550.1       54.       11.        0.6       0.1                  G004300200066 
 6601.0      173.       23.        1.7       0.2                  G004300200067 
 6679.9       74.       14.        0.7       0.1                  G004300200068 
 6706.7      187.       24.        1.8       0.2                  G004300200069 
 6715.0      156.       67.        1.5       0.6                  G004300200070 
 6731.9      289.       51.        2.7       0.5                  G004300200071 
 6795.5      185.       25.        1.7       0.2                  G004300200072 
 6818.7      139.       23.        1.3       0.2                  G004300200073 
 6824.2      194.       32.        1.7       0.3                  G004300200074 
 6855.9      170.       25.        1.5       0.2                  G004300200075 
 6871.2      189.       19.        1.7       0.2                  G004300200076 
 6941.2      367.       41.        3.1       0.3                  G004300200077 
 6961.5      362.       53.        3.1       0.5                  G004300200078 
 6982.7      246.       30.        2.1       0.3                  G004300200079 
 7009.8       62.       15.        0.5       0.1                  G004300200080 
 7018.7       82.       16.        0.7       0.1                  G004300200081 
 7025.8       86.       17.        0.7       0.1                  G004300200082 
 7043.1      245.       42.        2.0       0.3                  G004300200083 
 7092.8      524.       48.        4.2       0.4                  G004300200084 
 7167.2      363.       42.        2.8       0.3                  G004300200085 
 7198.2      578.       75.        4.4       0.6                  G004300200086 
 7228.1      164.       27.        1.2       0.2                  G004300200087 
 7311.1      138.       28.        1.0       0.2                  G004300200088 
 7389.9      183.       30.        1.3       0.2                  G004300200089 
 7438.6      275.       42.        1.9       0.3                  G004300200090 
 7444.1      233.       37.        1.6       0.3                  G004300200091 
 7468.3      186.       45.        1.3       0.3                  G004300200092 
 7531.3      429.       62.        2.9       0.4                  G004300200093 
 7537.2      770.       82.        5.2       0.6                  G004300200094 
 7559.1      323.       43.        2.1       0.3                  G004300200095 
 7594.5      205.       31.        1.3       0.2                  G004300200096 
 7615.3      257.       41.        1.7       0.3                  G004300200097 
 7859.5      207.       35.        1.2       0.2                  G004300200098 
 7904.7      196.       40.        1.1       0.2                  G004300200099 
 7936.7      272.       39.        1.6       0.2                  G004300200100 
 7988.2      606.       62.        3.4       0.3                  G004300200101 
 8020.7      412.       67.        2.3       0.4                  G004300200102 
 8051.6      396.       60.        2.2       0.3                  G004300200103 
 8069.6      482.       65.        2.6       0.4                  G004300200104 
 8194.5      518.       75.        2.7       0.4                  G004300200105 
 8218.2      262.       48.        1.4       0.2                  G004300200106 
 8253.6      177.       38.        0.9       0.2                  G004300200107 
 8448.6      147.       41.        0.7       0.2                  G004300200108 
 8568.9      166.       43.        0.8       0.2                  G004300200109 
 8600.4      118.       35.        0.5       0.2                  G004300200110 
 8750.2      249.       56.        1.1       0.2                  G004300200111 
 8823.4      278.       64.        1.2       0.3                  G004300200112 
 9050.5      413.      108.        1.6       0.4                  G004300200113 
 9095.3      268.       65.        1.0       0.2                  G004300200114 
 9150.1      240.       75.        0.9       0.3                  G004300200115 
 9329.8      599.      138.        2.1       0.5                  G004300200116 
ENDDATA             94          0                                 G004300200117 
ENDSUBENT          116          0                                 G004300299999 
SUBENT        G0043003   20141008                             G031G004300300001 
BIB                  5         12                                 G004300300002 
REACTION  1(50-SN-120(G,0),,EN)                                   G004300300003 
          2((50-SN-120(G,EL),,WID)*(50-SN-120(G,EL),,WID)/        G004300300004 
           (50-SN-120(G,TOT),,WID))                               G004300300005 
INC-SOURCE (BRST) E0=7.5 and 9.1 MeV                              G004300300006 
ANALYSIS   Gamma(el)=Gamma(tot) assumed.                          G004300300007 
           B(E1) from E0=7.5 MeV and 9.1 MeV irradiation are      G004300300008 
            close to one except for the lowest E1 transition      G004300300009 
            populating the 3.279 MeV state (i.e., no feeding),    G004300300010 
            therefore the results at E0=7.0 and 9.5 MeV           G004300300011 
            irradiations were averaged.                           G004300300012 
MISC-COL   (MISC) B(E1) transition strength in 10E-3*e**2*fm**2   G004300300013 
STATUS     (TABLE) Table II of Phys.Rev.C90(2014)024304           G004300300014 
ENDBIB              12          0                                 G004300300015 
COMMON               2          3                                 G004300300016 
SPIN J     PARITY                                                 G004300300017 
NO-DIM     NO-DIM                                                 G004300300018 
 1.         -1.                                                   G004300300019 
ENDCOMMON            3          0                                 G004300300020 
DATA                 5         73                                 G004300300021 
DATA      1DATA      2ERR-S     2MISC       MISC-ERR              G004300300022 
MEV        MILLI-EV   MILLI-EV   SEE TEXT   SEE TEXT              G004300300023 
 3279.4     137.        14.       8.6        0.9                  G004300300024 
 4251.0      73.        10.       2.7        0.4                  G004300300025 
 4564.8      36.         8.       1.0        0.2                  G004300300026 
 4679.7      52.        10.       1.5        0.3                  G004300300027 
 4939.0      36.         8.       0.9        0.2                  G004300300028 
 5245.4      22.         7.       0.4        0.1                  G004300300029 
 5354.4      37.        13.       0.7        0.2                  G004300300030 
 5408.2      54.        13.       1.0        0.2                  G004300300031 
 5447.2     126.        21.       2.2        0.4                  G004300300032 
 5638.0     109.        18.       1.8        0.3                  G004300300033 
 5647.8     172.        23.       2.7        0.4                  G004300300034 
 5685.2      78.        20.       1.2        0.3                  G004300300035 
 5697.3      67.        17.       1.0        0.3                  G004300300036 
 5753.0      35.        13.       0.5        0.2                  G004300300037 
 5758.0      42.        15.       0.6        0.2                  G004300300038 
 5818.0     127.        25.       1.8        0.4                  G004300300039 
 5882.1     280.        40.       3.9        0.6                  G004300300040 
 5895.4     198.        26.       2.8        0.4                  G004300300041 
 5927.7     165.        25.       2.3        0.3                  G004300300042 
 5940.7     230.        44.       3.1        0.6                  G004300300043 
 5950.2     139.        35.       1.9        0.5                  G004300300044 
 5989.8     203.        38.       2.7        0.5                  G004300300045 
 6001.7     168.        48.       2.2        0.6                  G004300300046 
 6076.2      82.        21.       1.1        0.3                  G004300300047 
 6093.5     110.        24.       1.4        0.3                  G004300300048 
 6127.1     248.        35.       3.1        0.4                  G004300300049 
 6152.5     127.        23.       1.6        0.3                  G004300300050 
 6252.4     255.        48.       3.0        0.6                  G004300300051 
 6267.0     350.        44.       4.1        0.5                  G004300300052 
 6285.8     160.        31.       1.8        0.3                  G004300300053 
 6305.9     270.        37.       3.1        0.4                  G004300300054 
 6332.6     363.        54.       4.1        0.6                  G004300300055 
 6344.9     370.        50.       4.2        0.6                  G004300300056 
 6353.7     259.        38.       2.9        0.4                  G004300300057 
 6375.0     118.        23.       1.3        0.3                  G004300300058 
 6397.0     240.        40.       2.6        0.4                  G004300300059 
 6408.3     456.        55.       5.0        0.6                  G004300300060 
 6432.3     142.        28.       1.5        0.3                  G004300300061 
 6443.7     299.        52.       3.2        0.6                  G004300300062 
 6469.7     375.        62.       4.0        0.7                  G004300300063 
 6485.8     409.        67.       4.3        0.7                  G004300300064 
 6520.7     186.        32.       1.9        0.3                  G004300300065 
 6539.5     219.        40.       2.2        0.4                  G004300300066 
 6644.3     438.        68.       4.3        0.7                  G004300300067 
 6691.0     206.        41.       2.0        0.4                  G004300300068 
 6727.3     238.        55.       2.2        0.5                  G004300300069 
 6898.9     508.       163.       4.6        1.5                  G004300300070 
 6914.8     374.        58.       3.2        0.5                  G004300300071 
 6990.4     376.        68.       3.2        0.6                  G004300300072 
 7009.9     480.        98.       4.0        0.8                  G004300300073 
 7025.0     216.        41.       1.8        0.3                  G004300300074 
 7031.5     176.        35.       1.5        0.3                  G004300300075 
 7038.9     160.        38.       1.3        0.3                  G004300300076 
 7061.9     164.        48.       1.3        0.4                  G004300300077 
 7095.6     242.        65.       1.9        0.5                  G004300300078 
 7144.5     259.        58.       2.0        0.5                  G004300300079 
 7235.1     495.        64.       3.7        0.5                  G004300300080 
 7255.1     465.        88.       3.5        0.7                  G004300300081 
 7460.1     175.        33.       1.2        0.2                  G004300300082 
 7543.1     172.        49.       1.1        0.3                  G004300300083 
 7569.2     309.       140.       2.0        0.9                  G004300300084 
 7624.9     190.        40.       1.2        0.3                  G004300300085 
 7701.2     229.        57.       1.4        0.4                  G004300300086 
 7889.0     312.        62.       1.8        0.4                  G004300300087 
 7958.6     523.        93.       3.0        0.5                  G004300300088 
 7975.6     606.        98.       3.4        0.6                  G004300300089 
 7994.5     237.        48.       1.3        0.3                  G004300300090 
 8044.3     120.        30.       0.7        0.2                  G004300300091 
 8079.7     258.       100.       1.4        0.5                  G004300300092 
 8318.3     498.        96.       2.5        0.5                  G004300300093 
 8399.5     450.       100.       2.2        0.5                  G004300300094 
 8478.3     304.        80.       1.4        0.4                  G004300300095 
 8554.9     447.       139.       2.0        0.6                  G004300300096 
ENDDATA             75          0                                 G004300300097 
ENDSUBENT           96          0                                 G004300399999 
ENDENTRY             3          0                                 G004399999999 
