ENTRY            T0267   20040513                             T018T026700000001 
SUBENT        T0267001   20040513                             T018T026700100001 
BIB                 10         18                                 T026700100002 
INSTITUTE  (1USAMIS,1USAORL) + Drexel University, Philadelphia,PA T026700100003 
REFERENCE  (J,NCL,21,195,1978)                                    T026700100004 
AUTHOR     (Da Hsuan Feng,W.W.Eidson,R.V.Kollarits,C.C.Foster,    T026700100005 
           N.M.O'Fallon,S.A.Gronemeyer,C.B.Fulmer,D.C.Hensley)    T026700100006 
TITLE      Possible Compound-Nucleus Formation of Back-Angle      T026700100007 
            Inelastic Alpha-Particle Scattering                   T026700100008 
FACILITY   (ISOCY,1USAORL)                                        T026700100009 
INC-SPECT  Total beam energy spread is due to energy resolution   T026700100010 
            of incident beam and target thickness.                T026700100011 
SAMPLE     24Mg target                                            T026700100012 
DETECTOR   Position sensitive detector.                           T026700100013 
ERR-ANALYS (ERR-S) Error bars on the data reflect statistical     T026700100014 
            errors resulting from background subtraction,         T026700100015 
            detection, target and solid-angle factors,            T026700100016 
            as well as variations in the magnetic field.          T026700100017 
           (ANG-ERR-D) Digitizing error in angle.                 T026700100018 
           (ERR-DIG) Digitizing error in data.                    T026700100019 
HISTORY    (20031209C)                                            T026700100020 
ENDBIB              18          0                                 T026700100021 
COMMON               2          3                                 T026700100022 
ANG-ERR-D  ERR-DIG                                                T026700100023 
ADEG       MB/SR                                                  T026700100024 
  0.2        0.2                                                  T026700100025 
ENDCOMMON            3          0                                 T026700100026 
ENDSUBENT           25          0                                 T026700199999 
SUBENT        T0267002   20040513                             T018T026700200001 
BIB                  2          2                                 T026700200002 
REACTION   (12-MG-24(A,INL)12-MG-24,PAR,DA)                       T026700200003 
STATUS     (CURVE) Scanned from Fig.1 in article at RNC-VNIIEF.   T026700200004 
ENDBIB               2          0                                 T026700200005 
COMMON               1          3                                 T026700200006 
E-LVL                                                             T026700200007 
MEV                                                               T026700200008 
 5.24                                                             T026700200009 
ENDCOMMON            3          0                                 T026700200010 
DATA                 5         65                                 T026700200011 
EN         EN-RSL     ANG-CM     DATA-CM    ERR-S                 T026700200012 
MEV        KEV        ADEG       MB/SR      MB/SR                 T026700200013 
 28.3      150.       161.4        7.337E-01  3.601E-02           T026700200014 
 28.3      150.       162.3        7.222E-01  2.925E-02           T026700200015 
 28.3      150.       162.8        8.166E-01  4.149E-02           T026700200016 
 28.3      150.       164.0        7.804E-01  3.970E-02           T026700200017 
 28.3      150.       164.8        8.398E-01  3.543E-02           T026700200018 
 28.3      150.       165.9        8.775E-01  4.007E-02           T026700200019 
 28.3      150.       166.9        9.618E-01  4.556E-02           T026700200020 
 28.3      150.       167.7        8.293E-01  3.499E-02           T026700200021 
 28.3      150.       169.1        8.126E-01  4.134E-02           T026700200022 
 28.3      150.       169.5        7.447E-01  3.790E-02           T026700200023 
 28.3      150.       170.7        5.817E-01  3.570E-02           T026700200024 
 28.3      150.       171.8        5.494E-01  3.662E-02           T026700200025 
 28.3      150.       172.6        4.922E-01  2.163E-02           T026700200026 
 28.3      150.       173.6        4.610E-01  2.026E-02           T026700200027 
 28.3      150.       174.1        3.955E-01  2.082E-02           T026700200028 
 28.3      150.       174.9        2.430E-01  1.619E-02           T026700200029 
 28.3      150.       175.7        1.603E-01  1.096E-02           T026700200030 
 28.3      150.       175.8        6.267E-02  1.176E-02           T026700200031 
 28.3      150.       176.1        1.094E-01  1.122E-02           T026700200032 
 28.3      150.       177.7        7.641E-02  9.665E-03           T026700200033 
 28.3      150.       178.4        4.884E-02  9.070E-03           T026700200034 
 28.3      150.       179.7        3.996E-02  1.125E-02           T026700200035 
 28.3      150.       180.2        1.362E-02  1.496E-02           T026700200036 
 28.3      150.       181.4        1.644E-02  1.352E-02           T026700200037 
 28.3      150.       181.9        7.705E-02  2.235E-02           T026700200038 
 28.3      150.       183.3        1.060E-01  1.926E-02           T026700200039 
 28.3      150.       184.0        1.293E-01  1.207E-02           T026700200040 
 28.3      150.       184.9        2.331E-01  2.904E-02           T026700200041 
 28.3      150.       185.8        2.571E-01  3.108E-02           T026700200042 
 28.3      150.       186.5        3.112E-01  3.590E-02           T026700200043 
 40.1      185.       160.7        1.696E-01  1.367E-02           T026700200044 
 40.1      185.       161.8        1.846E-01  1.130E-02           T026700200045 
 40.1      185.       162.5        1.710E-01  9.863E-03           T026700200046 
 40.1      185.       163.3        2.092E-01  1.428E-02           T026700200047 
 40.1      185.       164.2        2.255E-01  1.538E-02           T026700200048 
 40.1      185.       165.2        2.333E-01  1.305E-02           T026700200049 
 40.1      185.       166.7        2.252E-01  1.577E-02           T026700200050 
 40.1      185.       167.4        2.024E-01  1.311E-02           T026700200051 
 40.1      185.       168.6        2.108E-01  1.439E-02           T026700200052 
 40.1      185.       169.7        2.110E-01  1.778E-02           T026700200053 
 40.1      185.       169.9        1.858E-01  1.170E-02           T026700200054 
 40.1      185.       170.7        1.732E-01  1.335E-02           T026700200055 
 40.1      185.       171.4        1.136E-01  1.080E-02           T026700200056 
 40.1      185.       172.4        1.189E-01  9.803E-03           T026700200057 
 40.1      185.       173.6        1.031E-01  8.684E-03           T026700200058 
 40.1      185.       174.4        9.719E-02  5.947E-03           T026700200059 
 40.1      185.       174.7        7.988E-02  6.445E-03           T026700200060 
 40.1      185.       175.0        6.238E-02  7.294E-03           T026700200061 
 40.1      185.       176.1        4.700E-02  6.620E-03           T026700200062 
 40.1      185.       177.0        4.041E-02  5.857E-03           T026700200063 
 40.1      185.       177.7        2.457E-02  6.079E-03           T026700200064 
 40.1      185.       178.5        8.003E-03  3.485E-03           T026700200065 
 40.1      185.       179.8        1.261E-02  4.560E-03           T026700200066 
 40.1      185.       182.4        1.108E-02  3.781E-03           T026700200067 
 40.1      185.       182.9        2.467E-02  5.702E-03           T026700200068 
 40.1      185.       183.7        3.560E-02  6.113E-03           T026700200069 
 40.1      185.       184.6        4.106E-02  4.724E-03           T026700200070 
 40.1      185.       185.4        4.759E-02  6.986E-03           T026700200071 
 40.1      185.       186.6        6.152E-02  9.970E-03           T026700200072 
 40.1      185.       187.7        1.035E-01  1.501E-02           T026700200073 
 40.1      185.       188.8        1.226E-01  1.940E-02           T026700200074 
 40.1      185.       190.1        1.652E-01  1.751E-02           T026700200075 
 40.1      185.       190.3        2.021E-01  1.811E-02           T026700200076 
 40.1      185.       191.1        2.182E-01  1.997E-02           T026700200077 
 40.1      185.       192.3        2.184E-01  2.155E-02           T026700200078 
ENDDATA             67          0                                 T026700200079 
ENDSUBENT           78          0                                 T026700299999 
ENDENTRY             2          0                                 T026799999999 
