ENTRY            T0111   19991230                             0000T011100000001 
SUBENT        T0111001   19991230                             0000T011100100001 
BIB                 13         31                                 T011100100002 
INSTITUTE  (1USAPUP,1USAASU,1USAINU,1USAGEO)                      T011100100003 
REFERENCE  (J,PR/C,26,1800,198211)                                T011100100004 
AUTHOR     (J.R.COMFORT,G.L.MOAKE,C.C.FOSTER,P.SCHWANDT,W.G.LOVE) T011100100005 
TITLE      Analysis of the 12C(p(pol),p)12C reaction at 200 MeV   T011100100006 
            in the distorted-wave impulse approximation           T011100100007 
FACILITY   (ISOCY,1USAINU)                                        T011100100008 
INC-SOURCE (POLIS) Polarized proton beams with energies of 200.1  T011100100009 
            and 199.8 MeV.  Beam polarization typically 70%.      T011100100010 
SAMPLE     Two natural carbon targets with thicknesses of 3.74+-  T011100100011 
            0.08 mg/cm2 and 21.5+-0.5 mg/cm2.                     T011100100012 
METHOD     (BCINT)                                                T011100100013 
           Two sets of measurements.  More than one value given   T011100100014 
            at some angles.                                       T011100100015 
MONITOR    Beam polarization determined by helium elastic         T011100100016 
            scattering asymmetry measurements.                    T011100100017 
DETECTOR   (MAGSP) Quadrupole-dipole-dipole-multipole magnetic    T011100100018 
            spectrometer.                                         T011100100019 
           Helical-cathode position-sensitive proportional        T011100100020 
            chamber used as focal plane detector.                 T011100100021 
           Two plastic scintillator detectors 0.63 and 1.27 cm    T011100100022 
            thick, placed behind the chamber, used for particle   T011100100023 
            indentification.                                      T011100100024 
           Faraday cup internal to the scattering chamber used    T011100100025 
            for angles <23 degrees.                               T011100100026 
           External Faraday cup used for angles >23 degrees.      T011100100027 
ERR-ANALYS Relative scattering angle believed correct to 0.03     T011100100028 
            degrees.  Absolute angle error <0.1 degrees.          T011100100029 
STATUS     Data received by email, J. Comfort, 2 November 1999.   T011100100030 
           No reply from J. Comfort to author proof.              T011100100031 
HISTORY    (19991108C) Converted from O0207 (CaJaD); BIB updated, T011100100032 
              authors data added (VM).                            T011100100033 
ENDBIB              31          0                                 T011100100034 
COMMON               1          3                                 T011100100035 
EN                                                                T011100100036 
MEV                                                               T011100100037 
 200.                                                             T011100100038 
ENDCOMMON            3          0                                 T011100100039 
ENDSUBENT           38          0                                 T011100199999 
SUBENT        T0111002   19991108                             0000T011100200001 
BIB                  2          9                                 T011100200002 
REACTION   (6-C-12(P,INL)6-C-12,PAR,DA)                           T011100200003 
ERR-ANALYS (DATA-ERR) Mainly statistical uncertainty, however, a  T011100200004 
            5% error added in quadrature to the statistical       T011100200005 
            uncertainty for data <23 degrees, since internal      T011100200006 
            Faraday cup is believed to have failed to collect     T011100200007 
            about 1/3 of total beam charge.                       T011100200008 
           Relative cross sections believed to be correct to      T011100200009 
            <3%. Uncertainty in absolute cross section scale      T011100200010 
            estimated <10%.                                       T011100200011 
ENDBIB               9          0                                 T011100200012 
NOCOMMON             0          0                                 T011100200013 
DATA                 4        416                                 T011100200014 
E-LVL      ANG-CM     DATA       DATA-ERR                         T011100200015 
MEV        ADEG       MB/SR      MB/SR                            T011100200016 
 0.0         6.68      280.4363     5.1682                        T011100200017 
 0.0         6.68      295.7337     5.2698                        T011100200018 
 0.0         6.68      321.1412     7.8698                        T011100200019 
 0.0         8.85      266.7743     4.9014                        T011100200020 
 0.0        11.05      229.4662     4.2576                        T011100200021 
 0.0        13.25      151.4734     2.9035                        T011100200022 
 0.0        15.44       78.6941     1.6772                        T011100200023 
 0.0        17.53       48.3936     0.4376                        T011100200024 
 0.0        17.64       47.3660     0.4094                        T011100200025 
 0.0        19.72       25.4455     0.1995                        T011100200026 
 0.0        19.83       25.2541     0.2176                        T011100200027 
 0.0        21.91       13.2818     0.1501                        T011100200028 
 0.0        22.02       12.7485     0.1682                        T011100200029 
 0.0        22.02       12.1727     0.1861                        T011100200030 
 0.0        22.02       12.1582     0.1207                        T011100200031 
 0.0        24.21        6.8168     0.1068                        T011100200032 
 0.0        25.03        5.5117     0.0608                        T011100200033 
 0.0        26.39        3.6570     0.0620                        T011100200034 
 0.0        26.39        3.6428     0.0412                        T011100200035 
 0.0        28.57        1.9941     0.0368                        T011100200036 
 0.0        28.57        2.0330     0.0294                        T011100200037 
 0.0        30.75        1.1139     0.0161                        T011100200038 
 0.0        32.92        0.6787     0.0081                        T011100200039 
 0.0        32.92        0.7033     0.0094                        T011100200040 
 0.0        35.09        0.4982     0.0053                        T011100200041 
 0.0        37.26        0.4125     0.0037                        T011100200042 
 0.0        39.42        0.3792     0.0058                        T011100200043 
 0.0        41.58        0.3375     0.0019                        T011100200044 
 0.0        43.74        0.2921     0.0020                        T011100200045 
 0.0        45.89        0.2332     0.0019                        T011100200046 
 0.0        48.03        0.1766     0.0019                        T011100200047 
 0.0        50.17        0.1262     0.0015                        T011100200048 
 0.0        52.31        0.0816     0.0010                        T011100200049 
 0.0        54.44        0.0517     0.0009                        T011100200050 
 0.0        56.56        0.0304     0.0007                        T011100200051 
 0.0        58.68        0.0176     0.0004                        T011100200052 
 0.0        60.79        0.0105     0.0002                        T011100200053 
 0.0        62.90        0.0069     0.0002                        T011100200054 
 0.0        65.00        0.0050     0.0001                        T011100200055 
 4.440       6.68        0.5349     0.0801                        T011100200056 
 4.440       6.68        0.3168     0.0746                        T011100200057 
 4.440       8.86        1.3284     0.0748                        T011100200058 
 4.440      11.06        2.5761     0.0641                        T011100200059 
 4.440      13.26        4.1279     0.0850                        T011100200060 
 4.440      15.46        4.4139     0.0938                        T011100200061 
 4.440      17.54        4.5142     0.1393                        T011100200062 
 4.440      17.65        4.8590     0.0902                        T011100200063 
 4.440      19.74        4.5007     0.0912                        T011100200064 
 4.440      19.85        4.9799     0.0661                        T011100200065 
 4.440      21.93        4.0191     0.0876                        T011100200066 
 4.440      22.04        4.5171     0.0748                        T011100200067 
