ENTRY            T0178   20220805                             C216T0178  0    1 
SUBENT        T0178001   20220805                             C216T0178  1    1 
BIB                  9         15                                 T0178  1    2 
INSTITUTE  (1USAOBR,1USAINU,1USAMSU)                              T0178  1    3 
REFERENCE  (J,NP/A,401,521,1983)                                  T0178  1    4 
AUTHOR     (R.E.Warner,K.Blum,D.Friesel,P.Schwandt,P.P.Singh,     T0178  1    5 
           A.Galonsky)                                            T0178  1    6 
TITLE      Multibody final states of the 6Li+6Li reaction at 97   T0178  1    7 
            MeV                                                   T0178  1    8 
FACILITY   (CYCLO,1USAINU)                                        T0178  1    9 
METHOD     (EDE,BCINT)                                            T0178  1   10 
DETECTOR   (TELES) 2 telescopes coplanar with, on opposite sides  T0178  1   11 
            of, and at equal angles to the beam. Each telescope   T0178  1   12 
            consisted of Si dE detector and a Ge E detector.      T0178  1   13 
MONITOR    Energy calibrated using 2H(6Li,alpha)4He reaction.     T0178  1   14 
HISTORY    (20020724C) VM                                         T0178  1   15 
           (20220729A) OS. ERR-ANALYS modified, REACTION correctedT0178  1   16 
            in sub.3                                              T0178  1   17 
ENDBIB              15          0                                 T0178  1   18 
COMMON               1          3                                 T0178  1   19 
EN                                                                T0178  1   20 
MEV                                                               T0178  1   21 
 97.5                                                             T0178  1   22 
ENDCOMMON            3          0                                 T0178  1   23 
ENDSUBENT           22          0                                 T0178  199999 
SUBENT        T0178002   20220805                             C216T0178  2    1 
BIB                  6         13                                 T0178  2    2 
REACTION   (3-LI-6(3-LI-6,2A)2-HE-4,,DA/DA/DE,A/A/A)              T0178  2    3 
             For angle 1 = angle 2; E1 = E2.                      T0178  2    4 
ANG-SEC    (ANG1,A)                                               T0178  2    5 
           (ANG2,A)                                               T0178  2    6 
CORRECTION Not corrected for random coincidence events            T0178  2    7 
            (typically about 1% of total yield).                  T0178  2    8 
ERR-ANALYS (DATA-ERR) Error scanned from figures.                 T0178  2    9 
            No information on sources of uncertainties.           T0178  2   10 
           (EN-ERR-DIG) Digitizing error in incident energy 0.1   T0178  2   11 
           (ERR-DIG) Digitizing error in data 0.002               T0178  2   12 
STATUS     (CURVE) Scanned from Fig.1,2 in reference at           T0178  2   13 
                   RFNC-VNIIEF.                                   T0178  2   14 
HISTORY    (20220729A) ERR-ANALYS updated, COMMON added           T0178  2   15 
ENDBIB              13          0                                 T0178  2   16 
COMMON               2          3                                 T0178  2   17 
EN-ERR-DIG ERR-DIG                                                T0178  2   18 
MEV        MB/SR2/MEV                                             T0178  2   19 
  0.1        0.002                                                T0178  2   20 
ENDCOMMON            3          0                                 T0178  2   21 
DATA                 5         93                                 T0178  2   22 
ANG1       ANG2       E          DATA       DATA-ERR              T0178  2   23 
ADEG       ADEG       MEV        MB/SR2/MEV MB/SR2/MEV            T0178  2   24 
  0.05        0.001                                               T0178  3   22 
ENDCOMMON            3          0                                 T0178  3   23 
DATA                 6        125                                 T0178  3   24 
ANG1       ANG2       E1         E2         DATA       DATA-ERR   T0178  3   25 
ADEG       ADEG       MEV        MEV        MB/SR2MEV2 MB/SR2MEV2 T0178  3   26 
  38.       38.         18.6       18.6      1.7418E-03           T0178  3   27 
  38.       38.         19.4       19.4      2.5371E-03           T0178  3   28 
  38.       38.         20.3       20.3      6.9650E-03           T0178  3   29 
  38.       38.         21.2       21.2      7.1630E-02 1.7335E-02T0178  3   30 
  38.       38.         22.0       22.0      8.9760E-02 1.8247E-02T0178  3   31 
  38.       38.         22.8       22.8      1.2065E-01 2.1905E-02T0178  3   32 
  38.       38.         23.7       23.7      1.2691E-01 2.2809E-02T0178  3   33 
  38.       38.         24.5       24.5      1.9979E-01 2.4634E-02T0178  3   34 
  38.       38.         25.3       25.3      1.9693E-01 2.4634E-02T0178  3   35 
  38.       38.         26.2       26.2      1.4297E-01 2.1897E-02T0178  3   36 
  38.       38.         27.0       27.0      2.9431E-01 3.1930E-02T0178  3   37 
  38.       38.         27.9       27.9      2.9509E-01 3.1930E-02T0178  3   38 
  38.       38.         28.7       28.7      2.9772E-01 3.1029E-02T0178  3   39 
  38.       38.         29.6       29.6      2.7477E-01 3.2850E-02T0178  3   40 
  38.       38.         30.4       30.4      2.8834E-01 3.1021E-02T0178  3   41 
  38.       38.         31.3       31.3      1.3128E-01 2.1897E-02T0178  3   42 
  38.       38.         32.2       32.2      1.8772E-01 2.5546E-02T0178  3   43 
  38.       38.         33.0       33.0      1.2829E-01 2.1905E-02T0178  3   44 
  38.       38.         33.9       33.9      1.3090E-01 2.1905E-02T0178  3   45 
  38.       38.         34.7       34.7      9.2450E-02 2.0072E-02T0178  3   46 
  38.       38.         35.7       35.7      9.5970E-02 1.9160E-02T0178  3   47 
  38.       38.         36.5       36.5      9.9500E-02 1.8247E-02T0178  3   48 
  38.       38.         37.2       37.2      8.7530E-02 1.8256E-02T0178  3   49 
  38.       38.         38.3       38.3      5.9090E-02 1.7335E-02T0178  3   50 
  38.       38.         39.0       39.0      3.7090E-02 1.2773E-02T0178  3   51 
  38.       38.         39.9       39.9      3.3300E-02 1.2773E-02T0178  3   52 
  38.       38.         40.9       40.9      2.7693E-02 1.0036E-02T0178  3   53 
  38.       38.         41.7       41.7      3.3960E-02 1.1861E-02T0178  3   54 
  38.       38.         42.6       42.6      3.0180E-02 1.0044E-02T0178  3   55 
  38.       38.         43.4       43.4      2.1851E-02 9.1240E-03T0178  3   56 
  38.       38.         44.3       44.3      1.5331E-02 6.3780E-03T0178  3   57 
  38.       38.         45.2       45.2      1.1556E-02 6.3870E-03T0178  3   58 
