EN         ANG-CM     DATA-CM    DATA-ERR                         T003100200021 
MEV        ADEG       MB/SR      MB/SR                            T003100200022 
 0.886     102.6       0.219      0.004                           T003100200101 
 0.886     112.5       0.201      0.004                           T003100200102 
 0.886     122.3       0.219      0.004                           T003100200103 
 0.886     136.9       0.243      0.005                           T003100200104 
 0.886     146.5       0.254      0.005                           T003100200105 
 0.886     156.1       0.252      0.005                           T003100200106 
 0.938       0.        0.309      0.005                           T003100200107 
 0.938      15.7       0.308      0.005                           T003100200108 
 0.938      26.2       0.299      0.006                           T003100200109 
 0.938      36.7       0.290      0.006                           T003100200110 
 0.938      46.9       0.267      0.005                           T003100200111 
 0.938      62.4       0.243      0.005                           T003100200112 
 0.938      77.6       0.222      0.005                           T003100200113 
 0.938      92.7       0.222      0.004                           T003100200114 
 0.938     102.7       0.219      0.005                           T003100200115 
 0.938     112.6       0.238      0.005                           T003100200116 
 0.938     122.4       0.268      0.005                           T003100200117 
 0.938     136.9       0.294      0.006                           T003100200118 
 0.938     146.6       0.341      0.006                           T003100200119 
 0.938     156.2       0.363      0.007                           T003100200120 
 1.038       0.        0.504      0.010                           T003100200121 
 1.038      15.7       0.512      0.009                           T003100200122 
 1.038      26.2       0.494      0.010                           T003100200123 
 1.038      36.6       0.440      0.009                           T003100200124 
 1.038      46.0       0.387      0.008                           T003100200125 
 1.038      62.5       0.303      0.007                           T003100200126 
 1.038      77.8       0.265      0.006                           T003100200127 
 1.038      92.9       0.242      0.006                           T003100200128 
 1.038     102.8       0.245      0.006                           T003100200129 
 1.038     112.7       0.277      0.007                           T003100200130 
 1.038     122.5       0.329      0.007                           T003100200131 
 1.038     136.0       0.423      0.009                           T003100200132 
 1.038     146.6       0.499      0.010                           T003100200133 
 1.038     156.2       0.564      0.011                           T003100200134 
 1.139       0.        0.799      0.012                           T003100200135 
 1.139      15.8       0.731      0.012                           T003100200136 
 1.139      26.3       0.695      0.013                           T003100200137 
 1.139      36.7       0.616      0.011                           T003100200138 
 1.139      47.1       0.549      0.011                           T003100200139 
 1.139      62.6       0.425      0.009                           T003100200140 
 1.139      77.9       0.341      0.008                           T003100200141 
 1.139      93.0       0.287      0.007                           T003100200142 
 1.139     102.9       0.291      0.007                           T003100200143 
 1.139     112.8       0.326      0.007                           T003100200144 
 1.139     122.6       0.399      0.009                           T003100200145 
 1.139     137.1       0.549      0.011                           T003100200146 
 1.139     146.7       0.631      0.012                           T003100200147 
 1.139     156.3       0.711      0.013                           T003100200148 
 1.238       0.        0.977      0.014                           T003100200149 
 1.238      15.8       0.936      0.014                           T003100200150 
 1.238      26.3       0.858      0.014                           T003100200151 
 1.238      36.8       0.802      0.013                           T003100200152 
 1.238      47.2       0.689      0.012                           T003100200153 
 1.238      62.7       0.554      0.010                           T003100200154 
 1.238      78.0       0.408      0.009                           T003100200155 
 1.238      93.1       0.323      0.007                           T003100200156 
 1.238     103.1       0.329      0.007                           T003100200157 
 1.238     112.9       0.353      0.008                           T003100200158 
 1.238     122.7       0.447      0.009                           T003100200159 
 1.238     137.2       0.592      0.011                           T003100200160 
 1.238     146.8       0.665      0.012                           T003100200161 
 1.238     156.3       0.767      0.014                           T003100200162 
 1.339       0.        0.963      0.013                           T003100200163 
 1.339      15.8       0.931      0.012                           T003100200164 
 1.339      26.4       0.897      0.013                           T003100200165 
 1.339      36.9       0.835      0.012                           T003100200166 
 1.339      47.3       0.736      0.011                           T003100200167 
 1.339      62.8       0.558      0.009                           T003100200168 
 1.339      78.1       0.417      0.008                           T003100200169 
 1.339      93.2       0.336      0.007                           T003100200170 
 1.339     103.2       0.336      0.007                           T003100200171 
 1.339     113.0       0.386      0.007                           T003100200172 
 1.339     122.8       0.443      0.008                           T003100200173 
 1.339     137.3       0.612      0.010                           T003100200174 
 1.339     146.9       0.696      0.011                           T003100200175 
 1.339     156.4       0.796      0.012                           T003100200176 
 1.439       0.        0.935      0.012                           T003100200177 
 1.439      15.9       0.876      0.011                           T003100200178 
 1.439      26.4       0.874      0.011                           T003100200179 
 1.439      36.9       0.797      0.011                           T003100200180 
 1.439      47.4       0.708      0.010                           T003100200181 
