ENTRY            T0151   20010723                             0000T015100000001 
SUBENT        T0151001   20010723                             0000T015100100001 
BIB                 11         20                                 T015100100002 
INSTITUTE  (1USALRL)                                              T015100100003 
REFERENCE  (J,ZP/A,311,323,1983)                                  T015100100004 
           (R,HH-79-03,197911) Experimental Data.                 T015100100005 
AUTHOR     (W.SCOBEL,L.F.HANSEN,B.A.POHL,C.WONG,M.BLANN)          T015100100006 
TITLE      Double Differential Cross Sections for (p,xn) ReactionsT015100100007 
            of 64Zn, 65Cu and 89Y with 26 MeV Protons             T015100100008 
FACILITY   (CYGFF,1USALRL)                                        T015100100009 
METHOD     (TOF) 10.75 Meters Flight Path                         T015100100010 
           (BCINT)                                                T015100100011 
           (PSD) Neutron-Gamma Discrimination.                    T015100100012 
DETECTOR   (SCIN) NE213 scintillators, 11.4 cm diameter x 5.1 cm  T015100100013 
            length, shielded by 2-meters long water collimators.  T015100100014 
REL-REF    (R,,S.M.GRIMES+,J,PR/C,13,2224,1976)                   T015100100015 
           (R,,C.WONG+,J,PR/C,7,1895,1973) Both References were   T015100100016 
            Used For Detector Efficiency.                         T015100100017 
CORRECTION Corrected for background.                              T015100100018 
STATUS     Data taken from table in report HH-79-03.              T015100100019 
           (APRVD) Approved by W. Scobel, 14 March 2001.          T015100100020 
HISTORY    (20010212C) Converted from data set O0528 compiled by  T015100100021 
                       CAJaD and updated.                         T015100100022 
ENDBIB              20          0                                 T015100100023 
COMMON               1          3                                 T015100100024 
EN                                                                T015100100025 
MEV                                                               T015100100026 
  26.                                                             T015100100027 
ENDCOMMON            3          0                                 T015100100028 
ENDSUBENT           27          0                                 T015100199999 
SUBENT        T0151002   20010212                             0000T015100200001 
BIB                  5         15                                 T015100200002 
REACTION   (29-CU-65(P,X)0-NN-1,,DA/DE,,AV)                       T015100200003 
SAMPLE     Target thickness 13.63 mg/cm**2.                       T015100200004 
ANALYSIS   After background correction the time-of-flight spectra T015100200005 
            were converted with the kinematics of single nucleon  T015100200006 
            emission into energy spectra by applying the          T015100200007 
            efficiencies and then summed in 1 MeV bins.           T015100200008 
ERR-ANALYS (DATA-ERR) Uncertainties given result from             T015100200009 
           . counting statistics,                                 T015100200010 
           . statistical uncertainty of background subtraction,   T015100200011 
           . estimated error of detector efficiency (7%).         T015100200012 
COMMENT    - By Compiler -                                        T015100200013 
           Compiler could not read the data for 38.7 degrees,     T015100200014 
            because of the quality of text.                       T015100200015 
           Where no errors are gven, compiler could not read      T015100200016 
            uncertainty from tables.                              T015100200017 
ENDBIB              15          0                                 T015100200018 
NOCOMMON             0          0                                 T015100200019 
DATA                 5        368                                 T015100200020 
ANG        E-CM-MIN   E-CM-MAX   DATA-CM    DATA-ERR              T015100200021 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             T015100200022 
   3.5        4.         5.       15.34126    0.72418             T015100200023 
   3.5        5.         6.        9.50316    0.40799             T015100200024 
   3.5        6.         7.        6.47139    0.28216             T015100200025 
   3.5        7.         8.        4.61762    0.21265             T015100200026 
   3.5        8.         9.        3.68809    0.17525             T015100200027 
   3.5        9.        10.        2.98283    0.14764             T015100200028 
   3.5       10.        11.        2.58019    0.12956             T015100200029 
   3.5       11.        12.        2.35418    0.11755             T015100200030 
   3.5       12.        13.        2.28613    0.11076             T015100200031 
   3.5       13.        14.        2.05358    0.10193             T015100200032 
   3.5       14.        15.        1.77207    0.09175             T015100200033 
   3.5       15.        16.        1.66501    0.00633             T015100200034 
   3.5       16.        17.        8.08090    0.16671             T015100200035 
   3.5       17.        18.        1.13650    0.06980             T015100200036 
   3.5       18.        19.        1.07440    0.06639             T015100200037 
   3.5       19.        20.        0.79851    0.05747             T015100200038 
   3.5       20.        21.        1.15504    0.06561             T015100200039 
   3.5       21.        22.        0.72899    0.05318             T015100200040 
   3.5       22.        23.        0.30631    0.03816             T015100200041 
   3.5       23.        24.        0.28780    0.03694             T015100200042 
   3.5       24.        25.        0.12100    0.02888             T015100200043 
   3.5       25.        26.        0.00335    0.00850             T015100200044 
   3.5       26.        27.        0.00187    0.01188             T015100200045 
   3.5       27.        28.        0.00387    0.01181             T015100200046 
   3.5       29.        30.        0.00048    0.00774             T015100200047 
   9.2        4.         5.       14.76773    0.69383             T015100200048 
   9.2        5.         6.        8.68628    0.38264             T015100200049 
   9.2        6.         7.        5.61737                        T015100200050 
   9.2        7.         8.        3.93021    0.19152             T015100200051 
   9.2        8.         9.        3.03943    0.15560             T015100200052 
   9.2        9.        10.        2.45015                        T015100200053 
   9.2       10.        11.        2.10493    0.11430             T015100200054 
   9.2       11.        12.        1.88118    0.10258             T015100200055 
   9.2       12.        13.        1.86340                        T015100200056 
   9.2       13.        14.        1.66264    0.08928             T015100200057 
   9.2       14.        15.        1.47228    0.08144             T015100200058 
   9.2       15.        16.        1.35298                        T015100200059 
   9.2       16.        17.        5.33517    0.13271             T015100200060 
   9.2       17.        18.        0.88135    0.05966             T015100200061 
   9.2       18.        19.        0.86994    0.05720             T015100200062 
   9.2       19.        20.        0.63862    0.49470             T015100200063 
   9.2       20.        21.        0.85604    0.05527             T015100200064 
   9.2       21.        22.        0.55753                        T015100200065 
   9.2       22.        23.        0.23327    0.03123             T015100200066 
   9.2       23.        24.        0.22240    0.02980             T015100200067 
   9.2       25.        26.        0.00176    0.00853             T015100200068 
   9.2       26.        27.        0.00180    0.09060             T015100200069 
   9.2       27.        28.        0.00107                        T015100200070 
   9.2       28.        29.        0.00366    0.00557             T015100200071 
   9.2       29.        30.        0.00054    0.00264             T015100200072 
