ENTRY            T0208   20020809                             0000T020800000001 
SUBENT        T0208001   20020809                             0000T020800100001 
BIB                 13         34                                 T020800100002 
INSTITUTE  (1CANTMF,1CANSFU,1CANUWO,3AULAML)                      T020800100003 
REFERENCE  (J,PR/C,40,2445,1989)                                  T020800100004 
AUTHOR     (K.H.Hicks,M.C.Vetterli,A.Celler,R.L.Helmer,           T020800100005 
           R.S.Henderson,K.R.G.Jeppesen,A.Trudel,S.Yen)           T020800100006 
TITLE      Quasifree analyzing powers using the (p(pol),n)        T020800100007 
            reaction                                              T020800100008 
FACILITY   (ISOCY,1CANTMF).Large-angle configuration of the       T020800100009 
            charge-exchange facility at TRIUMF.                   T020800100010 
INC-SOURCE (POLIS)                                                T020800100011 
METHOD     (BCINT)                                                T020800100012 
DETECTOR   (MAGSP,SCIN) Recoil protons momentum analyzed in mediumT020800100013 
            resolution spectrometer.                              T020800100014 
           Protons at large angles blocked by shielding or are    T020800100015 
            bent by small dipole magnet placed between target and T020800100016 
            recoil scintillator. Thin plastic scintillator placed T020800100017 
            just before recoil scintillator to veto protons or    T020800100018 
            neutral atomic hydrogen.                              T020800100019 
           Scattered neutrons detected using CH2 liquid           T020800100020 
            scintillator; scintillator material BC513 (BICRON).   T020800100021 
           Two front end wire chambers placed after recoil        T020800100022 
            scintillator to track protons, followed by quadrupole T020800100023 
            magnet.                                               T020800100024 
           Beam polarization monitored using in-beam polarimeter  T020800100025 
            consisting of a thin CH2 target and plastic           T020800100026 
            scintillators to detect p-p elastic scattering.       T020800100027 
MONITOR    (3-LI-7(P,N)4-BE-7,,DA)                                T020800100028 
MONIT-REF  (,J.W.WATSON+,J,NIM,215,413,1983). Cross section for   T020800100029 
            7Li(p,n) reaction to 7Be ground + 0.43 MeV excited    T020800100030 
            state.                                                T020800100031 
REL-REF    (N,,R.HELMER,J,CJP,65,588,1987) Experimental method.   T020800100032 
STATUS     (APRVD) Approved by K. Hicks, 7 August 2002.           T020800100033 
                   Tabulated data not available.                  T020800100034 
HISTORY    (20020805C) Converted from data set O0110, updated and T020800100035 
                       corrected.                                 T020800100036 
ENDBIB              34          0                                 T020800100037 
NOCOMMON             0          0                                 T020800100038 
ENDSUBENT           37          0                                 T020800199999 
SUBENT        T0208002   20020805                             0000T020800200001 
BIB                  4          6                                 T020800200002 
REACTION   (6-C-12(P,N)7-N-12,PAR,POL/DA,,ANA)                    T020800200003 
SAMPLE     12C target thickness 285.5 mg/cm**2.                   T020800200004 
ERR-ANALYS (DATA-ERR) Error scanned from figures.                 T020800200005 
           Point reader uncertainty in excitation energy 0.2 MeV. T020800200006 
STATUS     (CURVE) Data scanned from figures in Phys.Rev. C 40    T020800200007 
            reference at CAJAD.                                   T020800200008 
ENDBIB               6          0                                 T020800200009 
NOCOMMON             0          0                                 T020800200010 
DATA                 5         97                                 T020800200011 
EN         ANG        E-EXC      DATA       DATA-ERR              T020800200012 
MEV        ADEG       MEV        NO-DIM     NO-DIM                T020800200013 
 290.        20.4       -0.52       0.01       0.06               T020800200014 
 290.        20.4        0.47       0.07       0.05               T020800200015 
 290.        20.4        1.54       0.20       0.04               T020800200016 
 290.        20.4        2.42       0.16       0.03               T020800200017 
 290.        20.4        3.88       0.145      0.026              T020800200018 
 290.        20.4        5.09       0.08       0.03               T020800200019 
 290.        20.4        6.12       0.18       0.03               T020800200020 
 290.        20.4        7.43       0.04       0.04               T020800200021 
 290.        20.4        8.50       0.15       0.04               T020800200022 
 290.        20.4        9.75       0.12       0.03               T020800200023 
 290.        20.4       10.61       0.07       0.04               T020800200024 
 290.        20.4       11.64       0.16       0.03               T020800200025 
 290.        20.4       12.98       0.13       0.04               T020800200026 
 290.        20.4       13.98       0.11       0.04               T020800200027 
 290.        20.4       14.92       0.13       0.04               T020800200028 
 290.        20.4       16.15       0.08       0.04               T020800200029 
 290.        20.4       17.01       0.03       0.03               T020800200030 
 290.        20.4       18.50       0.04       0.03               T020800200031 
 290.        20.4       19.90       0.13       0.04               T020800200032 
 290.        20.4       20.82       0.13       0.03               T020800200033 
 290.        20.4       22.19       0.12       0.03               T020800200034 
 290.        20.4       23.13       0.057      0.029              T020800200035 
 290.        20.4       24.09       0.09       0.03               T020800200036 
 290.        20.4       25.37       0.078      0.029              T020800200037 
 290.        20.4       26.34       0.125      0.028              T020800200038 
 290.        20.4       28.11       0.061      0.028              T020800200039 
 290.        20.4       28.78       0.080      0.03               T020800200040 
 290.        20.4       29.95       0.056      0.029              T020800200041 
 290.        20.4       31.34       0.062      0.029              T020800200042 
 290.        20.4       32.36       0.066      0.026              T020800200043 
 290.        20.4       33.27       0.061      0.026              T020800200044 
 290.        20.4       34.30       0.071      0.028              T020800200045 
 290.        20.4       35.50       0.071      0.026              T020800200046 
 290.        20.4       36.89       0.002      0.026              T020800200047 
 290.        20.4       37.94       0.106      0.026              T020800200048 
 290.        20.4       38.80       0.054      0.023              T020800200049 
 290.        20.4       40.08       0.049      0.026              T020800200050 
 290.        20.4       41.52       0.101      0.026              T020800200051 
 290.        20.4       42.49       0.063      0.028              T020800200052 
 290.        27.         0.30       0.22       0.06               T020800200053 
 290.        27.         1.38       0.06       0.05               T020800200054 
 290.        27.         2.44       0.27       0.04               T020800200055 
 290.        27.         3.35       0.27       0.03               T020800200056 
 290.        27.         4.81       0.25       0.04               T020800200057 
 290.        27.         6.12       0.30       0.04               T020800200058 
 290.        27.         6.98       0.22       0.04               T020800200059 
 290.        27.         7.90       0.23       0.04               T020800200060 
 290.        27.         9.73       0.22       0.04               T020800200061 
 290.        27.        12.13       0.25       0.04               T020800200062 
 290.        27.        14.30       0.22       0.04               T020800200063 
 290.        27.        16.70       0.25       0.04               T020800200064 
 290.        27.        18.88       0.22       0.04               T020800200065 
 290.        27.        21.22       0.17       0.04               T020800200066 
 290.        27.        23.43       0.18       0.04               T020800200067 
 290.        27.        25.82       0.20       0.04               T020800200068 
 290.        27.        28.03       0.22       0.04               T020800200069 
 290.        27.        30.39       0.19       0.04               T020800200070 
 290.        27.        32.60       0.20       0.04               T020800200071 
 290.        27.        34.47       0.26       0.03               T020800200072 
 290.        27.        36.91       0.22       0.03               T020800200073 
 290.        27.        38.96       0.14       0.03               T020800200074 
 420.        24.0        2.39       0.17       0.06               T020800200075 
 420.        24.0        3.36       0.24       0.05               T020800200076 
 420.        24.0        5.26       0.16       0.05               T020800200077 
 420.        24.0        8.05       0.11       0.05               T020800200078 
 420.        24.0        8.16       0.19       0.06               T020800200079 
 420.        24.0       10.47       0.19       0.05               T020800200080 
 420.        24.0       11.86       0.16       0.05               T020800200081 
 420.        24.0       13.40       0.23       0.05               T020800200082 
 420.        24.0       15.22       0.11       0.05               T020800200083 
 420.        24.0       16.75       0.17       0.04               T020800200084 
 420.        24.0       17.96       0.02       0.05               T020800200085 
 420.        24.0       19.66       0.195      0.026              T020800200086 
 420.        24.0       22.31       0.05       0.05               T020800200087 
 420.        24.0       22.51       0.18       0.04               T020800200088 
 420.        24.0       23.83       0.11       0.04               T020800200089 
 420.        24.0       26.08       0.08       0.04               T020800200090 
 420.        24.0       28.12       0.10       0.04               T020800200091 
 420.        24.0       29.60       0.12       0.04               T020800200092 
 420.        24.0       31.01       0.20       0.04               T020800200093 
 420.        24.0       33.89       0.12       0.04               T020800200094 
 420.        24.0       36.25       0.16       0.03               T020800200095 
 420.        24.0       37.59       0.10       0.04               T020800200096 
 420.        24.0       38.33       0.20       0.04               T020800200097 
 420.        24.0       41.08       0.13       0.04               T020800200098 
 420.        24.0       42.43       0.07       0.03               T020800200099 
 420.        24.0       43.36       0.12       0.03               T020800200100 
 420.        24.0       45.42       0.15       0.03               T020800200101 
 420.        24.0       46.85       0.14       0.03               T020800200102 
 420.        24.0       48.16       0.06       0.07               T020800200103 
 420.        24.0       49.65       0.10       0.03               T020800200104 
 420.        24.0       51.93       0.09       0.03               T020800200105 
 420.        24.0       53.47       0.158      0.029              T020800200106 
 420.        24.0       55.41       0.11       0.03               T020800200107 
 420.        24.0       56.83       0.10       0.03               T020800200108 
 420.        24.0       58.34       0.15       0.03               T020800200109 
 420.        24.0       59.76       0.14       0.03               T020800200110 
ENDDATA             99          0                                 T020800200111 
ENDSUBENT          110          0                                 T020800299999 
SUBENT        T0208003   20020805                             0000T020800300001 
BIB                  4          6                                 T020800300002 
REACTION   (26-FE-54(P,N)27-CO-54,PAR,POL/DA,,ANA)                T020800300003 
SAMPLE     Fe-54,Thickness 197 Mg/Cm**2,was Used.                 T020800300004 
ERR-ANALYS (DATA-ERR) Error scanned from figures.                 T020800300005 
           Point reader uncertainty in excitation energy 0.2 MeV. T020800300006 
STATUS     (CURVE) Data scanned from figures in Phys.Rev. C 40    T020800300007 
            reference at CAJAD.                                   T020800300008 
ENDBIB               6          0                                 T020800300009 
NOCOMMON             0          0                                 T020800300010 
DATA                 5         48                                 T020800300011 
EN         ANG        E-EXC      DATA       DATA-ERR              T020800300012 
MEV        ADEG       MEV        NO-DIM     NO-DIM                T020800300013 
 290.        20.4        4.09       0.2        0.06               T020800300014 
 290.        20.4        5.96       0.23       0.06               T020800300015 
 290.        20.4        7.40       0.22       0.06               T020800300016 
 290.        20.4        8.54       0.09       0.05               T020800300017 
 290.        20.4       10.07       0.15       0.05               T020800300018 
 290.        20.4       11.77       0.03       0.05               T020800300019 
 290.        20.4       13.09       0.07       0.04               T020800300020 
 290.        20.4       14.63       0.14       0.05               T020800300021 
 290.        20.4       16.43       0.12       0.04               T020800300022 
 290.        20.4       17.67       0.08       0.04               T020800300023 
 290.        20.4       19.50       0.08       0.04               T020800300024 
 290.        20.4       20.49       0.15       0.04               T020800300025 
 290.        20.4       22.26       0.09       0.03               T020800300026 
 290.        20.4       23.74       0.11       0.04               T020800300027 
 290.        20.4       25.06       0.14       0.04               T020800300028 
 290.        20.4       26.82       0.08       0.03               T020800300029 
 290.        20.4       28.36       0.15       0.03               T020800300030 
 290.        20.4       29.61       0.13       0.03               T020800300031 
 290.        20.4       31.51       0.19       0.03               T020800300032 
 290.        20.4       32.43       0.20       0.03               T020800300033 
 290.        20.4       35.08       0.11       0.03               T020800300034 
 290.        20.4       35.72       0.11       0.03               T020800300035 
 290.        20.4       37.47       0.12       0.03               T020800300036 
 290.        20.4       39.23       0.06       0.03               T020800300037 
 290.        20.4       40.22       0.133      0.029              T020800300038 
 290.        20.4       42.04       0.12       0.04               T020800300039 
 290.        20.4       43.32       0.118      0.029              T020800300040 
 290.        20.4       44.76       0.097      0.027              T020800300041 
 420.        24.0        9.02       0.22       0.07               T020800300042 
 420.        24.0       12.55       0.23       0.06               T020800300043 
 420.        24.0       15.42       0.17       0.06               T020800300044 
 420.        24.0       18.53       0.35       0.06               T020800300045 
 420.        24.0       21.45       0.33       0.05               T020800300046 
 420.        24.0       25.07       0.28       0.05               T020800300047 
 420.        24.0       28.74       0.28       0.04               T020800300048 
 420.        24.0       31.67       0.28       0.04               T020800300049 
 420.        24.0       35.36       0.30       0.04               T020800300050 
 420.        24.0       37.50       0.24       0.04               T020800300051 
 420.        24.0       41.32       0.24       0.04               T020800300052 
 420.        24.0       44.82       0.22       0.04               T020800300053 
 420.        24.0       47.75       0.22       0.04               T020800300054 
 420.        24.0       51.62       0.27       0.04               T020800300055 
 420.        24.0       54.57       0.28       0.04               T020800300056 
 420.        24.0       58.11       0.30       0.03               T020800300057 
 420.        24.0       60.91       0.17       0.03               T020800300058 
 420.        24.0       65.36       0.22       0.03               T020800300059 
 420.        24.0       67.76       0.27       0.03               T020800300060 
 420.        24.0       70.72       0.29       0.03               T020800300061 
ENDDATA             50          0                                 T020800300062 
ENDSUBENT           61          0                                 T020800399999 
ENDENTRY             3          0                                 T020899999999 
