ENTRY            T0003   19990511                             0000T000300000001 
SUBENT        T0003001   19990511                             0000T000300100001 
BIB                 13         20                                 T000300100002 
INSTITUTE  (1USATNL)                                              T000300100003 
REFERENCE  (J,NP/A,355,1,1981)                                    T000300100004 
AUTHOR     (K.MURPHY,R.C.BYRD,P.P.GUSS,C.E.FLOYD,R.L.WALTER)      T000300100005 
TITLE      The 15N(p,n)15O reaction below 9.3 MeV                 T000300100006 
FACILITY   (VDGT)                                                 T000300100007 
SAMPLE     N2 gas, 98.9% 15N, balance 14N) was contained in a     T000300100008 
            cell of length 26.3+-0.1 mm at pressures ranging from T000300100009 
            0.7 to 2.0 atm absolute.                              T000300100010 
METHOD     (TOF,PSD)                                              T000300100011 
DETECTOR   (SCIN) Two heavily-shielded NE218 scintillator         T000300100012 
           one (8.9cm in diam. by 5.1 in depth) at flight         T000300100013 
           of 3.74m, and the other (12.7cm in diam. by 5.         T000300100014 
           depth) at 5.67m.                                       T000300100015 
MONITOR    (1-H-3(P,N)2-HE-3,,SIG)                                T000300100016 
MONIT-REF  (,DROZG,J,NSE,67,190,1978)                             T000300100017 
ERR-ANALYS (ERR-T)  Absolute error                                T000300100018 
           (DATA-ERR) Relative error                              T000300100019 
STATUS     Data received by email from R. Byrd, 23 March 1999.    T000300100020 
           No reply received from R. Byrd to author proof.        T000300100021 
HISTORY    (19990325C) SD                                         T000300100022 
ENDBIB              20          0                                 T000300100023 
COMMON               1          3                                 T000300100024 
ERR-T                                                             T000300100025 
PER-CENT                                                          T000300100026 
  7.                                                              T000300100027 
ENDCOMMON            3          0                                 T000300100028 
ENDSUBENT           27          0                                 T000300199999 
SUBENT        T0003002   19990404                             0000T000300200001 
BIB                  1          1                                 T000300200002 
REACTION   (7-N-15(P,N)8-O-15,,DA)                                T000300200003 
ENDBIB               1          0                                 T000300200004 
NOCOMMON             0          0                                 T000300200005 
DATA                 4        166                                 T000300200006 
EN         ANG-CM     DATA-CM    DATA-ERR                         T000300200007 
MEV        ADEG       MB/SR      MB/SR                            T000300200008 
   5.53       0.0        9.71       0.27                          T000300200009 
   5.53      11.20      10.41       0.29                          T000300200010 
   5.53      22.36      11.62       0.32                          T000300200011 
   5.53      33.46      12.84       0.35                          T000300200012 
   5.53      44.45      13.24       0.36                          T000300200013 
   5.53      55.30      12.07       0.33                          T000300200014 
   5.53      66.00      10.24       0.28                          T000300200015 
   5.53      76.51       8.19       0.22                          T000300200016 
   5.53      86.82       7.33       0.20                          T000300200017 
   5.53      91.90       7.24       0.21                          T000300200018 
   5.53      96.93       7.62       0.21                          T000300200019 
   5.53     101.90       8.16       0.29                          T000300200020 
   5.53     106.82       9.11       0.25                          T000300200021 
   5.53     116.51      11.47       0.31                          T000300200022 
   5.53     126.00      13.84       0.39                          T000300200023 
   5.53     135.30      15.71       0.43                          T000300200024 
   5.53     144.45      17.16       0.47                          T000300200025 
   5.53     153.46      18.26       0.52                          T000300200026 
   5.68       0.00      16.04       0.44                          T000300200027 
   5.68      11.17      15.84       0.38                          T000300200028 
   5.68      22.30      15.56       0.30                          T000300200029 
   5.68      33.36      14.08       0.27                          T000300200030 
   5.68      44.32      12.12       0.23                          T000300200031 
   5.68      55.15       9.40       0.26                          T000300200032 
   5.68      65.82       6.69       0.13                          T000300200033 
   5.68      76.32       4.654      0.097                         T000300200034 
   5.68      86.62       3.83       0.081                         T000300200035 
   5.68      96.73       4.67       0.16                          T000300200036 
   5.68     106.62       6.64       0.15                          T000300200037 
   5.68     116.32       9.23       0.45                          T000300200038 
   5.68     125.82      12.18       0.31                          T000300200039 
   5.68     135.15      14.86       0.29                          T000300200040 
   5.68     144.32      16.43       0.50                          T000300200041 
   5.68     153.36      19.24       0.53                          T000300200042 
   6.04       0.00      16.49       0.45                          T000300200043 
   6.04      11.10      16.27       0.45                          T000300200044 
   6.04      22.17      16.20       0.45                          T000300200045 
   6.04      33.17      15.17       0.42                          T000300200046 
   6.04      54.86      12.80       0.36                          T000300200047 
   6.04      65.50      11.25       0.31                          T000300200048 
   6.04      75.97       9.29       0.26                          T000300200049 
   6.04      86.26       7.54       0.21                          T000300200050 
   6.04      91.33       7.25       0.20                          T000300200051 
   6.04      96.35       6.82       0.19                          T000300200052 
   6.04     101.33       6.79       0.19                          T000300200053 
   6.04     106.25       7.37       0.20                          T000300200054 
