ENTRY            T0275   20040625                             0000T027500000001 
SUBENT        T0275001   20040625                             0000T027500100001 
BIB                 11         22                                 T027500100002 
INSTITUTE  (1USATAM)                                              T027500100003 
REFERENCE  (J,NP/A,143,512,1970)                                  T027500100004 
AUTHOR     (D.H.Youngblood,R.L.Kozub,J.C.Hiebert,R.A.Kenefick)    T027500100005 
TITLE       (a,3He) and (a,t) reactions on 40Ca                   T027500100006 
FACILITY   (CYCLO,1USATAM) Variable energy cyclotron              T027500100007 
SAMPLE     Self-supporting natural calcium metal foils about      T027500100008 
            0.5 mg/cm2 thick prepared by vacuum evaporation.      T027500100009 
DETECTOR   (TELES,SOLST) Delta E-E surface barrier semi-conductor T027500100010 
            detector telescope.                                   T027500100011 
           Experiment monitored with surface barrier silicon      T027500100012 
            detector fixed at 30 degr.                            T027500100013 
METHOD     (BCINT)                                                T027500100014 
           (EDE)                                                  T027500100015 
MONITOR    Target thickness measured with 5.477 MeV alphas and    T027500100016 
            checked by comparing the alpha elastic scattering     T027500100017 
            data to optical-model predictions at small angles.    T027500100018 
           Energy scale calibrated using t and 3He groups from    T027500100019 
            bombardment of 12C and 16O.                           T027500100020 
           Overall normalization error is estimated to be 10%.    T027500100021 
ERR-ANALYS (ANG-ERR-D)  Digitizing error in angle.                T027500100022 
           (ERR-DIG)    Digitizing error in data.                 T027500100023 
HISTORY    (20040625C)                                            T027500100024 
ENDBIB              22          0                                 T027500100025 
COMMON               2          3                                 T027500100026 
ANG-ERR    EN-RSL                                                 T027500100027 
ADEG       KEV                                                    T027500100028 
  0.05      35.                                                   T027500100029 
ENDCOMMON            3          0                                 T027500100030 
ENDSUBENT           29          0                                 T027500199999 
SUBENT        T0275002   20040625                             0000T027500200001 
BIB                  4          5                                 T027500200002 
REACTION   (20-CA-40(A,HE3)20-CA-41,PAR,DA)                       T027500200003 
CORRECTION Corrected for contaminant groups from levels in 12C    T027500200004 
            and 16O.                                              T027500200005 
ERR-ANALYS (ERR-S) Statistical error scanned from figure.         T027500200006 
STATUS     (CURVE) Scanned from Fig.2 in article at RFNC-VNIIEF.  T027500200007 
ENDBIB               5          0                                 T027500200008 
COMMON               4          3                                 T027500200009 
EN         EN-ERR     ANG-ERR-D  ERR-DIG                          T027500200010 
MEV        MEV        ADEG       PER-CENT                         T027500200011 
 40.0        0.2        0.5        0.05                           T027500200012 
ENDCOMMON            3          0                                 T027500200013 
DATA                 4        198                                 T027500200014 
E-LVL      ANG-CM     DATA-CM    ERR-S                            T027500200015 
MEV        ADEG       MB/SR      MB/SR                            T027500200016 
  0.000     11.4       1.7619E+01 6.6434E-01                      T027500200017 
  0.000     13.8       1.0394E+01 1.2063E+00                      T027500200018 
  0.000     16.3       8.9355E+00 8.6625E-01                      T027500200019 
  0.000     18.6       6.0374E+00 3.0542E-01                      T027500200020 
  0.000     20.6       4.2842E+00 4.1533E-01                      T027500200021 
  0.000     22.8       3.1750E+00 1.1971E-01                      T027500200022 
  0.000     25.0       2.8491E+00 1.7044E-01                      T027500200023 
  0.000     27.2       2.2182E+00 1.2663E-01                      T027500200024 
  0.000     29.4       1.6439E+00 1.2630E-01                      T027500200025 
  0.000     31.4       1.3866E+00 6.1185E-02                      T027500200026 
  0.000     33.7       1.2215E+00 8.5760E-02                      T027500200027 
  0.000     38.6       7.6894E-01 2.8993E-02                      T027500200028 
  0.000     44.4       5.9034E-01 2.6050E-02                      T027500200029 
  0.000     46.2       5.1022E-01 6.3446E-02                      T027500200030 
  0.000     48.5       5.6824E-01 6.2827E-02                      T027500200031 
  0.000     50.0       4.9096E-01 2.0748E-02                      T027500200032 
  0.000     55.3       3.2281E-01 1.2172E-02                      T027500200033 
  1.949     11.4       1.2275E-01 2.5802E-02                      T027500200034 
  1.949     13.7       1.4094E-01 1.4001E-02                      T027500200035 
  1.949     16.1       1.7642E-01 1.6544E-02                      T027500200036 
  1.949     18.3       2.2491E-01 2.3274E-02                      T027500200037 
  1.949     20.5       1.8518E-01 8.8966E-03                      T027500200038 
  1.949     22.7       2.1526E-01 7.8039E-03                      T027500200039 
  1.949     24.6       2.2665E-01 1.1439E-02                      T027500200040 
  1.949     27.5       1.8793E-01 1.3163E-02                      T027500200041 
  1.949     29.5       1.7071E-01 6.4215E-03                      T027500200042 
  1.949     31.6       1.0524E-01 5.3112E-03                      T027500200043 
